full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Donald Adam Brown,C57YTUI5,2022-11-19,2030-07-25,None,Tennessee,63.0,"5' 3""",154 lbs
Cathy James,A73WFQS4,2021-02-06,2029-05-14,B - Corrective Lenses,Arizona,65.2,"5' 5""",141 lbs
Luis Jason Owens,Z19PQAX1,2024-01-08,2028-12-18,B - Corrective Lenses,Arkansas,77.5,"6' 6""",176 lbs
Tammy Cynthia Sims,S20IONO6,2020-10-21,2028-05-08,None,Alaska,59.3,"4' 11""",133 lbs
Barbara Danielle Brown,Y51ACHY3,2023-11-07,2028-01-30,B - Corrective Lenses,Texas,68.9,"5' 9""",151 lbs
Dylan Allen Sims,Y69NKFN5,2021-06-08,2029-12-12,B - Corrective Lenses,Alaska,70.5,"5' 10""",170 lbs
Kathryn Michele Snyder,U43ZJKP4,2023-11-06,2029-03-23,None,Alaska,72.4,"6' 0""",146 lbs
Daniel Carroll,V54VIHR7,2020-12-27,2031-07-23,None,Alaska,78.1,"6' 6""",170 lbs
Jorge Brandon Brown,W95UVKK9,2023-06-08,2029-07-13,None,Kansas,79.7,"6' 8""",168 lbs
Robert Joseph Brown,C31MUZH1,2021-03-02,2030-04-27,None,New Jersey,70.6,"5' 11""",162 lbs
Stephanie Tina James,N12RWOD7,2023-03-02,2031-04-05,None,Pennsylvania,63.5,"5' 4""",133 lbs
Phyllis Karen James,M37GTNI4,2020-01-06,2030-01-27,None,Ohio,66.4,"5' 6""",148 lbs
Stephen James,X52CNQQ4,2021-07-25,2029-05-06,None,Kentucky,72.8,"6' 1""",186 lbs
Teresa Andrea Owens,W97TCRX0,2022-07-10,2029-12-14,None,Mississippi,64.5,"5' 4""",126 lbs
Robert Gregory Owens,O31KGIU6,2023-11-24,2028-12-17,B - Corrective Lenses,New Hampshire,61.8,"5' 2""",161 lbs
Sean Frank Owens,M55ELVO8,2020-07-29,2030-06-01,None,California,73.3,"6' 1""",161 lbs
Leah Phyllis Sims,X61RXTJ0,2020-05-07,2029-05-06,None,Rhode Island,65.9,"5' 6""",159 lbs
Kendra Laurie Sims,B32AYOE1,2021-04-09,2031-02-24,None,Idaho,64.3,"5' 4""",124 lbs
Megan Lynn Brown,G38RFNX6,2023-12-21,2028-05-15,B - Corrective Lenses,Massachusetts,57.1,"4' 9""",145 lbs
Joann Brown,Y19KOIV4,2023-11-15,2030-03-07,None,Tennessee,67.0,"5' 7""",138 lbs
Kelly Christy Snyder,K92ICYH5,2022-11-04,2030-04-19,D - Daytime Only,Kansas,64.7,"5' 5""",152 lbs
