full_name,gender,ssn,years_lived,age,date_of_death,marital_status
Donald Adam Brown,Male,743-85-8935,2024 - 2100,75,2100-01-01,Married
Antonio Adrian Rivera,Male,876-02-2652,2028 - 2099,70,2099-01-01,Single
Jeffrey John Buck,Male,264-77-0832,2027 - 2100,72,2100-01-01,Single
Trevor Timothy Hill,Male,482-35-6391,2032 - 2099,67,2099-12-01,Married
Morgan Robin Newton,Female,851-64-3192,2026 - 2100,73,2100-01-01,Single
Tara Rebecca Cooper,Female,800-42-7219,2032 - 2099,67,2099-04-03,Single
Shelly Walter,Female,243-86-1260,2037 - 2100,62,2100-01-01,Married
Cristina Maria Lamb,Female,702-60-2219,2025 - 2100,74,2100-01-01,Married
Ryan Wilson,Male,058-87-8544,2034 - 2100,65,2100-01-01,Married
Tanner Michael Wood,Male,203-62-7146,2028 - 2099,71,2099-08-13,Married
Timothy Williams,Male,688-81-1567,2034 - 2100,65,2100-01-01,Married
Patricia Anita Rose,Female,625-71-4938,2035 - 2100,64,2100-01-01,Married
Jennifer Brittany Stark,Female,414-33-2206,2027 - 2099,72,2099-07-05,Married
David Michael Norman,Male,298-70-0372,2031 - 2099,67,2099-05-07,Single
Peter James Beltran,Male,326-80-7033,2036 - 2100,63,2100-01-01,Married
Laura Hannah Miller,Female,183-56-5779,2038 - 2100,61,2100-01-01,Married
Tammy Sylvia Noble,Female,515-73-3267,2034 - 2093,59,2093-11-07,Single
Robyn Lester,Female,660-92-5037,2022 - 2095,72,2095-07-25,Married
Melissa Laura Becker,Female,098-40-3106,2036 - 2100,63,2100-01-01,Single
Sheri Ashley Morrison,Female,243-82-0786,2036 - 2099,62,2099-02-06,Married
Tanya Emma Edwards,Female,877-25-4495,2026 - 2097,70,2097-08-29,Single
Stephen Anthony Smith,Male,563-08-3375,2034 - 2099,64,2099-01-11,Married
Noah Kenneth Walsh,Male,573-52-0664,2036 - 2098,61,2098-06-13,Single
Sandra Lisa Gordon,Female,173-24-3679,2024 - 2077,52,2077-01-20,Married
Michelle Jill Valentine,Female,131-62-1503,2037 - 2100,62,2100-01-01,Single
Michelle Lindsey Harris,Female,648-32-1062,2036 - 2099,63,2099-07-24,Single
Linda Brenda Hill,Female,837-58-3328,2024 - 2100,75,2100-01-01,Married
Stephen Kevin Cruz,Male,372-05-3116,2038 - 2100,61,2100-01-01,Married
Stephanie Jean Ray,Female,007-95-4371,2031 - 2100,68,2100-01-01,Single
Donna Andrea Mclean,Female,073-33-9507,2020 - 2097,76,2097-03-16,Married
William Michael Alvarez,Male,802-45-4071,2031 - 2100,68,2100-01-01,Single
Randy Joseph Griffin,Male,293-32-1217,2035 - 2099,64,2099-05-04,Married
Corey Walter Brooks,Male,402-65-7787,2030 - 2100,69,2100-01-01,Single
Denise Carrie Davis,Female,661-95-6892,2023 - 2100,76,2100-01-01,Married
Christina Jasmine Stephens,Female,302-66-3524,2024 - 2100,75,2100-01-01,Married
Bradley Robert Ryan,Male,773-08-8268,2023 - 2100,76,2100-01-01,Married
Matthew Jonathan Johnson,Male,502-86-6294,2030 - 2099,68,2099-02-10,Single
Ryan Colton Sparks,Male,373-26-5784,2023 - 2099,75,2099-06-16,Single
Donna Kirsten Armstrong,Female,764-06-6536,2025 - 2100,74,2100-01-01,Single
Amy Krista Mitchell,Female,044-46-7164,2031 - 2100,68,2100-01-01,Single
Nicholas Louis Taylor,Male,344-63-1915,2032 - 2100,67,2100-01-01,Single
Joseph Frank,Male,749-89-4918,2028 - 2100,71,2100-01-01,Married
Wayne Jon Bartlett,Male,132-94-5250,2031 - 2100,68,2100-01-01,Single
Cindy Roberts,Female,203-41-3241,2033 - 2100,66,2100-01-01,Single
Gabrielle Emily Campbell,Female,885-27-3831,2025 - 2100,74,2100-01-01,Married
Mark Hayes,Male,639-99-4612,2020 - 2096,76,2096-11-03,Single
Brian Mark Collins,Male,212-12-8238,2029 - 2089,59,2089-04-18,Single
Jason Eric Peterson,Male,419-87-9979,2026 - 2100,73,2100-01-01,Single
Jason Johnny Blake,Male,724-34-7505,2038 - 2099,60,2099-01-01,Married
Samantha Monica Page,Female,232-85-0597,2038 - 2100,61,2100-01-01,Single
Whitney Sharon Williams,Female,483-44-9300,2026 - 2099,73,2099-03-28,Married
Brittany Carol Brown,Female,419-04-4074,2021 - 2100,78,2100-01-01,Married
Matthew Brendan Ramirez,Male,049-06-3713,2020 - 2097,76,2097-07-15,Married
Stephen Robert Hooper,Male,694-22-6365,2029 - 2092,62,2092-03-22,Married
Jessica Tate,Female,508-33-3998,2026 - 2097,71,2097-07-04,Married
Jenny Sara Wood,Female,001-37-4944,2024 - 2090,65,2090-05-14,Married
Angelica Lisa Jones,Female,857-47-5826,2027 - 2097,69,2097-09-02,Married
Aaron Jacob Johnson,Male,371-70-3131,2034 - 2099,64,2099-01-26,Married
Regina Erica Harris,Female,711-22-7328,2029 - 2100,70,2100-01-01,Single
Sean Jeffrey Gordon,Male,455-04-3530,2039 - 2099,60,2099-12-02,Single
Amanda Melissa Graham,Female,654-56-7409,2025 - 2082,57,2082-09-30,Single
Jessica Melissa Terry,Female,774-62-9921,2023 - 2099,75,2099-04-16,Married
Kelly Richard Scott,Male,422-28-6750,2029 - 2099,69,2099-07-18,Single
Dale Hunter Hobbs,Male,312-98-7031,2030 - 2100,69,2100-01-01,Married
Ryan Dakota Kelly,Male,658-22-2591,2022 - 2100,77,2100-01-01,Married
Shannon Allison Barnes,Female,050-80-1455,2024 - 2100,75,2100-01-01,Married
Courtney Nelson,Female,442-21-7692,2032 - 2099,66,2099-03-31,Married
Bryan David Hall,Male,415-24-2150,2031 - 2100,68,2100-01-01,Single
Savannah Kimberly Brown,Female,059-49-7676,2036 - 2100,63,2100-01-01,Single
Jessica Shelia Sutton,Female,224-64-4197,2023 - 2100,76,2100-01-01,Married
David Mark Lee,Male,788-35-0012,2021 - 2090,68,2090-07-24,Single
Tiffany Gross,Female,735-79-4891,2040 - 2100,59,2100-01-01,Single
Robert Thomas Reed,Male,237-97-7457,2021 - 2091,69,2091-02-25,Single
Tammy Chavez,Female,308-78-4754,2028 - 2099,71,2099-10-06,Married
Robert Jesse Marks,Male,781-66-0982,2036 - 2100,63,2100-01-01,Married
Kyle Baxter,Male,179-03-1406,2022 - 2088,66,2088-11-19,Single
Ashley Tina West,Female,282-94-6865,2040 - 2100,59,2100-01-01,Single
Jennifer Tina Newton,Female,539-12-3086,2038 - 2100,61,2100-01-01,Single
Eric Donald Ramos,Male,136-93-9027,2026 - 2091,64,2091-08-29,Married
Joann Taylor Knight,Female,409-80-8374,2036 - 2099,63,2099-12-28,Single
Zachary Christopher Smith,Male,164-63-3414,2022 - 2100,77,2100-01-01,Married
Kendra Sharon Anderson,Female,156-91-2346,2032 - 2100,67,2100-01-01,Single
Rachel Crystal Parsons,Female,519-50-8965,2034 - 2100,65,2100-01-01,Single
Manuel William Mosley,Male,791-76-6488,2036 - 2099,62,2099-08-19,Married
Jane Elizabeth Walters,Female,817-46-9690,2035 - 2100,64,2100-01-01,Married
Elizabeth Gordon,Female,441-53-4999,2033 - 2099,66,2099-10-20,Married
Jordan Dalton Lester,Male,288-29-7125,2037 - 2100,62,2100-01-01,Married
Connie Jasmine Smith,Female,711-32-9985,2030 - 2100,69,2100-01-01,Married
Christina Thomas,Transgender,313-29-7189,2039 - 2100,60,2100-01-01,Married
