full_name,drivers_license~number,drivers_license~issue_date,drivers_license~exp_date,drivers_license~restrictions,home~state,height,format_height,format_weight
Donald Adam Brown,V42MMVF3,2092-10-25,2100-10-25,None,Georgia,72.7,"6' 1""",201 lbs
Antonio Adrian Orr,Q60IHAU8,2097-01-20,2105-01-20,B - Corrective Lenses,Wisconsin,64.9,"5' 5""",142 lbs
Diana Sarah Sanchez,X49TEOF7,2099-04-07,2107-04-07,None,Ohio,65.6,"5' 6""",146 lbs
Jeffrey John Buck,Y07ZFMM1,2099-12-29,2107-12-29,B - Corrective Lenses,Idaho,67.7,"5' 8""",186 lbs
Mary Donna Berry,C57UUQM2,2097-01-27,2105-01-27,None,Florida,66.0,"5' 6""",142 lbs
Trevor Timothy Walker,A35DMWT6,2089-06-22,2097-06-22,None,Ohio,67.5,"5' 8""",186 lbs
Crystal Ashlee Decker,W44IMJG8,2091-05-02,2099-05-02,B - Corrective Lenses,Illinois,66.2,"5' 6""",136 lbs
Morgan Robin Newton,V17BOEV5,2094-12-01,2102-12-01,None,Illinois,65.3,"5' 5""",144 lbs
Andrea Perkins,R38BARZ4,2097-01-04,2105-01-04,None,California,65.2,"5' 5""",136 lbs
Taylor Karen Preston,L08HHGA2,2094-06-04,2102-06-04,B - Corrective Lenses,Virginia,61.2,"5' 1""",146 lbs
Ricky David Hart,D06MTCJ2,2092-05-05,2100-05-05,None,Nebraska,70.4,"5' 10""",120 lbs
Tara Rebecca Cooper,J37ZZPL8,2093-04-20,2101-04-20,None,Hawaii,70.5,"5' 10""",159 lbs
Shelly Walter,X00FYGC0,2091-06-14,2099-06-14,None,Oregon,60.4,"5' 0""",149 lbs
Cristina Maria Lee,R04KMSC6,2094-05-24,2102-05-24,None,Missouri,73.3,"6' 1""",119 lbs
Jack Smith,A54HCXH3,2090-04-01,2098-04-01,B - Corrective Lenses,Arkansas,66.0,"5' 6""",180 lbs
Ryan Wilson,M24CGRM3,2095-12-26,2103-12-26,None,Georgia,62.3,"5' 2""",205 lbs
Dawn Samantha Hall,J97FNPO9,2099-04-13,2107-04-13,None,Ohio,71.6,"6' 0""",133 lbs
Kimberly Michelle Harris,K98LVGZ6,2093-04-28,2101-04-28,D - Daytime Only,Wisconsin,60.6,"5' 1""",129 lbs
Tanner Michael Wood,Z29CGGL5,2091-04-27,2099-04-27,None,Utah,76.2,"6' 4""",217 lbs
Pam Traci Clay,E95RPZF1,2091-08-03,2099-08-03,B - Corrective Lenses,Maryland,67.0,"5' 7""",147 lbs
Mary Sandra Gardner,U91YFVN6,2099-09-13,2107-09-13,None,South Carolina,60.8,"5' 1""",158 lbs
Timothy Williams,L72VPAY9,2097-08-17,2105-08-17,None,Tennessee,66.7,"5' 7""",224 lbs
Patricia Anita Rose,N67AAQQ9,2093-09-07,2101-09-07,None,Rhode Island,61.7,"5' 2""",143 lbs
Daniel Joseph Rose,O91IQXF4,2092-08-28,2100-08-28,None,Rhode Island,73.2,"6' 1""",182 lbs
Jennifer Brittany Mora,N81CJTV0,2097-01-13,2105-01-13,None,Illinois,59.1,"4' 11""",124 lbs
Jamie Tammy Vaughn,M98FXBZ0,2095-10-29,2103-10-29,B - Corrective Lenses,Maine,68.3,"5' 8""",128 lbs
David Michael Norman,S53JXSR5,2091-01-04,2099-01-04,None,Nebraska,69.6,"5' 10""",195 lbs
Peter James Beltran,Z60WKWE8,2098-04-08,2106-04-08,B - Corrective Lenses,New Mexico,75.0,"6' 3""",160 lbs
James James Reed,H00RFUP7,2097-07-31,2105-07-31,None,Illinois,71.7,"6' 0""",190 lbs
Laura Hannah Miller,T94JVBM8,2090-04-16,2098-04-16,B - Corrective Lenses,New Hampshire,66.5,"5' 6""",150 lbs
Tammy Sylvia Noble,I54AXJY8,2090-02-17,2098-02-17,None,New Jersey,65.3,"5' 5""",147 lbs
Carol Kara Nguyen,M98SPWG4,2094-02-24,2102-02-24,None,North Carolina,76.0,"6' 4""",140 lbs
Adam Andrew Miller,P85VACE6,2090-07-06,2098-07-06,None,Maryland,67.3,"5' 7""",206 lbs
Robyn Martinez,N69LPGA7,2090-01-08,2098-01-08,None,New York,64.7,"5' 5""",128 lbs
Melissa Laura Becker,T72PGRZ4,2099-05-02,2107-05-02,None,Oregon,66.8,"5' 7""",143 lbs
Sheri Ashley Morrison,L95WJTO8,2092-07-05,2100-07-05,None,Alabama,63.4,"5' 3""",130 lbs
Tanya Emma Edwards,K41DEGK2,2091-05-25,2099-05-25,None,Virginia,69.3,"5' 9""",141 lbs
Daniel Dylan Higgins,R49YATO0,2092-05-09,2100-05-09,None,Kentucky,69.8,"5' 10""",193 lbs
Stephen Anthony Smith,L62CMJM1,2095-12-07,2103-12-07,None,Arkansas,75.4,"6' 3""",204 lbs
Michael Michael Ramirez,R82TDLN0,2098-03-15,2106-03-15,B - Corrective Lenses,West Virginia,73.5,"6' 2""",195 lbs
Zachary James Garcia,K67YSLD3,2091-02-05,2099-02-05,None,Nebraska,67.1,"5' 7""",206 lbs
Juan Andrew Sherman,M91XCHX1,2095-01-24,2103-01-24,None,Idaho,68.7,"5' 9""",190 lbs
Noah Kenneth Walsh,R65EFKB2,2094-01-20,2102-01-20,None,Virginia,69.2,"5' 9""",192 lbs
Sandra Lisa Gordon,K99WXOJ8,2076-11-21,2084-11-21,None,Louisiana,70.9,"5' 11""",161 lbs
Isaiah Mcgee,K83EQDE6,2092-01-23,2100-01-23,None,New York,68.7,"5' 9""",177 lbs
Angela Dana Hoffman,P88SLGB7,2094-08-14,2102-08-14,None,Rhode Island,63.4,"5' 3""",142 lbs
Michelle Jill Valentine,G43QSJP4,2092-01-28,2100-01-28,D - Daytime Only,New Mexico,68.5,"5' 8""",135 lbs
Michelle Lindsey Harris,W88HYPV5,2099-05-16,2107-05-16,None,Ohio,68.9,"5' 9""",142 lbs
Linda Brenda Carrillo,Z17KKTJ2,2094-11-09,2102-11-09,None,Mississippi,63.9,"5' 4""",136 lbs
Stephen Kevin Cruz,E90NAGM9,2094-02-15,2102-02-15,B - Corrective Lenses,Ohio,68.4,"5' 8""",192 lbs
Stephanie Jean Ray,A79ADTS5,2098-07-03,2106-07-03,D - Daytime Only,Rhode Island,67.9,"5' 8""",136 lbs
Donna Andrea Mclean,E94ZTZV6,2096-04-21,2104-04-21,None,South Dakota,64.7,"5' 5""",130 lbs
William Michael Hartman,H02VTKU7,2096-01-15,2104-01-15,None,Delaware,64.2,"5' 4""",192 lbs
Tiffany Teresa Webb,T79FWIT1,2094-04-12,2102-04-12,B - Corrective Lenses,South Carolina,64.1,"5' 4""",133 lbs
Timothy Le,F54MQTH6,2095-01-30,2103-01-30,None,Texas,78.4,"6' 6""",194 lbs
Randy Joseph Griffin,E64OJTL6,2097-01-24,2105-01-24,None,Georgia,68.5,"5' 8""",136 lbs
Corey Walter Brooks,P70GCWN3,2098-06-20,2106-06-20,None,Georgia,64.6,"5' 5""",173 lbs
Denise Carrie Davis,H14OVEX4,2099-02-16,2107-02-16,None,Rhode Island,65.1,"5' 5""",126 lbs
Keith Brian Arias,Q77OYZP9,2097-09-07,2105-09-07,None,Texas,76.4,"6' 4""",219 lbs
Diana Valerie Boyer,Y92TXNW8,2093-08-28,2101-08-28,None,Florida,69.3,"5' 9""",124 lbs
Heather Crystal Reed,W33JYSS0,2092-01-14,2100-01-14,B - Corrective Lenses,Ohio,67.8,"5' 8""",130 lbs
Christina Jasmine Callahan,S12LUPD0,2094-02-08,2102-02-08,None,Iowa,65.9,"5' 6""",143 lbs
Bradley Robert Ryan,G64PHJJ5,2096-01-24,2104-01-24,None,Pennsylvania,76.0,"6' 4""",145 lbs
Matthew Jonathan Johnson,B79SIOD0,2098-11-16,2106-11-16,None,New Mexico,79.6,"6' 8""",193 lbs
Sheila Stark,Y70XLNU1,2090-01-28,2098-01-28,None,Mississippi,65.6,"5' 6""",146 lbs
Helen Terry Griffin,Q47OWMX1,2096-01-29,2104-01-29,None,Ohio,64.2,"5' 4""",160 lbs
Michael Davis,G79THGG2,2090-02-16,2098-02-16,None,Vermont,76.0,"6' 4""",146 lbs
Mary Kimberly Hamilton,H16UFXS4,2097-10-06,2105-10-06,None,South Carolina,62.5,"5' 2""",134 lbs
Laura Wright,U85WJKS7,2098-09-09,2106-09-09,None,Texas,65.3,"5' 5""",126 lbs
Mercedes Kathleen Tate,O01UKRP8,2091-03-03,2099-03-03,D - Daytime Only,Virginia,68.9,"5' 9""",142 lbs
Ryan Colton Sparks,V48NTMX3,2096-12-14,2104-12-14,None,Kentucky,67.3,"5' 7""",157 lbs
Erik Daniel Spencer,W31TQLG2,2099-06-17,2107-06-17,None,Minnesota,67.3,"5' 7""",190 lbs
Donna Kirsten Walters,W14MHYO5,2090-10-25,2098-10-25,None,Idaho,59.2,"4' 11""",146 lbs
Amy Krista Mitchell,S71ZOQL0,2099-05-15,2107-05-15,B - Corrective Lenses,Rhode Island,69.0,"5' 9""",156 lbs
Nicholas Louis Taylor,Q30AQGA2,2097-03-25,2105-03-25,None,Mississippi,67.3,"5' 7""",222 lbs
Joseph Frank,N53JRAW8,2098-07-19,2106-07-19,None,Arizona,73.7,"6' 2""",166 lbs
Wayne Jon Bartlett,C59RNRG0,2097-01-09,2105-01-09,None,Tennessee,70.1,"5' 10""",175 lbs
Timothy Sean Chavez,H44RPFT3,2098-03-08,2106-03-08,None,Colorado,71.5,"6' 0""",211 lbs
Cindy Hoover,S61NHFM8,2096-09-19,2104-09-19,None,Kentucky,60.4,"5' 0""",153 lbs
Gabrielle Emily Williams,B32MILR7,2099-05-09,2107-05-09,B - Corrective Lenses,District of Columbia,63.1,"5' 3""",139 lbs
Tracy Connie Mendez,T55HLAP5,2091-08-25,2099-08-25,None,Mississippi,59.9,"5' 0""",109 lbs
James Tristan Callahan,Y61GHAH6,2097-09-14,2105-09-14,None,Iowa,72.4,"6' 0""",236 lbs
Jason Roger Stephens,O73MMJB4,2094-08-15,2102-08-15,None,California,76.1,"6' 4""",218 lbs
Mark Hayes,D17CVDA3,2091-09-23,2099-09-23,None,Indiana,67.1,"5' 7""",200 lbs
Brittany Casey Berry,O49MGHW8,2097-11-03,2105-11-03,None,Texas,55.6,"4' 8""",132 lbs
Tracie Amy Washington,Q87WLTA5,2092-01-13,2100-01-13,None,Rhode Island,70.0,"5' 10""",155 lbs
Tiffany Amanda Griffith,Y91BYWA9,2093-01-08,2101-01-08,None,Nebraska,68.3,"5' 8""",135 lbs
Brian Mark Collins,A41JXKA3,2086-01-28,2094-01-28,None,Utah,69.1,"5' 9""",187 lbs
Cynthia Michelle Reynolds,Z58UCLQ0,2093-04-13,2101-04-13,None,Tennessee,63.5,"5' 4""",141 lbs
Jeffrey Orr,K33ULPQ9,2097-08-25,2105-08-25,B - Corrective Lenses,Wisconsin,74.7,"6' 3""",198 lbs
Jason Eric Peterson,G71EPMN8,2095-01-25,2103-01-25,D - Daytime Only,New York,71.4,"5' 11""",168 lbs
Jason Johnny Blake,V31NTVW7,2098-08-09,2106-08-09,None,Rhode Island,68.6,"5' 9""",140 lbs
Samantha Monica Hensley,P35ZXDU3,2096-04-10,2104-04-10,None,Idaho,62.5,"5' 2""",130 lbs
Richard James Moore,J75VSMD8,2098-11-17,2106-11-17,None,Oklahoma,64.3,"5' 4""",208 lbs
Jesse Sandoval,B09XODL3,2091-11-10,2099-11-10,None,Alabama,68.7,"5' 9""",180 lbs
Todd Hartman,C93WDJV6,2092-05-01,2100-05-01,None,Delaware,65.8,"5' 6""",175 lbs
Whitney Sharon Miller,K12DRKF4,2092-11-19,2100-11-19,None,Georgia,63.3,"5' 3""",123 lbs
Laura Williams,U08MBUU6,2094-10-24,2102-10-24,None,West Virginia,69.6,"5' 10""",123 lbs
Brittany Carol Roth,J35SGKX3,2094-07-16,2102-07-16,None,Kansas,61.3,"5' 1""",144 lbs
Matthew Brendan Ramirez,A32TXTS3,2096-12-08,2104-12-08,None,South Carolina,73.0,"6' 1""",170 lbs
Stephen Robert Hooper,P30JRVA8,2082-12-09,2090-12-09,None,Georgia,77.6,"6' 6""",189 lbs
Jessica Vincent,C52OMJC0,2095-08-14,2103-08-14,None,Iowa,63.3,"5' 3""",159 lbs
Jenny Sara Wood,S82HVKU0,2087-08-27,2095-08-27,None,Utah,59.6,"5' 0""",138 lbs
Angelica Lisa Ellis,D76UGFP1,2088-02-28,2096-02-28,None,Nevada,65.1,"5' 5""",130 lbs
Aaron Jacob Johnson,X87TLZU3,2097-02-24,2105-02-24,None,Alabama,71.7,"6' 0""",176 lbs
Regina Erica Marks,Z89FTHS2,2097-10-03,2105-10-03,None,Ohio,54.2,"4' 6""",135 lbs
