id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,age,generation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,blood_type_allele,mannerisms,positive_traits,neutral_traits,negative_traits,phone_number,email,passport,drivers_license,home,vehicle,bank_account,pet,marital_status,spouse,maiden_name,children,siblings,parent_a,parent_b,employer,role,patron_of,is_alive,parents,can_work,can_marry,is_working,age_group,full_name,name,title,gender_abbr,desired_gender,body_mass_index,format_weight,format_height,years_lived,blood_type
Pb48e,Female,Kathryn,Amy,Soto,,659-89-1144,Bisexual,41,2,2058-06-20,07:17 PM,,White,Frizzy,Hazel,68.5,131.3,ABDd,Quotes well-known literary works,"Accessible, Passionate, Generous",Stern,"Decadent, Calculating, Demanding",Cell: (983) 540-3071,Personal: ksoto@kmail.com,Passport: Q08166160 - Exp: May 2104,Driver's License: O66BVTW9 - Exp: Sep 2101,"Home: 6928 Pollard Squares - Apt. 929, Port Edward, NJ - 08959",Orange 2006 Ford Ranger Super Cab - Pickup - LZY 341,"Bank Account (032811418): $5,289.62",,Single,,,[],"[Pf76c, P03e6]",Evelyn Lacey Soto (2039 -  ),Stephanie Amanda Soto (2035 - 2099),,Unemployed,"[Drive Parts (2099) - Automotive: Suppliers, Star Beat Journal (2098) - Entertainment: Journalism]",True,Evelyn Soto and Stephany Soto,True,True,False,Middle Age,Kathryn Amy Soto,Kathryn Soto,Ms.,F,Male,19.7,131 lbs,"5' 8""",2058 -  ,AB+
Pf76c,Male,Andrew,,Soto,,283-91-9626,Heterosexual,58,2,2040-09-16,07:49 AM,2099-05-20,Black,Spiky,Brown,75.6,185.6,AADd,Paces back and forth,"Sage, Humorous, Reverential",Businesslike,"Narrow, High-handed, Compulsive",Cell: (227) 805-9860,Personal: asoto40@hokmail.com,Passport: K03587248 - Exp: Nov 2102,Driver's License: S23LSBM3 - Exp: Feb 2098,"Home: 3749 Hall Wall - Suite 131, Conradfort, NJ - 07573",,"Bank Account (724519808): $2,812.85","Animal(name='Kylie', animal_type='Dog', breed='Sloughi', age=8, gender='Female')",Single,,,[],"[Pb48e, P03e6]",Evelyn Lacey Soto (2039 -  ),Stephanie Amanda Soto (2035 - 2099),SelectPlace Trade (2099) - Retail: Wholesale,Employee: General,"[Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Evelyn Soto and Stephany Soto,True,True,True,Middle Age (Deceased),Andrew Soto,Andrew Soto,Mr.,M,Female,22.8,186 lbs,"6' 4""",2040 - 2099,A+
P03e6,Male,Michael,Adrian,Soto,,840-09-5772,Heterosexual,53,2,2046-01-22,02:32 AM,2100-01-01,Black,Unkempt,Blue,71.2,166.8,ABDd,Wears a cravat,"Prudent, Compassionate, Sage",Self-conscious,"Zany, Sloppy, Extravagant",Cell: (788) 525-2620,Personal: msoto626@kcloud.com,Passport: M19758612 - Exp: Jul 2108,Driver's License: W58BIVX4 - Exp: Oct 2098,"Home: 204 Christopher Flats, West Nathanland, NJ - 07623",,"Bank Account (650322897): $25,974.33","Animal(name='Tigger', animal_type='Cat', breed='Thai Lilac', age=0, gender='Male')",Single,,,[],"[Pb48e, Pf76c]",Evelyn Lacey Soto (2039 -  ),Stephanie Amanda Soto (2035 - 2099),AutoPath Rentals (2062) - Automotive: Rental,Employee: General,"[SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Evelyn Soto and Stephany Soto,True,True,True,Middle Age (Deceased),Michael Adrian Soto,Michael Soto,Mr.,M,Female,23.1,167 lbs,"5' 11""",2046 - 2100,AB+
P0a03,Male,Ricardo,,Malone,Ricky,774-16-3450,Bisexual,39,2,2060-12-08,12:35 AM,,Black,Flowing,Blue,69.0,179.5,AADd,Compulsively scratches nose,"Perfectionist, Self-critical, Nonauthoritarian",Earthy,"Apathetic, Disputatious, Easily Discouraged",Cell: (684) 851-2468,Personal: rmalone671@yakoo.com,Passport: E66709618 - Exp: Nov 2104,Driver's License: A23DPNF1 - Exp: Aug 2103,"Home: 867 Melissa Hollow - Suite 508, Lake Kylemouth, NJ - 07492",Gold 1994 Dodge Dakota Regular Cab - Pickup - 75-S003,"Bank Account (645357295): $19,367.78",,Single,,,[],"[Pe012, P2d61]",Tracey Maria Malone (2031 - 2100),Daniel John Malone (2032 -  ),A Taste of Delight Food (2098) - Food and Beverage: Food Truck,Manager: General,"[SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Tracey Malone and Johnny Malone,True,True,True,Late Young Adult,Ricardo Malone,Ricky Malone,Mr.,M,Female,26.5,180 lbs,"5' 9""",2060 -  ,A+
Pe012,Male,John,Roy,Malone,,192-23-4681,Heterosexual,48,2,2051-09-13,07:07 PM,2100-01-01,Black,Straight,Brown,66.4,206.3,AADd,Wears bright red lipstick,"Principled, Reverential, Humble",Chummy,"Prejudiced, Gloomy, Condemnatory",Cell: (567) 247-4083,Personal: johnmalone913@outkook.com,Passport: J25854418 - Exp: Sep 2101,Driver's License: Q00XVNZ6 - Exp: Jan 2104,"Home: 72327 Derek Stravenue - Suite 615, West Nicoleview, NJ - 07245",Silver 2011 Acura MDX - SUV - 891 6227,"Bank Account (166057189): $13,842.97",,Single,,,[],"[P0a03, P2d61]",Tracey Maria Malone (2031 - 2100),Daniel John Malone (2032 -  ),Invest Wise Invest (2093) - Finance: Investment Firm,Employee: General,"[Sound Quest Music (2099) - Entertainment: Music, Style Quest Press (2089) - Entertainment: Journalism, Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale]",False,Tracey Malone and Johnny Malone,True,True,True,Middle Age (Deceased),John Roy Malone,John Malone,Mr.,M,Female,32.9,206 lbs,"5' 6""",2051 - 2100,A+
P2d61,Male,Angel,Joseph,Malone,,332-84-2768,Heterosexual,41,2,2058-04-14,01:48 AM,,Black,Unkempt,Brown,76.6,200.2,AADd,Points out when a song is off-key,"Disciplined, Humorous, Warm",Unpatriotic,"Meddlesome, Disrespectful, Dependent",Cell: (151) 345-7922,Personal: angelmalone749@yakoo.com,Passport: J66921638 - Exp: Sep 2104,Driver's License: U95AFJK9 - Exp: Sep 2102,"Home: 76438 Castro Well - Suite 990, North Michaelland, NJ - 07443",Blue 2003 Acura RL - Sedan - ZWE 849,"Bank Account (665519981): $25,635.51","Animal(name='Chloe', animal_type='Cat', breed='Ocicat', age=9, gender='Male')",Single,,,[],"[P0a03, Pe012]",Tracey Maria Malone (2031 - 2100),Daniel John Malone (2032 -  ),AutoPath Rentals (2062) - Automotive: Rental,Employee: General,"[Taste Bite Beverage (2098) - Food and Beverage: Beverage Manufacture, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",True,Tracey Malone and Johnny Malone,True,True,True,Middle Age,Angel Joseph Malone,Angel Malone,Mr.,M,Female,24.0,200 lbs,"6' 5""",2058 -  ,A+
P4f01,Female,Michelle,,Holland,Shely,016-65-6043,Heterosexual,56,2,2043-12-05,06:18 PM,,Blonde,Flowing,Brown,67.5,137.8,BAdD,Raises eyebrow often while others are talking,"Hardworking, Charming, Multi-leveled",Unpatriotic,"Discontented, Incurious, Sadistic",Cell: (607) 506-1751,Personal: mholland@hokmail.com,Passport: A79881984 - Exp: Oct 2105,Driver's License: W05JKCM6 - Exp: Jun 2098,"Home: 2785 Michael Drive - Suite 754, Russellland, NJ - 08736",White 1993 Dodge Stealth - Hatchback - AMH N21,"Bank Account (733580653): $4,863.29",,Married,Damon Gary Gonzalez (2047 - 2100),,"[P004d, P2eb6]",[P57bb],Barry Holland (2029 -  ),Michael Holland (2027 - 2098),Sound Quest Music (2099) - Entertainment: Music,Employee: General,"[Invest Wise Invest (2093) - Finance: Investment Firm, Star Beat Journal (2098) - Entertainment: Journalism, Style Quest Press (2089) - Entertainment: Journalism]",True,Barry Holland and Micky Holland,True,True,True,Middle Age,Michelle Holland,Shely Holland,Mrs.,F,Male,21.3,138 lbs,"5' 8""",2043 -  ,B+
P57bb,Male,Christopher,Christopher,Holland,,066-27-6106,Heterosexual,43,2,2056-08-03,09:09 PM,,Black,Curly,Hazel,71.9,158.3,AAdD,Wears mismatched clothing,"Hearty, Warm, Sane",Unaggressive,"Criminal, Discourteous, Opinionated",Cell: (914) 677-7385,Personal: christopherholland56@kmail.com,Passport: Q93598419 - Exp: Jun 2106,Driver's License: A84EWBV4 - Exp: Aug 2105,"Home: 3147 David Ridge - Suite 133, Brittanybury, NJ - 07482",Silver 2000 Nissan Altima - Sedan - 824-DJX,"Bank Account (336646189): $11,050.47","Animal(name='Ziggy', animal_type='Cat', breed='Dwarf cat', age=10, gender='Male')",Married,Pamela Robin Holland (2054 - 2099),,"[Pb6a8, P7b1b]",[P4f01],Barry Holland (2029 -  ),Michael Holland (2027 - 2098),FeastSip Bread (2099) - Food and Beverage: Bakery,Manager: General,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale]",True,Barry Holland and Micky Holland,True,True,True,Middle Age,Christopher Christopher Holland,Christopher Holland,Mr.,M,Female,21.5,158 lbs,"6' 0""",2056 -  ,A+
Pb2b2,Male,Richard,David,Marshall,,226-52-7293,Heterosexual,55,2,2044-09-30,02:49 AM,,Black,Spiky,Brown,73.2,194.0,OODd,Wears a scarf often,"Gallant, Thorough, Empathetic",Stubborn,"Escapist, One-dimensional, Grim",Cell: (817) 475-8528,Personal: richardmarshall44@outkook.com,Passport: P40199352 - Exp: Feb 2101,Driver's License: Y84RAFT5 - Exp: Apr 2100,"Home: 292 Walker Brooks, Marcusfort, NJ - 08265",Brown 2016 MAZDA MAZDA6 - Sedan - XEB 025,"Bank Account (841090410): $18,273.57","Animal(name='Peanut', animal_type='Cat', breed='Siamese', age=13, gender='Female')",Single,,,[],[Pcc19],Janet Marshall (2036 - 2100),Alyssa Marshall (2039 -  ),Drive Parts (2099) - Automotive: Suppliers,Owner: General,"[Market Store Quick (2092) - Retail: Convenience, SelectPlace Trade (2099) - Retail: Wholesale]",True,Jessie Marshall and Lissia Marshall,True,True,True,Middle Age,Richard David Marshall,Richard Marshall,Mr.,M,Female,25.5,194 lbs,"6' 1""",2044 -  ,O+
Pcc19,Male,Brendan,,Marshall,,263-71-1084,Homosexual,48,2,2051-11-04,07:07 PM,2100-01-01,Blonde,Flowing,Blue,72.8,195.3,BBDD,Whispers into another's ear often,"Athletic, Empathetic, Protean",Progressive,"Cold, Sly, Thoughtless",Cell: (206) 788-9917,Personal: marshall758@kmail.com,Passport: P34676957 - Exp: Feb 2107,Driver's License: W54LYGA6 - Exp: Sep 2103,"Home: 206 Mark Light - Suite 473, Madelineborough, NJ - 07540",Silver 2017 Toyota 4Runner - SUV - 6F 32395,"Bank Account (811561815): $29,287.06","Animal(name='Dory', animal_type='Fish', breed='Tiger Barb', age=2, gender='Female')",Married,Bill Peter Marshall (2043 -  ),,[Pf0a2],[Pb2b2],Janet Marshall (2036 - 2100),Alyssa Marshall (2039 -  ),Style Quest Press (2089) - Entertainment: Journalism,Owner: General,"[Style Quest Press (2089) - Entertainment: Journalism, SelectPlace Trade (2099) - Retail: Wholesale, EducateCenter School (2095) - Education: Public K-6]",False,Jessie Marshall and Lissia Marshall,True,True,True,Middle Age (Deceased),Brendan Marshall,Brendan Marshall,Mr.,M,Male,25.9,195 lbs,"6' 1""",2051 - 2100,B+
