id,gender,first_name,middle_name,last_name,nickname,ssn,sexual_orientation,date_of_birth,time_of_birth,date_of_death,hair_color,hair_type,eye_color,height,weight,mannerisms,passport_num,passport_issue_date,passport_exp_date,phone_number,email,home,vehicle,drivers_license,marital_status,spouse,age,age_group,full_name,title,gender_abbr,format_weight,format_height,vehicle_details
00001,Transgender,Isaac,Jessica,Davis,Ike,370-40-2811,Bisexual,2015-02-03,11:51 PM,,Brown,Curly,Blue,67.2,144.4,Scoffs under breath about things taking place,J69942348,2023-12-30,2033-12-30,Cell: (241) 117-1052,Personal: isaacdavis15@free.net,"Home: 454 Jennifer Avenue - Suite 978, Sydneyfurt, NJ - 08105",Tan 2018 Chevrolet Suburban - SUV - 45Y PF7,"DriversLicense(number='Y75TUIV1', issue_date=datetime.date(2020, 9, 14), exp_date=datetime.date(2029, 6, 10), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00002,Female,Chelsea,Meagan,Moore,,603-86-5430,Asexual,2020-03-02,01:07 AM,,Black,Wavy,Hazel,64.4,139.1,Blinks often,D01119311,2017-11-17,2027-11-17,Cell: (378) 386-1050,Personal: chelseamoore722@kmail.com,"Home: 522 Carter Rue, Henryport, AL - 35033",Gold 2017 Subaru Forester - SUV - NU4 7655,"DriversLicense(number='Q40SIYN2', issue_date=datetime.date(2023, 9, 11), exp_date=datetime.date(2028, 12, 10), restrictions='D - Daytime Only')",Single,,,,,,,,,
00003,Nonbinary,Robert,Steven,Gomez,,472-02-2853,Bisexual,1994-07-26,02:21 PM,,Brown,Frizzy,Hazel,62.1,117.9,Is sleepless,I02823560,2015-11-13,2025-11-13,Cell: (334) 417-6854,Personal: rgomez@yakoo.com,"Home: 1513 Fletcher Burgs - Suite 302, Port Chloe, CT - 06027",Brown 2008 Volvo XC90 - SUV - 4UG W46,"DriversLicense(number='W45PRKO0', issue_date=datetime.date(2022, 3, 9), exp_date=datetime.date(2029, 9, 25), restrictions='B - Corrective Lenses')",Divorced,,,,,,,,,
00004,Transgender,David,Christine,Rocha,Tina,301-92-9846,Heterosexual,1929-08-20,02:26 AM,2024-02-20,Red,Curly,Brown,61.2,160.4,Doodles absentmindedly,E92727261,2014-05-13,2024-05-13,Cell: (225) 197-8737,Personal: drocha@outkook.com,"Home: 2955 Henry Mount - Apt. 070, Annaport, AR - 72716",Red 2018 Mercedes-Benz CLA - Sedan - 4-9035C,"DriversLicense(number='G71HMGE2', issue_date=datetime.date(2022, 1, 25), exp_date=datetime.date(2030, 1, 15), restrictions='B - Corrective Lenses')",Divorced,,,,,,,,,
00005,Male,Thomas,,Villegas,Tom,076-63-4310,Asexual,2021-07-30,01:25 PM,,Grey,Touseled,Hazel,66.6,163.2,Walks with erect posture,G24645051,2014-03-12,2024-03-12,Cell: (194) 707-1266,Personal: thomasvillegas@kol.com,"Home: 015 Danny Cape, Lake Jennifer, MO - 63220",Green 2006 Chevrolet Suburban 1500 - SUV - 93W G81,"DriversLicense(number='O51ISDF9', issue_date=datetime.date(2023, 10, 13), exp_date=datetime.date(2031, 1, 15), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00006,Nonbinary,Daniel,,Davis,,015-69-5236,Bisexual,2009-08-03,11:45 PM,,Brown,Curly,Blue,64.9,159.2,Clenches jaw,N47695652,2019-11-17,2029-11-17,Cell: (464) 936-1418,Personal: ddavis83@free.net,"Home: 89648 Baker Stravenue, North Dawn, IL - 60779",Tan 2015 Ford Escape - SUV - EU 22533,"DriversLicense(number='L40FSKV9', issue_date=datetime.date(2023, 11, 6), exp_date=datetime.date(2031, 10, 8), restrictions='D - Daytime Only')",Single,,,,,,,,,
00007,Male,Jeffrey,John,Davis,,877-37-8472,Homosexual,2010-03-28,12:25 AM,,Black,Wavy,Brown,71.3,171.5,Clasps and unclasps fingers together,U44575251,2022-07-12,2032-07-12,Cell: (635) 536-1775,Personal: jdavis328@yakoo.com,"Home: 707 Davenport Dam, Lake Lynnton, MI - 48173","Silver 2018 Audi A3 - Sedan, Convertible - 56X 0169","DriversLicense(number='D68ASTC6', issue_date=datetime.date(2021, 2, 3), exp_date=datetime.date(2029, 7, 23), restrictions='D - Daytime Only')",Single,,,,,,,,,
00008,Transgender,Alyssa,Jessica,Davis,Lissia,052-97-6472,Bisexual,2012-12-03,06:42 AM,,Black,Wavy,Brown,62.5,134.7,Wear a sweater/jacket/coat at all times,L78108229,2017-11-24,2027-11-24,Cell: (858) 447-4383,Personal: davis260@free.net,"Home: 5451 Sergio Square, Aguilarborough, NE - 68025",Red 2019 Jaguar F-PACE - SUV - 7XX 504,"DriversLicense(number='C46FBYR3', issue_date=datetime.date(2020, 10, 30), exp_date=datetime.date(2028, 5, 27), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00009,Male,Eric,,Davis,,620-98-1992,Homosexual,2012-06-27,08:44 PM,,White,Spiky,Hazel,75.2,184.8,Scoffs under breath about things taking place,M64473395,2022-02-21,2032-02-21,Cell: (595) 346-8755,Personal: ericdavis12@hokmail.com,"Home: 02480 White Village, Gloverborough, HI - 96774",Gray 2009 Chevrolet Colorado Crew Cab - Pickup - 04NC2,"DriversLicense(number='T29EFDB0', issue_date=datetime.date(2023, 9, 6), exp_date=datetime.date(2028, 7, 28), restrictions='None')",Single,,,,,,,,,
00010,Male,Craig,Mark,Davis,,429-96-4700,Homosexual,2005-10-21,01:37 AM,,Black,Unkempt,Hazel,70.8,164.2,Clenches jaw,R65527701,2014-05-19,2024-05-19,Cell: (589) 131-1163,Personal: cdavis@outkook.com,"Home: 39797 Elliott Trace, Olivialand, FL - 32108",Gray 1992 Audi Quattro - Sedan - 369 IDX,"DriversLicense(number='U22PGEI2', issue_date=datetime.date(2020, 11, 6), exp_date=datetime.date(2028, 2, 23), restrictions='None')",Single,,,,,,,,,
00011,Female,Julie,Breanna,Moore,Bri,546-91-7323,Heterosexual,2021-08-30,01:41 PM,,Blonde,Curly,Brown,67.4,159.6,Tilts head to the side when listening,D85879777,2024-01-28,2034-01-28,Cell: (691) 576-3685,Personal: juliemoore830@free.net,"Home: 492 Katrina Vista - Apt. 691, Port Davidfort, MT - 59444",White 1999 Toyota Land Cruiser - SUV - 426 VNG,"DriversLicense(number='H32PDCW1', issue_date=datetime.date(2022, 9, 24), exp_date=datetime.date(2031, 8, 9), restrictions='D - Daytime Only')",Single,,,,,,,,,
00012,Female,Anna,Sara,Moore,,004-69-3051,Bisexual,2022-03-24,11:07 PM,,Black,Unkempt,Blue,65.1,121.8,Swallows constantly,I46224673,2018-05-20,2028-05-20,Cell: (405) 896-4984,Personal: annamoore242@yakoo.com,"Home: 873 Gonzalez Green, Kaiserchester, TN - 37542",Green 2018 Honda Accord Hybrid - Sedan - 291A,"DriversLicense(number='U11ANIK4', issue_date=datetime.date(2021, 1, 18), exp_date=datetime.date(2028, 4, 21), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00013,Nonbinary,Nancy,Susan,Moore,Nanny,257-06-8338,Asexual,2019-01-03,03:39 PM,,Black,Wavy,Green,64.9,138.3,Always has perfectly manicured nails,U91462134,2017-10-19,2027-10-19,Cell: (753) 239-6620,Personal: nancymoore@kcloud.com,"Home: 48955 Kevin Course, Hunterstad, HI - 96722",Red 1997 Kia Sportage - SUV - FOY-116,"DriversLicense(number='Z61ZNUI2', issue_date=datetime.date(2024, 2, 17), exp_date=datetime.date(2029, 11, 15), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00014,Transgender,Dustin,Taylor,Gomez,,265-50-4178,Homosexual,1996-02-29,01:21 PM,,White,Touseled,Blue,69.1,119.0,Raises eyebrow often while others are talking,U48358339,2022-05-21,2032-05-21,Cell: (648) 159-9187,Personal: dustingomez96@outkook.com,"Home: 579 Smith Rapid, New Jillianshire, MO - 63180","White 2003 Hyundai Accent - Hatchback, Sedan - QJZ-755","DriversLicense(number='P21VFVJ9', issue_date=datetime.date(2020, 9, 23), exp_date=datetime.date(2030, 2, 7), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00015,Nonbinary,Shelby,Carlos,Gomez,,657-02-0513,Asexual,1989-11-13,03:10 AM,,Black,Frizzy,Hazel,71.5,123.7,Walks with erect posture,X34029316,2021-06-03,2031-06-03,Cell: (704) 794-2258,Personal: shelbygomez@yakoo.com,"Home: 7534 Rice Inlet, Pamelamouth, TN - 37912",Gray 2013 GMC Sierra 2500 HD Crew Cab - Pickup - FYG-1589,"DriversLicense(number='E26ORIV8', issue_date=datetime.date(2021, 3, 3), exp_date=datetime.date(2030, 4, 18), restrictions='None')",Single,,,,,,,,,
00016,Male,Christopher,,Gomez,Chris,326-38-3150,Bisexual,1994-04-20,12:38 AM,,White,Unkempt,Blue,67.6,167.5,Rocking back and forth on heels,O57945913,2018-02-10,2028-02-10,Cell: (894) 107-3519,Personal: gomez829@kol.com,"Home: 11992 Davis River - Suite 117, Moorebury, OR - 97514",Red 1998 Plymouth Breeze - Sedan - CJP7965,"DriversLicense(number='J54NRKM0', issue_date=datetime.date(2022, 6, 8), exp_date=datetime.date(2029, 7, 15), restrictions='None')",Single,,,,,,,,,
00017,Transgender,Richard,,Rocha,Rick,405-65-5200,Bisexual,1924-02-20,11:03 PM,2024-02-20,Black,Curly,Blue,71.8,129.8,Toys with rings,V17538050,2023-02-10,2033-02-10,Cell: (517) 611-2258,Personal: rrocha24@yakoo.com,"Home: 0738 Katherine Branch, East Charlesville, ID - 83263",Silver 2017 Jeep Compass - SUV - 430 XAL,"DriversLicense(number='B32AYOE1', issue_date=datetime.date(2021, 4, 9), exp_date=datetime.date(2028, 4, 18), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00018,Male,Lucas,Michael,Rocha,,489-81-2262,Heterosexual,1927-02-01,05:26 PM,2024-02-20,Grey,Wavy,Grey,69.0,177.8,Hates sitting near a stranger,M35985395,2015-10-14,2025-10-14,Cell: (161) 216-3909,Personal: lucasrocha21@yakoo.com,"Home: 56011 Emily Street - Suite 100, Lake Deanna, MI - 49722",Brown 2008 Scion xD - Hatchback - 3M 8C2GRM,"DriversLicense(number='C02KDKX7', issue_date=datetime.date(2022, 8, 22), exp_date=datetime.date(2031, 2, 15), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00019,Male,Matthew,Ryan,Rocha,Thias,437-61-3439,Heterosexual,1921-10-01,05:33 PM,2024-02-20,Black,Unkempt,Amber,69.2,160.3,Nostrils flare,B76421083,2023-12-18,2033-12-18,Cell: (348) 691-6689,Personal: matthewrocha101@free.net,"Home: 65441 Patricia Loaf, Port Tylerberg, MD - 21134",Orange 2005 Dodge Grand Caravan Passenger - Van/Minivan - 027-UJF,"DriversLicense(number='R44SPSJ4', issue_date=datetime.date(2020, 9, 4), exp_date=datetime.date(2028, 5, 8), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00020,Nonbinary,Robert,Brandon,Villegas,Hobkin,129-65-1113,Asexual,2020-07-24,03:32 PM,,Grey,Flowing,Blue,66.2,128.4,Swallows constantly,S87970428,2016-08-24,2026-08-24,Cell: (413) 547-4089,Personal: robertvillegas724@yakoo.com,"Home: 241 Lisa Turnpike, North Christopherview, AK - 99768","Orange 2017 Lamborghini Aventador - Coupe, Convertible - 9-8655G","DriversLicense(number='O34RLTL2', issue_date=datetime.date(2023, 2, 9), exp_date=datetime.date(2031, 11, 14), restrictions='B - Corrective Lenses')",Single,,,,,,,,,
00021,Transgender,Alexander,John,Villegas,,767-35-9286,Homosexual,2020-11-18,02:55 PM,,Brown,Flowing,Amber,66.6,135.1,Holds significant other close,Q36148842,2015-05-17,2025-05-17,Cell: (394) 288-9201,Personal: alexandervillegas20@hokmail.com,"Home: 3760 Grace Spurs - Apt. 102, North Timothychester, NM - 88134",Gray 2019 Honda Odyssey - Van/Minivan - 358Z4,"DriversLicense(number='H13BEQT9', issue_date=datetime.date(2021, 8, 22), exp_date=datetime.date(2030, 6, 30), restrictions='D - Daytime Only')",Single,,,,,,,,,
