full_name,vehicle~make,vehicle~model,vehicle~year,vehicle~color,vehicle~body_type,vehicle~license_plate_num,vehicle~vin
Donald Adam Brown,Mercedes-Benz,GLA,2016,Silver,SUV,75K Z19,CDLR4PVFYH454KSW2
Antonio Adrian Rivera,Dodge,Dakota Extended Cab,2009,White,Pickup,D15 1MO,W25R8D0WBNEHPJTSK
Diana Sarah Sanchez,Volkswagen,New Beetle,2008,Red,"Hatchback, Convertible",AO 0589,608CHZ3DQYIVUQ523
Mary Donna Berry,Chevrolet,Captiva Sport,2012,White,SUV,956OM,A8U4Z60M0HQE9NO7T
Trevor Timothy Hill,Maybach,62,2006,Black,Sedan,EJK-078,NQSV4VJUG5SOFWH24
Crystal Ashlee Shepherd,Ford,Edge,2014,Black,SUV,WM 31208,FAM11G6JOUW3VARVG
Morgan Robin Newton,Honda,Odyssey,2014,Blue,Van/Minivan,490 4AM,FDTLLILBIKGCKEM9X
Taylor Karen Fry,Honda,Prelude,1998,Silver,Coupe,737-463,ZX1FMV06H2LCFH64O
Ricky David Hart,Ram,C/V Tradesman,2014,Blue,Van/Minivan,TKG-966,LS9UUITF066XFQC6E
Tara Rebecca Cooper,Volvo,850,1995,Black,"Wagon, Sedan",0-07385N,B8LQ6MX8OM56PCKIM
Cristina Maria Lamb,Hyundai,XG350,2005,Red,Sedan,OSU-6555,SEI7WT6D4G1E1YIFS
Dawn Samantha Hall,Audi,Quattro,1994,Blue,Sedan,144 WEO,9I6ERU2QG5ZQ7NFSK
Tanner Michael Wood,Chevrolet,Express 2500 Passenger,2003,Silver,Van/Minivan,S34-54O,7YNPNU6RKHPPDI6Y5
Mary Sandra Gardner,BMW,i8,2016,Gray,Coupe,340R7,J15XPZZIXXDJYDPQF
Patricia Anita Rose,Acura,NSX,1993,Red,Coupe,2B 4Q9XFW,9R1P93J0SDHEMOC3Z
Daniel Joseph Rose,Dodge,Ram 2500 Regular Cab,2002,Blue,Pickup,1HJ O67,F40A7U6U5L6BNWDB0
David Michael Norman,Toyota,Avalon,2008,Blue,Sedan,053-UYVW,YPY2XC9XSLYK46WHQ
Peter James Beltran,Cadillac,XLR,2005,Red,Convertible,JSB-6043,AAKUYRIHTZZ9CVD4L
James James Moore,Audi,A6,2013,Blue,Sedan,390 IHW,HHYXCQ5OG1JG4DT67
Laura Hannah Miller,GMC,1500 Club Coupe,1998,Black,Pickup,213-GVP,PHKWHXHAPW1IOZ612
Tammy Sylvia Noble,Chevrolet,Volt,2015,White,Sedan,J 393450,GHABVETJIVV35CJOS
Carol Kara Adams,Ford,Explorer,2019,Gray,SUV,ZIZ 649,0IS4TB11QK0Z1SO7E
Adam Andrew Miller,Ford,Focus,2014,Gray,"Sedan, Hatchback",168 0MG,09ODJCCCQRC8TSQEU
Robyn Lester,BMW,5 Series,1997,Black,Sedan,EHE7912,JN58O1UVZH66NSVBW
Tanya Emma Edwards,Hyundai,Elantra,2010,Green,"Wagon, Sedan",VTD 767,OJA0V4JDAKHRH2MI4
Dawn Tammy Smith,Chevrolet,Silverado (Classic) 1500 Extended Cab,2007,Black,Pickup,Y 957181,X1AM55TG4HZH42L5R
Michael Michael Ramirez,Saturn,S-Series,2002,Gray,"Coupe, Sedan",7NA 585,S50GRP1HELL772IS5
Linda Krystal Garrison,Chevrolet,Astro Passenger,1999,White,Van/Minivan,983 BBF,6WEVDATV1R8S8X02J
Juan Andrew Sherman,Dodge,Neon,2002,White,Sedan,WCR-8422,B2IS92WYETG3LCRYQ
Noah Kenneth Walsh,Chevrolet,Camaro,2017,Blue,"Coupe, Convertible",TCP-007,HPER8DBBC5O9GYKAR
Isaiah Mcgee,Kia,Soul,2013,Blue,Wagon,801 APF,NX6SMTC4530ZYGHW7
Angela Dana Espinoza,Suzuki,XL-7,2004,Gold,SUV,37-U835,SU92IABMQPGY3L7QF
Michelle Jill Valentine,Plymouth,Neon,1995,Black,"Sedan, Coupe",IYW B42,942QKJHELOTUZTRUV
Linda Brenda Hill,Dodge,Monaco,1992,Black,Sedan,SS7 5580,6P9U0T3V2VY2EJM0R
Stephen Kevin Cruz,Volvo,960,1997,Red,"Sedan, Wagon",UNZ7366,LAE9A0FPPUNVUEIOJ
Donna Andrea Mclean,Suzuki,Equator Extended Cab,2010,Silver,Pickup,KCU 968,SOT8Y545JBJGXS5DB
Randy Joseph Griffin,Mercedes-Benz,GL-Class,2009,Gray,SUV,4Z 66612,148WOSO5XXMEL05BK
Corey Walter Brooks,Hyundai,Santa Fe,2003,White,SUV,GSA 484,FBE10Z1L6AL5BHX7K
Denise Carrie Davis,Chevrolet,Venture Passenger,2003,Silver,Van/Minivan,EN1 3392,1X43TWO0RUJ9IC8SM
Keith Brian Arias,Chevrolet,Tracker,1998,Gray,SUV,536YQH,4VOADCMCJ4HDVQ19B
Diana Valerie Decker,Porsche,Cayenne,2010,Black,SUV,98-A113,8GLLCBV7YWV8JQW5A
