date,description,amount,balance
2023-01-01 08:15:37,Purchase by Stephanie Daniel,$158.77,"$638,414.57"
2023-01-01 11:49:35,Purchase by Thys Miller,$195.10,"$638,102.87"
2023-01-01 12:11:08,Purchase by Adam Solomon,$166.80,"$637,907.77"
2023-01-01 12:14:07,Purchase by John Calhoun,$158.79,"$638,573.36"
2023-01-01 12:18:08,Purchase by Day Brown,$171.69,"$638,810.52"
2023-01-01 16:01:56,Purchase by Betsy Nunez,$21.61,"$637,543.80"
2023-01-01 17:24:12,Purchase by Reg Stokes,$152.93,"$638,255.80"
2023-01-01 19:55:04,Purchase by Mel Green,$157.38,"$637,701.18"
2023-01-01 20:17:18,Purchase by Al Wheeler,$65.47,"$638,638.83"
2023-01-01 21:53:19,Purchase by Linda Nelson,$39.79,"$637,740.97"
2023-01-02 09:03:29,Purchase by Jonathon Bryant,$93.99,"$639,564.46"
2023-01-02 09:17:42,Purchase by Andrea Phillips,$136.00,"$639,367.70"
2023-01-02 11:12:25,Purchase by Katherine Calhoun,$23.55,"$639,418.97"
2023-01-02 12:28:00,Purchase by Daniel Gomez,$147.85,"$639,712.31"
2023-01-02 13:15:17,Purchase by Mark Lewis,$45.98,"$639,037.60"
2023-01-02 13:20:05,Purchase by Al Wheeler,$51.50,"$639,470.47"
2023-01-02 13:41:56,Purchase by Stephanie Daniel,$27.72,"$639,395.42"
2023-01-02 16:18:11,Purchase by Reg Stokes,$194.10,"$639,231.70"
2023-01-02 19:12:51,Purchase by Kim Hahn,$181.10,"$638,991.62"
2023-01-03 09:27:40,Purchase by Kim Hahn,$59.74,"$639,825.92"
2023-01-03 13:00:55,Purchase by Bob Lewis,$130.92,"$639,956.84"
2023-01-03 16:44:12,Purchase by Thomas Hayes,$57.13,"$640,220.20"
2023-01-03 19:05:31,Purchase by John Calhoun,$104.84,"$640,163.07"
2023-01-03 19:20:56,Purchase by Derek Garcia,$37.73,"$640,058.23"
2023-01-03 20:09:42,Purchase by Andrea Phillips,$63.66,"$640,020.50"
2023-01-03 20:13:31,Purchase by Debbie Allen,$53.87,"$639,766.18"
2023-01-04 08:27:28,Purchase by Becky Calhoun,$30.99,"$641,605.41"
2023-01-04 11:27:43,Purchase by Betsy Nunez,$29.93,"$640,250.13"
2023-01-04 12:11:39,Purchase by Mel Green,$103.88,"$640,354.01"
2023-01-04 12:30:21,Purchase by Rebecca Lewis,$175.46,"$641,197.70"
2023-01-04 16:15:10,Purchase by Ann Bryant,$100.69,"$640,454.70"
2023-01-04 18:29:59,Purchase by Paddy Key,$188.90,"$641,574.42"
2023-01-04 18:51:43,Purchase by Mark Lewis,$78.92,"$640,894.27"
2023-01-04 19:31:15,Purchase by James Phillips,$187.82,"$641,385.52"
2023-01-04 19:49:34,Purchase by Kim Hahn,$194.75,"$640,649.45"
2023-01-04 20:22:50,Purchase by Teri May,$165.90,"$640,815.35"
2023-01-04 20:41:52,Purchase by Al Wheeler,$58.53,"$641,663.94"
2023-01-04 21:01:37,Purchase by Danny Reyes,$127.97,"$641,022.24"
2023-01-05 11:36:02,Purchase by Lena Hartman,$37.37,"$642,077.93"
2023-01-05 12:17:12,Purchase by John Delgado,$147.62,"$641,811.56"
2023-01-05 14:08:08,Purchase by Mike Gomez,$185.33,"$642,040.56"
2023-01-05 16:28:41,Purchase by Betsy Nunez,$43.67,"$641,855.23"
2023-01-05 18:01:29,Purchase by Andrea Phillips,$147.81,"$642,430.67"
2023-01-05 19:45:42,Purchase by Katherine Calhoun,$122.39,"$642,743.66"
2023-01-05 21:15:01,Purchase by Wayne Garcia,$190.60,"$642,621.27"
2023-01-05 21:21:42,Purchase by Terri Gonzalez,$40.50,"$642,118.43"
2023-01-05 21:32:00,Purchase by Thys Miller,$164.43,"$642,282.86"
2023-01-06 00:00:00,Mel Green - Payment,"$-1,000.00","$641,923.84"
