date,description,amount,balance
2023-01-01 08:39:56,Purchase by Lindy Tucker,$111.13,"$230,994.51"
2023-01-01 10:32:10,Purchase by Gerald Osborne,$29.50,"$230,883.38"
2023-01-01 10:49:49,Purchase by Christopher Wheeler,$102.52,"$231,706.93"
2023-01-01 11:23:57,Purchase by Derek Garcia,$185.24,"$231,604.41"
2023-01-01 12:20:23,Purchase by Tess Wheeler,$41.71,"$231,786.52"
2023-01-01 12:42:46,Purchase by Dave Harris,$152.60,"$231,147.11"
2023-01-01 16:54:45,Purchase by Thomas Brown,$37.88,"$231,744.81"
2023-01-01 18:26:43,Purchase by Sara Wilson,$78.11,"$231,225.22"
2023-01-01 19:11:04,Purchase by Crissy Bryant,$175.17,"$231,961.69"
2023-01-01 19:25:13,Purchase by Kim Nunez,$193.95,"$231,419.17"
2023-01-02 09:33:42,Purchase by Stal Key,$42.92,"$232,519.77"
2023-01-02 11:52:04,Purchase by Betsy Nunez,$153.96,"$232,115.65"
2023-01-02 14:15:22,Purchase by Paddy Key,$199.26,"$232,476.85"
2023-01-02 15:32:36,Purchase by Hetty Poole,$23.38,"$232,277.59"
2023-01-02 16:32:53,Purchase by Lindy Tucker,$138.56,"$232,254.21"
2023-01-03 10:37:45,Purchase by Adam Solomon,$130.84,"$232,738.16"
2023-01-03 12:08:27,Purchase by Patricia Wilkerson,$174.28,"$233,048.59"
2023-01-03 12:47:34,Purchase by Lindy Tucker,$87.55,"$232,607.32"
2023-01-03 13:55:40,Purchase by Paddy Key,$25.51,"$233,347.64"
2023-01-03 15:40:36,Purchase by Erica Miranda,$101.38,"$233,254.49"
2023-01-03 17:07:45,Purchase by Teri May,$104.52,"$233,153.11"
2023-01-03 17:56:08,Purchase by Micah Green,$67.64,"$233,322.13"
2023-01-03 18:51:25,Purchase by Tess Wheeler,$143.92,"$233,528.04"
2023-01-03 20:43:32,Purchase by Daniel Gomez,$36.48,"$233,384.12"
2023-01-03 21:22:21,Purchase by Dave Harris,$136.15,"$232,874.31"
2023-01-04 10:16:04,Purchase by Angela Brown,$57.70,"$233,878.84"
2023-01-04 16:45:05,Purchase by Kim Nunez,$102.47,"$233,821.14"
2023-01-04 17:07:33,Purchase by Dicey Green,$191.94,"$234,070.78"
2023-01-04 21:20:28,Purchase by Lindy Tucker,$190.63,"$233,718.67"
2023-01-05 10:02:58,Purchase by Kim Nunez,$126.99,"$234,883.29"
2023-01-05 10:57:57,Purchase by Dave Harris,$199.15,"$234,677.85"
2023-01-05 12:11:13,Purchase by Lindy Tucker,$121.65,"$234,192.43"
2023-01-05 16:10:37,Purchase by Curt Porter,$152.35,"$234,344.78"
2023-01-05 17:17:12,Purchase by Adam Solomon,$133.92,"$234,478.70"
2023-01-05 18:00:54,Purchase by Thomas Brown,$69.64,"$235,178.34"
2023-01-05 18:08:31,Purchase by Angela Brown,$33.70,"$235,108.70"
2023-01-05 18:25:21,Purchase by Dan Porter,$55.15,"$234,756.30"
2023-01-05 19:09:11,Purchase by Paddy Key,$191.71,"$235,075.00"
2023-01-05 21:01:24,Purchase by Patricia Wilkerson,$23.30,"$234,701.15"
2023-01-06 00:00:00,John Delgado - Payment,"$-1,000.00","$234,178.34"
2023-01-06 09:35:03,Purchase by Liz Wilson,$107.80,"$235,120.86"
2023-01-06 11:25:19,Purchase by Paddy Key,$80.90,"$234,775.86"
2023-01-06 14:39:12,Purchase by Adam Solomon,$92.49,"$234,270.83"
2023-01-06 15:19:20,Purchase by Brandon Green,$101.90,"$234,495.42"
2023-01-06 18:34:28,Purchase by Erica Miranda,$199.54,"$234,694.96"
2023-01-06 20:04:40,Purchase by Juston Brown,$126.86,"$234,902.72"
2023-01-06 20:34:36,Purchase by Dave Harris,$122.69,"$234,393.52"
2023-01-06 20:56:24,Purchase by Amber Calhoun,$110.34,"$235,013.06"
2023-01-07 11:25:23,Purchase by Angela Brown,$70.51,"$235,385.11"
2023-01-07 15:39:53,Purchase by Thys Hayes,$132.41,"$235,654.02"
2023-01-07 18:46:16,Purchase by Wayne Garcia,$193.74,"$235,314.60"
2023-01-07 19:55:23,Purchase by Amber Calhoun,$136.50,"$235,521.61"
2023-01-08 08:25:23,Purchase by Amber Calhoun,$36.34,"$236,139.99"
2023-01-08 08:31:30,Purchase by Dian Phillips,$174.96,"$236,103.65"
2023-01-08 09:24:02,Purchase by Al Wheeler,$84.34,"$236,224.33"
2023-01-08 10:35:44,Purchase by Barry Deleon,$192.89,"$235,928.69"
2023-01-08 18:12:22,Purchase by Tess Wheeler,$58.50,"$236,282.83"
2023-01-08 21:03:42,Purchase by Manda Martinez,$81.78,"$235,735.80"
2023-01-09 10:06:54,Purchase by Thys Hayes,$143.26,"$236,954.56"
2023-01-09 14:26:01,Purchase by Lindy Tucker,$123.22,"$236,572.59"
2023-01-09 15:12:21,Purchase by Albert Gilbert,$107.00,"$236,811.30"
2023-01-09 16:40:30,Purchase by Adam Solomon,$131.71,"$236,704.30"
2023-01-09 18:24:42,Purchase by Angie Brown,$59.60,"$237,014.16"
2023-01-09 21:32:49,Purchase by Betsy Nunez,$166.54,"$236,449.37"
2023-01-10 08:17:41,Purchase by Lindy Park,$190.44,"$237,575.15"
2023-01-10 08:21:37,Purchase by Albert Gilbert,$172.83,"$237,384.71"
2023-01-10 11:51:09,Purchase by Angela Brown,$150.95,"$237,986.49"
2023-01-10 12:12:27,Purchase by Amber Calhoun,$34.90,"$238,021.39"
2023-01-10 12:25:43,Purchase by Adam Solomon,$59.75,"$237,211.88"
2023-01-10 14:54:58,Purchase by Kathleen Green,$70.71,"$237,835.54"
2023-01-10 15:20:44,Purchase by Lindy Tucker,$137.97,"$237,152.13"
2023-01-10 21:54:04,Purchase by Erica Miranda,$189.68,"$237,764.83"
2023-01-11 11:01:38,Purchase by Tess Wheeler,$74.84,"$238,923.49"
2023-01-11 12:21:54,Purchase by Gerald Osborne,$174.59,"$238,195.98"
2023-01-11 12:27:15,Purchase by Steph Santiago,$35.94,"$238,231.92"
2023-01-11 14:46:49,Purchase by Angela Brown,$92.58,"$238,697.68"
2023-01-11 15:46:50,Purchase by Nanny Gomez,$91.61,"$238,848.65"
2023-01-11 16:56:26,Purchase by Gory Hayes,$59.36,"$238,757.04"
2023-01-11 20:40:01,Purchase by Teri May,$186.33,"$238,418.25"
2023-01-11 21:33:37,Purchase by Jock Brown,$186.85,"$238,605.10"
2023-01-12 13:11:14,Purchase by John Delgado,$184.53,"$239,108.02"
2023-01-12 13:21:01,Purchase by Paddy Key,$149.12,"$239,257.14"
2023-01-12 15:14:55,Purchase by Angela Brown,$45.56,"$239,302.70"
2023-01-12 18:35:40,Purchase by Dicey Green,$199.19,"$239,501.89"
2023-01-13 00:00:00,John Delgado - Payment,"$-1,000.00","$238,501.89"
2023-01-13 08:18:24,Purchase by Hetty Poole,$127.40,"$238,895.03"
2023-01-13 11:00:23,Purchase by Kathleen Green,$195.66,"$239,176.66"
2023-01-13 15:42:18,Purchase by Andrea Phillips,$154.81,"$239,360.30"
2023-01-13 16:35:19,Purchase by Ann Bryant,$86.58,"$238,767.63"
