date,description,amount,balance
2023-01-01 08:23:36,Purchase by Katherine Calhoun,$59.28,"$291,224.57"
2023-01-01 10:29:07,Purchase by Adam Solomon,$61.70,"$291,108.63"
2023-01-01 13:49:23,Purchase by Day Brown,$53.17,"$291,277.74"
2023-01-01 18:30:49,Purchase by Michael Arnold,$56.66,"$291,165.29"
2023-01-02 10:53:38,Purchase by Barry Deleon,$147.85,"$291,587.04"
2023-01-02 18:19:00,Purchase by Emmy Garcia,$161.45,"$291,439.19"
2023-01-02 18:28:53,Purchase by Dian Phillips,$182.21,"$291,926.71"
2023-01-02 19:38:46,Purchase by Sara Walker,$157.46,"$291,744.50"
2023-01-03 10:45:02,Purchase by Christina King,$146.76,"$292,073.47"
2023-01-04 10:27:54,Purchase by Erica Miranda,$147.50,"$292,505.88"
2023-01-04 14:19:30,Purchase by Gabrielle Glover,$82.97,"$292,588.85"
2023-01-04 15:11:54,Purchase by Sara Wilson,$135.30,"$292,358.38"
2023-01-04 20:13:30,Purchase by Derrek Nunez,$38.95,"$292,112.42"
2023-01-04 20:17:42,Purchase by Ren Calhoun,$33.26,"$292,719.91"
2023-01-04 20:46:32,Purchase by Kenny Spencer,$110.66,"$292,223.08"
2023-01-04 21:25:31,Purchase by Lib Bryant,$97.80,"$292,686.65"
2023-01-05 09:09:12,Purchase by Derrek Nunez,$81.24,"$292,801.15"
2023-01-05 11:26:03,Purchase by Crissy Bryant,$121.14,"$293,131.89"
2023-01-05 20:00:25,Purchase by Kev Phillips,$47.30,"$293,010.75"
2023-01-05 20:13:14,Purchase by Bob Lewis,$162.30,"$292,963.45"
2023-01-06 00:00:00,Gerald Osborne - Payment,"$-2,000.00","$291,131.89"
2023-01-06 00:00:00,Lindy Tucker - Payment,"$-2,000.00","$289,159.39"
2023-01-06 00:00:00,Mike Gomez - Payment,"$-1,000.00","$288,159.39"
2023-01-06 00:00:00,Linda Nelson - Payment,"$-1,000.00","$287,159.39"
2023-01-06 00:00:00,Adam Solomon - Payment,"$-3,000.00","$284,159.39"
2023-01-06 08:23:29,Purchase by Thys Miller,$59.31,"$284,296.13"
2023-01-06 14:23:11,Purchase by John Delgado,$27.50,"$291,159.39"
2023-01-06 17:09:06,Purchase by Geoff Williamson,$77.43,"$284,236.82"
2023-01-06 20:35:00,Purchase by Ren Calhoun,$50.47,"$284,378.25"
2023-01-06 21:11:11,Purchase by Michael Arnold,$31.65,"$284,327.78"
2023-01-07 10:24:53,Purchase by Barry Deleon,$149.46,"$284,527.71"
2023-01-07 11:07:28,Purchase by Lindy Park,$114.36,"$284,642.07"
2023-01-07 14:53:17,Purchase by April Hayes,$79.26,"$284,721.33"
2023-01-07 16:31:14,Purchase by Ren Calhoun,$52.60,"$284,773.93"
2023-01-08 08:32:25,Purchase by Gabrielle Glover,$149.76,"$284,965.55"
2023-01-08 11:40:13,Purchase by Linda Nelson,$41.86,"$284,815.79"
2023-01-08 16:12:54,Purchase by Sarah Bryant,$29.51,"$285,239.77"
2023-01-08 18:25:33,Purchase by Michael Arnold,$130.44,"$285,210.26"
2023-01-08 20:44:56,Purchase by Bob Lewis,$114.27,"$285,079.82"
2023-01-09 08:07:46,Purchase by Hetty Poole,$174.13,"$285,413.90"
2023-01-09 09:33:30,Purchase by Tess Wheeler,$107.80,"$285,658.12"
2023-01-09 09:55:58,Purchase by Angela Brown,$75.63,"$285,550.32"
2023-01-09 16:33:09,Purchase by Barry Deleon,$60.79,"$285,474.69"
2023-01-10 11:11:23,Purchase by Kenny Spencer,$31.79,"$285,689.91"
2023-01-10 13:58:45,Purchase by Christina King,$37.47,"$285,727.38"
2023-01-10 15:22:51,Purchase by Kev Phillips,$144.71,"$285,934.55"
2023-01-10 21:26:07,Purchase by John Calhoun,$62.46,"$285,789.84"
2023-01-11 10:34:22,Purchase by Christina King,$30.99,"$286,157.91"
2023-01-11 12:03:45,Purchase by John Calhoun,$48.30,"$286,206.21"
2023-01-11 13:40:25,Purchase by Emmy Garcia,$192.37,"$286,126.92"
2023-01-12 08:31:37,Purchase by Tess Wheeler,$175.75,"$286,750.48"
2023-01-12 12:19:39,Purchase by Christina King,$194.69,"$286,574.73"
2023-01-12 19:31:45,Purchase by John Delgado,$173.83,"$286,380.04"
2023-01-13 00:00:00,Gerald Osborne - Payment,"$-2,000.00","$284,750.48"
2023-01-13 00:00:00,Lindy Tucker - Payment,"$-2,000.00","$282,750.48"
2023-01-13 00:00:00,Mike Gomez - Payment,"$-1,000.00","$281,750.48"
2023-01-13 00:00:00,Linda Nelson - Payment,"$-1,000.00","$280,750.48"
2023-01-13 00:00:00,Adam Solomon - Payment,"$-3,000.00","$277,750.48"
2023-01-13 13:14:40,Purchase by Wayne Garcia,$163.81,"$277,914.29"
2023-01-13 18:20:06,Purchase by Tess Wheeler,$170.21,"$278,233.17"
2023-01-13 21:11:14,Purchase by Michael Arnold,$148.67,"$278,062.96"
2023-01-14 11:55:57,Purchase by Sara Wilson,$170.17,"$278,595.35"
2023-01-14 18:33:11,Purchase by Sarah Bryant,$146.30,"$278,741.65"
2023-01-14 21:11:52,Purchase by Kenny Spencer,$129.52,"$278,425.18"
2023-01-14 21:41:23,Purchase by Adam Solomon,$62.49,"$278,295.66"
2023-01-15 13:56:56,Purchase by Thomas Brown,$198.58,"$279,115.89"
2023-01-15 15:03:15,Purchase by John Delgado,$37.54,"$278,779.19"
2023-01-15 19:58:00,Purchase by Michael Arnold,$138.12,"$278,917.31"
2023-01-16 10:48:14,Purchase by Lib Bryant,$119.29,"$279,470.92"
