date,description,amount,balance
2023-01-01 08:43:10,Purchase by Jonny Gomez,$113.91,"$182,115.44"
2023-01-01 09:11:23,Purchase by Mikayla Bryant,$129.15,"$182,244.59"
2023-01-01 09:14:44,Purchase by Kev Phillips,$80.39,"$182,364.60"
2023-01-01 10:46:34,Purchase by Daniel Gomez,$51.21,"$182,415.81"
2023-01-01 10:50:20,Purchase by Steph Santiago,$49.85,"$181,821.23"
2023-01-01 14:10:14,Purchase by Ren Calhoun,$39.62,"$182,284.21"
2023-01-01 18:12:01,Purchase by Jonathon Hayes,$180.30,"$182,001.53"
2023-01-01 21:25:44,Purchase by Brandon Green,$180.91,"$181,771.38"
2023-01-02 08:02:04,Purchase by Jock Brown,$114.72,"$182,667.10"
2023-01-02 09:46:47,Purchase by Ren Calhoun,$97.52,"$182,880.37"
2023-01-02 12:35:45,Purchase by Gory Hayes,$115.75,"$182,782.85"
2023-01-02 13:41:32,Purchase by Jonathon Hayes,$136.57,"$182,552.38"
2023-01-03 09:53:25,Purchase by Brandon Green,$147.33,"$183,425.22"
2023-01-03 10:03:28,Purchase by Gerald Osborne,$95.58,"$182,975.95"
2023-01-03 12:01:40,Purchase by Mikayla Bryant,$104.81,"$183,721.20"
2023-01-03 13:39:35,Purchase by Linda Nelson,$118.16,"$183,094.11"
2023-01-03 14:38:11,Purchase by Derrek Nunez,$183.78,"$183,277.89"
2023-01-03 15:58:14,Purchase by Dan Porter,$191.17,"$183,616.39"
2023-01-03 21:16:52,Purchase by Kev Phillips,$77.99,"$183,799.19"
2023-01-04 12:19:34,Purchase by Michael Arnold,$154.80,"$184,135.50"
2023-01-04 12:33:14,Purchase by Mikayla Bryant,$177.89,"$184,313.39"
2023-01-04 12:33:40,Purchase by Steph Santiago,$75.73,"$183,895.79"
2023-01-04 13:28:22,Purchase by Angie Brown,$158.78,"$184,727.45"
2023-01-04 18:02:11,Purchase by Derrek Nunez,$20.87,"$183,820.06"
2023-01-04 18:29:52,Purchase by Sandra Phillips,$127.51,"$184,568.67"
2023-01-04 18:32:26,Purchase by Gory Hayes,$127.77,"$184,441.16"
2023-01-04 20:06:03,Purchase by Dan Porter,$84.91,"$183,980.70"
