date,description,amount,balance
2023-01-01 11:55:56,Purchase by Daniel Gomez,$148.53,"$537,435.85"
2023-01-01 12:35:06,Purchase by Debbie Allen,$34.77,"$536,976.24"
2023-01-01 15:25:37,Purchase by Paddy Key,$150.74,"$537,287.32"
2023-01-01 18:09:54,Purchase by Reg Stokes,$94.19,"$537,070.43"
2023-01-01 19:47:52,Purchase by James Phillips,$66.15,"$537,136.58"
2023-01-02 11:54:08,Purchase by Andrea Phillips,$145.21,"$537,674.65"
2023-01-02 16:08:45,Purchase by Juston Brown,$80.64,"$537,755.29"
2023-01-02 17:02:42,Purchase by Linda Nelson,$93.59,"$537,529.44"
2023-01-02 20:27:20,Purchase by Davey Wilson,$118.28,"$537,873.57"
2023-01-03 19:33:50,Purchase by Kenny Spencer,$135.31,"$538,008.88"
2023-01-03 19:41:59,Purchase by Reg Stokes,$117.65,"$538,126.53"
2023-01-04 09:07:20,Purchase by Lindy Park,$86.39,"$538,212.92"
2023-01-04 09:13:40,Purchase by Andrea Phillips,$142.34,"$538,620.73"
2023-01-04 16:37:41,Purchase by Rebecca Lewis,$135.77,"$538,478.39"
2023-01-04 17:51:14,Purchase by Micah Green,$129.70,"$538,342.62"
2023-01-05 19:58:07,Purchase by Andrea Phillips,$117.73,"$538,738.46"
2023-01-06 00:00:00,Curt Porter - Payment,"$-1,000.00","$537,738.46"
2023-01-06 00:00:00,Ann Bryant - Payment,"$-2,000.00","$535,738.46"
2023-01-06 00:00:00,Hetty Poole - Payment,"$-3,000.00","$532,738.46"
2023-01-06 00:00:00,John Key - Payment,"$-3,000.00","$529,738.46"
2023-01-06 00:00:00,Dave Harris - Payment,"$-2,000.00","$527,738.46"
2023-01-06 00:00:00,Derrek Nunez - Payment,"$-1,000.00","$526,738.46"
2023-01-06 00:00:00,Kenny Spencer - Payment,"$-1,000.00","$525,738.46"
2023-01-06 09:05:02,Purchase by Dan Porter,$65.58,"$525,804.04"
2023-01-06 10:09:56,Purchase by Reg Stokes,$105.42,"$526,001.64"
2023-01-06 14:14:44,Purchase by Paddy Key,$86.59,"$526,088.23"
2023-01-06 15:45:08,Purchase by Jock Brown,$92.18,"$525,896.22"
2023-01-07 12:57:32,Purchase by Manda Martinez,$94.75,"$526,182.98"
2023-01-07 13:32:50,Purchase by Andrea Phillips,$55.69,"$526,238.67"
2023-01-07 17:25:29,Purchase by Stal Key,$144.10,"$526,382.77"
2023-01-08 14:17:41,Purchase by Jock Brown,$126.14,"$526,508.91"
2023-01-08 16:39:47,Purchase by Reg Stokes,$20.82,"$526,529.73"
