date,description,amount,balance
2023-01-01 10:29:07,Foodr - Payment,$-61.70,"$31,932.18"
2023-01-01 12:11:08,Fitr - Payment,$-166.80,"$31,765.38"
2023-01-03 10:37:45,Flexin - Payment,$-130.84,"$31,634.54"
2023-01-05 17:17:12,Flexin - Payment,$-133.92,"$31,500.62"
2023-01-06 00:00:00,Purchase by Foodr,"$3,000.00","$34,408.13"
2023-01-06 14:39:12,Flexin - Payment,$-92.49,"$31,408.13"
2023-01-09 16:40:30,Flexin - Payment,$-131.71,"$34,276.42"
2023-01-10 12:25:43,Flexin - Payment,$-59.75,"$34,216.67"
2023-01-11 17:53:04,StrongLink - Payment,$-147.10,"$34,069.57"
2023-01-12 19:58:24,StrongLink - Payment,$-66.84,"$34,002.73"
2023-01-13 00:00:00,Purchase by Foodr,"$3,000.00","$37,002.73"
2023-01-14 14:48:11,StrongLink - Payment,$-72.60,"$36,867.64"
2023-01-14 21:41:23,Foodr - Payment,$-62.49,"$36,940.24"
2023-01-16 09:00:20,Fitr - Payment,$-199.70,"$36,667.94"
2023-01-17 11:43:02,Flexin - Payment,$-95.91,"$36,572.03"
2023-01-18 18:06:37,Fitr - Payment,$-55.97,"$36,516.06"
2023-01-19 10:44:29,Flexin - Payment,$-137.34,"$36,378.72"
2023-01-20 00:00:00,Purchase by Foodr,"$3,000.00","$39,244.40"
2023-01-20 16:35:26,Fitr - Payment,$-134.32,"$36,244.40"
2023-01-21 19:52:34,Healthn - Payment,$-137.33,"$39,107.07"
2023-01-21 21:05:34,StrongLink - Payment,$-116.36,"$38,990.71"
2023-01-22 11:56:38,Fitr - Payment,$-102.50,"$38,888.21"
2023-01-24 14:56:18,Flexin - Payment,$-88.41,"$38,719.20"
2023-01-24 18:24:26,Foodr - Payment,$-80.60,"$38,807.61"
2023-01-27 00:00:00,Purchase by Foodr,"$3,000.00","$41,687.35"
2023-01-27 10:20:12,Foodr - Payment,$-31.85,"$38,687.35"
2023-01-30 17:17:42,StrongLink - Payment,$-59.49,"$41,627.86"
2023-02-01 18:54:19,Flexin - Payment,$-105.51,"$41,522.35"
2023-02-03 00:00:00,Purchase by Foodr,"$3,000.00","$44,522.35"
2023-02-04 21:26:13,Foodr - Payment,$-52.25,"$44,470.10"
2023-02-08 19:28:44,StrongLink - Payment,$-141.68,"$44,328.42"
2023-02-10 00:00:00,Purchase by Foodr,"$3,000.00","$47,258.22"
2023-02-10 21:57:24,Flexin - Payment,$-70.20,"$44,258.22"
2023-02-12 17:05:13,Flexin - Payment,$-167.14,"$47,091.08"
2023-02-14 20:04:12,Flexin - Payment,$-144.84,"$46,946.24"
2023-02-16 09:27:48,Flexin - Payment,$-193.96,"$46,752.28"
2023-02-17 00:00:00,Purchase by Foodr,"$3,000.00","$49,606.62"
2023-02-17 08:04:25,Flexin - Payment,$-145.66,"$46,606.62"
2023-02-22 13:29:46,Foodr - Payment,$-127.54,"$49,479.08"
2023-02-23 18:06:17,Foodr - Payment,$-151.70,"$49,327.38"
2023-02-23 21:07:16,Flexin - Payment,$-180.96,"$49,146.42"
2023-02-24 00:00:00,Purchase by Foodr,"$3,000.00","$52,146.42"
2023-02-25 19:10:52,Flexin - Payment,$-47.64,"$52,098.78"
2023-02-27 14:56:59,Flexin - Payment,$-198.37,"$51,900.41"
2023-03-03 00:00:00,Purchase by Foodr,"$3,000.00","$54,900.41"
2023-03-05 12:23:18,StrongLink - Payment,$-75.11,"$54,825.30"
2023-03-08 13:28:09,StrongLink - Payment,$-120.21,"$54,705.09"
2023-03-10 00:00:00,Purchase by Foodr,"$3,000.00","$57,532.77"
2023-03-10 08:53:06,StrongLink - Payment,$-172.32,"$54,532.77"
2023-03-12 19:29:40,Flexin - Payment,$-57.88,"$57,474.89"
2023-03-13 08:07:14,Flexin - Payment,$-66.60,"$57,408.29"
2023-03-14 15:13:47,Flexin - Payment,$-142.70,"$57,265.59"
2023-03-16 08:46:45,Fitr - Payment,$-192.73,"$56,888.36"
2023-03-16 20:36:33,Foodr - Payment,$-184.50,"$57,081.09"
2023-03-17 00:00:00,Purchase by Foodr,"$3,000.00","$59,766.26"
2023-03-17 09:13:28,Flexin - Payment,$-122.10,"$56,766.26"
2023-03-18 21:05:39,Flexin - Payment,$-174.33,"$59,591.93"
2023-03-19 20:52:07,StrongLink - Payment,$-175.30,"$59,416.63"
2023-03-22 15:08:26,Flexin - Payment,$-172.25,"$59,244.38"
2023-03-24 00:00:00,Purchase by Foodr,"$3,000.00","$62,244.38"
2023-03-26 10:11:37,Flexin - Payment,$-48.33,"$62,196.05"
2023-03-27 08:09:45,Flexin - Payment,$-78.40,"$62,117.65"
2023-03-28 17:58:02,Flexin - Payment,$-129.86,"$61,987.79"
2023-03-29 17:24:09,Flexin - Payment,$-195.56,"$61,792.23"
2023-03-30 12:48:38,Fitr - Payment,$-172.35,"$61,619.88"
2023-03-31 00:00:00,Purchase by Foodr,"$3,000.00","$64,412.10"
2023-03-31 10:56:36,Flexin - Payment,$-116.27,"$61,412.10"
2023-03-31 11:33:08,Foodr - Payment,$-91.51,"$61,528.37"
2023-04-01 10:14:36,Fitr - Payment,$-195.73,"$64,216.37"
2023-04-02 21:55:48,Foodr - Payment,$-30.77,"$64,185.60"
2023-04-03 19:55:47,StrongLink - Payment,$-76.56,"$64,109.04"
2023-04-05 11:34:35,Flexin - Payment,$-74.26,"$64,034.78"
2023-04-07 00:00:00,Purchase by Foodr,"$3,000.00","$66,998.01"
2023-04-07 18:42:25,Fitr - Payment,$-36.77,"$63,998.01"
2023-04-11 18:41:02,Flexin - Payment,$-128.83,"$66,869.18"
2023-04-14 00:00:00,Purchase by Foodr,"$3,000.00","$69,837.57"
2023-04-14 16:29:06,Flexin - Payment,$-31.61,"$66,837.57"
2023-04-15 14:32:30,Flexin - Payment,$-75.38,"$69,762.19"
2023-04-18 19:11:34,youGrocery - Payment,$-124.67,"$69,637.52"
2023-04-20 20:04:29,Flexin - Payment,$-76.96,"$69,560.56"
2023-04-21 00:00:00,Purchase by Foodr,"$3,000.00","$72,514.75"
2023-04-21 11:06:32,Flexin - Payment,$-45.81,"$69,514.75"
2023-04-23 15:21:36,Foodr - Payment,$-152.91,"$72,361.84"
2023-04-25 13:27:00,Flexin - Payment,$-185.10,"$72,176.74"
2023-04-28 00:00:00,Purchase by Foodr,"$3,000.00","$75,176.74"
2023-04-30 19:38:48,Foodr - Payment,$-99.39,"$75,077.35"
2023-05-01 12:03:20,StrongLink - Payment,$-156.88,"$74,920.47"
2023-05-02 19:02:25,youGrocery - Payment,$-167.19,"$74,753.28"
2023-05-03 09:41:49,Flexin - Payment,$-186.98,"$74,566.30"
2023-05-05 00:00:00,Purchase by Foodr,"$3,000.00","$77,566.30"
2023-05-07 14:57:18,Foodr - Payment,$-32.95,"$77,533.35"
2023-05-10 19:26:57,Flexin - Payment,$-49.59,"$77,483.76"
2023-05-12 00:00:00,Purchase by Foodr,"$3,000.00","$80,317.21"
2023-05-12 16:12:24,Foodr - Payment,$-166.55,"$77,317.21"
2023-05-14 21:56:35,Flexin - Payment,$-121.76,"$80,195.45"
2023-05-17 14:10:19,Fitr - Payment,$-122.40,"$80,073.05"
2023-05-19 00:00:00,Purchase by Foodr,"$3,000.00","$82,754.32"
2023-05-19 15:55:29,StrongLink - Payment,$-185.98,"$79,754.32"
2023-05-19 18:36:23,AffordableHub - Payment,$-132.75,"$79,940.30"
2023-05-23 08:09:54,Fitr - Payment,$-136.65,"$82,555.11"
2023-05-23 18:44:41,Foodr - Payment,$-62.56,"$82,691.76"
2023-05-24 13:54:29,Flexin - Payment,$-143.71,"$82,411.40"
2023-05-26 00:00:00,Purchase by Foodr,"$3,000.00","$85,411.40"
2023-05-27 20:41:04,Flexin - Payment,$-116.45,"$85,294.95"
2023-05-28 19:50:19,Flexin - Payment,$-118.46,"$85,176.49"
2023-05-29 17:09:18,Foodr - Payment,$-101.95,"$85,074.54"
2023-05-30 14:28:42,Foodr - Payment,$-55.81,"$85,018.73"
2023-05-30 15:02:03,StrongLink - Payment,$-74.40,"$84,944.33"
2023-06-01 11:41:26,Flexin - Payment,$-162.83,"$84,781.50"
2023-06-02 00:00:00,Purchase by Foodr,"$3,000.00","$87,636.95"
2023-06-02 15:58:43,Foodr - Payment,$-144.55,"$84,636.95"
2023-06-04 10:48:53,Flexin - Payment,$-114.69,"$87,522.26"
2023-06-06 17:10:08,Flexin - Payment,$-144.30,"$87,377.96"
2023-06-07 14:08:15,Flexin - Payment,$-86.41,"$87,291.55"
2023-06-09 00:00:00,Purchase by Foodr,"$3,000.00","$90,262.08"
2023-06-09 09:45:39,Foodr - Payment,$-29.47,"$87,262.08"
2023-06-13 15:48:39,Flexin - Payment,$-56.78,"$90,205.30"
2023-06-14 11:56:43,Flexin - Payment,$-58.84,"$90,146.46"
2023-06-16 00:00:00,Purchase by Foodr,"$3,000.00","$92,998.09"
2023-06-16 15:31:02,Flexin - Payment,$-148.37,"$89,998.09"
2023-06-17 08:04:19,Flexin - Payment,$-110.21,"$92,887.88"
2023-06-20 09:49:55,Flexin - Payment,$-56.27,"$92,831.61"
2023-06-21 21:05:53,StrongLink - Payment,$-31.87,"$92,799.74"
2023-06-23 00:00:00,Purchase by Foodr,"$3,000.00","$95,799.74"
2023-06-24 10:29:09,Flexin - Payment,$-65.30,"$95,734.44"
2023-06-26 17:32:16,Flexin - Payment,$-44.60,"$95,689.84"
2023-06-29 20:26:25,Flexin - Payment,$-111.51,"$95,578.33"
2023-06-30 00:00:00,Purchase by Foodr,"$3,000.00","$98,578.33"
2023-07-03 12:40:52,Foodr - Payment,$-198.79,"$98,379.54"
2023-07-03 15:29:12,Flexin - Payment,$-108.56,"$98,270.98"
2023-07-04 09:08:20,Foodr - Payment,$-112.61,"$98,158.37"
2023-07-06 12:11:11,AffordableHub - Payment,$-97.36,"$98,061.01"
2023-07-07 00:00:00,Purchase by Foodr,"$3,000.00","$101,026.08"
2023-07-07 17:59:59,Flexin - Payment,$-34.93,"$98,026.08"
2023-07-10 08:59:54,Flexin - Payment,$-195.32,"$100,830.76"
2023-07-14 00:00:00,Purchase by Foodr,"$3,000.00","$103,830.76"
2023-07-15 12:41:27,Flexin - Payment,$-77.93,"$103,752.83"
2023-07-16 09:29:16,Fitr - Payment,$-40.61,"$103,712.22"
2023-07-17 08:07:00,Flexin - Payment,$-25.63,"$103,686.59"
2023-07-19 15:25:53,Foodr - Payment,$-58.35,"$103,628.24"
2023-07-21 00:00:00,Purchase by Foodr,"$3,000.00","$106,561.02"
2023-07-21 12:29:45,Flexin - Payment,$-67.22,"$103,561.02"
2023-07-22 09:50:09,Foodr - Payment,$-53.36,"$106,507.66"
2023-07-25 21:06:50,Foodr - Payment,$-114.34,"$106,393.32"
2023-07-26 17:03:34,Flexin - Payment,$-170.00,"$106,223.32"
2023-07-28 00:00:00,Purchase by Foodr,"$3,000.00","$109,034.02"
2023-07-28 10:46:03,Flexin - Payment,$-189.30,"$106,034.02"
2023-08-01 20:52:56,Flexin - Payment,$-195.67,"$108,838.35"
2023-08-02 21:02:15,Fitr - Payment,$-108.68,"$108,729.67"
2023-08-03 18:20:31,StrongLink - Payment,$-185.40,"$108,544.27"
2023-08-04 00:00:00,Purchase by Foodr,"$3,000.00","$111,544.27"
2023-08-05 17:35:33,Flexin - Payment,$-99.17,"$111,445.10"
2023-08-06 18:21:55,Flexin - Payment,$-157.24,"$111,287.86"
2023-08-08 20:42:59,Foodr - Payment,$-78.10,"$111,209.76"
2023-08-11 00:00:00,Purchase by Foodr,"$3,000.00","$114,152.14"
2023-08-11 19:11:37,StrongLink - Payment,$-57.62,"$111,152.14"
2023-08-14 18:33:47,Foodr - Payment,$-179.58,"$113,972.56"
2023-08-15 10:49:47,Flexin - Payment,$-90.57,"$113,881.99"
2023-08-16 09:17:15,StrongLink - Payment,$-119.30,"$113,762.69"
2023-08-18 00:00:00,Purchase by Foodr,"$3,000.00","$116,762.69"
2023-08-19 09:59:37,Healthn - Payment,$-63.79,"$116,698.90"
2023-08-20 12:45:53,Flexin - Payment,$-116.35,"$116,582.55"
2023-08-21 09:57:43,Flexin - Payment,$-97.90,"$116,484.65"
2023-08-24 13:53:08,Flexin - Payment,$-194.24,"$116,290.41"
2023-08-25 00:00:00,Purchase by Foodr,"$3,000.00","$119,176.62"
2023-08-25 17:13:34,StrongLink - Payment,$-113.79,"$116,176.62"
2023-08-27 09:23:57,Flexin - Payment,$-190.26,"$118,986.36"
2023-08-29 20:32:35,Fitr - Payment,$-53.92,"$118,932.44"
2023-08-30 20:58:28,youGrocery - Payment,$-168.18,"$118,764.26"
2023-08-31 19:56:49,Foodr - Payment,$-85.74,"$118,678.52"
2023-09-01 00:00:00,Purchase by Foodr,"$3,000.00","$121,536.09"
2023-09-01 10:49:13,Fitr - Payment,$-142.43,"$118,536.09"
2023-09-02 12:25:34,Flexin - Payment,$-22.10,"$121,513.99"
2023-09-03 13:22:43,Flexin - Payment,$-175.21,"$121,338.78"
2023-09-04 08:48:28,Foodr - Payment,$-123.74,"$121,215.04"
2023-09-06 12:56:05,Flexin - Payment,$-105.67,"$121,022.74"
2023-09-06 21:41:26,Foodr - Payment,$-86.63,"$121,128.41"
2023-09-08 00:00:00,Purchase by Foodr,"$3,000.00","$124,000.31"
2023-09-08 09:59:53,Foodr - Payment,$-22.43,"$121,000.31"
2023-09-15 00:00:00,Purchase by Foodr,"$3,000.00","$126,898.51"
2023-09-15 16:13:59,Flexin - Payment,$-101.80,"$123,898.51"
2023-09-16 09:50:17,Flexin - Payment,$-89.52,"$126,808.99"
2023-09-18 15:55:30,Flexin - Payment,$-188.83,"$126,620.16"
2023-09-19 12:12:45,Fitr - Payment,$-136.36,"$126,341.93"
2023-09-19 19:06:01,Foodr - Payment,$-141.87,"$126,478.29"
2023-09-21 21:40:03,Flexin - Payment,$-111.57,"$126,230.36"
2023-09-22 00:00:00,Purchase by Foodr,"$3,000.00","$129,230.36"
2023-09-24 21:40:37,Flexin - Payment,$-44.58,"$129,185.78"
2023-09-25 21:34:05,Flexin - Payment,$-93.80,"$129,091.98"
2023-09-28 20:11:08,Foodr - Payment,$-87.90,"$129,004.08"
2023-09-29 00:00:00,Purchase by Foodr,"$3,000.00","$131,953.53"
2023-09-29 15:05:08,Flexin - Payment,$-50.55,"$128,953.53"
2023-10-02 08:17:48,Flexin - Payment,$-28.87,"$131,924.66"
2023-10-03 12:34:15,StrongLink - Payment,$-106.77,"$131,817.89"
2023-10-04 17:15:37,Foodr - Payment,$-180.19,"$131,637.70"
2023-10-04 18:37:06,Flexin - Payment,$-152.88,"$131,484.82"
2023-10-05 16:45:23,Fitr - Payment,$-95.59,"$131,389.23"
2023-10-06 00:00:00,Purchase by Foodr,"$3,000.00","$134,340.53"
2023-10-06 11:28:31,Flexin - Payment,$-48.70,"$131,340.53"
2023-10-07 18:39:23,Flexin - Payment,$-44.10,"$134,296.43"
2023-10-10 19:14:32,StrongLink - Payment,$-125.66,"$134,170.77"
2023-10-11 13:22:23,Flexin - Payment,$-35.81,"$134,017.72"
2023-10-11 14:30:31,Foodr - Payment,$-117.24,"$134,053.53"
2023-10-12 20:13:14,Foodr - Payment,$-141.60,"$133,876.12"
2023-10-13 00:00:00,Purchase by Foodr,"$3,000.00","$136,876.12"
2023-10-14 10:15:22,Foodr - Payment,$-95.67,"$136,780.45"
2023-10-14 20:02:12,Flexin - Payment,$-119.38,"$136,661.07"
2023-10-16 10:39:51,StrongLink - Payment,$-149.16,"$136,511.91"
2023-10-19 18:10:07,Flexin - Payment,$-120.25,"$136,391.66"
2023-10-20 00:00:00,Purchase by Foodr,"$3,000.00","$139,174.56"
2023-10-20 09:40:53,Foodr - Payment,$-162.72,"$136,228.94"
2023-10-20 14:20:44,Flexin - Payment,$-54.38,"$136,174.56"
2023-10-21 21:37:33,StrongLink - Payment,$-143.23,"$139,031.33"
2023-10-23 17:25:43,Flexin - Payment,$-124.98,"$138,906.35"
2023-10-24 13:11:39,Flexin - Payment,$-30.76,"$138,725.84"
2023-10-24 19:48:14,Foodr - Payment,$-149.75,"$138,756.60"
2023-10-25 10:13:22,Foodr - Payment,$-180.37,"$138,545.47"
2023-10-27 00:00:00,Purchase by Foodr,"$3,000.00","$141,545.47"
2023-10-28 11:51:44,Fitr - Payment,$-102.41,"$141,443.06"
2023-10-30 15:27:43,Flexin - Payment,$-49.71,"$141,393.35"
2023-11-03 00:00:00,Purchase by Foodr,"$3,000.00","$144,351.93"
2023-11-03 17:14:32,AffordableHub - Payment,$-41.42,"$141,351.93"
2023-11-06 10:36:40,Flexin - Payment,$-89.14,"$144,262.79"
2023-11-08 09:58:01,Foodr - Payment,$-175.53,"$144,087.26"
2023-11-10 00:00:00,Purchase by Foodr,"$3,000.00","$147,032.45"
2023-11-10 13:43:19,Foodr - Payment,$-54.81,"$144,032.45"
2023-11-11 12:12:36,StrongLink - Payment,$-51.81,"$146,980.64"
2023-11-14 08:15:09,Foodr - Payment,$-61.87,"$146,918.77"
2023-11-16 14:05:12,Flexin - Payment,$-70.76,"$146,848.01"
2023-11-17 00:00:00,Purchase by Foodr,"$3,000.00","$149,848.01"
2023-11-18 21:05:10,Fitr - Payment,$-170.53,"$149,677.48"
2023-11-20 17:26:59,Foodr - Payment,$-28.20,"$149,649.28"
2023-11-23 12:21:27,Foodr - Payment,$-83.68,"$149,565.60"
2023-11-24 00:00:00,Purchase by Foodr,"$3,000.00","$152,281.49"
2023-11-24 18:41:45,Foodr - Payment,$-123.13,"$149,442.47"
2023-11-24 19:23:22,Flexin - Payment,$-160.98,"$149,281.49"
2023-12-01 00:00:00,Purchase by Foodr,"$3,000.00","$155,104.67"
2023-12-01 19:39:52,Foodr - Payment,$-176.82,"$152,104.67"
2023-12-06 20:41:36,Flexin - Payment,$-178.70,"$154,925.97"
2023-12-07 19:32:39,Flexin - Payment,$-62.56,"$154,863.41"
2023-12-08 00:00:00,Purchase by Foodr,"$3,000.00","$157,863.41"
2023-12-11 13:05:35,Flexin - Payment,$-80.76,"$157,782.65"
2023-12-12 20:23:08,Flexin - Payment,$-103.11,"$157,679.54"
2023-12-15 00:00:00,Purchase by Foodr,"$3,000.00","$160,679.54"
2023-12-17 08:06:58,Fitr - Payment,$-66.58,"$160,612.96"
2023-12-19 16:09:48,StrongLink - Payment,$-40.75,"$160,572.21"
2023-12-20 10:50:24,Flexin - Payment,$-195.30,"$160,376.91"
2023-12-21 14:49:41,Flexin - Payment,$-77.20,"$160,299.71"
2023-12-22 00:00:00,Purchase by Foodr,"$3,000.00","$163,299.71"
2023-12-25 20:12:49,youGrocery - Payment,$-196.26,"$163,103.45"
2023-12-29 00:00:00,Purchase by Foodr,"$3,000.00","$166,103.45"
2023-12-30 09:01:15,Flexin - Payment,$-169.13,"$165,934.32"
2023-12-31 19:15:09,Foodr - Payment,$-110.51,"$165,823.81"
2024-01-01 18:10:58,Fitr - Payment,$-118.21,"$165,705.60"
2024-01-03 20:49:29,Flexin - Payment,$-55.85,"$165,649.75"
2024-01-05 00:00:00,Purchase by Foodr,"$3,000.00","$168,649.75"
2024-01-06 14:34:30,StrongLink - Payment,$-139.21,"$168,510.54"
2024-01-07 16:45:54,Foodr - Payment,$-86.46,"$168,424.08"
2024-01-08 09:34:17,Foodr - Payment,$-42.85,"$168,381.23"
2024-01-09 12:20:39,Flexin - Payment,$-140.33,"$168,240.90"
2024-01-10 14:21:30,Foodr - Payment,$-169.75,"$168,071.15"
2024-01-10 18:07:41,Fitr - Payment,$-155.77,"$167,915.38"
2024-01-11 16:39:50,Flexin - Payment,$-112.67,"$167,802.71"
2024-01-12 00:00:00,Purchase by Foodr,"$3,000.00","$170,802.71"
2024-01-13 11:09:33,Foodr - Payment,$-20.62,"$170,782.09"
2024-01-15 09:47:17,Fitr - Payment,$-125.70,"$170,656.39"
2024-01-16 15:33:58,Foodr - Payment,$-116.10,"$170,540.29"
2024-01-18 08:37:11,Foodr - Payment,$-180.30,"$170,359.99"
2024-01-18 19:46:39,Flexin - Payment,$-27.44,"$170,332.55"
2024-01-19 00:00:00,Purchase by Foodr,"$3,000.00","$173,135.84"
2024-01-19 14:27:17,Foodr - Payment,$-196.71,"$170,135.84"
2024-01-20 21:34:54,Flexin - Payment,$-139.36,"$172,996.48"
2024-01-21 09:11:06,Foodr - Payment,$-160.49,"$172,835.99"
2024-01-24 16:24:08,Foodr - Payment,$-23.29,"$172,812.70"
2024-01-24 21:43:34,StrongLink - Payment,$-62.60,"$172,750.10"
2024-01-25 11:20:56,StrongLink - Payment,$-191.86,"$172,558.24"
2024-01-26 00:00:00,Purchase by Foodr,"$3,000.00","$175,455.65"
2024-01-26 11:58:47,Flexin - Payment,$-102.59,"$172,455.65"
2024-01-27 19:31:05,StrongLink - Payment,$-38.17,"$175,417.48"
2024-01-29 11:35:20,Flexin - Payment,$-135.10,"$175,282.38"
2024-02-01 14:25:37,Foodr - Payment,$-70.13,"$175,212.25"
2024-02-01 17:07:47,Fitr - Payment,$-47.79,"$175,164.46"
2024-02-02 00:00:00,Purchase by Foodr,"$3,000.00","$178,130.13"
2024-02-02 09:08:33,Foodr - Payment,$-34.33,"$175,130.13"
2024-02-05 20:00:12,Foodr - Payment,$-67.53,"$178,062.60"
2024-02-06 10:57:06,Flexin - Payment,$-170.00,"$177,892.60"
2024-02-07 17:13:20,Flexin - Payment,$-171.92,"$177,720.68"
2024-02-08 14:29:05,Flexin - Payment,$-48.21,"$177,602.30"
2024-02-08 21:09:11,Foodr - Payment,$-70.17,"$177,650.51"
2024-02-09 00:00:00,Purchase by Foodr,"$3,000.00","$180,447.33"
2024-02-09 16:25:30,Foodr - Payment,$-154.97,"$177,447.33"
