date,description,amount,balance
2023-01-01 20:17:18,Fitr - Payment,$-65.47,"$28,246.86"
2023-01-02 13:20:05,Fitr - Payment,$-51.50,"$28,195.36"
2023-01-04 20:41:52,Fitr - Payment,$-58.53,"$28,136.83"
2023-01-07 13:32:41,Fitr - Payment,$-130.87,"$28,005.96"
2023-01-08 09:24:02,Flexin - Payment,$-84.34,"$27,921.62"
2023-01-10 11:48:35,Fitr - Payment,$-77.35,"$27,844.27"
2023-01-14 17:38:52,youGrocery - Payment,$-54.55,"$27,789.72"
2023-01-15 12:37:52,Fitr - Payment,$-152.00,"$27,637.72"
2023-01-17 20:17:55,Fitr - Payment,$-171.18,"$27,466.54"
2023-01-19 18:22:58,youGrocery - Payment,$-57.30,"$27,409.24"
2023-01-20 14:02:44,Fitr - Payment,$-149.48,"$27,259.76"
2023-01-23 10:46:36,Fitr - Payment,$-173.40,"$27,086.36"
2023-01-24 14:58:10,Fitr - Payment,$-85.48,"$27,000.88"
2023-01-26 17:35:17,Fitr - Payment,$-111.28,"$26,889.60"
2023-01-27 11:33:30,Fitr - Payment,$-22.73,"$26,720.25"
2023-01-27 11:39:16,youGrocery - Payment,$-146.62,"$26,742.98"
2023-01-29 13:17:53,Fitr - Payment,$-60.42,"$26,659.83"
2023-01-30 12:42:26,StrongLink - Payment,$-87.87,"$26,571.96"
2023-01-31 20:04:36,Fitr - Payment,$-118.23,"$26,453.73"
2023-02-01 18:26:28,Fitr - Payment,$-151.20,"$26,302.53"
2023-02-02 17:07:57,Fitr - Payment,$-126.75,"$26,175.78"
2023-02-04 09:19:12,Fitr - Payment,$-52.11,"$26,123.67"
2023-02-06 17:11:39,AffordableHub - Payment,$-68.24,"$26,055.43"
2023-02-07 17:32:11,Fitr - Payment,$-20.41,"$26,035.02"
2023-02-14 17:53:31,Fitr - Payment,$-56.72,"$25,881.78"
2023-02-14 18:16:29,youGrocery - Payment,$-96.52,"$25,938.50"
2023-02-15 12:13:07,StrongLink - Payment,$-170.18,"$25,711.60"
2023-02-16 17:16:37,Fitr - Payment,$-146.83,"$25,564.77"
2023-02-17 14:14:35,Flexin - Payment,$-141.93,"$25,270.18"
2023-02-17 19:55:35,youGrocery - Payment,$-152.66,"$25,412.11"
2023-02-18 19:57:32,Fitr - Payment,$-43.73,"$25,226.45"
2023-02-19 17:16:01,StrongLink - Payment,$-167.30,"$25,059.15"
2023-02-20 17:49:36,youGrocery - Payment,$-96.61,"$24,962.54"
2023-02-20 17:59:26,StrongLink - Payment,$-65.61,"$24,896.93"
2023-02-21 10:45:28,Fitr - Payment,$-180.68,"$24,716.25"
2023-02-22 18:04:51,Fitr - Payment,$-132.83,"$24,583.42"
2023-02-23 12:38:36,Fitr - Payment,$-183.50,"$24,399.92"
2023-02-26 19:23:36,youGrocery - Payment,$-129.38,"$24,270.54"
2023-02-27 10:51:54,Healthn - Payment,$-140.13,"$24,130.41"
2023-02-27 17:03:17,Fitr - Payment,$-66.83,"$24,063.58"
2023-02-28 19:35:08,Fitr - Payment,$-133.69,"$23,929.89"
2023-03-02 16:23:34,Fitr - Payment,$-37.83,"$23,892.06"
2023-03-03 20:40:13,Fitr - Payment,$-80.46,"$23,811.60"
2023-03-04 08:06:36,Fitr - Payment,$-154.54,"$23,657.06"
2023-03-05 13:03:07,Foodr - Payment,$-54.14,"$23,602.92"
2023-03-06 14:48:54,Fitr - Payment,$-115.50,"$23,487.42"
2023-03-10 18:08:07,StrongLink - Payment,$-165.66,"$23,321.76"
2023-03-11 15:19:35,Fitr - Payment,$-65.71,"$23,256.05"
2023-03-12 12:44:44,youGrocery - Payment,$-99.93,"$23,156.12"
2023-03-12 21:15:54,Fitr - Payment,$-174.65,"$22,981.47"
2023-03-13 12:18:41,StrongLink - Payment,$-189.48,"$22,791.99"
2023-03-18 12:39:13,youGrocery - Payment,$-169.90,"$22,622.09"
2023-03-18 20:19:35,Fitr - Payment,$-80.77,"$22,541.32"
2023-03-20 09:36:52,Fitr - Payment,$-183.41,"$22,357.91"
2023-03-22 19:07:18,youGrocery - Payment,$-33.40,"$22,324.51"
2023-03-25 18:46:47,Fitr - Payment,$-27.46,"$22,297.05"
2023-03-27 19:39:43,Healthn - Payment,$-179.89,"$22,117.16"
2023-03-29 21:43:23,StrongLink - Payment,$-95.96,"$22,021.20"
2023-03-31 19:57:14,Fitr - Payment,$-144.49,"$21,876.71"
2023-04-01 19:37:14,Fitr - Payment,$-70.76,"$21,805.95"
2023-04-04 09:40:09,Fitr - Payment,$-158.94,"$21,647.01"
2023-04-07 08:28:34,Fitr - Payment,$-100.99,"$21,546.02"
2023-04-08 09:00:23,Fitr - Payment,$-162.20,"$21,383.82"
2023-04-09 09:20:28,Fitr - Payment,$-125.68,"$21,258.14"
2023-04-10 08:37:06,Fitr - Payment,$-40.33,"$21,217.81"
2023-04-11 19:07:42,youGrocery - Payment,$-128.54,"$21,089.27"
2023-04-13 18:45:20,youGrocery - Payment,$-33.59,"$21,055.68"
2023-04-15 14:32:00,Fitr - Payment,$-34.18,"$21,021.50"
