date,description,amount,balance
2023-01-05 16:42:56,StrongLink - Payment,$-55.90,"$9,584.65"
2023-01-06 20:56:24,Flexin - Payment,$-110.34,"$9,474.31"
2023-01-07 19:55:23,Flexin - Payment,$-136.50,"$9,337.81"
2023-01-08 08:25:23,Flexin - Payment,$-36.34,"$9,129.90"
2023-01-08 12:11:41,Healthn - Payment,$-171.57,"$9,166.24"
2023-01-10 12:12:27,Flexin - Payment,$-34.90,"$9,095.00"
2023-01-11 13:28:49,Healthn - Payment,$-24.20,"$9,070.80"
2023-01-15 09:30:01,Flexin - Payment,$-170.10,"$8,900.70"
2023-01-17 13:42:25,Healthn - Payment,$-70.65,"$8,830.05"
2023-01-17 21:10:51,Flexin - Payment,$-194.67,"$8,635.38"
2023-01-18 08:12:20,StrongLink - Payment,$-186.30,"$8,449.08"
2023-01-21 21:46:04,StrongLink - Payment,$-144.50,"$8,304.58"
2023-01-22 14:08:49,Flexin - Payment,$-89.52,"$8,215.06"
2023-01-23 09:50:39,Flexin - Payment,$-56.79,"$8,158.27"
2023-01-25 16:46:41,Flexin - Payment,$-50.16,"$8,108.11"
2023-01-26 16:09:01,Flexin - Payment,$-122.41,"$7,985.70"
2023-01-27 10:08:12,Flexin - Payment,$-62.97,"$7,922.73"
2023-01-30 19:31:58,Fitr - Payment,$-171.20,"$7,751.53"
2023-02-01 14:17:24,Flexin - Payment,$-194.49,"$7,449.74"
2023-02-01 16:11:31,Healthn - Payment,$-107.30,"$7,644.23"
2023-02-02 14:15:40,Healthn - Payment,$-74.61,"$7,375.13"
2023-02-02 21:16:08,Flexin - Payment,$-63.25,"$7,311.88"
2023-02-06 15:29:27,StrongLink - Payment,$-75.41,"$7,236.47"
2023-02-08 17:26:37,Flexin - Payment,$-192.36,"$7,044.11"
2023-02-12 11:59:18,Healthn - Payment,$-157.98,"$6,886.13"
2023-02-12 18:12:48,Flexin - Payment,$-192.34,"$6,693.79"
2023-02-13 12:34:17,Flexin - Payment,$-95.36,"$6,598.43"
2023-02-14 19:18:27,Flexin - Payment,$-38.65,"$6,559.78"
2023-02-17 12:35:32,StrongLink - Payment,$-121.20,"$6,438.58"
2023-02-18 20:12:07,Flexin - Payment,$-128.34,"$6,310.24"
2023-02-19 11:14:27,Flexin - Payment,$-82.13,"$6,228.11"
2023-02-20 09:33:54,Flexin - Payment,$-194.10,"$6,034.01"
