date,description,amount,balance
2023-01-04 10:16:04,Flexin - Payment,$-57.70,"$2,478.46"
2023-01-04 12:15:09,AffordableHub - Payment,$-173.46,"$2,536.16"
2023-01-05 16:38:41,Healthn - Payment,$-146.71,"$2,331.75"
2023-01-05 18:08:31,Flexin - Payment,$-33.70,"$2,298.05"
2023-01-07 11:25:23,Flexin - Payment,$-70.51,"$2,227.54"
2023-01-09 09:55:58,Foodr - Payment,$-75.63,"$2,151.91"
2023-01-10 11:51:09,Flexin - Payment,$-150.95,"$2,000.96"
2023-01-11 14:46:49,Flexin - Payment,$-92.58,"$1,908.38"
2023-01-12 15:14:55,Flexin - Payment,$-45.56,"$1,862.82"
2023-01-13 17:09:09,Flexin - Payment,$-86.38,"$1,776.44"
2023-01-14 11:55:50,Healthn - Payment,$-98.72,"$1,677.72"
2023-01-14 14:49:15,Flexin - Payment,$-22.15,"$1,655.57"
2023-01-15 12:24:27,Fitr - Payment,$-171.74,"$1,483.83"
2023-01-16 11:47:26,Flexin - Payment,$-66.64,"$1,417.19"
2023-01-17 17:30:23,Flexin - Payment,$-169.17,"$1,248.02"
2023-01-18 13:36:13,Flexin - Payment,$-75.66,"$1,172.36"
2023-01-19 12:44:50,Flexin - Payment,$-152.42,"$1,019.94"
2023-01-21 13:09:02,Flexin - Payment,$-80.70,$939.24
2023-01-22 10:51:15,Flexin - Payment,$-128.17,$811.07
2023-01-23 21:14:14,Fitr - Payment,$-59.97,$751.10
2023-01-25 19:59:35,Flexin - Payment,$-191.00,$560.10
2023-01-28 15:41:09,Flexin - Payment,$-44.60,$515.50
2023-02-02 19:32:58,StrongLink - Payment,$-197.59,$317.91
2023-02-05 14:38:27,Healthn - Payment,$-92.51,$225.40
2023-02-10 16:06:16,Flexin - Payment,$-194.19,$31.21
2023-02-11 11:02:23,StrongLink - Payment,$-25.29,$5.92
2023-02-12 17:26:01,Invalid Withdrawal,$0.00,$5.92
2023-02-13 21:03:32,Invalid Withdrawal,$0.00,$5.92
2023-02-18 16:40:54,Invalid Withdrawal,$0.00,$5.92
2023-02-26 09:48:26,Invalid Withdrawal,$0.00,$5.92
2023-02-28 20:01:02,Invalid Withdrawal,$0.00,$5.92
2023-03-01 09:49:29,Invalid Withdrawal,$0.00,$5.92
2023-03-02 08:52:03,Invalid Withdrawal,$0.00,$5.92
2023-03-03 10:32:20,Invalid Withdrawal,$0.00,$5.92
2023-03-05 15:50:46,Invalid Withdrawal,$0.00,$5.92
2023-03-05 20:34:28,Invalid Withdrawal,$0.00,$5.92
2023-03-06 20:02:57,Invalid Withdrawal,$0.00,$5.92
2023-03-07 17:09:04,Invalid Withdrawal,$0.00,$5.92
2023-03-09 11:07:59,Invalid Withdrawal,$0.00,$5.92
2023-03-10 11:49:09,Invalid Withdrawal,$0.00,$5.92
2023-03-11 14:51:28,Invalid Withdrawal,$0.00,$5.92
2023-03-12 09:33:53,Invalid Withdrawal,$0.00,$5.92
2023-03-14 19:23:59,Invalid Withdrawal,$0.00,$5.92
2023-03-15 15:29:02,Invalid Withdrawal,$0.00,$5.92
2023-03-18 10:14:21,Invalid Withdrawal,$0.00,$5.92
2023-03-24 10:30:05,Invalid Withdrawal,$0.00,$5.92
2023-03-25 16:28:26,Invalid Withdrawal,$0.00,$5.92
2023-03-26 17:41:08,Invalid Withdrawal,$0.00,$5.92
2023-03-29 13:04:04,Invalid Withdrawal,$0.00,$5.92
2023-03-31 08:32:32,Invalid Withdrawal,$0.00,$5.92
2023-04-02 16:38:41,Invalid Withdrawal,$0.00,$5.92
2023-04-03 11:31:41,Invalid Withdrawal,$0.00,$5.92
2023-04-04 12:55:35,Invalid Withdrawal,$0.00,$5.92
2023-04-05 20:19:07,Invalid Withdrawal,$0.00,$5.92
2023-04-07 10:39:37,Invalid Withdrawal,$0.00,$5.92
2023-04-08 13:00:09,Invalid Withdrawal,$0.00,$5.92
2023-04-09 11:48:30,Invalid Withdrawal,$0.00,$5.92
2023-04-11 10:01:26,Invalid Withdrawal,$0.00,$5.92
2023-04-13 18:00:40,Invalid Withdrawal,$0.00,$5.92
2023-04-14 12:28:11,Invalid Withdrawal,$0.00,$5.92
2023-04-17 21:37:00,Invalid Withdrawal,$0.00,$5.92
2023-04-18 21:19:44,Invalid Withdrawal,$0.00,$5.92
2023-04-19 11:13:20,Invalid Withdrawal,$0.00,$5.92
2023-04-20 10:43:16,Invalid Withdrawal,$0.00,$5.92
2023-04-22 09:19:58,Invalid Withdrawal,$0.00,$5.92
2023-04-22 14:28:05,Invalid Withdrawal,$0.00,$5.92
2023-04-26 11:41:45,Invalid Withdrawal,$0.00,$5.92
2023-04-27 11:05:03,Invalid Withdrawal,$0.00,$5.92
2023-04-28 13:22:06,Invalid Withdrawal,$0.00,$5.92
2023-04-29 08:52:30,Invalid Withdrawal,$0.00,$5.92
2023-04-29 13:42:10,Invalid Withdrawal,$0.00,$5.92
2023-05-02 21:11:12,Invalid Withdrawal,$0.00,$5.92
2023-05-03 21:47:20,Invalid Withdrawal,$0.00,$5.92
2023-05-05 18:50:09,Invalid Withdrawal,$0.00,$5.92
2023-05-06 09:58:40,Invalid Withdrawal,$0.00,$5.92
2023-05-07 14:53:21,Invalid Withdrawal,$0.00,$5.92
2023-05-09 15:47:03,Invalid Withdrawal,$0.00,$5.92
2023-05-10 10:51:34,Invalid Withdrawal,$0.00,$5.92
2023-05-12 08:44:51,Invalid Withdrawal,$0.00,$5.92
2023-05-15 17:57:46,Invalid Withdrawal,$0.00,$5.92
2023-05-16 15:15:03,Invalid Withdrawal,$0.00,$5.92
2023-05-17 15:39:54,Invalid Withdrawal,$0.00,$5.92
2023-05-20 18:45:01,Invalid Withdrawal,$0.00,$5.92
2023-05-22 15:07:53,Invalid Withdrawal,$0.00,$5.92
2023-05-25 14:17:34,Invalid Withdrawal,$0.00,$5.92
2023-05-28 14:40:06,Invalid Withdrawal,$0.00,$5.92
2023-05-30 13:31:41,Invalid Withdrawal,$0.00,$5.92
2023-06-01 08:24:54,Invalid Withdrawal,$0.00,$5.92
2023-06-05 09:04:47,Invalid Withdrawal,$0.00,$5.92
2023-06-09 13:09:47,Invalid Withdrawal,$0.00,$5.92
2023-06-10 10:12:47,Invalid Withdrawal,$0.00,$5.92
2023-06-11 16:48:26,Invalid Withdrawal,$0.00,$5.92
2023-06-15 15:47:11,Invalid Withdrawal,$0.00,$5.92
2023-06-17 14:12:15,Invalid Withdrawal,$0.00,$5.92
2023-06-18 12:51:22,Invalid Withdrawal,$0.00,$5.92
2023-06-19 11:46:41,Invalid Withdrawal,$0.00,$5.92
2023-06-20 15:20:37,Invalid Withdrawal,$0.00,$5.92
2023-06-21 17:31:26,Invalid Withdrawal,$0.00,$5.92
2023-06-25 10:53:40,Invalid Withdrawal,$0.00,$5.92
2023-06-28 10:45:46,Invalid Withdrawal,$0.00,$5.92
2023-07-01 11:13:34,Invalid Withdrawal,$0.00,$5.92
2023-07-02 14:05:43,Invalid Withdrawal,$0.00,$5.92
2023-07-03 17:42:13,Invalid Withdrawal,$0.00,$5.92
2023-07-05 15:21:22,Invalid Withdrawal,$0.00,$5.92
2023-07-06 17:31:11,Invalid Withdrawal,$0.00,$5.92
2023-07-07 14:50:50,Invalid Withdrawal,$0.00,$5.92
2023-07-08 18:12:17,Invalid Withdrawal,$0.00,$5.92
2023-07-09 13:13:10,Invalid Withdrawal,$0.00,$5.92
2023-07-11 21:41:34,Invalid Withdrawal,$0.00,$5.92
2023-07-12 08:51:46,Invalid Withdrawal,$0.00,$5.92
2023-07-14 19:33:37,Invalid Withdrawal,$0.00,$5.92
2023-07-16 18:39:21,Invalid Withdrawal,$0.00,$5.92
