date,to,from_,size,type_
2023-01-01 09:44:55,(181) 128-3053,(107) 456-1789,70 characters,Received Text
2023-01-01 12:40:06,(406) 811-6484,(107) 456-1789,160 characters,Received Text
2023-01-01 18:08:25,(406) 811-6484,(107) 456-1789,111 minutes,Inbound Call
2023-01-01 21:28:54,(181) 128-3053,(107) 456-1789,9 minutes,Inbound Call
2023-01-02 14:31:32,(406) 811-6484,(107) 456-1789,192 characters,Sent Text
2023-01-02 15:56:39,(181) 128-3053,(107) 456-1789,75 minutes,Inbound Call
2023-01-02 18:41:17,(406) 811-6484,(107) 456-1789,30 minutes,Outbound Call
2023-01-03 14:15:39,(406) 811-6484,(107) 456-1789,228 characters,Sent Text
2023-01-03 20:09:38,(406) 811-6484,(107) 456-1789,115 minutes,Inbound Call
2023-01-04 13:50:45,(406) 811-6484,(107) 456-1789,0.9 MB,Received Media
2023-01-04 15:13:02,(181) 128-3053,(107) 456-1789,125 characters,Sent Text
2023-01-04 15:56:49,(621) 669-7254,(107) 456-1789,34 minutes,Outbound Call
2023-01-04 17:19:29,(181) 128-3053,(107) 456-1789,98 minutes,Outbound Call
2023-01-04 18:35:21,(181) 128-3053,(107) 456-1789,293 characters,Received Text
2023-01-04 20:23:43,(621) 669-7254,(107) 456-1789,103 characters,Received Text
2023-01-04 20:52:55,(406) 811-6484,(107) 456-1789,239 characters,Received Text
2023-01-05 10:53:35,(621) 669-7254,(107) 456-1789,87 minutes,Inbound Call
2023-01-05 13:33:00,(181) 128-3053,(107) 456-1789,273 characters,Sent Text
2023-01-05 16:31:37,(621) 669-7254,(107) 456-1789,80 characters,Sent Text
2023-01-05 21:51:16,(181) 128-3053,(107) 456-1789,251 characters,Received Text
2023-01-06 09:04:31,(406) 811-6484,(107) 456-1789,102 characters,Received Text
2023-01-06 12:35:01,(181) 128-3053,(107) 456-1789,69 minutes,Outbound Call
2023-01-06 14:56:36,(181) 128-3053,(107) 456-1789,108 characters,Received Text
2023-01-06 15:43:16,(406) 811-6484,(107) 456-1789,74 minutes,Inbound Call
2023-01-06 18:00:02,(406) 811-6484,(107) 456-1789,104 characters,Sent Text
