date,to,from_,size,type_
2023-01-01 09:44:55,(107) 456-1789,(181) 128-3053,70 characters,Sent Text
2023-01-01 10:59:01,(621) 669-7254,(181) 128-3053,100 characters,Received Text
2023-01-01 19:46:30,(406) 811-6484,(181) 128-3053,4.7 MB,Received Media
2023-01-01 21:28:54,(107) 456-1789,(181) 128-3053,9 minutes,Outbound Call
2023-01-02 15:56:39,(107) 456-1789,(181) 128-3053,75 minutes,Outbound Call
2023-01-02 20:22:47,(406) 811-6484,(181) 128-3053,116 characters,Sent Text
2023-01-03 08:06:35,(406) 811-6484,(181) 128-3053,15.2 MB,Received Media
2023-01-03 11:54:54,(621) 669-7254,(181) 128-3053,294 characters,Received Text
2023-01-03 13:33:18,(406) 811-6484,(181) 128-3053,108 characters,Received Text
2023-01-04 13:39:53,(406) 811-6484,(181) 128-3053,236 characters,Sent Text
2023-01-04 15:13:02,(107) 456-1789,(181) 128-3053,125 characters,Received Text
2023-01-04 17:19:29,(107) 456-1789,(181) 128-3053,98 minutes,Inbound Call
2023-01-04 18:35:21,(107) 456-1789,(181) 128-3053,293 characters,Sent Text
2023-01-04 21:03:42,(621) 669-7254,(181) 128-3053,119 minutes,Outbound Call
2023-01-05 13:33:00,(107) 456-1789,(181) 128-3053,273 characters,Received Text
2023-01-05 15:49:22,(406) 811-6484,(181) 128-3053,298 characters,Received Text
2023-01-05 21:51:16,(107) 456-1789,(181) 128-3053,251 characters,Sent Text
2023-01-06 09:46:07,(621) 669-7254,(181) 128-3053,25 characters,Sent Text
2023-01-06 12:35:01,(107) 456-1789,(181) 128-3053,69 minutes,Inbound Call
2023-01-06 13:22:29,(406) 811-6484,(181) 128-3053,302 characters,Sent Text
2023-01-06 14:56:36,(107) 456-1789,(181) 128-3053,108 characters,Sent Text
2023-01-06 17:24:09,(621) 669-7254,(181) 128-3053,108 minutes,Inbound Call
2023-01-06 21:43:12,(406) 811-6484,(181) 128-3053,2 minutes,Outbound Call
2023-01-07 13:29:24,(107) 456-1789,(181) 128-3053,321 characters,Received Text
2023-01-07 16:46:09,(621) 669-7254,(181) 128-3053,14.8 MB,Sent Media
2023-01-07 19:41:22,(107) 456-1789,(181) 128-3053,202 characters,Sent Text
2023-01-08 12:11:17,(107) 456-1789,(181) 128-3053,63 characters,Received Text
2023-01-08 16:51:10,(406) 811-6484,(181) 128-3053,36 characters,Received Text
2023-01-09 12:12:49,(406) 811-6484,(181) 128-3053,200 characters,Sent Text
2023-01-09 17:18:52,(406) 811-6484,(181) 128-3053,89 minutes,Outbound Call
2023-01-09 17:21:18,(406) 811-6484,(181) 128-3053,198 characters,Received Text
