date,description,amount,balance
2023-01-07 14:53:17,Foodr - Payment,$-79.26,"$1,869.13"
2023-01-08 11:45:03,AffordableHub - Payment,$-74.13,"$1,795.00"
2023-01-08 12:11:48,Fitr - Payment,$-123.94,"$1,671.06"
2023-01-09 08:18:27,AffordableHub - Payment,$-25.91,"$1,645.15"
2023-01-10 16:07:16,StrongLink - Payment,$-174.30,"$1,470.85"
2023-01-13 20:15:55,Flexin - Payment,$-85.97,"$1,384.88"
2023-01-15 08:49:25,AffordableHub - Payment,$-193.54,"$1,191.34"
2023-01-18 13:05:32,StrongLink - Payment,$-71.96,"$1,119.38"
2023-01-19 17:49:30,Fitr - Payment,$-169.98,$949.40
2023-01-20 19:09:23,AffordableHub - Payment,$-49.90,$899.50
2023-01-29 12:47:49,Healthn - Payment,$-48.81,$850.69
2023-01-31 21:32:55,youGrocery - Payment,$-100.59,$750.10
2023-02-01 21:58:01,AffordableHub - Payment,$-76.20,$673.90
2023-02-02 09:02:17,Fitr - Payment,$-35.34,$638.56
2023-02-06 18:59:44,AffordableHub - Payment,$-90.87,$547.69
2023-02-08 17:16:28,Fitr - Payment,$-137.88,$409.81
2023-02-17 11:34:42,Flexin - Payment,$-137.88,$271.93
2023-02-20 08:27:26,Fitr - Payment,$-169.30,$102.63
2023-02-24 19:04:30,AffordableHub - Payment,$-76.23,$26.40
2023-02-25 20:24:39,Invalid Withdrawal,$0.00,$26.40
2023-02-26 13:45:25,Invalid Withdrawal,$0.00,$26.40
2023-03-01 10:09:58,Invalid Withdrawal,$0.00,$26.40
2023-03-05 15:03:53,Invalid Withdrawal,$0.00,$26.40
2023-03-09 09:05:08,Invalid Withdrawal,$0.00,$26.40
2023-03-10 17:29:07,Invalid Withdrawal,$0.00,$26.40
2023-03-11 09:47:00,Invalid Withdrawal,$0.00,$26.40
2023-03-12 16:24:57,Invalid Withdrawal,$0.00,$26.40
2023-03-14 20:16:43,Invalid Withdrawal,$0.00,$26.40
2023-03-15 08:08:21,Invalid Withdrawal,$0.00,$26.40
2023-03-16 09:34:39,Invalid Withdrawal,$0.00,$26.40
2023-03-25 09:52:44,Invalid Withdrawal,$0.00,$26.40
2023-03-28 15:33:08,Invalid Withdrawal,$0.00,$26.40
2023-03-29 20:44:38,Invalid Withdrawal,$0.00,$26.40
2023-03-31 19:00:03,Invalid Withdrawal,$0.00,$26.40
2023-04-04 11:03:42,Invalid Withdrawal,$0.00,$26.40
2023-04-06 18:07:50,Invalid Withdrawal,$0.00,$26.40
2023-04-09 10:51:35,Invalid Withdrawal,$0.00,$26.40
2023-04-15 11:07:46,Invalid Withdrawal,$0.00,$26.40
2023-04-17 21:26:05,Invalid Withdrawal,$0.00,$26.40
2023-04-19 16:33:27,Invalid Withdrawal,$0.00,$26.40
2023-04-26 19:01:04,Invalid Withdrawal,$0.00,$26.40
2023-04-28 11:37:15,Invalid Withdrawal,$0.00,$26.40
2023-05-01 12:52:10,Invalid Withdrawal,$0.00,$26.40
2023-05-02 20:05:37,Invalid Withdrawal,$0.00,$26.40
2023-05-05 13:00:09,Fitr - Payment,$-24.25,$2.15
2023-05-07 14:23:16,Invalid Withdrawal,$0.00,$2.15
2023-05-10 08:01:27,Invalid Withdrawal,$0.00,$2.15
2023-05-12 15:48:22,Invalid Withdrawal,$0.00,$2.15
2023-05-14 08:36:43,Invalid Withdrawal,$0.00,$2.15
2023-05-15 10:19:05,Invalid Withdrawal,$0.00,$2.15
2023-05-22 17:39:26,Invalid Withdrawal,$0.00,$2.15
