date,description,amount,balance
2023-01-03 21:45:07,Healthn - Payment,$-63.96,"$40,578.58"
2023-01-04 08:27:28,Fitr - Payment,$-30.99,"$40,547.59"
2023-01-07 17:57:53,Fitr - Payment,$-62.25,"$40,485.34"
2023-01-09 13:27:32,Fitr - Payment,$-100.79,"$40,384.55"
2023-01-10 17:46:18,Fitr - Payment,$-20.84,"$40,363.71"
2023-01-12 16:35:54,Fitr - Payment,$-127.40,"$40,236.31"
2023-01-13 08:50:25,Healthn - Payment,$-53.53,"$40,182.78"
2023-01-14 20:02:49,Healthn - Payment,$-140.21,"$40,042.57"
2023-01-15 09:51:05,Fitr - Payment,$-33.93,"$40,008.64"
2023-01-17 09:38:00,Healthn - Payment,$-74.55,"$39,934.09"
2023-01-18 08:58:52,Fitr - Payment,$-106.36,"$39,827.73"
2023-01-19 15:54:11,Healthn - Payment,$-95.70,"$39,732.03"
2023-01-21 19:10:06,Fitr - Payment,$-90.26,"$39,641.77"
2023-01-24 15:06:33,Fitr - Payment,$-69.96,"$39,466.20"
2023-01-24 17:27:28,Healthn - Payment,$-105.61,"$39,536.16"
2023-01-25 11:39:49,Fitr - Payment,$-152.58,"$39,313.62"
2023-01-27 11:05:01,Fitr - Payment,$-59.87,"$39,253.75"
2023-01-28 21:07:09,Fitr - Payment,$-141.94,"$39,111.81"
2023-01-29 08:14:00,Foodr - Payment,$-84.89,"$39,026.92"
2023-01-29 17:22:43,Fitr - Payment,$-123.62,"$38,903.30"
2023-01-30 13:56:50,Fitr - Payment,$-187.98,"$38,715.32"
2023-01-31 13:23:33,Fitr - Payment,$-110.67,"$38,604.65"
2023-02-01 20:04:12,Flexin - Payment,$-146.31,"$38,458.34"
2023-02-02 11:26:23,Fitr - Payment,$-127.94,"$38,330.40"
2023-02-03 13:38:54,Fitr - Payment,$-180.30,"$38,150.10"
2023-02-07 11:07:26,Fitr - Payment,$-132.15,"$38,017.95"
2023-02-10 09:38:46,Fitr - Payment,$-65.18,"$37,952.77"
2023-02-11 08:48:07,Healthn - Payment,$-123.90,"$37,828.87"
2023-02-11 11:46:25,StrongLink - Payment,$-142.15,"$37,686.72"
2023-02-12 13:49:05,StrongLink - Payment,$-159.62,"$37,527.10"
2023-02-13 21:30:47,Flexin - Payment,$-49.77,"$37,477.33"
2023-02-15 10:24:45,Fitr - Payment,$-85.33,"$37,392.00"
2023-02-18 21:43:29,Fitr - Payment,$-65.33,"$37,326.67"
2023-02-19 09:12:20,Healthn - Payment,$-56.12,"$37,270.55"
2023-02-21 16:16:05,Fitr - Payment,$-194.40,"$37,076.15"
2023-02-23 08:50:18,Fitr - Payment,$-170.78,"$36,905.37"
2023-02-24 14:50:12,Fitr - Payment,$-60.30,"$36,805.13"
2023-02-24 21:38:32,Healthn - Payment,$-39.94,"$36,865.43"
2023-02-25 19:24:13,Fitr - Payment,$-112.76,"$36,692.37"
2023-02-28 21:27:31,Fitr - Payment,$-31.86,"$36,660.51"
2023-03-01 15:45:44,Fitr - Payment,$-143.46,"$36,517.05"
2023-03-02 09:36:11,Fitr - Payment,$-97.41,"$36,419.64"
2023-03-04 19:26:22,youGrocery - Payment,$-102.61,"$36,317.03"
2023-03-09 08:22:19,Fitr - Payment,$-183.88,"$36,133.15"
