date,to,from_,size,type_
2023-01-02 14:41:07,(199) 878-9016,(606) 543-4124,16.3 MB,Received Media
2023-01-02 20:33:22,(806) 175-5156,(606) 543-4124,198 characters,Sent Text
2023-01-03 13:52:29,(901) 538-9273,(606) 543-4124,51 minutes,Inbound Call
2023-01-03 14:06:52,(806) 175-5156,(606) 543-4124,217 characters,Received Text
2023-01-03 20:16:59,(806) 175-5156,(606) 543-4124,238 characters,Sent Text
2023-01-04 18:25:24,(806) 175-5156,(606) 543-4124,0.5 MB,Sent Media
2023-01-05 15:48:06,(806) 175-5156,(606) 543-4124,109 characters,Sent Text
2023-01-05 19:24:20,(199) 878-9016,(606) 543-4124,190 characters,Received Text
2023-01-06 11:06:18,(199) 878-9016,(606) 543-4124,22 characters,Received Text
2023-01-06 11:55:22,(806) 175-5156,(606) 543-4124,48 minutes,Inbound Call
2023-01-06 12:43:40,(901) 538-9273,(606) 543-4124,46 minutes,Inbound Call
2023-01-06 16:05:31,(199) 878-9016,(606) 543-4124,60 minutes,Outbound Call
2023-01-06 20:16:46,(806) 175-5156,(606) 543-4124,58 characters,Sent Text
2023-01-07 08:45:37,(901) 538-9273,(606) 543-4124,11 characters,Received Text
2023-01-07 19:36:34,(901) 538-9273,(606) 543-4124,272 characters,Sent Text
2023-01-08 21:16:41,(901) 538-9273,(606) 543-4124,192 characters,Sent Text
2023-01-09 14:13:32,(199) 878-9016,(606) 543-4124,52 minutes,Inbound Call
2023-01-09 21:33:48,(901) 538-9273,(606) 543-4124,283 characters,Sent Text
2023-01-10 09:49:43,(199) 878-9016,(606) 543-4124,15.8 MB,Sent Media
2023-01-10 10:43:26,(901) 538-9273,(606) 543-4124,67 minutes,Inbound Call
2023-01-10 11:11:28,(806) 175-5156,(606) 543-4124,344 characters,Received Text
2023-01-10 13:27:49,(806) 175-5156,(606) 543-4124,88 characters,Sent Text
2023-01-10 15:20:25,(901) 538-9273,(606) 543-4124,39 minutes,Outbound Call
2023-01-10 20:53:34,(901) 538-9273,(606) 543-4124,4.8 MB,Received Media
2023-01-11 13:07:17,(806) 175-5156,(606) 543-4124,3.3 MB,Received Media
2023-01-11 13:15:24,(806) 175-5156,(606) 543-4124,34 characters,Sent Text
2023-01-11 16:37:11,(199) 878-9016,(606) 543-4124,77 minutes,Outbound Call
2023-01-12 08:17:27,(901) 538-9273,(606) 543-4124,90 characters,Received Text
2023-01-12 20:49:00,(806) 175-5156,(606) 543-4124,253 characters,Received Text
2023-01-13 12:40:20,(806) 175-5156,(606) 543-4124,54 characters,Sent Text
2023-01-13 20:35:40,(199) 878-9016,(606) 543-4124,8.9 MB,Sent Media
2023-01-14 08:29:29,(199) 878-9016,(606) 543-4124,86 minutes,Outbound Call
2023-01-14 10:02:01,(806) 175-5156,(606) 543-4124,46 minutes,Inbound Call
2023-01-14 10:42:30,(901) 538-9273,(606) 543-4124,270 characters,Sent Text
2023-01-14 11:45:03,(901) 538-9273,(606) 543-4124,300 characters,Received Text
2023-01-14 14:48:10,(806) 175-5156,(606) 543-4124,194 characters,Received Text
