date,description,amount,balance
2023-01-02 16:30:37,AffordableHub - Payment,$-106.52,"$18,810.00"
2023-01-05 11:02:40,StrongLink - Payment,$-47.73,"$18,762.27"
2023-01-06 21:25:12,StrongLink - Payment,$-82.68,"$18,679.59"
2023-01-13 08:41:54,Healthn - Payment,$-199.46,"$18,480.13"
2023-01-14 21:08:41,StrongLink - Payment,$-46.69,"$18,433.44"
2023-01-15 12:32:01,StrongLink - Payment,$-139.12,"$18,104.47"
2023-01-15 19:03:34,AffordableHub - Payment,$-189.85,"$18,243.59"
2023-01-18 12:32:34,AffordableHub - Payment,$-157.30,"$17,947.17"
2023-01-19 10:20:56,AffordableHub - Payment,$-145.85,"$17,801.32"
2023-01-24 08:30:34,AffordableHub - Payment,$-26.65,"$17,774.67"
2023-02-06 15:57:05,AffordableHub - Payment,$-178.57,"$17,596.10"
2023-02-15 14:09:28,StrongLink - Payment,$-67.24,"$17,528.86"
2023-02-18 15:26:44,Flexin - Payment,$-133.10,"$17,395.76"
2023-02-23 14:42:04,Flexin - Payment,$-196.18,"$17,199.58"
2023-02-25 17:59:30,Flexin - Payment,$-80.38,"$17,119.20"
2023-03-03 10:39:55,AffordableHub - Payment,$-165.70,"$16,953.50"
2023-03-03 17:43:43,Fitr - Payment,$-21.43,"$16,932.07"
2023-03-12 11:17:27,AffordableHub - Payment,$-63.73,"$16,868.34"
2023-03-13 20:59:35,StrongLink - Payment,$-138.20,"$16,730.14"
2023-03-21 20:18:29,StrongLink - Payment,$-193.11,"$16,537.03"
2023-04-07 08:20:25,StrongLink - Payment,$-85.73,"$16,451.30"
2023-04-18 21:45:40,AffordableHub - Payment,$-112.50,"$16,338.80"
2023-04-22 17:44:10,AffordableHub - Payment,$-80.34,"$16,258.46"
2023-04-22 18:50:18,StrongLink - Payment,$-140.56,"$16,117.90"
2023-04-29 14:27:52,StrongLink - Payment,$-81.63,"$16,036.27"
2023-04-30 08:28:08,AffordableHub - Payment,$-71.00,"$15,965.27"
2023-05-03 17:12:41,StrongLink - Payment,$-114.23,"$15,851.04"
2023-05-09 14:45:06,AffordableHub - Payment,$-61.52,"$15,789.52"
2023-05-10 17:03:04,AffordableHub - Payment,$-60.77,"$15,728.75"
2023-05-21 15:51:22,StrongLink - Payment,$-193.30,"$15,535.45"
2023-05-26 10:38:39,AffordableHub - Payment,$-142.16,"$15,393.29"
2023-05-29 08:55:10,AffordableHub - Payment,$-141.49,"$15,251.80"
2023-05-29 21:11:47,Flexin - Payment,$-57.99,"$15,193.81"
2023-06-05 14:32:39,StrongLink - Payment,$-197.70,"$14,834.29"
2023-06-05 18:34:14,AffordableHub - Payment,$-161.82,"$15,031.99"
2023-06-08 12:16:44,AffordableHub - Payment,$-48.00,"$14,786.29"
2023-06-13 21:39:44,StrongLink - Payment,$-170.49,"$14,615.80"
2023-06-14 13:44:11,AffordableHub - Payment,$-44.39,"$14,571.41"
2023-06-16 13:48:27,StrongLink - Payment,$-198.56,"$14,372.85"
2023-06-25 21:43:55,StrongLink - Payment,$-134.34,"$14,238.51"
2023-06-26 18:09:16,StrongLink - Payment,$-69.91,"$14,168.60"
2023-06-27 11:35:38,Healthn - Payment,$-99.44,"$14,069.16"
2023-06-28 21:33:10,StrongLink - Payment,$-98.46,"$13,970.70"
2023-07-06 13:58:03,AffordableHub - Payment,$-191.15,"$13,779.55"
2023-07-12 09:08:05,AffordableHub - Payment,$-33.90,"$13,745.65"
2023-07-20 18:46:12,AffordableHub - Payment,$-137.63,"$13,608.02"
2023-07-24 11:33:47,StrongLink - Payment,$-107.54,"$13,500.48"
2023-07-26 11:03:05,youGrocery - Payment,$-31.17,"$13,469.31"
2023-07-27 13:58:35,StrongLink - Payment,$-199.64,"$13,269.67"
2023-08-05 14:26:23,StrongLink - Payment,$-20.31,"$13,249.36"
2023-08-08 12:00:52,Fitr - Payment,$-64.75,"$13,184.61"
2023-08-20 09:35:18,AffordableHub - Payment,$-77.26,"$13,107.35"
2023-08-31 08:33:25,Fitr - Payment,$-68.35,"$13,039.00"
2023-09-02 10:15:18,StrongLink - Payment,$-137.54,"$12,901.46"
2023-09-07 12:21:16,Foodr - Payment,$-89.75,"$12,811.71"
2023-09-12 10:29:55,StrongLink - Payment,$-161.70,"$12,650.01"
2023-09-15 10:15:45,Fitr - Payment,$-128.85,"$12,521.16"
2023-09-19 20:32:32,youGrocery - Payment,$-93.89,"$12,427.27"
2023-09-27 14:07:25,StrongLink - Payment,$-56.91,"$12,370.36"
2023-09-30 16:59:18,AffordableHub - Payment,$-79.46,"$12,290.90"
2023-10-06 19:46:33,AffordableHub - Payment,$-197.51,"$12,093.39"
2023-10-09 19:40:51,AffordableHub - Payment,$-171.64,"$11,921.75"
2023-10-10 09:52:49,AffordableHub - Payment,$-125.31,"$11,796.44"
2023-10-10 19:38:47,StrongLink - Payment,$-91.28,"$11,705.16"
2023-10-11 13:52:47,StrongLink - Payment,$-66.00,"$11,535.20"
2023-10-11 14:34:28,AffordableHub - Payment,$-103.96,"$11,601.20"
2023-10-16 10:36:49,Flexin - Payment,$-40.68,"$11,390.99"
2023-10-16 11:30:10,AffordableHub - Payment,$-103.53,"$11,431.67"
2023-10-17 16:21:09,AffordableHub - Payment,$-25.41,"$11,365.58"
2023-10-27 12:21:39,AffordableHub - Payment,$-117.19,"$11,248.39"
2023-10-30 10:50:02,Healthn - Payment,$-140.40,"$11,107.99"
2023-11-02 21:07:32,AffordableHub - Payment,$-64.95,"$11,043.04"
2023-11-03 17:01:07,youGrocery - Payment,$-79.92,"$10,963.12"
2023-11-05 15:21:51,StrongLink - Payment,$-38.23,"$10,924.89"
2023-11-06 11:38:58,AffordableHub - Payment,$-88.18,"$10,836.71"
2023-11-11 08:18:12,StrongLink - Payment,$-144.78,"$10,691.93"
2023-11-15 13:54:11,StrongLink - Payment,$-189.71,"$10,502.22"
2023-11-17 17:41:01,StrongLink - Payment,$-174.26,"$10,327.96"
2023-12-05 08:50:14,StrongLink - Payment,$-177.69,"$10,150.27"
2023-12-12 14:00:24,AffordableHub - Payment,$-169.26,"$9,981.01"
2023-12-12 21:44:16,StrongLink - Payment,$-126.92,"$9,854.09"
2023-12-13 12:57:09,StrongLink - Payment,$-137.71,"$9,716.38"
2023-12-14 10:00:08,Healthn - Payment,$-42.39,"$9,673.99"
2023-12-16 10:03:19,AffordableHub - Payment,$-144.76,"$9,529.23"
2023-12-16 17:57:00,StrongLink - Payment,$-35.26,"$9,493.97"
2023-12-22 09:16:40,StrongLink - Payment,$-37.30,"$9,456.67"
