date,to,from_,size,type_
2023-01-01 12:12:17,(228) 995-2872,(709) 730-8579,200 characters,Received Text
2023-01-01 12:35:48,(191) 113-1480,(709) 730-8579,66 minutes,Inbound Call
2023-01-01 14:34:14,(228) 995-2872,(709) 730-8579,277 characters,Sent Text
2023-01-01 16:33:36,(228) 995-2872,(709) 730-8579,34 minutes,Inbound Call
2023-01-01 21:57:46,(191) 113-1480,(709) 730-8579,322 characters,Received Text
2023-01-02 09:30:29,(228) 995-2872,(709) 730-8579,327 characters,Sent Text
2023-01-02 11:05:21,(191) 113-1480,(709) 730-8579,37 minutes,Outbound Call
2023-01-02 13:58:22,(228) 995-2872,(709) 730-8579,22 characters,Received Text
2023-01-02 21:55:19,(191) 113-1480,(709) 730-8579,347 characters,Received Text
2023-01-03 10:25:57,(191) 113-1480,(709) 730-8579,225 characters,Sent Text
2023-01-04 09:56:46,(191) 113-1480,(709) 730-8579,214 characters,Received Text
2023-01-04 10:17:41,(228) 995-2872,(709) 730-8579,288 characters,Sent Text
2023-01-05 18:36:03,(191) 113-1480,(709) 730-8579,177 characters,Received Text
2023-01-05 19:10:31,(228) 995-2872,(709) 730-8579,212 characters,Sent Text
2023-01-06 13:13:33,(228) 995-2872,(709) 730-8579,28 characters,Received Text
2023-01-06 17:03:02,(191) 113-1480,(709) 730-8579,145 characters,Received Text
2023-01-06 20:41:47,(228) 995-2872,(709) 730-8579,99 minutes,Outbound Call
2023-01-07 16:41:03,(191) 113-1480,(709) 730-8579,17 minutes,Outbound Call
2023-01-08 10:48:06,(191) 113-1480,(709) 730-8579,37 minutes,Inbound Call
2023-01-08 18:51:15,(228) 995-2872,(709) 730-8579,13.4 MB,Sent Media
2023-01-08 20:47:13,(191) 113-1480,(709) 730-8579,7.2 MB,Received Media
2023-01-09 15:50:23,(191) 113-1480,(709) 730-8579,6.5 MB,Received Media
2023-01-10 09:50:26,(191) 113-1480,(709) 730-8579,152 characters,Received Text
2023-01-10 16:17:00,(228) 995-2872,(709) 730-8579,44 minutes,Outbound Call
2023-01-11 14:13:17,(228) 995-2872,(709) 730-8579,72 characters,Sent Text
2023-01-11 19:05:37,(191) 113-1480,(709) 730-8579,52 minutes,Outbound Call
2023-01-12 19:28:47,(228) 995-2872,(709) 730-8579,156 characters,Received Text
2023-01-12 20:26:42,(191) 113-1480,(709) 730-8579,52 minutes,Inbound Call
2023-01-12 21:42:17,(191) 113-1480,(709) 730-8579,216 characters,Sent Text
2023-01-13 13:13:41,(191) 113-1480,(709) 730-8579,3 minutes,Inbound Call
2023-01-14 13:30:38,(191) 113-1480,(709) 730-8579,48 minutes,Outbound Call
2023-01-16 15:19:54,(191) 113-1480,(709) 730-8579,22 minutes,Outbound Call
2023-01-16 18:01:09,(191) 113-1480,(709) 730-8579,16.6 MB,Sent Media
2023-01-17 08:01:42,(228) 995-2872,(709) 730-8579,32 minutes,Inbound Call
2023-01-17 11:55:34,(228) 995-2872,(709) 730-8579,186 characters,Received Text
2023-01-17 12:26:56,(191) 113-1480,(709) 730-8579,266 characters,Received Text
2023-01-18 15:00:16,(228) 995-2872,(709) 730-8579,36 minutes,Inbound Call
2023-01-19 10:47:43,(191) 113-1480,(709) 730-8579,23 characters,Received Text
2023-01-19 12:47:46,(191) 113-1480,(709) 730-8579,8 minutes,Inbound Call
2023-01-19 20:04:03,(191) 113-1480,(709) 730-8579,54 minutes,Outbound Call
2023-01-20 16:58:45,(228) 995-2872,(709) 730-8579,72 minutes,Inbound Call
2023-01-21 18:01:20,(191) 113-1480,(709) 730-8579,81 characters,Sent Text
2023-01-21 18:39:11,(191) 113-1480,(709) 730-8579,1 minutes,Outbound Call
2023-01-22 09:00:41,(191) 113-1480,(709) 730-8579,20 minutes,Outbound Call
2023-01-22 20:38:25,(228) 995-2872,(709) 730-8579,154 characters,Received Text
2023-01-23 09:58:06,(191) 113-1480,(709) 730-8579,347 characters,Received Text
2023-01-23 10:54:09,(228) 995-2872,(709) 730-8579,280 characters,Received Text
2023-01-23 14:57:43,(191) 113-1480,(709) 730-8579,55 characters,Sent Text
2023-01-26 15:26:42,(228) 995-2872,(709) 730-8579,95 minutes,Inbound Call
2023-01-27 11:23:44,(228) 995-2872,(709) 730-8579,93 minutes,Outbound Call
2023-01-27 18:00:39,(191) 113-1480,(709) 730-8579,334 characters,Received Text
2023-01-27 20:56:12,(191) 113-1480,(709) 730-8579,111 minutes,Outbound Call
2023-01-28 10:41:32,(228) 995-2872,(709) 730-8579,18 characters,Sent Text
2023-01-28 14:36:53,(228) 995-2872,(709) 730-8579,98 minutes,Inbound Call
2023-01-29 10:33:35,(191) 113-1480,(709) 730-8579,64 characters,Sent Text
2023-01-29 14:44:12,(228) 995-2872,(709) 730-8579,17.6 MB,Received Media
2023-01-29 16:58:59,(228) 995-2872,(709) 730-8579,23 minutes,Inbound Call
2023-01-30 11:01:41,(228) 995-2872,(709) 730-8579,89 minutes,Outbound Call
2023-02-01 13:52:42,(191) 113-1480,(709) 730-8579,56 characters,Sent Text
2023-02-02 08:59:44,(191) 113-1480,(709) 730-8579,13.4 MB,Received Media
2023-02-02 14:20:43,(228) 995-2872,(709) 730-8579,99 minutes,Inbound Call
2023-02-02 15:50:08,(228) 995-2872,(709) 730-8579,328 characters,Sent Text
2023-02-02 17:50:44,(191) 113-1480,(709) 730-8579,224 characters,Sent Text
2023-02-03 11:56:51,(191) 113-1480,(709) 730-8579,127 characters,Sent Text
2023-02-04 11:20:38,(228) 995-2872,(709) 730-8579,98 minutes,Outbound Call
2023-02-04 19:49:34,(191) 113-1480,(709) 730-8579,285 characters,Received Text
2023-02-05 10:36:15,(228) 995-2872,(709) 730-8579,15.3 MB,Sent Media
2023-02-05 17:42:14,(228) 995-2872,(709) 730-8579,5 minutes,Outbound Call
2023-02-06 10:59:21,(228) 995-2872,(709) 730-8579,95 minutes,Outbound Call
2023-02-07 20:32:39,(228) 995-2872,(709) 730-8579,264 characters,Sent Text
2023-02-09 11:44:20,(191) 113-1480,(709) 730-8579,245 characters,Sent Text
2023-02-09 14:25:50,(191) 113-1480,(709) 730-8579,73 characters,Received Text
2023-02-10 09:35:52,(191) 113-1480,(709) 730-8579,7.9 MB,Sent Media
2023-02-11 19:39:42,(191) 113-1480,(709) 730-8579,24 minutes,Outbound Call
2023-02-12 10:49:30,(228) 995-2872,(709) 730-8579,62 minutes,Inbound Call
2023-02-12 12:37:44,(191) 113-1480,(709) 730-8579,155 characters,Received Text
2023-02-12 16:11:37,(191) 113-1480,(709) 730-8579,85 minutes,Inbound Call
2023-02-13 13:30:00,(191) 113-1480,(709) 730-8579,308 characters,Sent Text
2023-02-13 14:07:05,(228) 995-2872,(709) 730-8579,334 characters,Received Text
2023-02-13 21:16:38,(228) 995-2872,(709) 730-8579,120 minutes,Outbound Call
2023-02-14 10:13:53,(191) 113-1480,(709) 730-8579,84 characters,Received Text
2023-02-14 11:35:16,(191) 113-1480,(709) 730-8579,345 characters,Sent Text
2023-02-14 12:04:55,(228) 995-2872,(709) 730-8579,10 minutes,Inbound Call
2023-02-14 18:00:55,(228) 995-2872,(709) 730-8579,148 characters,Sent Text
2023-02-14 21:59:26,(228) 995-2872,(709) 730-8579,6.6 MB,Sent Media
2023-02-15 10:31:21,(228) 995-2872,(709) 730-8579,67 minutes,Outbound Call
2023-02-15 13:15:58,(191) 113-1480,(709) 730-8579,20 characters,Received Text
2023-02-15 18:20:40,(191) 113-1480,(709) 730-8579,327 characters,Sent Text
2023-02-16 10:31:09,(191) 113-1480,(709) 730-8579,285 characters,Received Text
2023-02-16 17:28:41,(228) 995-2872,(709) 730-8579,64 characters,Received Text
2023-02-17 10:40:59,(228) 995-2872,(709) 730-8579,115 characters,Sent Text
2023-02-18 08:38:22,(191) 113-1480,(709) 730-8579,342 characters,Received Text
2023-02-18 08:53:56,(228) 995-2872,(709) 730-8579,124 characters,Received Text
2023-02-19 16:11:22,(191) 113-1480,(709) 730-8579,71 characters,Received Text
2023-02-19 17:33:56,(228) 995-2872,(709) 730-8579,336 characters,Received Text
2023-02-20 09:55:27,(191) 113-1480,(709) 730-8579,31 minutes,Inbound Call
2023-02-20 19:42:30,(191) 113-1480,(709) 730-8579,27 characters,Sent Text
2023-02-21 14:31:32,(228) 995-2872,(709) 730-8579,16 characters,Sent Text
2023-02-21 17:40:10,(228) 995-2872,(709) 730-8579,119 characters,Received Text
2023-02-21 17:43:54,(228) 995-2872,(709) 730-8579,4.9 MB,Received Media
2023-02-22 11:03:15,(191) 113-1480,(709) 730-8579,81 minutes,Inbound Call
2023-02-22 17:50:33,(191) 113-1480,(709) 730-8579,78 characters,Sent Text
2023-02-23 16:44:40,(191) 113-1480,(709) 730-8579,75 characters,Sent Text
2023-02-24 12:08:10,(191) 113-1480,(709) 730-8579,18 characters,Sent Text
2023-02-24 15:31:25,(228) 995-2872,(709) 730-8579,63 characters,Received Text
2023-02-24 16:00:31,(191) 113-1480,(709) 730-8579,256 characters,Received Text
2023-02-25 19:17:47,(191) 113-1480,(709) 730-8579,297 characters,Received Text
2023-02-26 11:56:33,(191) 113-1480,(709) 730-8579,259 characters,Received Text
2023-02-26 12:34:12,(228) 995-2872,(709) 730-8579,63 minutes,Inbound Call
2023-02-26 19:30:31,(191) 113-1480,(709) 730-8579,58 minutes,Inbound Call
2023-02-27 08:41:12,(191) 113-1480,(709) 730-8579,275 characters,Sent Text
2023-02-27 08:50:59,(228) 995-2872,(709) 730-8579,81 minutes,Outbound Call
2023-02-27 16:43:17,(191) 113-1480,(709) 730-8579,87 minutes,Inbound Call
2023-02-27 17:03:44,(228) 995-2872,(709) 730-8579,256 characters,Sent Text
2023-02-28 12:45:21,(191) 113-1480,(709) 730-8579,7 characters,Sent Text
2023-03-01 13:33:07,(191) 113-1480,(709) 730-8579,217 characters,Received Text
2023-03-01 18:34:17,(228) 995-2872,(709) 730-8579,94 minutes,Outbound Call
2023-03-02 14:14:42,(191) 113-1480,(709) 730-8579,318 characters,Received Text
2023-03-02 16:56:05,(191) 113-1480,(709) 730-8579,119 characters,Sent Text
2023-03-03 09:02:19,(228) 995-2872,(709) 730-8579,227 characters,Sent Text
2023-03-03 12:18:18,(228) 995-2872,(709) 730-8579,294 characters,Received Text
2023-03-04 18:12:12,(191) 113-1480,(709) 730-8579,115 minutes,Outbound Call
2023-03-04 20:29:18,(191) 113-1480,(709) 730-8579,35 characters,Sent Text
2023-03-05 12:34:37,(191) 113-1480,(709) 730-8579,319 characters,Sent Text
2023-03-05 13:40:42,(191) 113-1480,(709) 730-8579,123 characters,Received Text
2023-03-06 12:21:00,(191) 113-1480,(709) 730-8579,294 characters,Received Text
2023-03-06 17:54:36,(191) 113-1480,(709) 730-8579,44 minutes,Outbound Call
2023-03-06 21:28:49,(228) 995-2872,(709) 730-8579,150 characters,Sent Text
2023-03-07 11:42:10,(228) 995-2872,(709) 730-8579,39 minutes,Inbound Call
2023-03-07 12:16:24,(191) 113-1480,(709) 730-8579,71 characters,Received Text
2023-03-08 09:15:44,(228) 995-2872,(709) 730-8579,142 characters,Received Text
2023-03-08 10:54:10,(191) 113-1480,(709) 730-8579,71 characters,Sent Text
2023-03-08 16:10:00,(191) 113-1480,(709) 730-8579,304 characters,Received Text
2023-03-09 12:17:39,(191) 113-1480,(709) 730-8579,110 minutes,Outbound Call
2023-03-09 15:14:16,(191) 113-1480,(709) 730-8579,44 characters,Sent Text
2023-03-11 21:54:56,(228) 995-2872,(709) 730-8579,188 characters,Received Text
2023-03-12 11:47:08,(191) 113-1480,(709) 730-8579,19.0 MB,Received Media
2023-03-12 12:35:36,(191) 113-1480,(709) 730-8579,104 minutes,Outbound Call
2023-03-12 19:51:19,(228) 995-2872,(709) 730-8579,72 characters,Received Text
2023-03-13 12:19:41,(228) 995-2872,(709) 730-8579,87 minutes,Outbound Call
2023-03-13 15:10:59,(228) 995-2872,(709) 730-8579,157 characters,Sent Text
2023-03-13 18:56:00,(228) 995-2872,(709) 730-8579,7.1 MB,Received Media
2023-03-14 13:23:50,(228) 995-2872,(709) 730-8579,39 characters,Received Text
2023-03-14 15:35:13,(228) 995-2872,(709) 730-8579,5.8 MB,Sent Media
2023-03-14 18:16:47,(191) 113-1480,(709) 730-8579,84 characters,Received Text
2023-03-15 13:25:01,(228) 995-2872,(709) 730-8579,69 minutes,Inbound Call
