date,description,amount,balance
2023-01-01 10:16:41,Healthn - Payment,$-90.93,"$5,942.95"
2023-01-03 13:00:55,Fitr - Payment,$-130.92,"$5,812.03"
2023-01-05 20:13:14,Foodr - Payment,$-162.30,"$5,649.73"
2023-01-07 19:59:04,Fitr - Payment,$-78.20,"$5,571.53"
2023-01-08 20:44:56,Foodr - Payment,$-114.27,"$5,457.26"
2023-01-10 21:56:48,Healthn - Payment,$-79.22,"$5,378.04"
2023-01-20 09:01:07,Healthn - Payment,$-146.76,"$5,231.28"
2023-01-23 19:30:18,Fitr - Payment,$-81.50,"$5,149.78"
2023-01-25 08:15:13,Fitr - Payment,$-143.80,"$5,005.98"
2023-02-05 18:13:24,Healthn - Payment,$-126.75,"$4,879.23"
2023-02-08 08:57:41,Fitr - Payment,$-148.11,"$4,731.12"
2023-02-11 10:28:27,Fitr - Payment,$-179.65,"$4,551.47"
2023-02-13 19:02:11,Fitr - Payment,$-29.55,"$4,521.92"
2023-02-15 08:58:33,Healthn - Payment,$-73.32,"$4,448.60"
2023-02-15 11:52:12,Fitr - Payment,$-73.72,"$4,374.88"
2023-02-18 09:26:34,Healthn - Payment,$-140.59,"$4,234.29"
2023-02-19 09:34:23,Healthn - Payment,$-67.46,"$4,166.83"
2023-02-19 16:15:32,Fitr - Payment,$-154.71,"$4,012.12"
2023-02-22 21:47:48,Healthn - Payment,$-141.38,"$3,870.74"
2023-02-23 09:12:56,Fitr - Payment,$-30.79,"$3,839.95"
2023-02-24 09:15:18,Fitr - Payment,$-196.65,"$3,474.60"
2023-02-24 12:17:46,Healthn - Payment,$-168.70,"$3,671.25"
2023-02-27 13:15:14,AffordableHub - Payment,$-180.97,"$3,293.63"
2023-02-28 18:10:43,youGrocery - Payment,$-58.58,"$3,235.05"
2023-03-03 17:41:39,StrongLink - Payment,$-145.32,"$3,089.73"
2023-03-07 14:29:52,Fitr - Payment,$-192.33,"$2,897.40"
2023-03-08 17:17:31,Fitr - Payment,$-165.50,"$2,731.90"
2023-03-18 13:50:16,Fitr - Payment,$-138.70,"$2,593.20"
2023-03-22 08:19:49,youGrocery - Payment,$-23.32,"$2,569.88"
2023-03-29 13:01:08,AffordableHub - Payment,$-73.48,"$2,496.40"
2023-03-29 18:50:46,Fitr - Payment,$-104.52,"$2,391.88"
2023-03-30 10:28:26,Healthn - Payment,$-142.52,"$2,249.36"
2023-04-05 19:02:06,Fitr - Payment,$-192.10,"$2,057.26"
2023-04-07 14:17:48,Healthn - Payment,$-168.91,"$1,888.35"
2023-04-09 19:06:38,Healthn - Payment,$-138.79,"$1,749.56"
2023-04-11 13:30:18,Fitr - Payment,$-186.17,"$1,563.39"
2023-04-15 19:31:27,Healthn - Payment,$-42.49,"$1,520.90"
2023-04-15 20:02:28,Flexin - Payment,$-179.37,"$1,341.53"
2023-04-19 11:53:43,Healthn - Payment,$-133.47,"$1,208.06"
2023-04-23 14:12:25,Fitr - Payment,$-103.37,"$1,030.89"
2023-04-23 21:33:58,Healthn - Payment,$-73.80,"$1,134.26"
2023-04-25 17:56:03,Fitr - Payment,$-30.27,"$1,000.62"
2023-04-26 16:02:18,Fitr - Payment,$-37.72,$962.90
