date,to,from_,size,type_
2023-01-01 11:48:13,(791) 720-3024,(736) 281-0632,64 characters,Sent Text
2023-01-01 13:45:30,(791) 720-3024,(736) 281-0632,49 minutes,Outbound Call
2023-01-01 15:56:43,(304) 766-7452,(736) 281-0632,201 characters,Sent Text
2023-01-01 16:40:44,(294) 535-8251,(736) 281-0632,44 characters,Received Text
2023-01-02 08:26:04,(791) 720-3024,(736) 281-0632,328 characters,Sent Text
2023-01-02 09:55:08,(602) 492-2741,(736) 281-0632,13.6 MB,Received Media
2023-01-02 14:23:44,(304) 766-7452,(736) 281-0632,323 characters,Sent Text
2023-01-02 16:32:01,(294) 535-8251,(736) 281-0632,298 characters,Received Text
2023-01-02 17:46:24,(602) 492-2741,(736) 281-0632,268 characters,Received Text
2023-01-02 20:33:46,(602) 492-2741,(736) 281-0632,48 minutes,Inbound Call
2023-01-03 09:44:09,(304) 766-7452,(736) 281-0632,111 minutes,Outbound Call
2023-01-03 10:34:59,(602) 492-2741,(736) 281-0632,31 minutes,Inbound Call
2023-01-03 14:31:08,(602) 492-2741,(736) 281-0632,280 characters,Received Text
2023-01-03 19:14:16,(294) 535-8251,(736) 281-0632,322 characters,Sent Text
2023-01-04 10:19:54,(304) 766-7452,(736) 281-0632,283 characters,Received Text
2023-01-04 11:51:51,(304) 766-7452,(736) 281-0632,26 minutes,Outbound Call
2023-01-04 12:20:43,(791) 720-3024,(736) 281-0632,192 characters,Sent Text
2023-01-04 14:10:07,(791) 720-3024,(736) 281-0632,25 minutes,Outbound Call
2023-01-04 15:22:24,(791) 720-3024,(736) 281-0632,193 characters,Received Text
2023-01-04 18:39:58,(304) 766-7452,(736) 281-0632,13.9 MB,Received Media
2023-01-05 17:57:00,(602) 492-2741,(736) 281-0632,310 characters,Sent Text
2023-01-06 09:19:04,(304) 766-7452,(736) 281-0632,329 characters,Sent Text
2023-01-06 11:24:55,(304) 766-7452,(736) 281-0632,270 characters,Received Text
2023-01-06 17:43:31,(791) 720-3024,(736) 281-0632,61 characters,Received Text
2023-01-06 20:06:23,(791) 720-3024,(736) 281-0632,23 minutes,Inbound Call
2023-01-07 09:43:26,(791) 720-3024,(736) 281-0632,76 minutes,Inbound Call
