date,description,amount,balance
2023-01-01 16:30:14,AffordableHub - Payment,$-157.42,"$49,251.76"
2023-01-01 21:25:44,StrongLink - Payment,$-180.91,"$49,070.85"
2023-01-02 19:47:23,AffordableHub - Payment,$-68.50,"$49,002.35"
2023-01-03 09:53:25,StrongLink - Payment,$-147.33,"$48,855.02"
2023-01-06 15:19:20,Flexin - Payment,$-101.90,"$48,753.12"
2023-01-07 14:39:36,StrongLink - Payment,$-102.16,"$48,650.96"
2023-01-09 10:18:31,AffordableHub - Payment,$-120.71,"$48,530.25"
2023-01-11 12:19:35,StrongLink - Payment,$-182.16,"$48,348.09"
2023-01-12 13:59:05,AffordableHub - Payment,$-59.33,"$48,288.76"
2023-01-16 15:34:48,Fitr - Payment,$-193.59,"$48,095.17"
2023-01-18 21:20:33,AffordableHub - Payment,$-74.59,"$48,020.58"
2023-01-19 15:34:35,AffordableHub - Payment,$-91.45,"$47,929.13"
2023-01-20 20:27:58,StrongLink - Payment,$-125.55,"$47,803.58"
2023-01-22 18:38:05,StrongLink - Payment,$-71.53,"$47,732.05"
2023-01-23 14:33:01,AffordableHub - Payment,$-41.69,"$47,690.36"
2023-01-30 20:18:52,AffordableHub - Payment,$-105.49,"$47,584.87"
2023-01-31 08:00:28,Flexin - Payment,$-115.49,"$47,469.38"
2023-02-01 12:37:13,StrongLink - Payment,$-139.12,"$47,330.26"
2023-02-02 15:45:16,StrongLink - Payment,$-30.70,"$47,265.70"
2023-02-02 18:15:12,AffordableHub - Payment,$-33.86,"$47,296.40"
2023-02-06 16:55:24,Flexin - Payment,$-104.91,"$47,160.79"
2023-02-09 19:05:31,StrongLink - Payment,$-61.59,"$47,099.20"
2023-02-16 08:40:05,Flexin - Payment,$-80.79,"$47,018.41"
2023-02-19 17:03:03,AffordableHub - Payment,$-69.75,"$46,948.66"
2023-02-21 14:30:54,StrongLink - Payment,$-183.22,"$46,765.44"
2023-02-22 10:26:34,StrongLink - Payment,$-182.54,"$46,582.90"
2023-02-27 19:28:59,Fitr - Payment,$-20.98,"$46,561.92"
2023-02-28 14:32:56,StrongLink - Payment,$-85.90,"$46,476.02"
2023-03-03 17:44:00,StrongLink - Payment,$-59.10,"$46,416.92"
2023-03-05 14:55:00,StrongLink - Payment,$-197.23,"$46,219.69"
2023-03-06 18:54:24,StrongLink - Payment,$-104.86,"$46,114.83"
2023-03-09 20:06:51,StrongLink - Payment,$-63.94,"$46,050.89"
2023-03-11 20:47:28,StrongLink - Payment,$-176.81,"$45,874.08"
2023-03-13 15:52:07,StrongLink - Payment,$-109.82,"$45,764.26"
2023-03-15 21:32:29,StrongLink - Payment,$-166.57,"$45,597.69"
2023-03-17 14:46:47,Fitr - Payment,$-91.57,"$45,506.12"
2023-03-21 15:02:25,StrongLink - Payment,$-155.40,"$45,350.72"
2023-03-22 18:42:11,StrongLink - Payment,$-31.32,"$45,319.40"
2023-03-25 16:24:04,StrongLink - Payment,$-28.23,"$45,291.17"
2023-04-03 12:15:45,StrongLink - Payment,$-141.80,"$45,149.37"
2023-04-07 21:23:29,youGrocery - Payment,$-191.10,"$44,958.27"
2023-04-08 08:31:23,Foodr - Payment,$-74.94,"$44,883.33"
2023-04-08 13:16:13,StrongLink - Payment,$-50.74,"$44,832.59"
2023-04-10 08:26:45,StrongLink - Payment,$-97.42,"$44,668.47"
2023-04-10 15:25:38,AffordableHub - Payment,$-66.70,"$44,765.89"
2023-04-14 19:40:39,StrongLink - Payment,$-44.62,"$44,623.85"
2023-04-15 15:14:36,StrongLink - Payment,$-122.36,"$44,501.49"
2023-04-17 14:36:52,AffordableHub - Payment,$-158.88,"$44,342.61"
2023-04-17 21:38:06,StrongLink - Payment,$-162.36,"$44,180.25"
2023-04-22 14:29:21,AffordableHub - Payment,$-27.93,"$44,152.32"
2023-04-25 15:33:03,Fitr - Payment,$-131.39,"$44,020.93"
2023-04-29 14:12:41,StrongLink - Payment,$-117.55,"$43,903.38"
2023-05-02 12:55:06,StrongLink - Payment,$-176.88,"$43,627.63"
2023-05-02 15:35:02,AffordableHub - Payment,$-98.87,"$43,804.51"
2023-05-04 17:33:13,StrongLink - Payment,$-33.60,"$43,594.03"
2023-05-05 16:15:12,Foodr - Payment,$-65.91,"$43,528.12"
2023-05-07 15:01:41,StrongLink - Payment,$-84.73,"$43,443.39"
2023-05-09 15:35:53,StrongLink - Payment,$-43.38,"$43,400.01"
2023-05-12 15:04:40,AffordableHub - Payment,$-84.30,"$43,315.71"
2023-05-13 12:09:36,StrongLink - Payment,$-25.17,"$43,290.54"
2023-05-15 17:53:02,StrongLink - Payment,$-196.30,"$43,094.24"
