date,description,amount,balance
2023-01-11 19:19:55,AffordableHub - Payment,$-133.69,"$35,231.08"
2023-01-13 18:35:22,AffordableHub - Payment,$-188.82,"$35,042.26"
2023-01-16 13:53:22,AffordableHub - Payment,$-119.47,"$34,922.79"
2023-01-17 11:28:05,AffordableHub - Payment,$-156.30,"$34,766.49"
2023-01-18 08:54:20,AffordableHub - Payment,$-91.97,"$34,674.52"
2023-01-19 10:17:07,AffordableHub - Payment,$-50.17,"$34,624.35"
2023-01-22 08:02:26,AffordableHub - Payment,$-20.39,"$34,603.96"
2023-01-29 17:49:05,AffordableHub - Payment,$-54.70,"$34,549.26"
2023-02-03 16:57:57,Foodr - Payment,$-89.30,"$34,459.96"
2023-02-16 11:08:03,AffordableHub - Payment,$-178.26,"$34,281.70"
2023-02-18 21:55:12,AffordableHub - Payment,$-167.94,"$34,113.76"
2023-02-25 16:42:10,Foodr - Payment,$-35.57,"$34,078.19"
2023-03-03 16:21:56,AffordableHub - Payment,$-98.51,"$33,979.68"
2023-03-16 14:14:37,AffordableHub - Payment,$-137.51,"$33,842.17"
2023-04-02 13:01:21,AffordableHub - Payment,$-25.73,"$33,816.44"
2023-04-05 12:50:47,AffordableHub - Payment,$-113.12,"$33,703.32"
2023-04-11 20:54:22,AffordableHub - Payment,$-25.71,"$33,677.61"
2023-04-13 11:28:43,AffordableHub - Payment,$-196.87,"$33,480.74"
2023-04-17 09:19:47,AffordableHub - Payment,$-41.78,"$33,438.96"
2023-04-24 12:21:03,AffordableHub - Payment,$-75.20,"$33,363.76"
2023-05-02 11:32:56,Healthn - Payment,$-92.27,"$33,271.49"
2023-05-03 17:29:26,AffordableHub - Payment,$-93.40,"$33,178.09"
2023-05-28 09:02:40,AffordableHub - Payment,$-154.72,"$33,023.37"
2023-06-01 18:33:08,AffordableHub - Payment,$-197.26,"$32,826.11"
2023-06-20 17:17:35,AffordableHub - Payment,$-174.94,"$32,651.17"
2023-06-22 09:57:14,Foodr - Payment,$-22.44,"$32,628.73"
2023-06-23 16:21:48,AffordableHub - Payment,$-70.77,"$32,557.96"
2023-06-25 20:41:43,youGrocery - Payment,$-197.70,"$32,360.26"
2023-06-29 21:14:21,AffordableHub - Payment,$-93.80,"$32,266.46"
2023-06-30 13:25:33,AffordableHub - Payment,$-173.89,"$32,092.57"
2023-07-06 19:18:39,Foodr - Payment,$-156.33,"$31,936.24"
2023-07-13 15:58:06,AffordableHub - Payment,$-133.68,"$31,802.56"
2023-07-16 11:08:57,youGrocery - Payment,$-157.16,"$31,645.40"
2023-07-19 18:10:14,AffordableHub - Payment,$-143.64,"$31,501.76"
2023-07-22 08:07:49,Healthn - Payment,$-56.53,"$31,445.23"
2023-08-07 15:51:22,Healthn - Payment,$-52.95,"$31,392.28"
2023-08-13 21:35:17,AffordableHub - Payment,$-194.93,"$31,197.35"
2023-08-15 18:55:06,AffordableHub - Payment,$-34.42,"$31,162.93"
2023-08-29 20:16:47,Foodr - Payment,$-188.72,"$30,974.21"
2023-09-13 18:20:02,AffordableHub - Payment,$-31.19,"$30,943.02"
2023-09-24 15:58:10,AffordableHub - Payment,$-191.78,"$30,751.24"
2023-09-25 12:44:52,AffordableHub - Payment,$-28.15,"$30,723.09"
2023-10-03 20:22:54,AffordableHub - Payment,$-70.18,"$30,652.91"
2023-10-17 15:21:32,AffordableHub - Payment,$-150.19,"$30,502.72"
2023-10-21 13:47:35,AffordableHub - Payment,$-151.60,"$30,351.12"
2023-10-25 08:19:23,AffordableHub - Payment,$-58.40,"$30,292.72"
2023-10-27 18:41:55,AffordableHub - Payment,$-128.54,"$30,164.18"
2023-10-28 21:33:27,AffordableHub - Payment,$-129.21,"$30,034.97"
2023-10-29 14:45:34,youGrocery - Payment,$-112.12,"$29,922.85"
2023-10-30 12:49:30,AffordableHub - Payment,$-48.80,"$29,874.05"
2023-11-04 09:16:01,AffordableHub - Payment,$-23.88,"$29,850.17"
2023-11-06 16:08:06,Foodr - Payment,$-93.90,"$29,756.27"
2023-11-11 09:13:41,Foodr - Payment,$-193.30,"$29,562.97"
2023-11-20 14:38:55,Foodr - Payment,$-27.10,"$29,535.87"
2023-11-21 14:59:33,AffordableHub - Payment,$-76.82,"$29,459.05"
2023-11-23 10:53:19,Healthn - Payment,$-103.79,"$29,355.26"
2023-11-25 09:59:24,AffordableHub - Payment,$-32.52,"$29,322.74"
2023-11-26 20:03:42,youGrocery - Payment,$-130.52,"$29,192.22"
2023-11-28 08:50:14,AffordableHub - Payment,$-24.74,"$29,167.48"
2023-12-06 08:51:58,AffordableHub - Payment,$-107.40,"$29,060.08"
2023-12-08 08:27:52,AffordableHub - Payment,$-137.47,"$28,922.61"
2023-12-16 08:16:13,AffordableHub - Payment,$-132.20,"$28,790.41"
2023-12-17 16:07:28,AffordableHub - Payment,$-72.55,"$28,717.86"
2023-12-18 08:23:44,AffordableHub - Payment,$-34.48,"$28,683.38"
2023-12-21 20:54:24,AffordableHub - Payment,$-198.45,"$28,484.93"
2023-12-23 17:51:14,AffordableHub - Payment,$-86.97,"$28,397.96"
2023-12-25 10:15:31,youGrocery - Payment,$-112.50,"$28,285.46"
2024-01-01 19:06:40,AffordableHub - Payment,$-70.20,"$28,215.26"
2024-01-06 12:33:37,AffordableHub - Payment,$-137.20,"$28,078.06"
2024-01-16 11:06:28,AffordableHub - Payment,$-49.12,"$28,028.94"
2024-01-19 11:00:44,AffordableHub - Payment,$-89.10,"$27,939.84"
2024-01-20 19:34:46,AffordableHub - Payment,$-49.36,"$27,890.48"
2024-01-24 12:48:00,AffordableHub - Payment,$-147.99,"$27,742.49"
2024-01-31 10:22:54,AffordableHub - Payment,$-70.63,"$27,671.86"
2024-02-16 15:45:53,Foodr - Payment,$-35.63,"$27,636.23"
2024-02-24 19:08:37,AffordableHub - Payment,$-105.12,"$27,531.11"
2024-02-25 08:54:02,AffordableHub - Payment,$-91.81,"$27,439.30"
2024-02-27 16:24:32,youGrocery - Payment,$-116.66,"$27,322.64"
2024-03-06 12:14:37,AffordableHub - Payment,$-76.94,"$27,245.70"
2024-03-08 14:39:44,Foodr - Payment,$-191.64,"$27,054.06"
2024-03-09 17:20:18,AffordableHub - Payment,$-71.42,"$26,982.64"
2024-03-10 18:53:44,Foodr - Payment,$-98.47,"$26,884.17"
2024-03-21 16:50:06,AffordableHub - Payment,$-145.33,"$26,738.84"
2024-03-24 14:49:23,Healthn - Payment,$-36.12,"$26,702.72"
2024-04-05 18:36:10,AffordableHub - Payment,$-73.83,"$26,628.89"
2024-04-07 20:46:45,AffordableHub - Payment,$-71.62,"$26,557.27"
2024-04-08 08:59:04,Foodr - Payment,$-133.72,"$26,423.55"
2024-04-13 15:34:04,AffordableHub - Payment,$-151.70,"$26,271.85"
2024-04-16 13:52:33,AffordableHub - Payment,$-195.98,"$26,075.87"
2024-04-22 09:29:56,AffordableHub - Payment,$-116.34,"$25,959.53"
2024-04-25 09:54:30,AffordableHub - Payment,$-30.80,"$25,928.73"
2024-05-08 16:53:01,AffordableHub - Payment,$-67.00,"$25,861.73"
2024-05-09 17:52:06,AffordableHub - Payment,$-74.14,"$25,787.59"
2024-05-15 16:14:33,AffordableHub - Payment,$-185.47,"$25,602.12"
2024-05-19 14:42:47,AffordableHub - Payment,$-156.59,"$25,445.53"
2024-05-20 10:01:16,youGrocery - Payment,$-50.72,"$25,394.81"
2024-05-22 11:22:20,AffordableHub - Payment,$-25.60,"$25,369.21"
