date,to,from_,size,type_
2023-01-02 14:14:52,(978) 437-8371,(996) 606-8812,20 minutes,Outbound Call
2023-01-02 16:48:54,(858) 523-0293,(996) 606-8812,0.9 MB,Received Media
2023-01-02 18:21:36,(858) 523-0293,(996) 606-8812,3.8 MB,Sent Media
2023-01-03 08:14:00,(978) 437-8371,(996) 606-8812,102 minutes,Outbound Call
2023-01-04 11:32:10,(978) 437-8371,(996) 606-8812,334 characters,Received Text
2023-01-04 13:22:04,(858) 523-0293,(996) 606-8812,298 characters,Sent Text
2023-01-05 10:30:31,(858) 523-0293,(996) 606-8812,4.7 MB,Sent Media
2023-01-05 15:15:13,(978) 437-8371,(996) 606-8812,341 characters,Received Text
2023-01-05 21:16:17,(858) 523-0293,(996) 606-8812,25 minutes,Inbound Call
2023-01-06 10:07:08,(858) 523-0293,(996) 606-8812,35 characters,Received Text
2023-01-06 16:04:10,(858) 523-0293,(996) 606-8812,226 characters,Sent Text
2023-01-06 19:20:32,(858) 523-0293,(996) 606-8812,82 minutes,Inbound Call
2023-01-07 15:21:44,(978) 437-8371,(996) 606-8812,43 characters,Received Text
2023-01-07 18:00:49,(858) 523-0293,(996) 606-8812,32 minutes,Outbound Call
2023-01-08 20:58:21,(978) 437-8371,(996) 606-8812,201 characters,Received Text
2023-01-09 10:42:20,(858) 523-0293,(996) 606-8812,130 characters,Received Text
2023-01-09 14:39:00,(978) 437-8371,(996) 606-8812,25 characters,Received Text
2023-01-09 19:32:44,(978) 437-8371,(996) 606-8812,322 characters,Sent Text
2023-01-09 21:37:08,(858) 523-0293,(996) 606-8812,80 characters,Sent Text
2023-01-10 11:45:12,(858) 523-0293,(996) 606-8812,104 characters,Sent Text
2023-01-10 17:26:38,(858) 523-0293,(996) 606-8812,184 characters,Received Text
2023-01-10 21:18:48,(978) 437-8371,(996) 606-8812,62 minutes,Inbound Call
2023-01-11 08:15:41,(858) 523-0293,(996) 606-8812,67 characters,Received Text
2023-01-11 12:18:41,(978) 437-8371,(996) 606-8812,320 characters,Received Text
2023-01-11 19:38:36,(858) 523-0293,(996) 606-8812,38 minutes,Inbound Call
2023-01-11 21:22:41,(858) 523-0293,(996) 606-8812,221 characters,Sent Text
2023-01-12 09:09:22,(978) 437-8371,(996) 606-8812,157 characters,Received Text
2023-01-13 09:22:38,(978) 437-8371,(996) 606-8812,167 characters,Sent Text
2023-01-14 12:27:41,(978) 437-8371,(996) 606-8812,28 characters,Sent Text
2023-01-15 10:38:06,(978) 437-8371,(996) 606-8812,293 characters,Received Text
2023-01-15 18:03:24,(858) 523-0293,(996) 606-8812,102 minutes,Inbound Call
2023-01-16 08:21:35,(978) 437-8371,(996) 606-8812,249 characters,Received Text
2023-01-17 16:59:42,(978) 437-8371,(996) 606-8812,38 minutes,Inbound Call
2023-01-17 20:36:52,(978) 437-8371,(996) 606-8812,202 characters,Received Text
2023-01-18 12:11:07,(978) 437-8371,(996) 606-8812,68 characters,Sent Text
2023-01-18 12:50:40,(978) 437-8371,(996) 606-8812,269 characters,Received Text
2023-01-18 20:13:52,(858) 523-0293,(996) 606-8812,31 minutes,Outbound Call
2023-01-19 12:25:17,(858) 523-0293,(996) 606-8812,242 characters,Received Text
2023-01-19 14:31:49,(978) 437-8371,(996) 606-8812,140 characters,Sent Text
2023-01-19 16:49:56,(978) 437-8371,(996) 606-8812,24 minutes,Outbound Call
2023-01-21 08:04:00,(978) 437-8371,(996) 606-8812,258 characters,Received Text
2023-01-21 15:57:03,(978) 437-8371,(996) 606-8812,4 minutes,Outbound Call
2023-01-21 20:44:55,(858) 523-0293,(996) 606-8812,307 characters,Sent Text
2023-01-22 11:41:17,(978) 437-8371,(996) 606-8812,38 minutes,Outbound Call
2023-01-22 16:55:30,(858) 523-0293,(996) 606-8812,3.5 MB,Sent Media
2023-01-22 17:26:41,(858) 523-0293,(996) 606-8812,180 characters,Sent Text
2023-01-23 17:21:21,(978) 437-8371,(996) 606-8812,267 characters,Received Text
2023-01-24 10:27:55,(858) 523-0293,(996) 606-8812,131 characters,Sent Text
2023-01-24 12:01:10,(978) 437-8371,(996) 606-8812,10 characters,Received Text
2023-01-25 16:16:37,(978) 437-8371,(996) 606-8812,171 characters,Received Text
2023-01-25 16:28:12,(978) 437-8371,(996) 606-8812,251 characters,Sent Text
2023-01-26 14:42:24,(858) 523-0293,(996) 606-8812,52 minutes,Outbound Call
2023-01-26 15:39:50,(978) 437-8371,(996) 606-8812,106 characters,Received Text
2023-01-27 10:29:48,(978) 437-8371,(996) 606-8812,6 characters,Received Text
2023-01-28 15:05:07,(978) 437-8371,(996) 606-8812,6 characters,Received Text
2023-01-28 17:39:56,(858) 523-0293,(996) 606-8812,313 characters,Received Text
