date,to,from_,size,type_
2023-01-01 17:04:15,(278) 258-8314,(897) 644-2777,45 characters,Received Text
2023-01-05 13:14:16,(278) 258-8314,(897) 644-2777,185 characters,Sent Text
2023-01-06 11:06:28,(278) 258-8314,(897) 644-2777,292 characters,Sent Text
2023-01-06 14:57:06,(278) 258-8314,(897) 644-2777,241 characters,Received Text
2023-01-06 16:13:58,(278) 258-8314,(897) 644-2777,5.3 MB,Sent Media
2023-01-07 18:20:07,(278) 258-8314,(897) 644-2777,261 characters,Sent Text
2023-01-07 20:33:05,(278) 258-8314,(897) 644-2777,7.2 MB,Sent Media
2023-01-09 15:34:49,(278) 258-8314,(897) 644-2777,71 minutes,Outbound Call
2023-01-10 08:33:53,(278) 258-8314,(897) 644-2777,26 minutes,Outbound Call
2023-01-10 19:29:28,(278) 258-8314,(897) 644-2777,86 minutes,Inbound Call
2023-01-12 08:08:56,(278) 258-8314,(897) 644-2777,93 characters,Sent Text
2023-01-12 08:58:51,(278) 258-8314,(897) 644-2777,159 characters,Received Text
2023-01-12 16:32:56,(278) 258-8314,(897) 644-2777,54 minutes,Inbound Call
2023-01-14 15:10:57,(278) 258-8314,(897) 644-2777,69 minutes,Outbound Call
2023-01-14 16:51:09,(278) 258-8314,(897) 644-2777,30 characters,Received Text
2023-01-17 08:11:40,(278) 258-8314,(897) 644-2777,47 minutes,Outbound Call
2023-01-17 17:47:01,(278) 258-8314,(897) 644-2777,23 characters,Received Text
2023-01-18 11:35:19,(278) 258-8314,(897) 644-2777,300 characters,Sent Text
2023-01-18 16:23:07,(278) 258-8314,(897) 644-2777,67 minutes,Inbound Call
2023-01-21 14:44:56,(278) 258-8314,(897) 644-2777,214 characters,Sent Text
2023-01-21 21:35:17,(278) 258-8314,(897) 644-2777,23 characters,Received Text
2023-01-22 10:31:18,(278) 258-8314,(897) 644-2777,328 characters,Sent Text
2023-01-22 11:11:45,(278) 258-8314,(897) 644-2777,77 minutes,Inbound Call
2023-01-23 21:54:55,(278) 258-8314,(897) 644-2777,194 characters,Sent Text
2023-01-24 09:54:14,(278) 258-8314,(897) 644-2777,184 characters,Received Text
2023-01-24 14:24:41,(278) 258-8314,(897) 644-2777,67 characters,Sent Text
2023-01-26 17:16:41,(278) 258-8314,(897) 644-2777,119 characters,Sent Text
2023-01-27 17:23:41,(278) 258-8314,(897) 644-2777,159 characters,Sent Text
2023-01-27 21:51:20,(278) 258-8314,(897) 644-2777,124 characters,Received Text
2023-01-28 11:51:06,(278) 258-8314,(897) 644-2777,261 characters,Received Text
2023-01-28 16:53:37,(278) 258-8314,(897) 644-2777,161 characters,Sent Text
2023-01-31 18:07:25,(278) 258-8314,(897) 644-2777,192 characters,Received Text
2023-02-01 20:38:12,(278) 258-8314,(897) 644-2777,328 characters,Sent Text
2023-02-04 10:06:47,(278) 258-8314,(897) 644-2777,105 minutes,Outbound Call
