date,description,amount,balance
2023-01-03 08:35:29,Healthn - Payment,$-106.87,"$2,885.83"
2023-01-10 17:42:56,AffordableHub - Payment,$-76.66,"$2,809.17"
2023-01-12 13:38:33,Healthn - Payment,$-128.60,"$2,680.57"
2023-01-20 11:02:16,Healthn - Payment,$-39.32,"$2,641.25"
2023-01-28 08:59:48,Healthn - Payment,$-99.70,"$2,541.55"
2023-02-02 15:32:30,Healthn - Payment,$-110.56,"$2,430.99"
2023-02-10 15:04:44,Healthn - Payment,$-26.31,"$2,404.68"
2023-02-11 09:11:20,Healthn - Payment,$-172.95,"$2,231.73"
2023-02-15 14:07:57,Healthn - Payment,$-128.90,"$2,102.83"
2023-02-19 15:08:03,Healthn - Payment,$-63.31,"$2,039.52"
2023-02-21 18:26:39,Healthn - Payment,$-21.38,"$2,018.14"
2023-03-08 10:23:07,Healthn - Payment,$-149.67,"$1,868.47"
2023-03-09 09:06:07,Healthn - Payment,$-59.93,"$1,808.54"
2023-03-11 17:51:40,Healthn - Payment,$-146.90,"$1,661.64"
2023-03-14 17:04:43,Healthn - Payment,$-141.14,"$1,520.50"
2023-03-24 10:49:49,Healthn - Payment,$-92.95,"$1,427.55"
2023-03-26 17:19:34,Healthn - Payment,$-120.36,"$1,307.19"
2023-03-31 12:00:45,AffordableHub - Payment,$-176.26,"$1,130.93"
2023-04-07 09:39:18,Healthn - Payment,$-112.92,"$1,018.01"
2023-04-18 19:45:56,AffordableHub - Payment,$-186.77,$831.24
2023-04-20 15:42:34,Healthn - Payment,$-43.32,$787.92
2023-04-27 15:38:55,Healthn - Payment,$-76.75,$711.17
2023-05-01 21:33:46,Healthn - Payment,$-32.10,$679.07
2023-05-07 20:32:28,Healthn - Payment,$-29.48,$649.59
2023-05-08 09:57:25,Healthn - Payment,$-72.19,$577.40
2023-05-10 13:15:17,Healthn - Payment,$-119.12,$458.28
2023-05-14 14:56:38,Healthn - Payment,$-195.81,$262.47
2023-05-17 17:15:22,youGrocery - Payment,$-173.53,$88.94
2023-05-22 19:54:40,Healthn - Payment,$-58.26,$30.68
2023-05-26 08:29:12,Invalid Withdrawal,$0.00,$30.68
2023-05-30 14:41:07,Invalid Withdrawal,$0.00,$30.68
2023-05-31 21:31:05,Invalid Withdrawal,$0.00,$30.68
2023-06-20 14:57:25,Invalid Withdrawal,$0.00,$30.68
2023-07-08 08:25:18,Invalid Withdrawal,$0.00,$30.68
2023-07-11 18:46:22,Invalid Withdrawal,$0.00,$30.68
2023-07-12 14:39:39,Invalid Withdrawal,$0.00,$30.68
2023-07-25 11:03:27,Invalid Withdrawal,$0.00,$30.68
2023-07-29 08:16:43,Invalid Withdrawal,$0.00,$30.68
2023-08-05 10:29:29,Invalid Withdrawal,$0.00,$30.68
2023-08-29 13:27:06,Invalid Withdrawal,$0.00,$30.68
2023-09-03 21:38:11,Invalid Withdrawal,$0.00,$30.68
2023-09-06 11:10:31,Invalid Withdrawal,$0.00,$30.68
2023-09-07 11:16:24,Invalid Withdrawal,$0.00,$30.68
2023-09-10 19:39:37,Invalid Withdrawal,$0.00,$30.68
2023-09-11 08:10:32,Invalid Withdrawal,$0.00,$30.68
2023-09-12 12:45:17,Healthn - Payment,$-28.27,$2.41
2023-09-14 20:19:12,Invalid Withdrawal,$0.00,$2.41
2023-09-25 15:51:47,Invalid Withdrawal,$0.00,$2.41
2023-09-28 14:40:00,Invalid Withdrawal,$0.00,$2.41
2023-10-04 21:51:56,Invalid Withdrawal,$0.00,$2.41
2023-10-16 21:46:08,Invalid Withdrawal,$0.00,$2.41
2023-10-28 08:47:26,Invalid Withdrawal,$0.00,$2.41
2023-11-03 10:17:46,Invalid Withdrawal,$0.00,$2.41
2023-11-16 20:48:45,Invalid Withdrawal,$0.00,$2.41
2023-11-23 20:35:23,Invalid Withdrawal,$0.00,$2.41
2023-11-29 20:45:09,Invalid Withdrawal,$0.00,$2.41
2023-11-30 20:38:28,Invalid Withdrawal,$0.00,$2.41
2023-12-08 08:13:21,Invalid Withdrawal,$0.00,$2.41
2023-12-17 10:12:20,Invalid Withdrawal,$0.00,$2.41
2023-12-18 20:10:55,Invalid Withdrawal,$0.00,$2.41
2023-12-20 11:58:07,Invalid Withdrawal,$0.00,$2.41
2024-01-01 12:04:28,Invalid Withdrawal,$0.00,$2.41
2024-01-14 08:39:57,Invalid Withdrawal,$0.00,$2.41
2024-01-20 10:29:21,Invalid Withdrawal,$0.00,$2.41
2024-01-22 18:24:17,Invalid Withdrawal,$0.00,$2.41
2024-01-24 21:40:43,Invalid Withdrawal,$0.00,$2.41
2024-01-27 21:21:43,Invalid Withdrawal,$0.00,$2.41
2024-02-02 08:38:46,Invalid Withdrawal,$0.00,$2.41
2024-02-16 20:19:25,Invalid Withdrawal,$0.00,$2.41
2024-02-23 09:42:38,Invalid Withdrawal,$0.00,$2.41
2024-02-27 14:28:27,Invalid Withdrawal,$0.00,$2.41
2024-03-03 15:23:51,Invalid Withdrawal,$0.00,$2.41
2024-03-11 14:26:37,Invalid Withdrawal,$0.00,$2.41
2024-03-13 13:11:16,Invalid Withdrawal,$0.00,$2.41
2024-03-21 09:45:05,Invalid Withdrawal,$0.00,$2.41
2024-03-31 19:40:09,Invalid Withdrawal,$0.00,$2.41
2024-04-10 17:51:05,Invalid Withdrawal,$0.00,$2.41
2024-04-13 09:06:33,Invalid Withdrawal,$0.00,$2.41
2024-04-17 09:03:43,Invalid Withdrawal,$0.00,$2.41
2024-04-24 14:04:41,Invalid Withdrawal,$0.00,$2.41
2024-05-05 08:09:02,Invalid Withdrawal,$0.00,$2.41
2024-05-08 15:31:35,Invalid Withdrawal,$0.00,$2.41
2024-05-22 20:42:06,Invalid Withdrawal,$0.00,$2.41
2024-05-29 08:40:05,Invalid Withdrawal,$0.00,$2.41
2024-05-30 17:32:33,Invalid Withdrawal,$0.00,$2.41
2024-05-31 18:18:07,Invalid Withdrawal,$0.00,$2.41
2024-06-09 20:32:04,Invalid Withdrawal,$0.00,$2.41
2024-06-12 21:23:11,Invalid Withdrawal,$0.00,$2.41
2024-06-13 20:00:14,Invalid Withdrawal,$0.00,$2.41
2024-06-23 09:21:25,Invalid Withdrawal,$0.00,$2.41
2024-06-28 16:52:24,Invalid Withdrawal,$0.00,$2.41
2024-06-30 16:24:57,Invalid Withdrawal,$0.00,$2.41
2024-07-04 15:01:01,Invalid Withdrawal,$0.00,$2.41
2024-07-07 20:52:29,Invalid Withdrawal,$0.00,$2.41
2024-07-09 18:56:46,Invalid Withdrawal,$0.00,$2.41
2024-07-25 11:20:42,Invalid Withdrawal,$0.00,$2.41
2024-07-28 18:41:29,Invalid Withdrawal,$0.00,$2.41
2024-08-03 16:29:50,Invalid Withdrawal,$0.00,$2.41
2024-08-07 14:18:30,Invalid Withdrawal,$0.00,$2.41
