date,to,from_,size,type_
2023-01-03 19:53:11,(161) 489-0973,(266) 960-3320,110 minutes,Outbound Call
2023-01-06 17:50:08,(161) 489-0973,(266) 960-3320,3 minutes,Inbound Call
2023-01-09 12:01:52,(161) 489-0973,(266) 960-3320,216 characters,Received Text
2023-01-10 13:13:18,(161) 489-0973,(266) 960-3320,30 characters,Sent Text
2023-01-11 14:10:38,(161) 489-0973,(266) 960-3320,343 characters,Sent Text
2023-01-11 17:01:19,(161) 489-0973,(266) 960-3320,4.3 MB,Received Media
2023-01-12 14:00:29,(161) 489-0973,(266) 960-3320,53 characters,Received Text
2023-01-13 16:42:50,(161) 489-0973,(266) 960-3320,34 minutes,Outbound Call
2023-01-15 17:35:55,(161) 489-0973,(266) 960-3320,135 characters,Sent Text
2023-01-15 18:57:31,(161) 489-0973,(266) 960-3320,22 minutes,Inbound Call
2023-01-18 11:44:11,(161) 489-0973,(266) 960-3320,103 minutes,Outbound Call
2023-01-18 18:40:25,(161) 489-0973,(266) 960-3320,68 characters,Sent Text
2023-01-18 19:24:51,(161) 489-0973,(266) 960-3320,108 characters,Received Text
2023-01-19 11:57:03,(161) 489-0973,(266) 960-3320,173 characters,Received Text
2023-01-19 13:27:38,(161) 489-0973,(266) 960-3320,30 characters,Sent Text
2023-01-20 12:16:29,(161) 489-0973,(266) 960-3320,19 characters,Sent Text
2023-01-20 17:28:12,(161) 489-0973,(266) 960-3320,56 minutes,Inbound Call
2023-01-21 14:21:43,(161) 489-0973,(266) 960-3320,110 minutes,Outbound Call
2023-01-21 15:37:38,(161) 489-0973,(266) 960-3320,79 characters,Sent Text
2023-01-22 12:09:31,(161) 489-0973,(266) 960-3320,26 minutes,Outbound Call
2023-01-22 17:33:14,(161) 489-0973,(266) 960-3320,40 minutes,Inbound Call
2023-01-24 14:48:15,(161) 489-0973,(266) 960-3320,288 characters,Received Text
2023-01-25 18:10:13,(161) 489-0973,(266) 960-3320,283 characters,Sent Text
2023-01-26 13:50:11,(161) 489-0973,(266) 960-3320,5.9 MB,Received Media
2023-01-28 09:17:16,(161) 489-0973,(266) 960-3320,67 characters,Received Text
2023-01-28 13:42:02,(161) 489-0973,(266) 960-3320,75 characters,Sent Text
2023-01-29 13:38:51,(161) 489-0973,(266) 960-3320,212 characters,Received Text
2023-01-30 12:24:49,(161) 489-0973,(266) 960-3320,17 minutes,Inbound Call
2023-01-31 15:23:00,(161) 489-0973,(266) 960-3320,95 minutes,Outbound Call
2023-02-01 16:11:15,(161) 489-0973,(266) 960-3320,1 minutes,Outbound Call
2023-02-01 21:46:25,(161) 489-0973,(266) 960-3320,45 minutes,Inbound Call
2023-02-04 21:12:37,(161) 489-0973,(266) 960-3320,139 characters,Received Text
2023-02-09 17:22:50,(161) 489-0973,(266) 960-3320,39 characters,Sent Text
2023-02-10 13:50:17,(161) 489-0973,(266) 960-3320,88 characters,Sent Text
2023-02-11 13:50:35,(161) 489-0973,(266) 960-3320,331 characters,Sent Text
2023-02-13 15:42:24,(161) 489-0973,(266) 960-3320,66 minutes,Outbound Call
2023-02-15 11:51:46,(161) 489-0973,(266) 960-3320,107 minutes,Outbound Call
2023-02-15 13:27:20,(161) 489-0973,(266) 960-3320,11 characters,Received Text
2023-02-19 08:18:53,(161) 489-0973,(266) 960-3320,165 characters,Sent Text
2023-02-20 20:17:03,(161) 489-0973,(266) 960-3320,26 minutes,Inbound Call
2023-02-22 17:25:47,(161) 489-0973,(266) 960-3320,96 minutes,Inbound Call
2023-02-23 08:41:45,(161) 489-0973,(266) 960-3320,334 characters,Received Text
2023-02-23 09:14:31,(161) 489-0973,(266) 960-3320,95 minutes,Outbound Call
2023-02-23 09:17:18,(161) 489-0973,(266) 960-3320,73 minutes,Inbound Call
2023-02-23 17:22:42,(161) 489-0973,(266) 960-3320,11.5 MB,Sent Media
2023-02-24 14:22:58,(161) 489-0973,(266) 960-3320,72 characters,Received Text
2023-02-25 09:35:25,(161) 489-0973,(266) 960-3320,222 characters,Received Text
2023-02-26 12:30:13,(161) 489-0973,(266) 960-3320,13 characters,Received Text
