date,to,from_,size,type_
2023-01-01 13:55:52,(383) 147-9292,(978) 437-8371,55 minutes,Inbound Call
2023-01-01 14:28:35,(858) 523-0293,(978) 437-8371,125 characters,Received Text
2023-01-01 19:32:21,(858) 523-0293,(978) 437-8371,112 minutes,Inbound Call
2023-01-02 08:41:46,(858) 523-0293,(978) 437-8371,285 characters,Sent Text
2023-01-02 14:14:52,(996) 606-8812,(978) 437-8371,20 minutes,Inbound Call
2023-01-02 21:48:53,(858) 523-0293,(978) 437-8371,200 characters,Received Text
2023-01-03 08:14:00,(996) 606-8812,(978) 437-8371,102 minutes,Inbound Call
2023-01-03 11:49:15,(383) 147-9292,(978) 437-8371,14.3 MB,Sent Media
2023-01-03 15:58:38,(383) 147-9292,(978) 437-8371,120 characters,Received Text
2023-01-04 10:58:41,(383) 147-9292,(978) 437-8371,174 characters,Received Text
2023-01-04 11:32:10,(996) 606-8812,(978) 437-8371,334 characters,Sent Text
2023-01-04 13:43:19,(858) 523-0293,(978) 437-8371,89 characters,Received Text
2023-01-05 14:11:29,(383) 147-9292,(978) 437-8371,178 characters,Sent Text
2023-01-05 14:52:06,(858) 523-0293,(978) 437-8371,105 minutes,Inbound Call
2023-01-05 15:15:13,(996) 606-8812,(978) 437-8371,341 characters,Sent Text
2023-01-05 20:20:51,(858) 523-0293,(978) 437-8371,161 characters,Received Text
2023-01-06 08:51:31,(383) 147-9292,(978) 437-8371,113 minutes,Inbound Call
2023-01-06 17:10:28,(858) 523-0293,(978) 437-8371,12.1 MB,Received Media
2023-01-06 20:19:13,(858) 523-0293,(978) 437-8371,174 characters,Received Text
2023-01-07 11:10:55,(383) 147-9292,(978) 437-8371,252 characters,Received Text
2023-01-07 15:21:44,(996) 606-8812,(978) 437-8371,43 characters,Sent Text
2023-01-07 20:31:16,(858) 523-0293,(978) 437-8371,318 characters,Received Text
2023-01-08 11:06:10,(383) 147-9292,(978) 437-8371,105 characters,Received Text
2023-01-08 15:11:10,(383) 147-9292,(978) 437-8371,7 characters,Sent Text
2023-01-08 15:27:06,(858) 523-0293,(978) 437-8371,292 characters,Sent Text
2023-01-08 20:58:21,(996) 606-8812,(978) 437-8371,201 characters,Sent Text
2023-01-09 10:08:13,(383) 147-9292,(978) 437-8371,36 minutes,Inbound Call
2023-01-09 10:50:02,(858) 523-0293,(978) 437-8371,107 minutes,Inbound Call
2023-01-09 14:39:00,(996) 606-8812,(978) 437-8371,25 characters,Sent Text
2023-01-09 19:32:44,(996) 606-8812,(978) 437-8371,322 characters,Received Text
2023-01-10 09:38:11,(383) 147-9292,(978) 437-8371,4.7 MB,Received Media
2023-01-10 21:18:48,(996) 606-8812,(978) 437-8371,62 minutes,Outbound Call
2023-01-10 21:38:02,(383) 147-9292,(978) 437-8371,62 characters,Sent Text
2023-01-11 08:05:12,(858) 523-0293,(978) 437-8371,188 characters,Sent Text
2023-01-11 12:18:41,(996) 606-8812,(978) 437-8371,320 characters,Sent Text
2023-01-11 20:42:07,(858) 523-0293,(978) 437-8371,109 minutes,Outbound Call
2023-01-12 09:09:22,(996) 606-8812,(978) 437-8371,157 characters,Sent Text
2023-01-12 10:14:12,(858) 523-0293,(978) 437-8371,55 characters,Sent Text
2023-01-12 16:26:06,(383) 147-9292,(978) 437-8371,8 characters,Sent Text
2023-01-13 08:59:28,(858) 523-0293,(978) 437-8371,72 minutes,Inbound Call
2023-01-13 09:02:10,(858) 523-0293,(978) 437-8371,171 characters,Sent Text
2023-01-13 09:22:38,(996) 606-8812,(978) 437-8371,167 characters,Received Text
2023-01-14 12:27:41,(996) 606-8812,(978) 437-8371,28 characters,Received Text
2023-01-15 10:38:06,(996) 606-8812,(978) 437-8371,293 characters,Sent Text
2023-01-15 13:45:02,(858) 523-0293,(978) 437-8371,241 characters,Received Text
2023-01-15 14:50:52,(858) 523-0293,(978) 437-8371,70 minutes,Outbound Call
2023-01-16 08:21:35,(996) 606-8812,(978) 437-8371,249 characters,Sent Text
2023-01-16 09:09:02,(383) 147-9292,(978) 437-8371,19.9 MB,Sent Media
2023-01-16 17:10:40,(383) 147-9292,(978) 437-8371,145 characters,Sent Text
2023-01-17 10:54:26,(858) 523-0293,(978) 437-8371,143 characters,Received Text
2023-01-17 12:18:25,(383) 147-9292,(978) 437-8371,302 characters,Received Text
2023-01-17 16:59:42,(996) 606-8812,(978) 437-8371,38 minutes,Outbound Call
2023-01-17 20:34:19,(383) 147-9292,(978) 437-8371,16 minutes,Outbound Call
2023-01-17 20:36:52,(996) 606-8812,(978) 437-8371,202 characters,Sent Text
2023-01-18 09:27:47,(858) 523-0293,(978) 437-8371,89 minutes,Inbound Call
2023-01-18 12:11:07,(996) 606-8812,(978) 437-8371,68 characters,Received Text
2023-01-18 12:50:40,(996) 606-8812,(978) 437-8371,269 characters,Sent Text
2023-01-19 14:31:49,(996) 606-8812,(978) 437-8371,140 characters,Received Text
2023-01-19 16:08:58,(858) 523-0293,(978) 437-8371,286 characters,Sent Text
2023-01-19 16:49:56,(996) 606-8812,(978) 437-8371,24 minutes,Inbound Call
2023-01-20 13:58:36,(858) 523-0293,(978) 437-8371,227 characters,Received Text
2023-01-20 16:12:22,(383) 147-9292,(978) 437-8371,13 characters,Sent Text
2023-01-20 20:47:57,(383) 147-9292,(978) 437-8371,228 characters,Received Text
2023-01-21 08:04:00,(996) 606-8812,(978) 437-8371,258 characters,Sent Text
2023-01-21 15:57:03,(996) 606-8812,(978) 437-8371,4 minutes,Inbound Call
2023-01-21 20:21:58,(383) 147-9292,(978) 437-8371,172 characters,Sent Text
2023-01-22 11:41:17,(996) 606-8812,(978) 437-8371,38 minutes,Inbound Call
2023-01-22 15:09:15,(383) 147-9292,(978) 437-8371,77 minutes,Outbound Call
2023-01-22 20:32:45,(383) 147-9292,(978) 437-8371,53 characters,Received Text
2023-01-22 21:47:05,(858) 523-0293,(978) 437-8371,325 characters,Received Text
2023-01-23 17:21:21,(996) 606-8812,(978) 437-8371,267 characters,Sent Text
2023-01-23 21:10:14,(858) 523-0293,(978) 437-8371,84 characters,Received Text
2023-01-23 21:33:45,(383) 147-9292,(978) 437-8371,253 characters,Sent Text
2023-01-24 12:01:10,(996) 606-8812,(978) 437-8371,10 characters,Sent Text
2023-01-24 16:59:54,(858) 523-0293,(978) 437-8371,273 characters,Sent Text
2023-01-24 21:53:13,(383) 147-9292,(978) 437-8371,122 characters,Received Text
2023-01-25 16:16:37,(996) 606-8812,(978) 437-8371,171 characters,Sent Text
2023-01-25 16:28:12,(996) 606-8812,(978) 437-8371,251 characters,Received Text
2023-01-25 18:12:22,(858) 523-0293,(978) 437-8371,166 characters,Received Text
2023-01-26 09:51:22,(383) 147-9292,(978) 437-8371,291 characters,Sent Text
2023-01-26 15:39:50,(996) 606-8812,(978) 437-8371,106 characters,Sent Text
2023-01-27 10:29:48,(996) 606-8812,(978) 437-8371,6 characters,Sent Text
2023-01-27 16:59:40,(858) 523-0293,(978) 437-8371,345 characters,Received Text
2023-01-27 20:26:05,(383) 147-9292,(978) 437-8371,137 characters,Received Text
2023-01-27 21:12:05,(858) 523-0293,(978) 437-8371,5.5 MB,Sent Media
2023-01-28 12:36:33,(858) 523-0293,(978) 437-8371,13 minutes,Outbound Call
2023-01-28 15:05:07,(996) 606-8812,(978) 437-8371,6 characters,Sent Text
2023-01-28 19:48:07,(383) 147-9292,(978) 437-8371,211 characters,Received Text
2023-01-28 19:57:30,(996) 606-8812,(978) 437-8371,109 minutes,Inbound Call
2023-01-28 20:22:48,(383) 147-9292,(978) 437-8371,21 minutes,Outbound Call
2023-01-29 08:53:55,(996) 606-8812,(978) 437-8371,230 characters,Received Text
2023-01-29 15:10:24,(858) 523-0293,(978) 437-8371,57 characters,Sent Text
2023-01-30 12:14:23,(858) 523-0293,(978) 437-8371,82 characters,Sent Text
2023-01-30 16:21:14,(858) 523-0293,(978) 437-8371,159 characters,Received Text
2023-01-31 11:32:25,(383) 147-9292,(978) 437-8371,83 minutes,Outbound Call
2023-01-31 15:22:38,(383) 147-9292,(978) 437-8371,69 minutes,Inbound Call
2023-01-31 17:24:39,(858) 523-0293,(978) 437-8371,98 characters,Sent Text
2023-01-31 19:10:37,(858) 523-0293,(978) 437-8371,173 characters,Received Text
2023-01-31 19:21:38,(996) 606-8812,(978) 437-8371,36 minutes,Outbound Call
2023-01-31 19:59:04,(996) 606-8812,(978) 437-8371,44 minutes,Inbound Call
2023-01-31 20:13:49,(383) 147-9292,(978) 437-8371,270 characters,Sent Text
2023-01-31 21:53:31,(996) 606-8812,(978) 437-8371,94 characters,Sent Text
2023-02-01 10:06:37,(858) 523-0293,(978) 437-8371,272 characters,Sent Text
2023-02-01 15:40:03,(858) 523-0293,(978) 437-8371,42 minutes,Outbound Call
2023-02-01 16:19:14,(383) 147-9292,(978) 437-8371,242 characters,Received Text
2023-02-02 08:42:07,(858) 523-0293,(978) 437-8371,304 characters,Sent Text
2023-02-02 13:01:31,(996) 606-8812,(978) 437-8371,217 characters,Received Text
2023-02-02 15:35:55,(383) 147-9292,(978) 437-8371,82 minutes,Inbound Call
2023-02-02 17:04:20,(996) 606-8812,(978) 437-8371,248 characters,Sent Text
2023-02-03 08:00:28,(383) 147-9292,(978) 437-8371,94 minutes,Outbound Call
2023-02-04 14:14:49,(858) 523-0293,(978) 437-8371,257 characters,Sent Text
2023-02-04 14:45:36,(858) 523-0293,(978) 437-8371,237 characters,Received Text
2023-02-05 13:20:17,(858) 523-0293,(978) 437-8371,240 characters,Received Text
2023-02-05 15:20:18,(383) 147-9292,(978) 437-8371,140 characters,Sent Text
2023-02-05 17:37:01,(996) 606-8812,(978) 437-8371,31 minutes,Outbound Call
2023-02-05 18:44:25,(996) 606-8812,(978) 437-8371,291 characters,Received Text
2023-02-06 11:35:09,(383) 147-9292,(978) 437-8371,215 characters,Received Text
2023-02-06 12:27:51,(383) 147-9292,(978) 437-8371,182 characters,Sent Text
2023-02-07 19:16:00,(858) 523-0293,(978) 437-8371,14.5 MB,Received Media
2023-02-07 19:41:40,(383) 147-9292,(978) 437-8371,91 characters,Sent Text
2023-02-08 15:40:40,(858) 523-0293,(978) 437-8371,277 characters,Sent Text
2023-02-08 16:33:48,(383) 147-9292,(978) 437-8371,66 characters,Received Text
2023-02-08 17:48:32,(383) 147-9292,(978) 437-8371,339 characters,Sent Text
2023-02-09 13:06:11,(383) 147-9292,(978) 437-8371,75 characters,Received Text
2023-02-09 13:29:20,(996) 606-8812,(978) 437-8371,35 minutes,Inbound Call
2023-02-09 15:41:38,(383) 147-9292,(978) 437-8371,35 minutes,Outbound Call
2023-02-09 15:42:59,(383) 147-9292,(978) 437-8371,22 minutes,Inbound Call
2023-02-10 09:16:13,(383) 147-9292,(978) 437-8371,50 minutes,Outbound Call
2023-02-10 17:50:46,(383) 147-9292,(978) 437-8371,139 characters,Received Text
2023-02-10 17:56:36,(383) 147-9292,(978) 437-8371,274 characters,Sent Text
2023-02-10 21:40:14,(858) 523-0293,(978) 437-8371,313 characters,Received Text
2023-02-11 12:18:11,(996) 606-8812,(978) 437-8371,108 minutes,Inbound Call
2023-02-11 15:33:46,(858) 523-0293,(978) 437-8371,190 characters,Received Text
2023-02-11 15:45:14,(383) 147-9292,(978) 437-8371,28 characters,Received Text
2023-02-11 16:20:27,(858) 523-0293,(978) 437-8371,5.4 MB,Received Media
2023-02-11 16:32:40,(383) 147-9292,(978) 437-8371,80 minutes,Inbound Call
2023-02-12 12:10:30,(996) 606-8812,(978) 437-8371,335 characters,Received Text
2023-02-12 13:16:15,(996) 606-8812,(978) 437-8371,58 characters,Sent Text
2023-02-12 13:19:30,(858) 523-0293,(978) 437-8371,17 minutes,Inbound Call
2023-02-12 14:18:04,(383) 147-9292,(978) 437-8371,182 characters,Sent Text
