date,description,amount,balance
2023-01-01 19:11:04,Flexin - Payment,$-175.17,"$13,716.74"
2023-01-04 10:12:15,Healthn - Payment,$-188.39,"$13,528.35"
2023-01-05 11:26:03,Foodr - Payment,$-121.14,"$13,407.21"
2023-01-12 19:49:01,Fitr - Payment,$-120.78,"$13,286.43"
2023-01-15 11:11:04,Fitr - Payment,$-96.11,"$13,190.32"
2023-01-16 21:40:39,Fitr - Payment,$-60.74,"$13,129.58"
2023-01-20 14:27:19,Foodr - Payment,$-45.65,"$13,083.93"
2023-01-21 16:39:28,Fitr - Payment,$-55.11,"$12,892.52"
2023-01-21 21:14:13,Foodr - Payment,$-136.30,"$12,947.63"
2023-01-25 14:17:12,Foodr - Payment,$-31.53,"$12,860.99"
2023-01-25 18:30:46,Fitr - Payment,$-161.49,"$12,699.50"
2023-01-30 17:31:11,Fitr - Payment,$-118.60,"$12,580.90"
2023-02-05 19:44:22,Foodr - Payment,$-92.75,"$12,488.15"
2023-02-09 09:03:49,Fitr - Payment,$-155.13,"$12,333.02"
2023-02-15 20:32:34,Fitr - Payment,$-144.73,"$12,188.29"
2023-02-17 08:48:40,Flexin - Payment,$-190.97,"$11,997.32"
2023-02-19 18:03:18,Fitr - Payment,$-151.13,"$11,846.19"
2023-02-20 09:59:09,Fitr - Payment,$-25.32,"$11,820.87"
2023-02-24 13:49:34,Foodr - Payment,$-153.91,"$11,666.96"
2023-03-05 14:47:20,Fitr - Payment,$-168.24,"$11,498.72"
2023-03-14 12:11:43,Foodr - Payment,$-72.88,"$11,425.84"
2023-03-21 19:09:21,Fitr - Payment,$-126.20,"$11,299.64"
2023-03-24 16:20:12,Fitr - Payment,$-85.87,"$11,213.77"
2023-03-28 12:10:17,Fitr - Payment,$-56.48,"$11,157.29"
2023-03-30 19:21:09,Fitr - Payment,$-34.99,"$11,122.30"
2023-04-06 21:50:11,Foodr - Payment,$-187.25,"$10,935.05"
2023-04-11 15:54:23,AffordableHub - Payment,$-103.93,"$10,831.12"
2023-04-15 14:20:02,Foodr - Payment,$-132.70,"$10,698.42"
2023-04-16 18:28:46,Fitr - Payment,$-189.30,"$10,509.12"
2023-04-17 12:30:09,Foodr - Payment,$-74.70,"$10,434.42"
2023-04-18 09:19:08,Flexin - Payment,$-142.20,"$10,292.22"
2023-04-22 21:46:57,Healthn - Payment,$-32.33,"$10,259.89"
2023-04-23 17:57:45,Fitr - Payment,$-168.60,"$10,091.29"
2023-04-27 08:58:39,Healthn - Payment,$-161.35,"$9,929.94"
2023-05-11 10:54:47,Fitr - Payment,$-150.90,"$9,779.04"
2023-05-14 14:43:46,Fitr - Payment,$-137.61,"$9,641.43"
2023-05-27 09:29:40,Foodr - Payment,$-195.31,"$9,446.12"
2023-05-30 14:00:21,Fitr - Payment,$-75.27,"$9,370.85"
2023-06-02 11:23:34,Foodr - Payment,$-76.74,"$9,294.11"
2023-06-14 10:20:45,Fitr - Payment,$-51.30,"$9,242.81"
2023-06-18 10:22:29,Foodr - Payment,$-57.40,"$9,185.41"
2023-06-18 16:04:52,StrongLink - Payment,$-27.92,"$9,157.49"
2023-06-20 15:44:09,Fitr - Payment,$-48.80,"$9,108.69"
2023-06-23 14:24:46,Fitr - Payment,$-99.77,"$9,008.92"
2023-06-24 15:08:19,Fitr - Payment,$-85.95,"$8,922.97"
2023-06-29 10:46:27,Healthn - Payment,$-172.10,"$8,750.87"
2023-07-02 17:30:40,Foodr - Payment,$-168.85,"$8,582.02"
2023-07-06 14:14:48,Foodr - Payment,$-166.81,"$8,415.21"
2023-07-09 12:29:12,Flexin - Payment,$-20.45,"$8,394.76"
2023-07-11 16:19:33,Fitr - Payment,$-182.37,"$8,212.39"
2023-07-12 20:46:11,AffordableHub - Payment,$-46.56,"$8,165.83"
2023-07-20 10:10:48,Fitr - Payment,$-150.15,"$7,965.49"
2023-07-20 21:44:11,Foodr - Payment,$-50.19,"$8,115.64"
2023-08-11 20:13:29,StrongLink - Payment,$-172.78,"$7,792.71"
2023-08-14 12:13:51,Fitr - Payment,$-53.12,"$7,739.59"
2023-08-20 11:56:21,Foodr - Payment,$-151.19,"$7,588.40"
2023-08-23 08:45:19,Fitr - Payment,$-195.78,"$7,392.62"
2023-08-25 20:59:08,Foodr - Payment,$-29.16,"$7,363.46"
2023-08-29 09:26:08,youGrocery - Payment,$-87.13,"$7,276.33"
2023-08-30 16:39:38,StrongLink - Payment,$-25.55,"$7,250.78"
2023-09-03 10:30:51,Healthn - Payment,$-166.49,"$7,084.29"
2023-09-04 10:10:43,Foodr - Payment,$-145.88,"$6,938.41"
2023-09-12 14:13:29,Foodr - Payment,$-191.56,"$6,746.85"
2023-09-13 11:19:32,Fitr - Payment,$-120.39,"$6,626.46"
2023-09-15 18:48:59,Flexin - Payment,$-180.70,"$6,445.76"
2023-09-17 09:28:34,Foodr - Payment,$-66.30,"$6,379.46"
2023-09-18 11:40:57,Fitr - Payment,$-37.41,"$6,342.05"
2023-09-22 10:48:06,Fitr - Payment,$-48.57,"$6,293.48"
2023-09-23 18:43:58,Foodr - Payment,$-111.66,"$6,181.82"
2023-09-29 18:18:03,Fitr - Payment,$-32.83,"$5,958.68"
2023-09-29 19:24:25,Foodr - Payment,$-190.31,"$5,991.51"
2023-10-02 08:22:29,youGrocery - Payment,$-79.56,"$5,879.12"
2023-10-03 09:35:01,Fitr - Payment,$-125.84,"$5,753.28"
2023-10-04 19:08:40,Fitr - Payment,$-44.77,"$5,708.51"
2023-10-05 10:49:51,StrongLink - Payment,$-100.68,"$5,607.83"
2023-10-15 14:38:40,Foodr - Payment,$-160.20,"$5,447.63"
2023-10-22 21:29:10,Fitr - Payment,$-173.40,"$5,274.23"
2023-10-27 15:04:38,Fitr - Payment,$-36.23,"$5,238.00"
2023-10-28 19:06:20,Fitr - Payment,$-119.43,"$5,118.57"
2023-10-30 16:15:20,Fitr - Payment,$-113.66,"$5,004.91"
2023-11-05 21:53:45,Fitr - Payment,$-46.60,"$4,958.31"
2023-11-15 14:58:11,Flexin - Payment,$-145.83,"$4,812.48"
2023-11-17 20:07:34,Fitr - Payment,$-57.40,"$4,755.08"
2023-11-28 09:02:11,Foodr - Payment,$-48.30,"$4,706.78"
2023-12-08 15:38:58,Fitr - Payment,$-193.70,"$4,513.08"
2023-12-11 13:21:51,Fitr - Payment,$-177.21,"$4,335.87"
2023-12-22 18:16:42,Fitr - Payment,$-33.28,"$4,302.59"
2023-12-25 12:33:24,Fitr - Payment,$-62.20,"$4,240.39"
2023-12-29 12:35:35,Fitr - Payment,$-148.80,"$4,091.59"
2024-01-02 16:28:27,Fitr - Payment,$-177.14,"$3,914.45"
2024-01-04 21:08:53,Flexin - Payment,$-78.86,"$3,835.59"
2024-01-05 21:53:27,Flexin - Payment,$-197.60,"$3,637.99"
2024-01-07 15:50:15,youGrocery - Payment,$-61.18,"$3,576.81"
2024-01-09 19:57:57,Fitr - Payment,$-104.56,"$3,472.25"
2024-01-21 11:30:51,Fitr - Payment,$-118.49,"$3,353.76"
2024-01-23 17:21:00,Foodr - Payment,$-96.24,"$3,257.52"
2024-01-25 09:11:10,Fitr - Payment,$-112.74,"$3,144.78"
2024-01-26 08:04:30,Fitr - Payment,$-76.75,"$3,068.03"
2024-01-27 11:48:25,Fitr - Payment,$-155.89,"$2,912.14"
