date,to,from_,size,type_
2023-01-01 11:50:03,(721) 440-0677,(974) 331-4740,294 characters,Received Text
2023-01-01 19:26:58,(721) 440-0677,(974) 331-4740,320 characters,Sent Text
2023-01-02 08:58:23,(721) 440-0677,(974) 331-4740,67 minutes,Inbound Call
2023-01-02 10:00:31,(721) 440-0677,(974) 331-4740,56 characters,Received Text
2023-01-03 13:22:20,(721) 440-0677,(974) 331-4740,176 characters,Sent Text
2023-01-04 15:38:44,(721) 440-0677,(974) 331-4740,209 characters,Sent Text
2023-01-05 11:36:53,(721) 440-0677,(974) 331-4740,187 characters,Received Text
2023-01-06 08:20:55,(721) 440-0677,(974) 331-4740,50 minutes,Outbound Call
2023-01-07 09:33:47,(721) 440-0677,(974) 331-4740,149 characters,Received Text
2023-01-07 20:05:30,(721) 440-0677,(974) 331-4740,105 characters,Sent Text
2023-01-08 13:32:54,(721) 440-0677,(974) 331-4740,259 characters,Received Text
2023-01-09 11:06:33,(721) 440-0677,(974) 331-4740,253 characters,Sent Text
2023-01-10 09:32:40,(721) 440-0677,(974) 331-4740,276 characters,Received Text
2023-01-10 19:57:23,(721) 440-0677,(974) 331-4740,114 characters,Sent Text
2023-01-11 11:55:23,(721) 440-0677,(974) 331-4740,46 minutes,Inbound Call
2023-01-11 19:46:41,(721) 440-0677,(974) 331-4740,234 characters,Received Text
2023-01-12 17:44:08,(721) 440-0677,(974) 331-4740,121 characters,Sent Text
2023-01-12 17:49:25,(721) 440-0677,(974) 331-4740,99 minutes,Outbound Call
2023-01-12 20:38:24,(721) 440-0677,(974) 331-4740,113 minutes,Inbound Call
2023-01-13 14:22:28,(721) 440-0677,(974) 331-4740,84 minutes,Inbound Call
2023-01-13 21:12:48,(721) 440-0677,(974) 331-4740,70 minutes,Outbound Call
2023-01-18 11:54:51,(721) 440-0677,(974) 331-4740,77 characters,Received Text
2023-01-18 16:18:10,(721) 440-0677,(974) 331-4740,105 characters,Sent Text
2023-01-21 16:01:18,(721) 440-0677,(974) 331-4740,136 characters,Sent Text
2023-01-22 16:26:18,(721) 440-0677,(974) 331-4740,241 characters,Received Text
2023-01-24 20:11:42,(721) 440-0677,(974) 331-4740,15.7 MB,Received Media
2023-01-25 10:05:46,(721) 440-0677,(974) 331-4740,53 minutes,Outbound Call
2023-01-26 10:53:31,(721) 440-0677,(974) 331-4740,118 characters,Received Text
2023-01-27 14:25:19,(721) 440-0677,(974) 331-4740,33 minutes,Inbound Call
2023-01-28 08:28:17,(721) 440-0677,(974) 331-4740,231 characters,Sent Text
2023-01-29 19:21:44,(721) 440-0677,(974) 331-4740,181 characters,Sent Text
2023-01-29 21:18:24,(721) 440-0677,(974) 331-4740,59 minutes,Outbound Call
2023-02-01 16:18:38,(721) 440-0677,(974) 331-4740,220 characters,Received Text
2023-02-02 15:34:03,(721) 440-0677,(974) 331-4740,248 characters,Sent Text
2023-02-03 15:25:01,(721) 440-0677,(974) 331-4740,102 minutes,Inbound Call
2023-02-04 15:17:14,(721) 440-0677,(974) 331-4740,3 minutes,Inbound Call
2023-02-05 16:17:57,(721) 440-0677,(974) 331-4740,51 minutes,Inbound Call
2023-02-05 17:56:53,(721) 440-0677,(974) 331-4740,165 characters,Received Text
2023-02-05 20:54:23,(721) 440-0677,(974) 331-4740,55 characters,Sent Text
2023-02-06 08:08:01,(721) 440-0677,(974) 331-4740,51 characters,Received Text
2023-02-06 19:04:14,(721) 440-0677,(974) 331-4740,31 minutes,Outbound Call
2023-02-07 11:34:44,(721) 440-0677,(974) 331-4740,32 minutes,Inbound Call
2023-02-08 11:25:12,(721) 440-0677,(974) 331-4740,272 characters,Received Text
2023-02-08 12:49:12,(721) 440-0677,(974) 331-4740,72 minutes,Inbound Call
2023-02-10 09:25:44,(721) 440-0677,(974) 331-4740,44 minutes,Outbound Call
2023-02-11 14:32:08,(721) 440-0677,(974) 331-4740,41 minutes,Inbound Call
2023-02-12 16:27:35,(721) 440-0677,(974) 331-4740,31 minutes,Inbound Call
2023-02-12 20:01:13,(721) 440-0677,(974) 331-4740,47 characters,Sent Text
2023-02-15 16:26:48,(721) 440-0677,(974) 331-4740,252 characters,Sent Text
2023-02-16 15:30:30,(721) 440-0677,(974) 331-4740,332 characters,Sent Text
2023-02-16 21:38:35,(721) 440-0677,(974) 331-4740,281 characters,Received Text
2023-02-18 17:50:57,(721) 440-0677,(974) 331-4740,206 characters,Sent Text
