date,description,amount,balance
2023-01-03 15:58:14,StrongLink - Payment,$-191.17,"$18,383.24"
2023-01-04 18:48:40,AffordableHub - Payment,$-191.82,"$18,191.42"
2023-01-04 20:06:03,StrongLink - Payment,$-84.91,"$18,106.51"
2023-01-05 18:25:21,Flexin - Payment,$-55.15,"$18,051.36"
2023-01-06 09:05:02,youGrocery - Payment,$-65.58,"$17,985.78"
2023-01-07 17:17:11,StrongLink - Payment,$-114.33,"$17,871.45"
2023-01-09 11:36:15,StrongLink - Payment,$-103.69,"$17,767.76"
2023-01-10 19:53:28,youGrocery - Payment,$-80.98,"$17,686.78"
2023-01-12 17:01:43,StrongLink - Payment,$-119.47,"$17,567.31"
2023-01-13 18:53:38,StrongLink - Payment,$-22.96,"$17,544.35"
2023-01-14 08:34:06,StrongLink - Payment,$-38.58,"$17,505.77"
2023-01-15 12:56:56,StrongLink - Payment,$-175.74,"$17,330.03"
2023-01-18 12:18:44,StrongLink - Payment,$-121.60,"$17,068.48"
2023-01-18 18:52:23,youGrocery - Payment,$-139.95,"$17,190.08"
2023-01-22 16:47:51,StrongLink - Payment,$-93.56,"$16,782.18"
2023-01-22 20:27:05,youGrocery - Payment,$-192.74,"$16,875.74"
2023-01-23 20:20:28,StrongLink - Payment,$-126.92,"$16,655.26"
2023-01-26 08:57:34,StrongLink - Payment,$-180.54,"$16,474.72"
2023-01-27 19:50:22,Flexin - Payment,$-177.16,"$16,297.56"
2023-01-29 19:13:02,StrongLink - Payment,$-62.45,"$16,235.11"
2023-01-30 13:21:19,StrongLink - Payment,$-39.44,"$16,137.12"
2023-01-30 13:38:08,youGrocery - Payment,$-58.55,"$16,176.56"
2023-02-01 09:55:40,youGrocery - Payment,$-164.75,"$15,972.37"
2023-02-01 21:43:38,StrongLink - Payment,$-48.62,"$15,923.75"
2023-02-02 16:31:55,StrongLink - Payment,$-25.53,"$15,898.22"
2023-02-03 19:13:00,StrongLink - Payment,$-79.62,"$15,818.60"
2023-02-06 08:33:31,StrongLink - Payment,$-127.60,"$15,691.00"
2023-02-07 12:03:54,AffordableHub - Payment,$-139.57,"$15,551.43"
2023-02-08 08:24:53,StrongLink - Payment,$-130.36,"$15,421.07"
2023-02-09 08:01:09,StrongLink - Payment,$-23.24,"$15,397.83"
2023-02-10 14:48:44,StrongLink - Payment,$-40.13,"$15,357.70"
