date,description,amount,balance
2023-01-04 21:01:37,Fitr - Payment,$-127.97,"$33,668.87"
2023-01-08 13:27:15,StrongLink - Payment,$-189.58,"$33,479.29"
2023-01-10 14:09:52,StrongLink - Payment,$-180.62,"$33,298.67"
2023-01-12 09:24:16,StrongLink - Payment,$-120.80,"$33,103.43"
2023-01-12 20:49:09,AffordableHub - Payment,$-74.44,"$33,224.23"
2023-01-17 12:08:59,AffordableHub - Payment,$-24.21,"$33,079.22"
2023-01-31 13:37:53,StrongLink - Payment,$-66.54,"$33,012.68"
2023-02-04 12:32:11,Foodr - Payment,$-178.60,"$32,834.08"
2023-02-09 18:43:16,StrongLink - Payment,$-103.85,"$32,730.23"
2023-02-12 09:55:41,AffordableHub - Payment,$-34.21,"$32,696.02"
2023-02-13 16:08:45,StrongLink - Payment,$-53.12,"$32,525.30"
2023-02-13 16:16:49,AffordableHub - Payment,$-117.60,"$32,578.42"
2023-02-14 16:33:39,AffordableHub - Payment,$-163.87,"$32,361.43"
2023-02-15 15:27:09,StrongLink - Payment,$-180.60,"$32,180.83"
2023-02-17 10:10:20,youGrocery - Payment,$-112.75,"$32,068.08"
2023-02-18 18:39:32,Foodr - Payment,$-98.25,"$31,969.83"
2023-02-22 10:59:55,Fitr - Payment,$-66.93,"$31,902.90"
2023-02-27 13:24:57,StrongLink - Payment,$-183.70,"$31,719.20"
2023-02-28 20:05:30,Healthn - Payment,$-147.85,"$31,571.35"
2023-03-01 16:36:21,AffordableHub - Payment,$-119.00,"$31,452.35"
2023-03-02 15:59:45,Healthn - Payment,$-98.42,"$31,353.93"
2023-03-04 09:06:32,StrongLink - Payment,$-133.46,"$31,119.72"
2023-03-04 12:18:38,AffordableHub - Payment,$-100.75,"$31,253.18"
2023-03-15 16:59:39,Fitr - Payment,$-158.43,"$30,961.29"
2023-03-22 18:03:35,AffordableHub - Payment,$-118.58,"$30,842.71"
2023-03-25 18:44:00,StrongLink - Payment,$-44.40,"$30,798.31"
2023-03-26 19:10:45,AffordableHub - Payment,$-35.86,"$30,762.45"
2023-04-02 21:19:14,AffordableHub - Payment,$-198.64,"$30,563.81"
2023-04-03 14:10:36,AffordableHub - Payment,$-23.57,"$30,540.24"
2023-04-05 21:42:00,Foodr - Payment,$-160.86,"$30,379.38"
2023-04-10 21:25:09,AffordableHub - Payment,$-157.24,"$30,222.14"
2023-04-12 09:20:37,AffordableHub - Payment,$-130.22,"$30,091.92"
2023-04-14 18:11:22,StrongLink - Payment,$-79.43,"$30,012.49"
2023-04-23 10:14:31,StrongLink - Payment,$-122.91,"$29,780.05"
2023-04-23 15:28:09,AffordableHub - Payment,$-109.53,"$29,902.96"
2023-04-27 20:08:20,AffordableHub - Payment,$-51.25,"$29,728.80"
2023-04-30 20:18:45,AffordableHub - Payment,$-73.24,"$29,655.56"
2023-05-01 10:37:23,AffordableHub - Payment,$-191.60,"$29,463.96"
2023-05-04 10:15:19,AffordableHub - Payment,$-118.17,"$29,345.79"
2023-05-11 16:58:31,Fitr - Payment,$-50.45,"$29,295.34"
2023-05-19 13:18:22,AffordableHub - Payment,$-149.71,"$29,145.63"
2023-05-22 10:30:18,Foodr - Payment,$-37.41,"$29,108.22"
2023-05-22 18:34:07,StrongLink - Payment,$-162.40,"$28,945.82"
2023-05-24 16:54:57,Foodr - Payment,$-96.60,"$28,849.22"
2023-05-24 20:55:15,StrongLink - Payment,$-49.31,"$28,799.91"
2023-05-29 15:50:47,AffordableHub - Payment,$-148.53,"$28,651.38"
2023-06-02 20:27:40,StrongLink - Payment,$-85.18,"$28,566.20"
2023-06-03 20:49:01,AffordableHub - Payment,$-143.24,"$28,422.96"
2023-06-05 16:52:50,StrongLink - Payment,$-150.11,"$28,272.85"
2023-06-07 10:17:31,AffordableHub - Payment,$-150.43,"$28,122.42"
2023-06-08 11:32:08,StrongLink - Payment,$-180.28,"$27,942.14"
2023-06-11 15:47:29,AffordableHub - Payment,$-182.76,"$27,759.38"
2023-06-14 18:07:41,StrongLink - Payment,$-64.96,"$27,694.42"
2023-06-29 14:13:17,Foodr - Payment,$-133.00,"$27,561.42"
2023-06-30 11:21:28,AffordableHub - Payment,$-21.45,"$27,539.97"
2023-07-03 17:18:21,StrongLink - Payment,$-28.87,"$27,511.10"
2023-07-04 13:58:09,AffordableHub - Payment,$-63.16,"$27,447.94"
2023-07-18 21:46:02,StrongLink - Payment,$-191.63,"$27,256.31"
2023-07-19 15:46:11,AffordableHub - Payment,$-74.65,"$27,181.66"
2023-07-24 21:29:31,Healthn - Payment,$-159.29,"$27,022.37"
2023-08-02 15:41:35,StrongLink - Payment,$-126.93,"$26,895.44"
2023-08-07 19:52:09,StrongLink - Payment,$-102.38,"$26,793.06"
2023-08-08 17:42:21,AffordableHub - Payment,$-23.16,"$26,769.90"
2023-08-10 08:10:21,StrongLink - Payment,$-73.71,"$26,696.19"
2023-08-11 15:08:51,StrongLink - Payment,$-152.23,"$26,543.96"
2023-08-16 13:56:10,StrongLink - Payment,$-114.84,"$26,429.12"
2023-08-17 20:40:39,AffordableHub - Payment,$-20.56,"$26,408.56"
2023-08-18 18:13:31,StrongLink - Payment,$-172.53,"$26,236.03"
2023-08-20 09:27:42,StrongLink - Payment,$-40.64,"$26,195.39"
2023-08-21 11:23:36,AffordableHub - Payment,$-189.58,"$26,005.81"
2023-08-25 12:28:05,StrongLink - Payment,$-114.80,"$25,891.01"
2023-08-31 16:49:12,AffordableHub - Payment,$-182.97,"$25,708.04"
2023-09-03 10:58:39,StrongLink - Payment,$-128.94,"$25,579.10"
2023-09-04 16:16:08,StrongLink - Payment,$-23.99,"$25,555.11"
2023-09-05 09:29:09,StrongLink - Payment,$-161.75,"$25,393.36"
2023-09-09 10:29:01,AffordableHub - Payment,$-68.83,"$25,324.53"
2023-09-14 09:01:19,StrongLink - Payment,$-175.33,"$25,149.20"
2023-09-15 15:57:03,StrongLink - Payment,$-128.52,"$25,020.68"
2023-09-16 11:30:31,AffordableHub - Payment,$-89.64,"$24,931.04"
2023-09-18 16:56:11,AffordableHub - Payment,$-36.94,"$24,894.10"
2023-09-20 15:16:43,StrongLink - Payment,$-129.49,"$24,764.61"
2023-09-22 21:26:40,StrongLink - Payment,$-151.27,"$24,613.34"
2023-09-27 14:38:23,StrongLink - Payment,$-179.34,"$24,434.00"
2023-10-01 13:19:51,StrongLink - Payment,$-66.94,"$24,245.32"
2023-10-01 17:15:28,AffordableHub - Payment,$-121.74,"$24,312.26"
2023-10-04 10:25:13,StrongLink - Payment,$-71.29,"$24,174.03"
2023-10-07 12:33:53,StrongLink - Payment,$-20.30,"$24,153.73"
2023-10-11 12:58:33,StrongLink - Payment,$-68.18,"$24,085.55"
2023-10-16 13:20:15,AffordableHub - Payment,$-51.68,"$24,033.87"
2023-10-17 15:15:01,StrongLink - Payment,$-37.20,"$23,996.67"
2023-10-18 11:40:53,AffordableHub - Payment,$-140.64,"$23,856.03"
2023-10-20 16:46:32,AffordableHub - Payment,$-32.69,"$23,823.34"
2023-11-01 18:11:40,AffordableHub - Payment,$-174.88,"$23,648.46"
2023-11-07 18:46:36,StrongLink - Payment,$-105.25,"$23,543.21"
2023-11-08 09:38:03,AffordableHub - Payment,$-59.84,"$23,483.37"
2023-11-08 10:54:48,Flexin - Payment,$-154.80,"$23,328.57"
2023-11-09 10:47:01,AffordableHub - Payment,$-152.81,"$23,175.76"
2023-11-09 13:03:21,StrongLink - Payment,$-155.27,"$23,020.49"
2023-11-13 13:51:44,youGrocery - Payment,$-123.10,"$22,897.39"
2023-11-16 20:45:15,AffordableHub - Payment,$-132.41,"$22,764.98"
2023-11-18 15:25:09,StrongLink - Payment,$-112.41,"$22,652.57"
2023-11-30 20:52:39,AffordableHub - Payment,$-33.62,"$22,618.95"
2023-12-02 16:12:27,StrongLink - Payment,$-73.24,"$22,545.71"
2023-12-07 08:07:13,AffordableHub - Payment,$-166.36,"$22,379.35"
2023-12-10 20:44:25,StrongLink - Payment,$-168.29,"$22,211.06"
2023-12-12 17:44:42,youGrocery - Payment,$-95.38,"$22,115.68"
2023-12-17 19:46:00,youGrocery - Payment,$-106.83,"$22,008.85"
2023-12-21 20:58:48,Foodr - Payment,$-104.63,"$21,904.22"
2024-01-06 12:38:46,AffordableHub - Payment,$-71.49,"$21,832.73"
2024-01-08 13:57:03,StrongLink - Payment,$-106.59,"$21,726.14"
2024-01-10 19:18:19,StrongLink - Payment,$-112.95,"$21,613.19"
2024-01-12 11:53:14,StrongLink - Payment,$-58.26,"$21,554.93"
2024-01-16 19:48:37,AffordableHub - Payment,$-194.26,"$21,360.67"
2024-01-17 15:27:48,AffordableHub - Payment,$-177.32,"$21,183.35"
2024-01-18 11:03:49,youGrocery - Payment,$-113.39,"$21,069.96"
2024-01-24 19:12:44,youGrocery - Payment,$-20.70,"$21,049.26"
2024-01-26 09:36:35,AffordableHub - Payment,$-30.88,"$21,018.38"
2024-01-27 19:19:07,AffordableHub - Payment,$-111.39,"$20,906.99"
2024-02-09 18:56:33,AffordableHub - Payment,$-178.82,"$20,728.17"
2024-02-11 17:34:30,StrongLink - Payment,$-59.98,"$20,668.19"
2024-02-25 21:27:12,AffordableHub - Payment,$-128.58,"$20,539.61"
2024-02-26 12:17:23,AffordableHub - Payment,$-101.46,"$20,438.15"
2024-02-26 19:21:26,StrongLink - Payment,$-110.78,"$20,327.37"
2024-02-29 17:21:25,AffordableHub - Payment,$-130.56,"$20,196.81"
2024-03-01 17:39:46,Flexin - Payment,$-76.82,"$20,119.99"
2024-03-02 08:49:43,StrongLink - Payment,$-78.12,"$20,041.87"
2024-03-07 18:28:53,StrongLink - Payment,$-109.88,"$19,931.99"
2024-03-09 18:18:03,AffordableHub - Payment,$-160.83,"$19,771.16"
2024-03-10 14:59:43,AffordableHub - Payment,$-66.36,"$19,704.80"
2024-03-14 13:02:21,StrongLink - Payment,$-89.68,"$19,615.12"
2024-03-22 18:41:29,Foodr - Payment,$-41.00,"$19,574.12"
2024-03-24 21:53:12,AffordableHub - Payment,$-116.23,"$19,457.89"
2024-03-25 15:40:52,StrongLink - Payment,$-23.61,"$19,434.28"
2024-03-29 16:59:52,Healthn - Payment,$-83.45,"$19,350.83"
2024-04-05 17:36:20,Foodr - Payment,$-71.70,"$19,279.13"
2024-04-06 16:17:59,StrongLink - Payment,$-124.56,"$19,154.57"
2024-04-12 10:12:08,AffordableHub - Payment,$-109.45,"$19,045.12"
2024-04-12 12:49:17,StrongLink - Payment,$-189.22,"$18,855.90"
2024-04-15 16:47:54,StrongLink - Payment,$-77.70,"$18,778.20"
2024-04-16 16:22:06,Flexin - Payment,$-24.28,"$18,753.92"
2024-04-25 17:05:04,Foodr - Payment,$-48.63,"$18,705.29"
2024-04-28 18:49:48,AffordableHub - Payment,$-51.90,"$18,653.39"
2024-04-30 18:44:39,AffordableHub - Payment,$-55.90,"$18,597.49"
2024-05-06 10:09:08,Healthn - Payment,$-163.59,"$18,433.90"
2024-05-15 20:43:42,StrongLink - Payment,$-183.51,"$18,250.39"
2024-05-23 17:39:50,AffordableHub - Payment,$-50.91,"$18,199.48"
2024-05-24 15:52:33,StrongLink - Payment,$-48.43,"$18,151.05"
2024-05-25 19:41:42,StrongLink - Payment,$-191.69,"$17,959.36"
2024-05-27 15:50:09,AffordableHub - Payment,$-93.76,"$17,865.60"
2024-06-03 18:33:25,AffordableHub - Payment,$-160.95,"$17,704.65"
2024-06-04 16:01:35,AffordableHub - Payment,$-176.48,"$17,528.17"
2024-06-05 08:11:34,AffordableHub - Payment,$-70.47,"$17,457.70"
2024-06-05 08:28:18,StrongLink - Payment,$-142.96,"$17,314.74"
2024-06-09 09:26:56,AffordableHub - Payment,$-115.40,"$17,199.34"
2024-06-10 13:12:57,StrongLink - Payment,$-137.38,"$17,061.96"
2024-06-14 12:32:13,AffordableHub - Payment,$-122.41,"$16,939.55"
2024-06-14 15:52:12,StrongLink - Payment,$-70.70,"$16,868.85"
2024-06-20 16:34:23,AffordableHub - Payment,$-98.94,"$16,769.91"
2024-07-03 21:35:33,AffordableHub - Payment,$-190.46,"$16,579.45"
2024-07-05 19:54:02,StrongLink - Payment,$-181.91,"$16,397.54"
2024-07-09 09:34:57,StrongLink - Payment,$-147.28,"$16,250.26"
2024-07-11 20:44:54,AffordableHub - Payment,$-177.63,"$16,072.63"
2024-07-13 20:37:08,AffordableHub - Payment,$-40.95,"$16,031.68"
2024-07-18 20:16:11,StrongLink - Payment,$-163.40,"$15,868.28"
2024-07-19 20:26:15,AffordableHub - Payment,$-134.53,"$15,733.75"
2024-07-25 17:21:02,StrongLink - Payment,$-127.68,"$15,606.07"
2024-08-03 13:51:14,AffordableHub - Payment,$-138.73,"$15,467.34"
2024-08-12 17:15:42,StrongLink - Payment,$-155.97,"$15,311.37"
