date,description,amount,balance
2023-01-01 12:42:46,Flexin - Payment,$-152.60,"$29,527.81"
2023-01-03 21:22:21,Flexin - Payment,$-136.15,"$29,391.66"
2023-01-05 10:57:57,Flexin - Payment,$-199.15,"$29,192.51"
2023-01-06 00:00:00,Purchase by youGrocery,"$2,000.00","$31,069.82"
2023-01-06 20:34:36,Flexin - Payment,$-122.69,"$29,069.82"
2023-01-13 00:00:00,Purchase by youGrocery,"$2,000.00","$33,069.82"
2023-01-14 11:29:39,Flexin - Payment,$-122.14,"$32,947.68"
2023-01-16 08:43:03,Flexin - Payment,$-149.19,"$32,798.49"
2023-01-20 00:00:00,Purchase by youGrocery,"$2,000.00","$34,798.49"
2023-01-22 10:02:15,Flexin - Payment,$-168.51,"$34,629.98"
2023-01-27 00:00:00,Purchase by youGrocery,"$2,000.00","$36,629.98"
2023-01-29 11:59:19,Flexin - Payment,$-184.50,"$36,445.48"
2023-01-30 15:54:17,Flexin - Payment,$-181.60,"$36,263.88"
2023-02-03 00:00:00,Purchase by youGrocery,"$2,000.00","$38,263.88"
2023-02-05 12:42:43,Flexin - Payment,$-100.76,"$38,163.12"
2023-02-07 16:40:19,Healthn - Payment,$-191.89,"$37,971.23"
2023-02-08 18:48:21,Flexin - Payment,$-84.31,"$37,886.92"
2023-02-10 00:00:00,Purchase by youGrocery,"$2,000.00","$39,708.95"
2023-02-10 19:21:16,Flexin - Payment,$-177.97,"$37,708.95"
2023-02-16 15:12:42,Flexin - Payment,$-50.80,"$39,658.15"
2023-02-17 00:00:00,Purchase by youGrocery,"$2,000.00","$41,585.91"
2023-02-17 13:19:46,Flexin - Payment,$-72.24,"$39,585.91"
2023-02-20 14:05:02,Flexin - Payment,$-154.46,"$41,431.45"
2023-02-21 17:16:18,Flexin - Payment,$-174.56,"$41,256.89"
2023-02-23 13:41:21,Flexin - Payment,$-105.23,"$41,151.66"
2023-02-24 00:00:00,Purchase by youGrocery,"$2,000.00","$43,151.66"
2023-02-28 13:08:25,Flexin - Payment,$-25.75,"$43,125.91"
2023-03-02 11:26:49,Flexin - Payment,$-167.43,"$42,958.48"
2023-03-03 00:00:00,Purchase by youGrocery,"$2,000.00","$44,958.48"
2023-03-04 11:14:33,Healthn - Payment,$-23.21,"$44,935.27"
2023-03-04 17:07:42,Flexin - Payment,$-175.32,"$44,759.95"
2023-03-10 00:00:00,Purchase by youGrocery,"$2,000.00","$46,617.44"
2023-03-10 20:06:04,Flexin - Payment,$-142.51,"$44,617.44"
2023-03-13 20:01:57,Flexin - Payment,$-89.55,"$46,527.89"
2023-03-14 16:15:23,Flexin - Payment,$-88.26,"$46,439.63"
2023-03-17 00:00:00,Purchase by youGrocery,"$2,000.00","$48,439.63"
2023-03-19 10:02:27,StrongLink - Payment,$-171.20,"$48,268.43"
2023-03-20 14:08:04,Flexin - Payment,$-46.32,"$48,222.11"
2023-03-21 11:00:31,Flexin - Payment,$-111.64,"$48,110.47"
2023-03-22 11:33:50,Flexin - Payment,$-102.66,"$48,007.81"
