date,description,amount,balance
2023-01-11 13:14:28,youGrocery - Payment,$-80.64,"$6,974.18"
2023-01-11 15:43:51,Fitr - Payment,$-48.20,"$6,925.98"
2023-01-12 09:57:10,AffordableHub - Payment,$-132.00,"$6,793.98"
2023-01-13 21:09:29,StrongLink - Payment,$-91.47,"$6,702.51"
2023-01-17 17:49:39,youGrocery - Payment,$-145.44,"$6,557.07"
2023-01-19 12:12:04,StrongLink - Payment,$-172.33,"$6,384.74"
2023-01-22 12:49:08,StrongLink - Payment,$-188.42,"$6,196.32"
2023-02-10 20:00:16,AffordableHub - Payment,$-148.46,"$6,047.86"
2023-02-27 20:08:57,Foodr - Payment,$-106.72,"$5,941.14"
2023-03-11 20:00:51,AffordableHub - Payment,$-41.47,"$5,899.67"
2023-03-13 12:59:59,StrongLink - Payment,$-180.35,"$5,719.32"
2023-03-22 09:56:33,StrongLink - Payment,$-120.88,"$5,421.14"
2023-03-22 16:13:40,Healthn - Payment,$-177.30,"$5,542.02"
2023-03-27 10:15:21,AffordableHub - Payment,$-38.62,"$5,382.52"
2023-03-27 20:03:45,StrongLink - Payment,$-131.82,"$5,250.70"
2023-04-10 08:00:11,Foodr - Payment,$-86.68,"$5,164.02"
2023-04-11 09:25:32,AffordableHub - Payment,$-30.28,"$5,133.74"
2023-04-15 12:39:29,StrongLink - Payment,$-151.61,"$4,982.13"
2023-04-24 09:40:20,AffordableHub - Payment,$-41.93,"$4,940.20"
2023-04-29 15:28:48,AffordableHub - Payment,$-104.85,"$4,835.35"
2023-05-04 11:00:18,AffordableHub - Payment,$-110.32,"$4,725.03"
2023-05-05 19:01:47,AffordableHub - Payment,$-115.44,"$4,609.59"
2023-05-11 08:36:07,AffordableHub - Payment,$-177.89,"$4,431.70"
2023-05-12 19:15:41,Healthn - Payment,$-50.35,"$4,381.35"
2023-05-21 18:20:57,AffordableHub - Payment,$-58.52,"$4,322.83"
2023-05-28 20:19:47,StrongLink - Payment,$-154.82,"$4,168.01"
2023-06-09 20:12:28,Fitr - Payment,$-22.94,"$4,145.07"
2023-06-10 09:19:04,StrongLink - Payment,$-43.14,"$4,101.93"
2023-06-22 10:15:49,youGrocery - Payment,$-31.70,"$4,070.23"
2023-06-29 10:39:04,StrongLink - Payment,$-173.25,"$3,810.78"
2023-06-29 13:51:29,AffordableHub - Payment,$-86.20,"$3,984.03"
2023-07-12 19:18:53,StrongLink - Payment,$-162.37,"$3,648.41"
2023-08-02 10:25:10,StrongLink - Payment,$-135.75,"$3,512.66"
2023-08-19 20:40:46,AffordableHub - Payment,$-129.60,"$3,383.06"
2023-08-21 08:10:38,AffordableHub - Payment,$-160.23,"$3,222.83"
2023-08-22 17:25:28,AffordableHub - Payment,$-130.42,"$3,092.41"
2023-09-02 19:02:24,AffordableHub - Payment,$-139.00,"$2,953.41"
2023-09-03 16:22:11,AffordableHub - Payment,$-116.99,"$2,836.42"
2023-09-18 15:40:48,Healthn - Payment,$-155.34,"$2,681.08"
2023-09-22 11:13:53,Fitr - Payment,$-89.99,"$2,591.09"
2023-10-04 13:18:42,AffordableHub - Payment,$-74.27,"$2,516.82"
2023-10-08 10:47:53,Flexin - Payment,$-30.17,"$2,486.65"
2023-10-20 13:46:46,StrongLink - Payment,$-85.78,"$2,400.87"
2023-10-28 13:37:45,StrongLink - Payment,$-45.37,"$2,355.50"
2023-10-29 19:06:07,StrongLink - Payment,$-112.17,"$2,243.33"
2023-10-30 19:23:46,AffordableHub - Payment,$-149.10,"$2,094.23"
2023-11-01 10:14:59,youGrocery - Payment,$-71.97,"$2,022.26"
2023-11-08 17:57:22,AffordableHub - Payment,$-145.92,"$1,876.34"
2023-12-04 09:23:42,StrongLink - Payment,$-66.22,"$1,810.12"
2023-12-08 20:59:49,AffordableHub - Payment,$-188.83,"$1,621.29"
2024-01-03 16:32:51,Foodr - Payment,$-44.80,"$1,576.49"
2024-01-12 09:54:14,AffordableHub - Payment,$-119.39,"$1,457.10"
2024-01-15 18:42:50,AffordableHub - Payment,$-84.76,"$1,372.34"
2024-01-21 08:32:56,AffordableHub - Payment,$-153.83,"$1,218.51"
2024-01-29 18:46:56,AffordableHub - Payment,$-190.50,"$1,028.01"
2024-02-06 18:29:25,Fitr - Payment,$-33.49,$994.52
2024-02-17 10:59:36,StrongLink - Payment,$-98.20,$896.32
2024-02-21 16:33:01,StrongLink - Payment,$-78.69,$817.63
2024-02-25 14:33:29,Foodr - Payment,$-167.14,$650.49
2024-03-15 19:22:27,AffordableHub - Payment,$-44.28,$606.21
2024-03-20 11:40:38,AffordableHub - Payment,$-114.47,$491.74
2024-03-27 17:45:40,AffordableHub - Payment,$-179.36,$312.38
2024-04-01 17:24:52,AffordableHub - Payment,$-143.34,$169.04
2024-04-04 08:21:48,AffordableHub - Payment,$-104.67,$64.37
2024-04-05 11:52:05,Invalid Withdrawal,$0.00,$64.37
2024-04-15 10:08:54,Invalid Withdrawal,$0.00,$64.37
2024-04-18 14:48:15,Invalid Withdrawal,$0.00,$64.37
2024-04-20 20:51:12,Invalid Withdrawal,$0.00,$64.37
2024-04-23 16:57:52,Invalid Withdrawal,$0.00,$64.37
2024-04-27 12:31:12,AffordableHub - Payment,$-25.38,$38.99
2024-05-18 16:24:27,Invalid Withdrawal,$0.00,$38.99
2024-06-10 16:23:24,Invalid Withdrawal,$0.00,$38.99
2024-06-20 16:37:49,Invalid Withdrawal,$0.00,$38.99
2024-06-24 09:41:26,Invalid Withdrawal,$0.00,$38.99
2024-06-27 10:45:54,Invalid Withdrawal,$0.00,$38.99
2024-06-30 12:53:07,Invalid Withdrawal,$0.00,$38.99
2024-07-09 15:00:50,Invalid Withdrawal,$0.00,$38.99
2024-07-12 17:33:34,Invalid Withdrawal,$0.00,$38.99
2024-07-14 19:55:23,Invalid Withdrawal,$0.00,$38.99
2024-07-19 20:34:40,AffordableHub - Payment,$-22.70,$16.29
2024-07-23 09:41:29,Invalid Withdrawal,$0.00,$16.29
2024-07-26 09:11:55,Invalid Withdrawal,$0.00,$16.29
2024-08-02 17:31:58,Invalid Withdrawal,$0.00,$16.29
