date,description,amount,balance
2023-01-01 12:18:08,Fitr - Payment,$-171.69,"$45,990.65"
2023-01-01 13:49:23,Foodr - Payment,$-53.17,"$46,162.34"
2023-01-04 20:05:05,AffordableHub - Payment,$-128.55,"$45,862.10"
2023-01-08 16:36:41,Fitr - Payment,$-21.19,"$45,840.91"
2023-01-09 10:34:16,Fitr - Payment,$-101.76,"$45,739.15"
2023-01-11 11:26:05,Fitr - Payment,$-101.40,"$45,637.75"
2023-01-12 21:27:01,AffordableHub - Payment,$-104.79,"$45,532.96"
2023-01-13 21:13:44,Fitr - Payment,$-176.70,"$45,356.26"
2023-01-14 14:41:17,Fitr - Payment,$-21.77,"$45,334.49"
2023-01-17 17:18:49,StrongLink - Payment,$-183.68,"$45,150.81"
2023-01-21 10:26:18,Fitr - Payment,$-96.29,"$44,860.94"
2023-01-21 14:28:10,AffordableHub - Payment,$-193.58,"$44,957.23"
2023-01-23 08:08:42,StrongLink - Payment,$-52.77,"$44,808.17"
2023-01-24 17:12:43,Fitr - Payment,$-85.90,"$44,722.27"
2023-01-25 18:40:14,Fitr - Payment,$-175.65,"$44,546.62"
2023-01-28 15:01:18,Fitr - Payment,$-112.50,"$44,434.12"
2023-01-29 19:24:31,Fitr - Payment,$-115.48,"$44,318.64"
2023-01-31 18:41:33,Fitr - Payment,$-139.21,"$44,179.43"
2023-02-02 16:16:28,AffordableHub - Payment,$-89.50,"$44,089.93"
2023-02-03 09:34:09,youGrocery - Payment,$-93.30,"$43,996.63"
2023-02-13 20:42:03,AffordableHub - Payment,$-140.78,"$43,855.85"
2023-02-14 08:42:54,Flexin - Payment,$-190.80,"$43,665.05"
2023-02-17 17:17:38,youGrocery - Payment,$-31.40,"$43,633.65"
2023-02-18 21:48:55,Fitr - Payment,$-30.81,"$43,602.84"
2023-02-22 09:54:28,Fitr - Payment,$-142.42,"$43,460.42"
2023-02-23 17:40:17,Fitr - Payment,$-146.19,"$43,314.23"
2023-02-25 11:31:47,AffordableHub - Payment,$-171.70,"$43,142.53"
2023-02-28 09:41:38,Fitr - Payment,$-118.39,"$43,024.14"
2023-03-05 08:32:15,Fitr - Payment,$-104.18,"$42,919.96"
2023-03-07 19:32:09,Healthn - Payment,$-49.81,"$42,870.15"
2023-03-08 09:56:50,youGrocery - Payment,$-164.37,"$42,705.78"
2023-03-10 12:00:16,Healthn - Payment,$-57.67,"$42,648.11"
2023-03-10 14:37:37,Fitr - Payment,$-73.11,"$42,575.00"
2023-03-13 19:39:52,Flexin - Payment,$-34.49,"$42,540.51"
