date,to,from_,size,type_
2023-01-01 08:11:10,(352) 988-8187,(799) 769-2299,18.3 MB,Received Media
2023-01-02 10:05:38,(352) 988-8187,(799) 769-2299,46 minutes,Inbound Call
2023-01-03 11:33:12,(352) 988-8187,(799) 769-2299,10 characters,Received Text
2023-01-03 19:26:58,(352) 988-8187,(799) 769-2299,225 characters,Sent Text
2023-01-04 16:26:50,(352) 988-8187,(799) 769-2299,30 characters,Received Text
2023-01-05 08:42:09,(352) 988-8187,(799) 769-2299,23 minutes,Inbound Call
2023-01-05 10:57:54,(352) 988-8187,(799) 769-2299,56 minutes,Outbound Call
2023-01-06 21:13:54,(352) 988-8187,(799) 769-2299,27 characters,Received Text
2023-01-07 09:09:02,(352) 988-8187,(799) 769-2299,250 characters,Sent Text
2023-01-07 14:23:48,(352) 988-8187,(799) 769-2299,43 minutes,Outbound Call
2023-01-07 16:45:48,(352) 988-8187,(799) 769-2299,177 characters,Received Text
2023-01-08 12:19:12,(352) 988-8187,(799) 769-2299,164 characters,Received Text
2023-01-12 19:59:46,(352) 988-8187,(799) 769-2299,300 characters,Sent Text
2023-01-14 10:19:50,(352) 988-8187,(799) 769-2299,14 characters,Sent Text
2023-01-14 16:40:25,(352) 988-8187,(799) 769-2299,46 minutes,Inbound Call
2023-01-15 21:32:15,(352) 988-8187,(799) 769-2299,174 characters,Sent Text
2023-01-16 17:34:58,(352) 988-8187,(799) 769-2299,188 characters,Sent Text
2023-01-16 21:10:12,(352) 988-8187,(799) 769-2299,39 characters,Received Text
2023-01-18 12:46:17,(352) 988-8187,(799) 769-2299,116 minutes,Inbound Call
2023-01-19 16:12:11,(352) 988-8187,(799) 769-2299,283 characters,Received Text
2023-01-20 09:00:51,(352) 988-8187,(799) 769-2299,119 characters,Received Text
2023-01-20 14:14:26,(352) 988-8187,(799) 769-2299,94 minutes,Inbound Call
2023-01-21 13:06:08,(352) 988-8187,(799) 769-2299,135 characters,Received Text
2023-01-22 09:51:13,(352) 988-8187,(799) 769-2299,229 characters,Sent Text
2023-01-22 18:17:36,(352) 988-8187,(799) 769-2299,11 minutes,Outbound Call
2023-01-24 18:09:55,(352) 988-8187,(799) 769-2299,91 minutes,Inbound Call
2023-01-25 08:41:37,(352) 988-8187,(799) 769-2299,306 characters,Sent Text
2023-01-25 15:34:52,(352) 988-8187,(799) 769-2299,213 characters,Received Text
2023-01-26 13:34:27,(352) 988-8187,(799) 769-2299,6.2 MB,Received Media
2023-01-28 21:28:27,(352) 988-8187,(799) 769-2299,182 characters,Received Text
2023-01-29 10:43:17,(352) 988-8187,(799) 769-2299,57 minutes,Inbound Call
2023-01-29 21:34:34,(352) 988-8187,(799) 769-2299,227 characters,Received Text
2023-01-30 17:30:44,(352) 988-8187,(799) 769-2299,204 characters,Received Text
2023-01-30 19:14:41,(352) 988-8187,(799) 769-2299,93 minutes,Outbound Call
2023-02-01 12:51:15,(352) 988-8187,(799) 769-2299,13.3 MB,Sent Media
2023-02-01 13:34:10,(352) 988-8187,(799) 769-2299,91 minutes,Outbound Call
2023-02-03 21:16:22,(352) 988-8187,(799) 769-2299,13 minutes,Inbound Call
2023-02-04 10:27:00,(352) 988-8187,(799) 769-2299,20.0 MB,Sent Media
2023-02-04 10:42:29,(352) 988-8187,(799) 769-2299,342 characters,Received Text
2023-02-05 09:11:28,(352) 988-8187,(799) 769-2299,244 characters,Received Text
2023-02-05 17:02:11,(352) 988-8187,(799) 769-2299,3 minutes,Inbound Call
2023-02-06 21:36:26,(352) 988-8187,(799) 769-2299,135 characters,Sent Text
2023-02-06 21:47:03,(352) 988-8187,(799) 769-2299,308 characters,Received Text
2023-02-07 09:23:39,(352) 988-8187,(799) 769-2299,226 characters,Received Text
2023-02-08 13:15:26,(352) 988-8187,(799) 769-2299,250 characters,Sent Text
2023-02-09 15:28:01,(352) 988-8187,(799) 769-2299,104 characters,Received Text
2023-02-09 20:43:23,(352) 988-8187,(799) 769-2299,31 characters,Sent Text
2023-02-10 08:47:16,(352) 988-8187,(799) 769-2299,112 characters,Received Text
2023-02-10 13:29:35,(352) 988-8187,(799) 769-2299,100 minutes,Inbound Call
2023-02-10 14:50:05,(352) 988-8187,(799) 769-2299,7.9 MB,Received Media
2023-02-15 12:47:47,(352) 988-8187,(799) 769-2299,326 characters,Received Text
2023-02-16 11:34:08,(352) 988-8187,(799) 769-2299,147 characters,Sent Text
2023-02-17 15:28:40,(352) 988-8187,(799) 769-2299,72 characters,Received Text
2023-02-18 08:37:24,(352) 988-8187,(799) 769-2299,11.8 MB,Received Media
2023-02-19 11:16:49,(352) 988-8187,(799) 769-2299,18 minutes,Inbound Call
