date,description,amount,balance
2023-01-01 11:23:57,Flexin - Payment,$-185.24,"$18,610.15"
2023-01-01 15:25:36,AffordableHub - Payment,$-139.89,"$18,795.39"
2023-01-03 19:20:56,Fitr - Payment,$-37.73,"$18,572.42"
2023-01-11 09:51:13,Fitr - Payment,$-142.60,"$18,429.82"
2023-01-19 11:27:45,StrongLink - Payment,$-47.70,"$18,382.12"
2023-01-20 15:52:53,Flexin - Payment,$-198.27,"$18,183.85"
2023-01-21 17:07:49,Flexin - Payment,$-120.60,"$18,063.25"
2023-01-26 21:22:46,Flexin - Payment,$-181.80,"$17,881.45"
2023-01-27 14:45:13,AffordableHub - Payment,$-74.52,"$17,806.93"
2023-01-28 15:13:33,StrongLink - Payment,$-195.73,"$17,611.20"
2023-02-01 12:10:18,StrongLink - Payment,$-51.80,"$17,559.40"
2023-02-02 18:25:15,Flexin - Payment,$-85.97,"$17,473.43"
2023-02-04 11:56:27,Flexin - Payment,$-137.83,"$17,335.60"
2023-02-06 08:28:48,Flexin - Payment,$-75.00,"$17,260.60"
2023-02-11 14:06:54,Flexin - Payment,$-138.78,"$17,121.82"
2023-02-12 11:08:03,StrongLink - Payment,$-24.30,"$17,097.52"
2023-02-13 18:56:41,Flexin - Payment,$-83.67,"$17,013.85"
2023-02-14 19:45:10,Flexin - Payment,$-45.61,"$16,968.24"
2023-02-17 13:13:54,AffordableHub - Payment,$-45.68,"$16,922.56"
2023-02-18 12:35:07,Flexin - Payment,$-28.48,"$16,894.08"
2023-02-23 16:59:47,Foodr - Payment,$-47.62,"$16,846.46"
2023-02-25 10:04:47,AffordableHub - Payment,$-186.21,"$16,660.25"
2023-02-25 13:30:47,Fitr - Payment,$-40.44,"$16,619.81"
2023-02-26 08:57:13,Flexin - Payment,$-66.41,"$16,553.40"
2023-02-27 19:17:06,AffordableHub - Payment,$-67.85,"$16,485.55"
2023-02-28 11:47:53,Flexin - Payment,$-174.61,"$16,310.94"
2023-03-04 16:43:54,Flexin - Payment,$-41.36,"$16,269.58"
2023-03-07 20:55:52,StrongLink - Payment,$-158.94,"$16,110.64"
2023-03-09 17:37:20,Flexin - Payment,$-91.43,"$16,019.21"
2023-03-10 11:03:05,Flexin - Payment,$-88.27,"$15,930.94"
2023-03-12 09:45:21,Foodr - Payment,$-193.15,"$15,737.79"
2023-03-13 20:31:57,StrongLink - Payment,$-155.30,"$15,582.49"
2023-03-20 12:51:01,AffordableHub - Payment,$-126.97,"$15,455.52"
2023-03-20 13:57:20,Flexin - Payment,$-142.18,"$15,313.34"
2023-03-21 09:14:36,Flexin - Payment,$-130.58,"$15,032.16"
2023-03-21 19:19:51,youGrocery - Payment,$-150.60,"$15,162.74"
2023-03-27 14:45:45,Flexin - Payment,$-131.23,"$14,900.93"
2023-03-28 12:01:32,AffordableHub - Payment,$-21.10,"$14,879.83"
2023-03-30 09:08:26,Healthn - Payment,$-25.46,"$14,854.37"
2023-03-30 20:18:20,Flexin - Payment,$-124.24,"$14,730.13"
2023-03-31 20:53:34,Flexin - Payment,$-147.75,"$14,582.38"
2023-04-01 17:17:17,StrongLink - Payment,$-149.29,"$14,433.09"
2023-04-03 11:24:33,Flexin - Payment,$-83.82,"$14,349.27"
2023-04-04 17:52:14,Flexin - Payment,$-48.19,"$14,301.08"
2023-04-06 09:16:27,Foodr - Payment,$-197.96,"$14,103.12"
2023-04-06 11:38:37,Flexin - Payment,$-118.11,"$13,985.01"
2023-04-09 10:51:19,Flexin - Payment,$-125.50,"$13,859.51"
2023-04-10 17:45:58,AffordableHub - Payment,$-122.51,"$13,737.00"
2023-04-11 20:47:05,AffordableHub - Payment,$-179.10,"$13,557.90"
2023-04-13 15:42:29,AffordableHub - Payment,$-150.40,"$13,407.50"
2023-04-15 14:47:12,AffordableHub - Payment,$-151.63,"$13,255.87"
2023-04-15 15:20:19,Flexin - Payment,$-189.72,"$13,066.15"
2023-04-25 12:17:12,Flexin - Payment,$-124.52,"$12,941.63"
2023-04-26 21:49:18,Flexin - Payment,$-99.13,"$12,842.50"
2023-04-27 11:03:42,StrongLink - Payment,$-182.28,"$12,660.22"
2023-04-29 19:26:32,Flexin - Payment,$-143.63,"$12,516.59"
2023-04-30 16:25:23,Fitr - Payment,$-169.10,"$12,347.49"
2023-05-04 12:43:01,AffordableHub - Payment,$-23.70,"$12,323.79"
2023-05-10 16:32:15,Fitr - Payment,$-171.78,"$12,152.01"
2023-05-14 16:13:11,Flexin - Payment,$-124.91,"$12,027.10"
2023-05-15 11:08:07,Flexin - Payment,$-22.52,"$12,004.58"
2023-05-23 09:11:47,AffordableHub - Payment,$-127.64,"$11,876.94"
2023-05-29 16:31:02,Flexin - Payment,$-39.40,"$11,837.54"
2023-05-30 10:41:28,AffordableHub - Payment,$-123.60,"$11,713.94"
2023-05-31 08:11:31,Flexin - Payment,$-191.48,"$11,522.46"
2023-06-05 19:48:35,Flexin - Payment,$-158.44,"$11,364.02"
2023-06-09 12:50:22,StrongLink - Payment,$-104.16,"$11,259.86"
2023-06-12 08:43:19,Fitr - Payment,$-145.37,"$11,114.49"
2023-06-14 11:08:59,youGrocery - Payment,$-70.46,"$11,044.03"
2023-06-15 20:54:35,AffordableHub - Payment,$-74.68,"$10,969.35"
2023-06-16 19:48:12,Flexin - Payment,$-59.37,"$10,772.00"
2023-06-16 21:01:54,AffordableHub - Payment,$-137.98,"$10,831.37"
2023-06-17 15:38:18,AffordableHub - Payment,$-111.60,"$10,660.40"
2023-06-22 14:00:16,StrongLink - Payment,$-69.51,"$10,590.89"
2023-06-24 17:46:29,Flexin - Payment,$-67.22,"$10,479.04"
2023-06-24 18:23:37,AffordableHub - Payment,$-44.63,"$10,546.26"
2023-06-27 13:29:10,Flexin - Payment,$-168.99,"$10,310.05"
2023-06-30 18:41:58,Flexin - Payment,$-170.71,"$10,139.34"
2023-07-01 16:02:16,Flexin - Payment,$-115.18,"$10,024.16"
2023-07-03 09:25:17,Flexin - Payment,$-138.70,"$9,849.27"
2023-07-03 17:56:38,youGrocery - Payment,$-36.19,"$9,987.97"
2023-07-04 21:31:26,Flexin - Payment,$-162.80,"$9,686.47"
2023-07-05 16:05:07,Fitr - Payment,$-176.15,"$9,510.32"
2023-07-07 13:42:12,Flexin - Payment,$-174.45,"$9,335.87"
2023-07-09 21:38:21,AffordableHub - Payment,$-56.52,"$9,279.35"
2023-07-14 13:56:31,Flexin - Payment,$-166.53,"$9,112.82"
2023-07-19 18:53:43,AffordableHub - Payment,$-151.98,"$8,960.84"
2023-07-21 11:30:54,Flexin - Payment,$-106.28,"$8,854.56"
2023-07-22 20:54:20,StrongLink - Payment,$-74.58,"$8,779.98"
2023-07-24 21:40:50,Flexin - Payment,$-136.32,"$8,643.66"
2023-07-25 21:36:22,Fitr - Payment,$-106.56,"$8,537.10"
