date,to,from_,size,type_
2023-01-01 08:28:13,(704) 230-0428,(585) 124-8978,78 minutes,Outbound Call
2023-01-01 09:15:34,(607) 506-1751,(585) 124-8978,83 characters,Sent Text
2023-01-01 20:52:38,(704) 230-0428,(585) 124-8978,179 characters,Received Text
2023-01-02 13:02:35,(607) 506-1751,(585) 124-8978,1.5 MB,Received Media
2023-01-02 16:06:43,(607) 506-1751,(585) 124-8978,104 minutes,Inbound Call
2023-01-03 18:13:54,(426) 746-3751,(585) 124-8978,86 minutes,Inbound Call
2023-01-03 21:46:33,(607) 506-1751,(585) 124-8978,309 characters,Sent Text
2023-01-04 08:00:00,(607) 506-1751,(585) 124-8978,73 minutes,Inbound Call
2023-01-04 11:38:49,(704) 230-0428,(585) 124-8978,27 minutes,Inbound Call
2023-01-04 21:20:25,(704) 230-0428,(585) 124-8978,13.8 MB,Received Media
2023-01-05 15:13:03,(607) 506-1751,(585) 124-8978,14.6 MB,Sent Media
2023-01-05 15:43:38,(426) 746-3751,(585) 124-8978,95 characters,Received Text
2023-01-05 17:14:11,(704) 230-0428,(585) 124-8978,11.4 MB,Sent Media
2023-01-05 21:25:04,(426) 746-3751,(585) 124-8978,91 characters,Sent Text
2023-01-06 19:41:35,(426) 746-3751,(585) 124-8978,259 characters,Sent Text
2023-01-06 20:08:26,(607) 506-1751,(585) 124-8978,275 characters,Sent Text
2023-01-07 13:05:50,(704) 230-0428,(585) 124-8978,269 characters,Received Text
2023-01-08 11:10:17,(607) 506-1751,(585) 124-8978,340 characters,Sent Text
2023-01-08 12:50:30,(704) 230-0428,(585) 124-8978,268 characters,Sent Text
2023-01-09 09:28:04,(607) 506-1751,(585) 124-8978,95 minutes,Inbound Call
2023-01-09 14:00:27,(426) 746-3751,(585) 124-8978,196 characters,Sent Text
2023-01-09 15:02:17,(607) 506-1751,(585) 124-8978,152 characters,Sent Text
2023-01-09 18:23:46,(704) 230-0428,(585) 124-8978,19.0 MB,Received Media
2023-01-10 14:36:45,(704) 230-0428,(585) 124-8978,133 characters,Sent Text
2023-01-10 15:18:54,(607) 506-1751,(585) 124-8978,18.4 MB,Received Media
2023-01-10 20:45:48,(704) 230-0428,(585) 124-8978,18.5 MB,Sent Media
2023-01-11 11:25:30,(426) 746-3751,(585) 124-8978,1 characters,Sent Text
2023-01-11 20:19:30,(704) 230-0428,(585) 124-8978,61 minutes,Inbound Call
2023-01-12 10:27:12,(426) 746-3751,(585) 124-8978,69 minutes,Outbound Call
2023-01-12 11:11:49,(607) 506-1751,(585) 124-8978,21 minutes,Outbound Call
2023-01-12 19:30:37,(704) 230-0428,(585) 124-8978,278 characters,Sent Text
2023-01-12 20:52:56,(607) 506-1751,(585) 124-8978,304 characters,Sent Text
2023-01-13 13:51:31,(704) 230-0428,(585) 124-8978,119 minutes,Inbound Call
2023-01-13 14:13:57,(607) 506-1751,(585) 124-8978,34 characters,Sent Text
2023-01-13 17:33:13,(607) 506-1751,(585) 124-8978,15.3 MB,Sent Media
2023-01-13 19:38:00,(607) 506-1751,(585) 124-8978,78 minutes,Outbound Call
2023-01-13 20:14:24,(426) 746-3751,(585) 124-8978,71 minutes,Outbound Call
2023-01-14 14:40:07,(607) 506-1751,(585) 124-8978,21 minutes,Inbound Call
2023-01-14 17:44:45,(426) 746-3751,(585) 124-8978,107 characters,Sent Text
2023-01-14 17:57:08,(607) 506-1751,(585) 124-8978,37 characters,Sent Text
2023-01-15 09:38:08,(426) 746-3751,(585) 124-8978,306 characters,Received Text
2023-01-15 20:50:59,(607) 506-1751,(585) 124-8978,158 characters,Sent Text
2023-01-16 08:04:01,(704) 230-0428,(585) 124-8978,151 characters,Received Text
2023-01-16 08:55:08,(607) 506-1751,(585) 124-8978,335 characters,Received Text
2023-01-17 14:07:12,(704) 230-0428,(585) 124-8978,12 characters,Received Text
2023-01-17 15:04:19,(607) 506-1751,(585) 124-8978,79 characters,Sent Text
2023-01-17 17:58:06,(704) 230-0428,(585) 124-8978,159 characters,Sent Text
2023-01-17 21:02:36,(426) 746-3751,(585) 124-8978,277 characters,Received Text
2023-01-18 13:09:07,(426) 746-3751,(585) 124-8978,119 characters,Received Text
2023-01-18 17:01:50,(426) 746-3751,(585) 124-8978,18.6 MB,Sent Media
2023-01-18 20:02:47,(426) 746-3751,(585) 124-8978,221 characters,Sent Text
2023-01-19 11:08:47,(426) 746-3751,(585) 124-8978,233 characters,Sent Text
2023-01-19 11:31:06,(704) 230-0428,(585) 124-8978,9.9 MB,Received Media
2023-01-19 14:24:56,(426) 746-3751,(585) 124-8978,103 minutes,Outbound Call
2023-01-19 20:22:41,(426) 746-3751,(585) 124-8978,265 characters,Received Text
2023-01-20 08:18:27,(426) 746-3751,(585) 124-8978,92 minutes,Inbound Call
2023-01-20 15:26:41,(704) 230-0428,(585) 124-8978,78 minutes,Inbound Call
2023-01-20 16:23:39,(704) 230-0428,(585) 124-8978,65 minutes,Outbound Call
2023-01-20 20:33:20,(607) 506-1751,(585) 124-8978,25 minutes,Inbound Call
2023-01-21 13:57:21,(426) 746-3751,(585) 124-8978,15 characters,Sent Text
2023-01-21 20:28:34,(426) 746-3751,(585) 124-8978,76 minutes,Outbound Call
2023-01-22 08:05:32,(704) 230-0428,(585) 124-8978,123 characters,Received Text
2023-01-22 11:47:35,(704) 230-0428,(585) 124-8978,12 characters,Sent Text
2023-01-22 15:36:13,(607) 506-1751,(585) 124-8978,127 characters,Received Text
2023-01-23 08:27:31,(607) 506-1751,(585) 124-8978,312 characters,Sent Text
2023-01-23 20:47:15,(704) 230-0428,(585) 124-8978,73 minutes,Outbound Call
2023-01-24 17:12:11,(607) 506-1751,(585) 124-8978,7 characters,Sent Text
2023-01-24 17:57:57,(426) 746-3751,(585) 124-8978,201 characters,Sent Text
2023-01-25 09:39:44,(607) 506-1751,(585) 124-8978,75 characters,Sent Text
2023-01-25 09:47:56,(426) 746-3751,(585) 124-8978,36 characters,Received Text
2023-01-26 11:06:56,(426) 746-3751,(585) 124-8978,109 minutes,Outbound Call
2023-01-27 13:17:40,(704) 230-0428,(585) 124-8978,67 characters,Sent Text
2023-01-27 19:57:01,(607) 506-1751,(585) 124-8978,345 characters,Sent Text
2023-01-27 20:24:24,(607) 506-1751,(585) 124-8978,72 minutes,Outbound Call
2023-01-28 08:03:42,(426) 746-3751,(585) 124-8978,102 characters,Sent Text
2023-01-28 10:23:22,(426) 746-3751,(585) 124-8978,128 characters,Received Text
2023-01-28 20:17:49,(607) 506-1751,(585) 124-8978,87 minutes,Outbound Call
2023-01-29 08:26:22,(426) 746-3751,(585) 124-8978,58 minutes,Outbound Call
2023-01-29 09:09:57,(607) 506-1751,(585) 124-8978,50 minutes,Outbound Call
2023-01-29 16:56:37,(426) 746-3751,(585) 124-8978,125 characters,Received Text
2023-01-29 20:52:12,(607) 506-1751,(585) 124-8978,292 characters,Received Text
2023-01-30 14:25:33,(704) 230-0428,(585) 124-8978,96 minutes,Inbound Call
2023-01-30 20:04:38,(704) 230-0428,(585) 124-8978,234 characters,Sent Text
2023-01-30 20:58:40,(704) 230-0428,(585) 124-8978,18 minutes,Outbound Call
2023-01-31 14:24:28,(426) 746-3751,(585) 124-8978,202 characters,Received Text
2023-01-31 15:42:30,(704) 230-0428,(585) 124-8978,45 minutes,Inbound Call
2023-01-31 20:30:25,(607) 506-1751,(585) 124-8978,234 characters,Received Text
2023-02-01 08:10:49,(426) 746-3751,(585) 124-8978,10 minutes,Inbound Call
2023-02-02 08:44:16,(426) 746-3751,(585) 124-8978,60 minutes,Inbound Call
