date,description,amount,balance
2023-01-03 14:38:11,StrongLink - Payment,$-183.78,"$12,768.93"
2023-01-04 18:02:11,StrongLink - Payment,$-20.87,"$12,709.11"
2023-01-04 20:13:30,Foodr - Payment,$-38.95,"$12,729.98"
2023-01-05 09:09:12,Foodr - Payment,$-81.24,"$12,627.87"
2023-01-06 00:00:00,Purchase by youGrocery,"$1,000.00","$13,627.87"
2023-01-09 10:57:30,StrongLink - Payment,$-110.28,"$13,517.59"
2023-01-11 16:15:48,StrongLink - Payment,$-87.78,"$13,429.81"
2023-01-13 00:00:00,Purchase by youGrocery,"$1,000.00","$14,429.81"
2023-01-18 19:06:07,Flexin - Payment,$-156.56,"$14,273.25"
2023-01-20 00:00:00,Purchase by youGrocery,"$1,000.00","$15,273.25"
2023-01-24 17:43:40,Foodr - Payment,$-54.47,"$15,218.78"
2023-01-26 18:54:04,StrongLink - Payment,$-154.94,"$14,887.58"
2023-01-26 20:59:33,Foodr - Payment,$-176.26,"$15,042.52"
2023-01-27 00:00:00,Purchase by youGrocery,"$1,000.00","$15,887.58"
2023-01-28 11:43:19,Fitr - Payment,$-110.53,"$15,777.05"
2023-01-30 19:56:40,StrongLink - Payment,$-67.80,"$15,709.25"
2023-01-31 11:04:22,Flexin - Payment,$-149.20,"$15,560.05"
2023-02-03 00:00:00,Purchase by youGrocery,"$1,000.00","$16,560.05"
2023-02-06 16:52:37,Foodr - Payment,$-132.61,"$16,427.44"
2023-02-07 09:16:05,Foodr - Payment,$-43.31,"$16,384.13"
2023-02-07 15:03:01,Flexin - Payment,$-155.59,"$16,228.54"
2023-02-10 00:00:00,Purchase by youGrocery,"$1,000.00","$17,228.54"
2023-02-12 09:47:23,StrongLink - Payment,$-166.35,"$16,910.49"
2023-02-12 13:19:09,Foodr - Payment,$-151.70,"$17,076.84"
2023-02-13 12:19:03,AffordableHub - Payment,$-155.59,"$16,754.90"
2023-02-14 14:13:43,StrongLink - Payment,$-70.58,"$16,684.32"
2023-02-17 00:00:00,Purchase by youGrocery,"$1,000.00","$17,684.32"
2023-02-21 21:21:08,Foodr - Payment,$-122.15,"$17,562.17"
2023-02-23 09:24:26,Fitr - Payment,$-113.34,"$17,448.83"
2023-02-24 00:00:00,Purchase by youGrocery,"$1,000.00","$18,448.83"
2023-02-26 09:24:58,Foodr - Payment,$-108.26,"$18,340.57"
2023-02-27 10:41:10,StrongLink - Payment,$-153.35,"$18,187.22"
2023-03-03 00:00:00,Purchase by youGrocery,"$1,000.00","$19,187.22"
2023-03-05 12:04:57,AffordableHub - Payment,$-170.17,"$19,017.05"
2023-03-06 10:14:14,Foodr - Payment,$-78.51,"$18,938.54"
2023-03-09 15:38:27,Fitr - Payment,$-105.31,"$18,833.23"
2023-03-10 00:00:00,Purchase by youGrocery,"$1,000.00","$19,793.68"
2023-03-10 10:35:27,StrongLink - Payment,$-39.55,"$18,793.68"
2023-03-13 17:49:08,StrongLink - Payment,$-83.66,"$19,710.02"
2023-03-14 09:22:55,StrongLink - Payment,$-62.31,"$19,647.71"
2023-03-17 00:00:00,Purchase by youGrocery,"$1,000.00","$20,647.71"
2023-03-24 00:00:00,Purchase by youGrocery,"$1,000.00","$21,511.22"
2023-03-24 09:26:17,youGrocery - Payment,$-136.49,"$20,511.22"
2023-03-30 21:56:47,Fitr - Payment,$-68.80,"$21,442.42"
2023-03-31 00:00:00,Purchase by youGrocery,"$1,000.00","$22,318.17"
2023-03-31 13:07:13,youGrocery - Payment,$-124.25,"$21,318.17"
2023-04-03 20:47:06,StrongLink - Payment,$-111.73,"$22,206.44"
2023-04-05 10:51:47,StrongLink - Payment,$-130.92,"$22,075.52"
2023-04-07 00:00:00,Purchase by youGrocery,"$1,000.00","$23,075.52"
2023-04-10 12:01:37,StrongLink - Payment,$-185.42,"$22,890.10"
2023-04-11 09:00:30,StrongLink - Payment,$-43.59,"$22,846.51"
2023-04-14 00:00:00,Purchase by youGrocery,"$1,000.00","$23,846.51"
2023-04-15 20:39:39,StrongLink - Payment,$-132.30,"$23,714.21"
2023-04-20 17:22:20,youGrocery - Payment,$-182.72,"$23,531.49"
2023-04-21 00:00:00,Purchase by youGrocery,"$1,000.00","$24,531.49"
2023-04-25 13:34:24,StrongLink - Payment,$-69.63,"$24,461.86"
2023-04-26 12:16:39,AffordableHub - Payment,$-24.22,"$24,437.64"
2023-04-28 00:00:00,Purchase by youGrocery,"$1,000.00","$25,437.64"
2023-04-30 16:42:02,StrongLink - Payment,$-156.78,"$25,280.86"
2023-05-03 19:58:00,Flexin - Payment,$-39.60,"$25,241.26"
2023-05-05 00:00:00,Purchase by youGrocery,"$1,000.00","$26,241.26"
2023-05-12 00:00:00,Purchase by youGrocery,"$1,000.00","$27,241.26"
2023-05-13 19:48:50,Foodr - Payment,$-140.68,"$27,100.58"
2023-05-14 14:12:26,Fitr - Payment,$-80.35,"$27,020.23"
2023-05-16 08:10:46,Fitr - Payment,$-52.59,"$26,796.81"
2023-05-16 15:35:29,Foodr - Payment,$-170.83,"$26,849.40"
2023-05-17 08:02:52,Healthn - Payment,$-125.52,"$26,671.29"
2023-05-17 14:08:12,StrongLink - Payment,$-178.10,"$26,493.19"
2023-05-18 15:16:35,Flexin - Payment,$-163.84,"$26,329.35"
2023-05-19 00:00:00,Purchase by youGrocery,"$1,000.00","$27,233.72"
2023-05-19 13:15:28,StrongLink - Payment,$-95.63,"$26,233.72"
2023-05-20 13:56:18,AffordableHub - Payment,$-85.50,"$27,148.22"
2023-05-21 12:53:32,StrongLink - Payment,$-169.91,"$26,838.89"
2023-05-21 16:00:27,Foodr - Payment,$-139.42,"$27,008.80"
2023-05-23 14:10:13,StrongLink - Payment,$-51.21,"$26,787.68"
2023-05-26 00:00:00,Purchase by youGrocery,"$1,000.00","$27,787.68"
2023-05-29 15:28:06,StrongLink - Payment,$-193.45,"$27,594.23"
2023-06-02 00:00:00,Purchase by youGrocery,"$1,000.00","$28,451.90"
2023-06-02 10:05:51,StrongLink - Payment,$-142.33,"$27,451.90"
2023-06-03 10:37:07,StrongLink - Payment,$-59.76,"$28,392.14"
2023-06-06 11:58:30,StrongLink - Payment,$-32.80,"$28,359.34"
2023-06-09 00:00:00,Purchase by youGrocery,"$1,000.00","$29,359.34"
2023-06-13 19:39:06,Healthn - Payment,$-43.41,"$29,315.93"
2023-06-14 21:19:29,StrongLink - Payment,$-26.47,"$29,289.46"
2023-06-15 21:47:55,StrongLink - Payment,$-105.21,"$29,184.25"
2023-06-16 00:00:00,Purchase by youGrocery,"$1,000.00","$30,184.25"
2023-06-18 18:10:50,StrongLink - Payment,$-32.26,"$30,151.99"
2023-06-22 17:33:51,Fitr - Payment,$-193.57,"$29,958.42"
2023-06-23 00:00:00,Purchase by youGrocery,"$1,000.00","$30,958.42"
2023-06-27 10:15:12,Foodr - Payment,$-189.63,"$30,768.79"
2023-06-29 14:49:44,Foodr - Payment,$-138.00,"$30,630.79"
2023-06-30 00:00:00,Purchase by youGrocery,"$1,000.00","$31,574.22"
2023-06-30 14:47:09,StrongLink - Payment,$-56.57,"$30,574.22"
2023-07-02 09:51:08,StrongLink - Payment,$-181.36,"$31,392.86"
2023-07-06 12:50:38,StrongLink - Payment,$-83.56,"$31,185.11"
