date,description,amount,balance
2023-01-03 16:06:29,AffordableHub - Payment,$-177.56,"$24,384.68"
2023-01-06 18:47:22,AffordableHub - Payment,$-112.83,"$24,271.85"
2023-01-07 13:06:15,AffordableHub - Payment,$-171.17,"$24,100.68"
2023-01-09 12:01:16,AffordableHub - Payment,$-179.99,"$23,920.69"
2023-01-16 09:27:33,AffordableHub - Payment,$-151.49,"$23,769.20"
2023-01-17 13:40:55,youGrocery - Payment,$-163.47,"$23,605.73"
2023-01-21 21:18:44,AffordableHub - Payment,$-25.63,"$23,580.10"
2023-01-31 16:32:48,AffordableHub - Payment,$-176.28,"$23,403.82"
2023-02-01 16:52:03,StrongLink - Payment,$-117.00,"$23,286.82"
2023-02-06 12:40:29,Flexin - Payment,$-146.37,"$23,140.45"
2023-02-08 18:34:21,Healthn - Payment,$-80.77,"$23,059.68"
2023-02-12 19:58:51,Fitr - Payment,$-77.84,"$22,981.84"
2023-02-14 10:21:14,AffordableHub - Payment,$-135.58,"$22,846.26"
2023-02-19 11:29:16,AffordableHub - Payment,$-41.40,"$22,804.86"
2023-02-20 08:09:29,AffordableHub - Payment,$-180.55,"$22,624.31"
2023-02-20 09:59:29,Flexin - Payment,$-33.59,"$22,590.72"
2023-02-22 17:12:05,StrongLink - Payment,$-45.55,"$22,545.17"
2023-02-24 12:38:24,StrongLink - Payment,$-180.14,"$22,365.03"
2023-02-26 17:39:41,AffordableHub - Payment,$-147.38,"$22,217.65"
2023-02-28 21:38:26,AffordableHub - Payment,$-57.82,"$22,159.83"
2023-03-01 09:42:07,Fitr - Payment,$-50.99,"$22,108.84"
2023-03-03 18:40:21,Fitr - Payment,$-25.38,"$22,083.46"
2023-03-04 08:53:24,Flexin - Payment,$-75.73,"$22,007.73"
2023-03-06 13:20:57,AffordableHub - Payment,$-78.94,"$21,928.79"
2023-03-08 21:53:54,Foodr - Payment,$-190.48,"$21,738.31"
2023-03-09 20:53:33,Fitr - Payment,$-163.71,"$21,574.60"
2023-03-17 18:52:35,AffordableHub - Payment,$-106.00,"$21,468.60"
2023-03-18 14:01:42,Flexin - Payment,$-56.49,"$21,412.11"
2023-03-22 08:15:31,AffordableHub - Payment,$-140.00,"$21,272.11"
