date,to,from_,size,type_
2023-01-01 11:41:21,(986) 191-6227,(549) 792-3583,2 characters,Received Text
2023-01-01 16:18:20,(986) 191-6227,(549) 792-3583,93 minutes,Outbound Call
2023-01-01 21:05:08,(607) 506-1751,(549) 792-3583,8.2 MB,Sent Media
2023-01-02 17:31:20,(607) 506-1751,(549) 792-3583,96 characters,Received Text
2023-01-02 18:08:15,(607) 506-1751,(549) 792-3583,80 characters,Sent Text
2023-01-03 11:30:51,(986) 191-6227,(549) 792-3583,34 characters,Sent Text
2023-01-03 13:45:42,(607) 506-1751,(549) 792-3583,114 minutes,Inbound Call
2023-01-03 18:25:38,(382) 578-4623,(549) 792-3583,30 minutes,Outbound Call
2023-01-04 15:37:05,(382) 578-4623,(549) 792-3583,304 characters,Received Text
2023-01-04 21:23:48,(607) 506-1751,(549) 792-3583,34 characters,Sent Text
2023-01-04 21:33:07,(607) 506-1751,(549) 792-3583,75 minutes,Outbound Call
2023-01-05 13:41:07,(382) 578-4623,(549) 792-3583,84 minutes,Outbound Call
2023-01-05 14:51:42,(986) 191-6227,(549) 792-3583,238 characters,Sent Text
2023-01-05 21:49:36,(607) 506-1751,(549) 792-3583,57 characters,Received Text
2023-01-05 21:52:43,(986) 191-6227,(549) 792-3583,291 characters,Received Text
2023-01-06 11:32:41,(986) 191-6227,(549) 792-3583,94 characters,Sent Text
2023-01-06 13:36:58,(382) 578-4623,(549) 792-3583,337 characters,Received Text
2023-01-06 16:51:10,(986) 191-6227,(549) 792-3583,97 characters,Received Text
2023-01-07 08:23:38,(607) 506-1751,(549) 792-3583,185 characters,Received Text
2023-01-07 17:00:17,(382) 578-4623,(549) 792-3583,81 characters,Sent Text
2023-01-07 21:45:06,(382) 578-4623,(549) 792-3583,12 minutes,Inbound Call
2023-01-08 08:43:16,(986) 191-6227,(549) 792-3583,261 characters,Received Text
2023-01-08 11:15:11,(607) 506-1751,(549) 792-3583,150 characters,Sent Text
2023-01-08 14:19:54,(607) 506-1751,(549) 792-3583,28 minutes,Outbound Call
2023-01-08 14:51:13,(607) 506-1751,(549) 792-3583,191 characters,Received Text
2023-01-08 21:17:24,(986) 191-6227,(549) 792-3583,137 characters,Sent Text
2023-01-08 21:34:34,(986) 191-6227,(549) 792-3583,82 minutes,Inbound Call
2023-01-09 08:31:15,(382) 578-4623,(549) 792-3583,312 characters,Sent Text
2023-01-09 10:43:18,(607) 506-1751,(549) 792-3583,340 characters,Received Text
2023-01-09 18:38:26,(382) 578-4623,(549) 792-3583,116 minutes,Outbound Call
2023-01-10 14:23:53,(986) 191-6227,(549) 792-3583,53 minutes,Inbound Call
2023-01-10 16:11:57,(382) 578-4623,(549) 792-3583,108 minutes,Inbound Call
2023-01-11 08:22:13,(607) 506-1751,(549) 792-3583,325 characters,Sent Text
2023-01-11 19:19:43,(986) 191-6227,(549) 792-3583,322 characters,Sent Text
2023-01-11 20:03:10,(986) 191-6227,(549) 792-3583,114 characters,Received Text
2023-01-11 21:17:28,(382) 578-4623,(549) 792-3583,26 minutes,Outbound Call
2023-01-12 16:56:47,(607) 506-1751,(549) 792-3583,16 minutes,Inbound Call
2023-01-12 17:29:31,(986) 191-6227,(549) 792-3583,103 characters,Received Text
2023-01-13 09:37:27,(382) 578-4623,(549) 792-3583,0.5 MB,Received Media
2023-01-13 10:15:00,(382) 578-4623,(549) 792-3583,132 characters,Sent Text
2023-01-13 18:12:39,(986) 191-6227,(549) 792-3583,54 characters,Received Text
2023-01-13 19:31:09,(382) 578-4623,(549) 792-3583,46 minutes,Inbound Call
2023-01-14 17:32:20,(607) 506-1751,(549) 792-3583,96 minutes,Inbound Call
2023-01-14 19:31:31,(986) 191-6227,(549) 792-3583,104 minutes,Outbound Call
2023-01-15 11:10:41,(382) 578-4623,(549) 792-3583,32 minutes,Inbound Call
2023-01-16 10:16:51,(607) 506-1751,(549) 792-3583,7 characters,Sent Text
2023-01-17 12:49:47,(382) 578-4623,(549) 792-3583,91 minutes,Outbound Call
2023-01-17 13:43:14,(986) 191-6227,(549) 792-3583,115 minutes,Outbound Call
2023-01-18 09:08:30,(986) 191-6227,(549) 792-3583,123 characters,Received Text
2023-01-18 12:25:07,(986) 191-6227,(549) 792-3583,2 minutes,Inbound Call
2023-01-18 18:29:01,(986) 191-6227,(549) 792-3583,113 minutes,Outbound Call
2023-01-19 11:48:09,(382) 578-4623,(549) 792-3583,92 minutes,Outbound Call
2023-01-19 15:17:50,(986) 191-6227,(549) 792-3583,103 characters,Received Text
2023-01-19 17:38:46,(382) 578-4623,(549) 792-3583,202 characters,Sent Text
2023-01-20 08:36:56,(986) 191-6227,(549) 792-3583,16.2 MB,Received Media
2023-01-20 14:08:48,(382) 578-4623,(549) 792-3583,44 characters,Received Text
2023-01-20 16:24:08,(382) 578-4623,(549) 792-3583,86 characters,Sent Text
2023-01-20 17:11:50,(986) 191-6227,(549) 792-3583,51 characters,Sent Text
2023-01-20 17:36:22,(986) 191-6227,(549) 792-3583,47 minutes,Outbound Call
2023-01-20 18:11:02,(607) 506-1751,(549) 792-3583,350 characters,Sent Text
2023-01-21 12:51:17,(382) 578-4623,(549) 792-3583,282 characters,Sent Text
2023-01-21 13:30:24,(382) 578-4623,(549) 792-3583,66 minutes,Inbound Call
2023-01-22 08:01:47,(607) 506-1751,(549) 792-3583,183 characters,Received Text
2023-01-22 16:42:33,(382) 578-4623,(549) 792-3583,264 characters,Sent Text
2023-01-22 16:52:21,(607) 506-1751,(549) 792-3583,20 minutes,Outbound Call
2023-01-23 11:02:37,(607) 506-1751,(549) 792-3583,272 characters,Sent Text
2023-01-23 13:00:52,(986) 191-6227,(549) 792-3583,222 characters,Received Text
2023-01-23 14:04:17,(382) 578-4623,(549) 792-3583,137 characters,Received Text
2023-01-23 16:09:07,(607) 506-1751,(549) 792-3583,94 characters,Received Text
2023-01-24 09:57:00,(607) 506-1751,(549) 792-3583,35 minutes,Outbound Call
2023-01-24 12:02:06,(607) 506-1751,(549) 792-3583,185 characters,Received Text
2023-01-24 19:03:53,(382) 578-4623,(549) 792-3583,17 minutes,Inbound Call
2023-01-25 08:36:00,(607) 506-1751,(549) 792-3583,65 minutes,Inbound Call
2023-01-25 16:14:35,(607) 506-1751,(549) 792-3583,335 characters,Received Text
2023-01-26 08:06:54,(607) 506-1751,(549) 792-3583,128 characters,Received Text
2023-01-26 11:15:27,(382) 578-4623,(549) 792-3583,64 minutes,Outbound Call
2023-01-26 14:17:05,(986) 191-6227,(549) 792-3583,94 characters,Received Text
2023-01-26 18:39:41,(607) 506-1751,(549) 792-3583,107 minutes,Outbound Call
2023-01-27 08:42:07,(607) 506-1751,(549) 792-3583,92 characters,Sent Text
2023-01-27 08:53:43,(986) 191-6227,(549) 792-3583,25 characters,Received Text
2023-01-28 13:23:55,(382) 578-4623,(549) 792-3583,10 minutes,Outbound Call
2023-01-28 19:40:42,(607) 506-1751,(549) 792-3583,10 characters,Received Text
2023-01-29 10:07:28,(382) 578-4623,(549) 792-3583,96 minutes,Inbound Call
2023-01-29 19:42:10,(986) 191-6227,(549) 792-3583,316 characters,Sent Text
2023-01-29 20:39:56,(607) 506-1751,(549) 792-3583,96 characters,Sent Text
2023-01-30 08:56:00,(382) 578-4623,(549) 792-3583,52 characters,Sent Text
2023-01-30 08:57:26,(607) 506-1751,(549) 792-3583,87 minutes,Inbound Call
2023-01-30 09:31:14,(607) 506-1751,(549) 792-3583,35 characters,Received Text
2023-01-30 11:42:55,(382) 578-4623,(549) 792-3583,33 minutes,Inbound Call
2023-01-31 14:01:59,(986) 191-6227,(549) 792-3583,143 characters,Received Text
2023-01-31 14:26:46,(607) 506-1751,(549) 792-3583,79 minutes,Inbound Call
2023-02-02 08:16:21,(986) 191-6227,(549) 792-3583,162 characters,Received Text
2023-02-02 08:40:34,(382) 578-4623,(549) 792-3583,14 characters,Received Text
2023-02-02 18:00:55,(986) 191-6227,(549) 792-3583,63 minutes,Outbound Call
2023-02-02 18:58:53,(607) 506-1751,(549) 792-3583,104 characters,Received Text
2023-02-03 10:30:58,(382) 578-4623,(549) 792-3583,18 characters,Received Text
2023-02-03 17:47:41,(986) 191-6227,(549) 792-3583,343 characters,Sent Text
2023-02-03 18:06:44,(382) 578-4623,(549) 792-3583,88 minutes,Outbound Call
2023-02-03 21:08:59,(986) 191-6227,(549) 792-3583,331 characters,Received Text
2023-02-05 12:00:29,(382) 578-4623,(549) 792-3583,221 characters,Sent Text
2023-02-05 12:40:36,(382) 578-4623,(549) 792-3583,2.8 MB,Sent Media
2023-02-05 12:46:47,(986) 191-6227,(549) 792-3583,39 characters,Received Text
2023-02-05 17:33:44,(382) 578-4623,(549) 792-3583,95 characters,Received Text
2023-02-06 09:28:43,(986) 191-6227,(549) 792-3583,179 characters,Sent Text
2023-02-06 12:16:48,(607) 506-1751,(549) 792-3583,121 characters,Sent Text
2023-02-06 19:22:34,(986) 191-6227,(549) 792-3583,247 characters,Received Text
2023-02-06 21:03:24,(382) 578-4623,(549) 792-3583,0.6 MB,Received Media
2023-02-07 14:12:22,(382) 578-4623,(549) 792-3583,17 characters,Received Text
2023-02-07 14:20:18,(986) 191-6227,(549) 792-3583,267 characters,Received Text
2023-02-07 14:35:35,(607) 506-1751,(549) 792-3583,304 characters,Received Text
2023-02-07 15:04:21,(986) 191-6227,(549) 792-3583,48 minutes,Outbound Call
2023-02-08 13:29:19,(607) 506-1751,(549) 792-3583,52 minutes,Outbound Call
2023-02-08 13:54:58,(607) 506-1751,(549) 792-3583,308 characters,Received Text
2023-02-08 15:46:33,(607) 506-1751,(549) 792-3583,157 characters,Sent Text
2023-02-08 18:59:45,(382) 578-4623,(549) 792-3583,66 characters,Sent Text
2023-02-08 20:53:23,(986) 191-6227,(549) 792-3583,221 characters,Sent Text
2023-02-08 21:14:30,(986) 191-6227,(549) 792-3583,18.7 MB,Sent Media
2023-02-09 13:07:41,(382) 578-4623,(549) 792-3583,5.4 MB,Sent Media
2023-02-09 21:17:02,(986) 191-6227,(549) 792-3583,186 characters,Received Text
2023-02-10 08:19:46,(607) 506-1751,(549) 792-3583,5 minutes,Outbound Call
