date,description,amount,balance
2023-01-03 15:40:36,Flexin - Payment,$-101.38,"$6,558.73"
2023-01-04 10:27:54,Foodr - Payment,$-147.50,"$6,411.23"
2023-01-06 18:34:28,Flexin - Payment,$-199.54,"$6,211.69"
2023-01-08 20:49:39,AffordableHub - Payment,$-77.72,"$6,133.97"
2023-01-10 21:54:04,Flexin - Payment,$-189.68,"$5,944.29"
2023-01-17 21:28:29,Flexin - Payment,$-26.59,"$5,917.70"
2023-01-26 15:52:47,StrongLink - Payment,$-136.61,"$5,781.09"
2023-02-04 09:12:14,Healthn - Payment,$-53.84,"$5,727.25"
2023-02-19 11:42:59,Healthn - Payment,$-69.63,"$5,657.62"
2023-02-20 15:39:29,Flexin - Payment,$-80.91,"$5,480.48"
2023-02-20 19:35:36,Healthn - Payment,$-96.23,"$5,561.39"
2023-02-26 19:28:52,Flexin - Payment,$-97.64,"$5,382.84"
2023-02-27 15:44:10,Healthn - Payment,$-64.70,"$5,318.14"
2023-03-04 18:44:10,Flexin - Payment,$-66.70,"$5,251.44"
2023-03-07 18:06:50,Healthn - Payment,$-41.77,"$5,209.67"
2023-03-12 14:57:57,Healthn - Payment,$-113.43,"$5,096.24"
2023-03-12 18:07:08,Flexin - Payment,$-64.73,"$5,031.51"
2023-03-25 18:10:31,Healthn - Payment,$-72.57,"$4,958.94"
2023-03-30 20:41:38,Healthn - Payment,$-85.36,"$4,873.58"
2023-03-31 08:03:49,Healthn - Payment,$-25.14,"$4,848.44"
2023-04-02 14:12:25,Healthn - Payment,$-96.60,"$4,751.84"
2023-04-03 10:55:41,Healthn - Payment,$-187.76,"$4,564.08"
2023-04-06 16:59:45,Healthn - Payment,$-135.90,"$4,428.18"
2023-04-07 18:03:26,Flexin - Payment,$-108.34,"$4,319.84"
2023-04-10 10:59:12,Healthn - Payment,$-105.80,"$4,214.04"
2023-04-12 16:36:49,Flexin - Payment,$-145.88,"$4,068.16"
2023-04-13 13:50:59,AffordableHub - Payment,$-191.12,"$3,877.04"
2023-04-16 17:27:25,StrongLink - Payment,$-139.40,"$3,737.64"
2023-04-17 10:10:49,Flexin - Payment,$-85.75,"$3,651.89"
2023-04-19 11:51:23,Healthn - Payment,$-184.42,"$3,467.47"
2023-04-23 12:03:52,Flexin - Payment,$-69.97,"$3,397.50"
2023-04-29 08:40:40,Flexin - Payment,$-148.32,"$3,249.18"
2023-05-10 11:53:37,Flexin - Payment,$-176.95,"$2,917.70"
2023-05-10 20:02:32,Healthn - Payment,$-154.53,"$3,094.65"
2023-05-11 14:19:08,Healthn - Payment,$-138.62,"$2,779.08"
2023-05-16 21:41:26,AffordableHub - Payment,$-39.65,"$2,739.43"
2023-05-17 19:54:57,AffordableHub - Payment,$-47.64,"$2,691.79"
2023-05-20 20:18:08,youGrocery - Payment,$-89.90,"$2,601.89"
2023-05-22 20:45:44,Flexin - Payment,$-46.42,"$2,555.47"
2023-05-23 20:39:27,Healthn - Payment,$-35.71,"$2,519.76"
2023-05-27 09:31:38,Fitr - Payment,$-99.58,"$2,420.18"
2023-05-29 20:00:14,Healthn - Payment,$-84.12,"$2,336.06"
2023-06-07 19:21:51,Flexin - Payment,$-127.65,"$2,208.41"
2023-06-22 19:36:56,AffordableHub - Payment,$-134.50,"$2,073.91"
2023-06-23 18:22:34,Flexin - Payment,$-38.30,"$2,035.61"
2023-06-24 12:24:50,StrongLink - Payment,$-194.40,"$1,771.04"
2023-06-24 14:42:40,youGrocery - Payment,$-70.17,"$1,965.44"
2023-06-27 16:58:59,Healthn - Payment,$-101.39,"$1,669.65"
2023-06-29 16:20:52,Flexin - Payment,$-44.49,"$1,625.16"
2023-07-02 14:25:16,Healthn - Payment,$-98.57,"$1,526.59"
2023-07-03 12:31:57,Healthn - Payment,$-31.41,"$1,495.18"
2023-07-04 19:55:17,Healthn - Payment,$-126.39,"$1,368.79"
2023-07-09 14:35:20,StrongLink - Payment,$-31.27,"$1,337.52"
2023-07-15 11:55:11,Healthn - Payment,$-136.53,"$1,200.99"
2023-07-22 20:38:52,Healthn - Payment,$-47.79,"$1,153.20"
2023-07-24 14:37:49,Healthn - Payment,$-48.45,"$1,104.75"
2023-08-04 09:24:44,Flexin - Payment,$-77.42,"$1,027.33"
2023-08-07 10:40:10,Flexin - Payment,$-196.76,$830.57
2023-08-09 15:55:26,Healthn - Payment,$-193.44,$637.13
2023-08-10 13:22:41,Healthn - Payment,$-49.14,$587.99
2023-08-17 17:36:26,Flexin - Payment,$-28.94,$559.05
2023-08-23 10:12:49,Flexin - Payment,$-98.80,$460.25
2023-08-25 21:33:54,Flexin - Payment,$-189.91,$270.34
2023-08-28 09:21:49,Healthn - Payment,$-24.25,$246.09
2023-08-28 14:06:02,Flexin - Payment,$-188.88,$57.21
2023-08-31 10:02:31,Invalid Withdrawal,$0.00,$57.21
2023-09-01 19:15:31,Healthn - Payment,$-30.59,$26.62
2023-09-02 12:20:16,Invalid Withdrawal,$0.00,$26.62
2023-09-05 20:14:02,Invalid Withdrawal,$0.00,$26.62
2023-09-12 14:30:41,Invalid Withdrawal,$0.00,$26.62
2023-09-13 11:59:20,Healthn - Payment,$-24.80,$1.82
2023-09-17 10:31:58,Invalid Withdrawal,$0.00,$1.82
2023-09-17 11:27:38,Invalid Withdrawal,$0.00,$1.82
2023-10-03 14:39:58,Invalid Withdrawal,$0.00,$1.82
2023-10-05 17:51:44,Invalid Withdrawal,$0.00,$1.82
2023-10-06 15:36:41,Invalid Withdrawal,$0.00,$1.82
2023-10-13 20:15:37,Invalid Withdrawal,$0.00,$1.82
2023-10-17 11:28:47,Invalid Withdrawal,$0.00,$1.82
2023-10-19 19:53:52,Invalid Withdrawal,$0.00,$1.82
2023-10-24 16:51:54,Invalid Withdrawal,$0.00,$1.82
2023-10-30 15:11:06,Invalid Withdrawal,$0.00,$1.82
2023-11-09 11:26:23,Invalid Withdrawal,$0.00,$1.82
2023-11-12 12:06:55,Invalid Withdrawal,$0.00,$1.82
2023-11-13 14:28:12,Invalid Withdrawal,$0.00,$1.82
2023-11-14 09:49:55,Invalid Withdrawal,$0.00,$1.82
2023-11-17 16:13:35,Invalid Withdrawal,$0.00,$1.82
2023-11-20 18:31:11,Invalid Withdrawal,$0.00,$1.82
2023-11-21 10:00:21,Invalid Withdrawal,$0.00,$1.82
2023-11-23 14:19:30,Invalid Withdrawal,$0.00,$1.82
2023-11-25 21:57:32,Invalid Withdrawal,$0.00,$1.82
2023-12-24 11:49:35,Invalid Withdrawal,$0.00,$1.82
2024-01-04 18:03:13,Invalid Withdrawal,$0.00,$1.82
2024-01-09 19:43:41,Invalid Withdrawal,$0.00,$1.82
2024-01-21 21:35:01,Invalid Withdrawal,$0.00,$1.82
2024-01-26 11:16:31,Invalid Withdrawal,$0.00,$1.82
2024-01-27 10:10:03,Invalid Withdrawal,$0.00,$1.82
2024-02-02 20:35:01,Invalid Withdrawal,$0.00,$1.82
2024-02-08 16:07:43,Invalid Withdrawal,$0.00,$1.82
2024-02-15 11:05:44,Invalid Withdrawal,$0.00,$1.82
2024-02-19 12:51:02,Invalid Withdrawal,$0.00,$1.82
2024-02-23 15:54:27,Invalid Withdrawal,$0.00,$1.82
2024-02-24 13:30:46,Invalid Withdrawal,$0.00,$1.82
2024-02-26 20:41:50,Invalid Withdrawal,$0.00,$1.82
2024-02-28 21:33:49,Invalid Withdrawal,$0.00,$1.82
2024-03-01 12:52:32,Invalid Withdrawal,$0.00,$1.82
2024-03-05 08:01:04,Invalid Withdrawal,$0.00,$1.82
2024-03-06 19:57:26,Invalid Withdrawal,$0.00,$1.82
2024-03-08 09:39:21,Invalid Withdrawal,$0.00,$1.82
2024-03-11 17:30:26,Invalid Withdrawal,$0.00,$1.82
2024-03-12 10:44:53,Invalid Withdrawal,$0.00,$1.82
2024-03-13 14:50:51,Invalid Withdrawal,$0.00,$1.82
2024-03-20 13:23:06,Invalid Withdrawal,$0.00,$1.82
2024-03-26 20:26:54,Invalid Withdrawal,$0.00,$1.82
2024-04-08 14:53:43,Invalid Withdrawal,$0.00,$1.82
2024-04-10 08:48:31,Invalid Withdrawal,$0.00,$1.82
2024-04-10 13:46:46,Invalid Withdrawal,$0.00,$1.82
2024-04-23 18:06:15,Invalid Withdrawal,$0.00,$1.82
2024-04-25 11:04:50,Invalid Withdrawal,$0.00,$1.82
2024-04-28 21:08:14,Invalid Withdrawal,$0.00,$1.82
2024-04-29 11:33:56,Invalid Withdrawal,$0.00,$1.82
2024-05-02 20:49:59,Invalid Withdrawal,$0.00,$1.82
2024-05-06 11:49:49,Invalid Withdrawal,$0.00,$1.82
2024-05-09 21:22:53,Invalid Withdrawal,$0.00,$1.82
2024-05-10 13:10:59,Invalid Withdrawal,$0.00,$1.82
2024-05-11 15:45:56,Invalid Withdrawal,$0.00,$1.82
2024-05-16 09:08:56,Invalid Withdrawal,$0.00,$1.82
2024-05-19 17:44:40,Invalid Withdrawal,$0.00,$1.82
2024-05-21 19:12:32,Invalid Withdrawal,$0.00,$1.82
2024-05-22 21:18:43,Invalid Withdrawal,$0.00,$1.82
2024-05-28 09:49:05,Invalid Withdrawal,$0.00,$1.82
2024-06-10 13:39:11,Invalid Withdrawal,$0.00,$1.82
2024-06-11 08:11:58,Invalid Withdrawal,$0.00,$1.82
2024-06-11 08:52:52,Invalid Withdrawal,$0.00,$1.82
2024-06-12 08:58:32,Invalid Withdrawal,$0.00,$1.82
2024-06-13 21:33:29,Invalid Withdrawal,$0.00,$1.82
2024-06-15 21:39:20,Invalid Withdrawal,$0.00,$1.82
2024-06-17 19:38:03,Invalid Withdrawal,$0.00,$1.82
2024-06-20 14:03:33,Invalid Withdrawal,$0.00,$1.82
2024-06-21 17:41:34,Invalid Withdrawal,$0.00,$1.82
2024-06-26 09:59:17,Invalid Withdrawal,$0.00,$1.82
2024-06-26 19:23:53,Invalid Withdrawal,$0.00,$1.82
2024-06-28 13:03:13,Invalid Withdrawal,$0.00,$1.82
