date,description,amount,balance
2023-01-04 14:19:30,Foodr - Payment,$-82.97,"$20,980.82"
2023-01-08 08:32:25,Foodr - Payment,$-149.76,"$20,831.06"
2023-01-11 19:44:10,Healthn - Payment,$-136.94,"$20,694.12"
2023-01-17 16:00:20,Foodr - Payment,$-163.18,"$20,530.94"
2023-02-01 10:35:40,Flexin - Payment,$-22.40,"$20,508.54"
2023-02-05 11:23:03,youGrocery - Payment,$-179.36,"$20,329.18"
2023-02-09 18:26:00,Foodr - Payment,$-175.50,"$20,153.68"
2023-02-10 15:59:34,Flexin - Payment,$-173.87,"$19,979.81"
2023-02-12 14:57:38,Flexin - Payment,$-52.80,"$19,927.01"
2023-02-17 16:39:44,Flexin - Payment,$-33.68,"$19,893.33"
2023-02-20 08:25:08,Foodr - Payment,$-75.00,"$19,818.33"
2023-02-23 21:12:57,Flexin - Payment,$-120.32,"$19,698.01"
2023-02-24 19:22:36,Foodr - Payment,$-83.80,"$19,614.21"
2023-03-03 19:57:22,AffordableHub - Payment,$-56.47,"$19,557.74"
2023-03-04 08:26:12,Foodr - Payment,$-128.30,"$19,429.44"
2023-03-04 09:33:07,Flexin - Payment,$-69.19,"$19,360.25"
2023-03-10 16:18:58,Foodr - Payment,$-139.81,"$19,220.44"
2023-03-13 19:17:24,Foodr - Payment,$-145.68,"$19,074.76"
2023-03-17 21:41:29,Foodr - Payment,$-108.65,"$18,966.11"
2023-03-19 08:56:53,Foodr - Payment,$-191.80,"$18,774.31"
2023-03-21 17:22:51,Flexin - Payment,$-73.26,"$18,701.05"
2023-03-25 13:39:04,Fitr - Payment,$-69.87,"$18,631.18"
2023-03-29 13:49:02,Foodr - Payment,$-52.54,"$18,578.64"
2023-03-30 19:15:38,youGrocery - Payment,$-46.98,"$18,531.66"
2023-03-30 20:11:01,Flexin - Payment,$-167.49,"$18,364.17"
2023-04-03 19:00:56,Foodr - Payment,$-42.93,"$18,321.24"
2023-04-14 14:41:47,Foodr - Payment,$-41.70,"$18,279.54"
2023-04-16 18:15:00,Healthn - Payment,$-159.84,"$18,119.70"
2023-04-28 11:06:11,AffordableHub - Payment,$-36.57,"$18,083.13"
2023-04-28 13:24:27,Flexin - Payment,$-147.95,"$17,935.18"
2023-04-30 17:17:53,Healthn - Payment,$-50.95,"$17,884.23"
2023-05-05 14:44:22,StrongLink - Payment,$-169.41,"$17,714.82"
2023-05-07 20:41:39,Foodr - Payment,$-32.73,"$17,682.09"
2023-05-10 18:13:37,Foodr - Payment,$-34.50,"$17,647.59"
2023-05-12 18:50:44,Foodr - Payment,$-170.82,"$17,476.77"
2023-05-16 16:15:21,Flexin - Payment,$-55.75,"$17,421.02"
2023-05-18 16:47:55,Foodr - Payment,$-126.73,"$17,294.29"
2023-05-23 21:52:16,AffordableHub - Payment,$-143.12,"$17,151.17"
2023-05-29 20:42:55,Flexin - Payment,$-120.30,"$17,030.87"
2023-05-31 20:30:04,Foodr - Payment,$-95.14,"$16,935.73"
