date,to,from_,size,type_
2023-01-01 09:35:19,(342) 375-0322,(693) 525-6303,199 characters,Received Text
2023-01-02 12:11:59,(352) 988-8187,(693) 525-6303,54 characters,Received Text
2023-01-03 13:53:35,(352) 988-8187,(693) 525-6303,145 characters,Received Text
2023-01-03 14:56:50,(342) 375-0322,(693) 525-6303,28 minutes,Inbound Call
2023-01-04 08:21:30,(352) 988-8187,(693) 525-6303,49 characters,Received Text
2023-01-04 11:20:45,(342) 375-0322,(693) 525-6303,260 characters,Received Text
2023-01-04 17:07:34,(352) 988-8187,(693) 525-6303,2.7 MB,Received Media
2023-01-07 14:33:01,(352) 988-8187,(693) 525-6303,292 characters,Received Text
2023-01-07 16:02:26,(352) 988-8187,(693) 525-6303,24 minutes,Inbound Call
2023-01-08 14:36:25,(352) 988-8187,(693) 525-6303,12 characters,Received Text
2023-01-09 16:39:29,(342) 375-0322,(693) 525-6303,6 characters,Received Text
2023-01-10 13:20:27,(352) 988-8187,(693) 525-6303,317 characters,Received Text
2023-01-12 08:36:30,(342) 375-0322,(693) 525-6303,82 minutes,Inbound Call
2023-01-13 17:24:01,(352) 988-8187,(693) 525-6303,139 characters,Received Text
2023-01-14 20:34:24,(352) 988-8187,(693) 525-6303,205 characters,Received Text
2023-01-16 08:30:36,(342) 375-0322,(693) 525-6303,274 characters,Received Text
2023-01-16 14:14:12,(352) 988-8187,(693) 525-6303,27 minutes,Inbound Call
2023-01-17 16:25:28,(352) 988-8187,(693) 525-6303,13.1 MB,Received Media
2023-01-20 19:39:03,(342) 375-0322,(693) 525-6303,41 characters,Received Text
2023-01-22 12:28:37,(342) 375-0322,(693) 525-6303,232 characters,Received Text
2023-01-22 13:51:23,(352) 988-8187,(693) 525-6303,107 minutes,Inbound Call
2023-01-23 08:26:31,(352) 988-8187,(693) 525-6303,8.2 MB,Received Media
2023-01-23 13:27:00,(342) 375-0322,(693) 525-6303,323 characters,Received Text
2023-01-23 19:05:58,(352) 988-8187,(693) 525-6303,1 minutes,Inbound Call
2023-01-24 09:57:17,(342) 375-0322,(693) 525-6303,134 characters,Received Text
2023-01-24 20:21:01,(352) 988-8187,(693) 525-6303,73 minutes,Inbound Call
2023-01-26 14:30:53,(352) 988-8187,(693) 525-6303,85 characters,Received Text
2023-01-26 17:32:28,(352) 988-8187,(693) 525-6303,35 minutes,Inbound Call
2023-01-26 18:31:04,(342) 375-0322,(693) 525-6303,208 characters,Received Text
2023-01-27 09:55:58,(342) 375-0322,(693) 525-6303,156 characters,Received Text
2023-01-27 21:50:59,(352) 988-8187,(693) 525-6303,150 characters,Received Text
2023-01-30 09:45:22,(352) 988-8187,(693) 525-6303,287 characters,Received Text
2023-01-31 09:48:33,(352) 988-8187,(693) 525-6303,342 characters,Received Text
2023-01-31 10:52:31,(342) 375-0322,(693) 525-6303,109 minutes,Inbound Call
2023-01-31 12:39:11,(342) 375-0322,(693) 525-6303,262 characters,Received Text
2023-02-01 10:32:35,(342) 375-0322,(693) 525-6303,1 minutes,Inbound Call
2023-02-01 18:47:57,(342) 375-0322,(693) 525-6303,255 characters,Received Text
2023-02-03 21:59:29,(342) 375-0322,(693) 525-6303,43 characters,Received Text
2023-02-04 09:04:12,(352) 988-8187,(693) 525-6303,52 characters,Received Text
2023-02-04 09:59:57,(342) 375-0322,(693) 525-6303,9 minutes,Inbound Call
2023-02-06 10:39:42,(342) 375-0322,(693) 525-6303,16.4 MB,Received Media
