date,to,from_,size,type_
2023-01-04 17:47:18,(304) 593-8725,(433) 158-4993,332 characters,Received Text
2023-01-04 21:40:40,(304) 593-8725,(433) 158-4993,9.5 MB,Received Media
2023-01-05 08:34:24,(304) 593-8725,(433) 158-4993,98 characters,Received Text
2023-01-05 21:16:03,(304) 593-8725,(433) 158-4993,311 characters,Sent Text
2023-01-06 09:03:01,(304) 593-8725,(433) 158-4993,18.6 MB,Sent Media
2023-01-08 10:42:43,(304) 593-8725,(433) 158-4993,188 characters,Received Text
2023-01-09 16:10:49,(304) 593-8725,(433) 158-4993,340 characters,Received Text
2023-01-10 19:58:47,(304) 593-8725,(433) 158-4993,8.0 MB,Sent Media
2023-01-10 20:45:50,(304) 593-8725,(433) 158-4993,228 characters,Sent Text
2023-01-11 08:24:14,(304) 593-8725,(433) 158-4993,17.6 MB,Received Media
2023-01-11 13:58:01,(304) 593-8725,(433) 158-4993,342 characters,Sent Text
2023-01-13 08:58:05,(304) 593-8725,(433) 158-4993,11.6 MB,Sent Media
2023-01-14 08:40:57,(304) 593-8725,(433) 158-4993,104 minutes,Outbound Call
2023-01-14 12:02:50,(304) 593-8725,(433) 158-4993,150 characters,Sent Text
2023-01-14 21:27:44,(304) 593-8725,(433) 158-4993,54 minutes,Inbound Call
2023-01-16 09:24:03,(304) 593-8725,(433) 158-4993,28 minutes,Inbound Call
2023-01-16 12:10:26,(304) 593-8725,(433) 158-4993,94 characters,Sent Text
2023-01-17 11:39:43,(304) 593-8725,(433) 158-4993,183 characters,Received Text
2023-01-17 18:31:10,(304) 593-8725,(433) 158-4993,119 minutes,Outbound Call
2023-01-18 09:21:05,(304) 593-8725,(433) 158-4993,26 minutes,Outbound Call
2023-01-18 13:35:58,(304) 593-8725,(433) 158-4993,155 characters,Received Text
2023-01-19 13:40:19,(304) 593-8725,(433) 158-4993,84 minutes,Inbound Call
2023-01-19 17:29:22,(304) 593-8725,(433) 158-4993,251 characters,Received Text
2023-01-21 14:18:08,(304) 593-8725,(433) 158-4993,184 characters,Received Text
2023-01-22 08:17:47,(304) 593-8725,(433) 158-4993,25 characters,Received Text
2023-01-23 21:58:44,(304) 593-8725,(433) 158-4993,72 characters,Received Text
2023-01-24 08:35:07,(304) 593-8725,(433) 158-4993,42 characters,Received Text
2023-01-24 13:37:47,(304) 593-8725,(433) 158-4993,304 characters,Sent Text
2023-01-25 09:52:58,(304) 593-8725,(433) 158-4993,286 characters,Sent Text
2023-01-26 16:04:39,(304) 593-8725,(433) 158-4993,23 minutes,Outbound Call
2023-01-27 09:06:03,(304) 593-8725,(433) 158-4993,19.5 MB,Received Media
2023-01-27 16:44:28,(304) 593-8725,(433) 158-4993,91 minutes,Outbound Call
2023-01-27 20:55:44,(304) 593-8725,(433) 158-4993,7.8 MB,Sent Media
2023-01-28 08:21:41,(304) 593-8725,(433) 158-4993,241 characters,Sent Text
