date,description,amount,balance
2023-01-01 10:32:10,Flexin - Payment,$-29.50,$670.67
2023-01-03 10:03:28,StrongLink - Payment,$-95.58,$575.09
2023-01-06 00:00:00,Purchase by Foodr,"$2,000.00","$2,575.09"
2023-01-10 13:14:18,Healthn - Payment,$-39.12,"$2,535.97"
2023-01-11 12:21:54,Flexin - Payment,$-174.59,"$2,361.38"
2023-01-13 00:00:00,Purchase by Foodr,"$2,000.00","$4,361.38"
2023-01-15 12:50:33,Fitr - Payment,$-140.39,"$4,220.99"
2023-01-16 19:04:52,youGrocery - Payment,$-39.25,"$4,181.74"
2023-01-17 20:51:34,Foodr - Payment,$-190.29,"$3,991.45"
2023-01-18 10:48:51,youGrocery - Payment,$-103.29,"$3,888.16"
2023-01-18 17:49:09,Flexin - Payment,$-161.64,"$3,726.52"
2023-01-20 00:00:00,Purchase by Foodr,"$2,000.00","$5,726.52"
2023-01-23 16:55:45,Flexin - Payment,$-96.86,"$5,629.66"
2023-01-27 00:00:00,Purchase by Foodr,"$2,000.00","$7,488.20"
2023-01-27 12:58:41,Flexin - Payment,$-141.46,"$5,488.20"
2023-01-28 17:39:57,youGrocery - Payment,$-22.28,"$7,465.92"
2023-01-28 21:03:47,Flexin - Payment,$-43.62,"$7,422.30"
2023-01-29 19:10:34,Flexin - Payment,$-76.58,"$7,345.72"
2023-01-30 08:27:04,Flexin - Payment,$-170.14,"$7,175.58"
2023-02-03 00:00:00,Purchase by Foodr,"$2,000.00","$9,096.21"
2023-02-03 14:32:47,youGrocery - Payment,$-79.37,"$7,096.21"
2023-02-05 11:34:21,Flexin - Payment,$-41.88,"$9,054.33"
2023-02-06 09:59:21,Flexin - Payment,$-52.46,"$9,001.87"
2023-02-09 17:29:48,Foodr - Payment,$-51.66,"$8,950.21"
2023-02-09 21:03:17,Flexin - Payment,$-183.94,"$8,766.27"
2023-02-10 00:00:00,Purchase by Foodr,"$2,000.00","$10,766.27"
2023-02-11 09:38:35,Flexin - Payment,$-38.11,"$10,728.16"
2023-02-12 13:02:48,youGrocery - Payment,$-187.48,"$10,540.68"
2023-02-13 08:21:06,Flexin - Payment,$-157.99,"$10,382.69"
2023-02-14 11:31:58,Flexin - Payment,$-193.51,"$10,189.18"
2023-02-16 16:31:29,AffordableHub - Payment,$-112.23,"$10,076.95"
2023-02-17 00:00:00,Purchase by Foodr,"$2,000.00","$12,076.95"
2023-02-24 00:00:00,Purchase by Foodr,"$2,000.00","$14,034.02"
2023-02-24 12:35:23,youGrocery - Payment,$-42.93,"$12,034.02"
2023-03-01 13:36:42,StrongLink - Payment,$-193.30,"$13,840.72"
2023-03-03 00:00:00,Purchase by Foodr,"$2,000.00","$15,674.55"
2023-03-03 21:39:02,youGrocery - Payment,$-166.17,"$13,674.55"
2023-03-06 17:58:22,Flexin - Payment,$-193.37,"$15,481.18"
