date,to,from_,size,type_
2023-01-01 14:08:27,(657) 114-8737,(101) 631-1507,213 characters,Received Text
2023-01-01 21:26:37,(657) 114-8737,(101) 631-1507,216 characters,Sent Text
2023-01-02 20:24:07,(657) 114-8737,(101) 631-1507,149 characters,Sent Text
2023-01-03 19:42:58,(657) 114-8737,(101) 631-1507,95 characters,Sent Text
2023-01-04 19:25:13,(657) 114-8737,(101) 631-1507,16.6 MB,Received Media
2023-01-05 10:42:33,(657) 114-8737,(101) 631-1507,93 characters,Sent Text
2023-01-07 11:59:09,(657) 114-8737,(101) 631-1507,160 characters,Sent Text
2023-01-09 10:16:08,(657) 114-8737,(101) 631-1507,1 characters,Sent Text
2023-01-11 17:41:15,(657) 114-8737,(101) 631-1507,29 characters,Sent Text
2023-01-12 18:57:30,(657) 114-8737,(101) 631-1507,97 minutes,Inbound Call
2023-01-13 18:48:31,(657) 114-8737,(101) 631-1507,279 characters,Sent Text
2023-01-16 12:22:04,(657) 114-8737,(101) 631-1507,328 characters,Sent Text
2023-01-17 11:24:21,(657) 114-8737,(101) 631-1507,56 minutes,Inbound Call
2023-01-17 16:58:04,(657) 114-8737,(101) 631-1507,216 characters,Sent Text
2023-01-17 19:39:13,(657) 114-8737,(101) 631-1507,275 characters,Received Text
2023-01-18 10:52:09,(657) 114-8737,(101) 631-1507,188 characters,Received Text
2023-01-18 16:54:00,(657) 114-8737,(101) 631-1507,61 minutes,Inbound Call
2023-01-18 18:08:19,(657) 114-8737,(101) 631-1507,9 minutes,Outbound Call
2023-01-19 09:41:35,(657) 114-8737,(101) 631-1507,100 characters,Received Text
2023-01-19 11:01:09,(657) 114-8737,(101) 631-1507,13.3 MB,Sent Media
2023-01-20 13:23:25,(657) 114-8737,(101) 631-1507,228 characters,Sent Text
2023-01-21 08:51:40,(657) 114-8737,(101) 631-1507,55 characters,Received Text
2023-01-23 08:30:53,(657) 114-8737,(101) 631-1507,18.3 MB,Received Media
2023-01-23 21:07:22,(657) 114-8737,(101) 631-1507,168 characters,Sent Text
2023-01-24 14:43:39,(657) 114-8737,(101) 631-1507,11 minutes,Inbound Call
2023-01-24 15:25:52,(657) 114-8737,(101) 631-1507,335 characters,Received Text
2023-01-27 14:44:37,(657) 114-8737,(101) 631-1507,102 minutes,Outbound Call
2023-01-28 18:24:06,(657) 114-8737,(101) 631-1507,51 characters,Received Text
2023-01-29 11:06:34,(657) 114-8737,(101) 631-1507,91 characters,Sent Text
2023-01-29 21:19:47,(657) 114-8737,(101) 631-1507,0.6 MB,Received Media
2023-01-31 19:23:04,(657) 114-8737,(101) 631-1507,85 minutes,Inbound Call
2023-02-01 11:00:04,(657) 114-8737,(101) 631-1507,285 characters,Sent Text
2023-02-01 11:02:35,(657) 114-8737,(101) 631-1507,8.9 MB,Received Media
2023-02-01 14:00:21,(657) 114-8737,(101) 631-1507,112 minutes,Outbound Call
2023-02-03 10:50:27,(657) 114-8737,(101) 631-1507,302 characters,Received Text
2023-02-03 18:37:37,(657) 114-8737,(101) 631-1507,81 minutes,Inbound Call
2023-02-04 15:00:38,(657) 114-8737,(101) 631-1507,68 characters,Received Text
2023-02-05 11:10:28,(657) 114-8737,(101) 631-1507,127 characters,Received Text
2023-02-05 18:40:10,(657) 114-8737,(101) 631-1507,50 characters,Sent Text
2023-02-06 11:07:28,(657) 114-8737,(101) 631-1507,309 characters,Sent Text
2023-02-07 10:32:34,(657) 114-8737,(101) 631-1507,21 minutes,Outbound Call
2023-02-10 09:10:58,(657) 114-8737,(101) 631-1507,166 characters,Received Text
2023-02-11 10:32:09,(657) 114-8737,(101) 631-1507,243 characters,Sent Text
2023-02-12 19:14:48,(657) 114-8737,(101) 631-1507,0.2 MB,Sent Media
2023-02-13 18:19:19,(657) 114-8737,(101) 631-1507,308 characters,Received Text
2023-02-14 12:27:52,(657) 114-8737,(101) 631-1507,0.1 MB,Sent Media
2023-02-15 13:17:02,(657) 114-8737,(101) 631-1507,22 minutes,Outbound Call
2023-02-16 08:54:25,(657) 114-8737,(101) 631-1507,138 characters,Sent Text
2023-02-17 19:44:52,(657) 114-8737,(101) 631-1507,40 minutes,Outbound Call
2023-02-18 10:56:30,(657) 114-8737,(101) 631-1507,234 characters,Sent Text
2023-02-18 15:40:15,(657) 114-8737,(101) 631-1507,151 characters,Received Text
2023-02-19 14:01:07,(657) 114-8737,(101) 631-1507,32 minutes,Outbound Call
2023-02-20 20:35:27,(657) 114-8737,(101) 631-1507,84 characters,Sent Text
2023-02-22 11:05:53,(657) 114-8737,(101) 631-1507,186 characters,Received Text
2023-02-23 09:22:54,(657) 114-8737,(101) 631-1507,221 characters,Sent Text
2023-02-24 14:31:42,(657) 114-8737,(101) 631-1507,3.9 MB,Sent Media
2023-02-26 17:33:42,(657) 114-8737,(101) 631-1507,39 minutes,Outbound Call
2023-03-01 18:54:53,(657) 114-8737,(101) 631-1507,185 characters,Sent Text
2023-03-03 21:43:44,(657) 114-8737,(101) 631-1507,257 characters,Received Text
2023-03-06 18:27:14,(657) 114-8737,(101) 631-1507,295 characters,Sent Text
2023-03-06 20:56:33,(657) 114-8737,(101) 631-1507,236 characters,Received Text
2023-03-07 18:49:56,(657) 114-8737,(101) 631-1507,296 characters,Received Text
2023-03-07 20:07:22,(657) 114-8737,(101) 631-1507,255 characters,Sent Text
2023-03-08 15:31:22,(657) 114-8737,(101) 631-1507,230 characters,Received Text
2023-03-10 18:31:09,(657) 114-8737,(101) 631-1507,64 characters,Received Text
2023-03-11 17:41:26,(657) 114-8737,(101) 631-1507,34 characters,Received Text
2023-03-12 15:44:36,(657) 114-8737,(101) 631-1507,103 minutes,Outbound Call
2023-03-12 18:09:33,(657) 114-8737,(101) 631-1507,22 characters,Received Text
2023-03-12 20:23:14,(657) 114-8737,(101) 631-1507,15.8 MB,Sent Media
2023-03-13 15:03:04,(657) 114-8737,(101) 631-1507,105 minutes,Outbound Call
2023-03-13 15:47:59,(657) 114-8737,(101) 631-1507,125 characters,Sent Text
2023-03-14 14:19:20,(657) 114-8737,(101) 631-1507,314 characters,Sent Text
2023-03-16 09:21:44,(657) 114-8737,(101) 631-1507,46 characters,Received Text
2023-03-16 16:27:04,(657) 114-8737,(101) 631-1507,1.7 MB,Received Media
2023-03-18 09:54:04,(657) 114-8737,(101) 631-1507,95 characters,Sent Text
2023-03-18 19:35:29,(657) 114-8737,(101) 631-1507,54 minutes,Outbound Call
2023-03-18 20:09:56,(657) 114-8737,(101) 631-1507,71 minutes,Inbound Call
2023-03-19 10:02:19,(657) 114-8737,(101) 631-1507,257 characters,Sent Text
2023-03-19 11:00:22,(657) 114-8737,(101) 631-1507,109 minutes,Outbound Call
2023-03-19 12:09:41,(657) 114-8737,(101) 631-1507,114 minutes,Inbound Call
2023-03-20 14:18:54,(657) 114-8737,(101) 631-1507,305 characters,Sent Text
2023-03-21 15:15:44,(657) 114-8737,(101) 631-1507,9.3 MB,Received Media
2023-03-22 16:49:28,(657) 114-8737,(101) 631-1507,299 characters,Received Text
2023-03-23 08:49:32,(657) 114-8737,(101) 631-1507,5.3 MB,Sent Media
2023-03-23 11:34:50,(657) 114-8737,(101) 631-1507,239 characters,Received Text
2023-03-23 11:50:56,(657) 114-8737,(101) 631-1507,243 characters,Sent Text
2023-03-26 11:16:49,(657) 114-8737,(101) 631-1507,41 minutes,Inbound Call
2023-03-26 21:31:18,(657) 114-8737,(101) 631-1507,310 characters,Sent Text
2023-03-27 08:10:05,(657) 114-8737,(101) 631-1507,249 characters,Received Text
2023-03-27 11:20:18,(657) 114-8737,(101) 631-1507,124 characters,Sent Text
2023-03-28 08:59:39,(657) 114-8737,(101) 631-1507,79 characters,Received Text
2023-03-30 12:32:01,(657) 114-8737,(101) 631-1507,62 characters,Sent Text
2023-03-30 19:34:09,(657) 114-8737,(101) 631-1507,152 characters,Received Text
2023-03-31 09:07:36,(657) 114-8737,(101) 631-1507,85 characters,Received Text
2023-03-31 12:20:08,(657) 114-8737,(101) 631-1507,120 characters,Sent Text
2023-04-02 13:53:57,(657) 114-8737,(101) 631-1507,9.4 MB,Sent Media
2023-04-02 15:58:10,(657) 114-8737,(101) 631-1507,91 minutes,Inbound Call
2023-04-02 16:59:23,(657) 114-8737,(101) 631-1507,40 minutes,Outbound Call
2023-04-04 16:04:57,(657) 114-8737,(101) 631-1507,46 minutes,Outbound Call
2023-04-08 20:00:51,(657) 114-8737,(101) 631-1507,328 characters,Sent Text
2023-04-10 15:31:49,(657) 114-8737,(101) 631-1507,122 characters,Sent Text
2023-04-10 18:53:18,(657) 114-8737,(101) 631-1507,23 minutes,Inbound Call
2023-04-11 12:51:11,(657) 114-8737,(101) 631-1507,103 minutes,Outbound Call
2023-04-11 19:01:21,(657) 114-8737,(101) 631-1507,173 characters,Received Text
2023-04-15 13:39:19,(657) 114-8737,(101) 631-1507,49 minutes,Outbound Call
2023-04-16 15:41:21,(657) 114-8737,(101) 631-1507,62 minutes,Inbound Call
2023-04-17 12:40:48,(657) 114-8737,(101) 631-1507,91 minutes,Inbound Call
2023-04-17 20:20:35,(657) 114-8737,(101) 631-1507,123 characters,Sent Text
2023-04-20 11:52:16,(657) 114-8737,(101) 631-1507,63 minutes,Inbound Call
2023-04-20 17:26:56,(657) 114-8737,(101) 631-1507,8 minutes,Outbound Call
2023-04-23 21:00:14,(657) 114-8737,(101) 631-1507,17.6 MB,Sent Media
2023-04-28 16:58:59,(657) 114-8737,(101) 631-1507,37 characters,Sent Text
2023-04-30 19:02:25,(657) 114-8737,(101) 631-1507,238 characters,Sent Text
2023-05-01 08:18:11,(657) 114-8737,(101) 631-1507,186 characters,Received Text
2023-05-01 12:01:35,(657) 114-8737,(101) 631-1507,90 minutes,Outbound Call
2023-05-02 16:52:18,(657) 114-8737,(101) 631-1507,196 characters,Sent Text
2023-05-03 10:48:02,(657) 114-8737,(101) 631-1507,242 characters,Received Text
2023-05-04 08:19:47,(657) 114-8737,(101) 631-1507,292 characters,Sent Text
2023-05-05 14:44:50,(657) 114-8737,(101) 631-1507,9.1 MB,Sent Media
2023-05-07 10:39:58,(657) 114-8737,(101) 631-1507,345 characters,Sent Text
2023-05-09 08:11:13,(657) 114-8737,(101) 631-1507,292 characters,Sent Text
2023-05-09 14:57:06,(657) 114-8737,(101) 631-1507,104 minutes,Inbound Call
2023-05-13 16:47:25,(657) 114-8737,(101) 631-1507,19 minutes,Outbound Call
2023-05-13 19:37:02,(657) 114-8737,(101) 631-1507,70 characters,Received Text
2023-05-14 21:39:43,(657) 114-8737,(101) 631-1507,67 minutes,Inbound Call
2023-05-15 08:04:07,(657) 114-8737,(101) 631-1507,12.3 MB,Sent Media
2023-05-15 08:06:23,(657) 114-8737,(101) 631-1507,223 characters,Sent Text
2023-05-16 14:01:13,(657) 114-8737,(101) 631-1507,50 characters,Sent Text
2023-05-17 20:23:07,(657) 114-8737,(101) 631-1507,194 characters,Sent Text
2023-05-19 15:41:58,(657) 114-8737,(101) 631-1507,10.0 MB,Received Media
2023-05-20 17:51:04,(657) 114-8737,(101) 631-1507,326 characters,Sent Text
2023-05-21 08:39:35,(657) 114-8737,(101) 631-1507,204 characters,Sent Text
2023-05-22 10:13:17,(657) 114-8737,(101) 631-1507,9 minutes,Inbound Call
2023-05-23 17:17:31,(657) 114-8737,(101) 631-1507,96 minutes,Inbound Call
2023-05-24 13:34:34,(657) 114-8737,(101) 631-1507,50 characters,Sent Text
2023-05-24 16:21:38,(657) 114-8737,(101) 631-1507,48 minutes,Outbound Call
2023-05-25 08:53:52,(657) 114-8737,(101) 631-1507,140 characters,Sent Text
2023-05-26 18:47:36,(657) 114-8737,(101) 631-1507,14 minutes,Inbound Call
2023-05-26 20:07:11,(657) 114-8737,(101) 631-1507,170 characters,Received Text
2023-05-27 20:05:26,(657) 114-8737,(101) 631-1507,51 characters,Received Text
2023-05-28 15:29:00,(657) 114-8737,(101) 631-1507,116 characters,Received Text
