date,description,amount,balance
2023-01-02 12:35:45,StrongLink - Payment,$-115.75,"$14,697.24"
2023-01-04 18:32:26,StrongLink - Payment,$-127.77,"$14,569.47"
2023-01-05 11:22:51,Healthn - Payment,$-75.88,"$14,493.59"
2023-01-08 20:42:09,StrongLink - Payment,$-71.27,"$14,422.32"
2023-01-09 13:16:05,Fitr - Payment,$-25.31,"$14,397.01"
2023-01-10 18:48:45,AffordableHub - Payment,$-188.28,"$14,208.73"
2023-01-11 14:00:58,Healthn - Payment,$-110.31,"$14,098.42"
2023-01-11 16:56:26,Flexin - Payment,$-59.36,"$14,039.06"
2023-01-12 17:51:20,StrongLink - Payment,$-119.57,"$13,919.49"
2023-01-15 14:40:45,StrongLink - Payment,$-112.98,"$13,806.51"
2023-01-18 19:20:41,StrongLink - Payment,$-69.57,"$13,736.94"
2023-01-20 19:36:05,StrongLink - Payment,$-76.11,"$13,660.83"
2023-01-23 19:08:02,StrongLink - Payment,$-79.18,"$13,581.65"
2023-01-24 08:28:00,youGrocery - Payment,$-54.10,"$13,527.55"
2023-01-24 11:00:08,StrongLink - Payment,$-147.52,"$13,380.03"
2023-01-25 17:24:01,youGrocery - Payment,$-48.50,"$13,331.53"
2023-01-25 18:27:10,StrongLink - Payment,$-187.50,"$13,144.03"
2023-01-29 15:38:26,StrongLink - Payment,$-185.48,"$12,958.55"
2023-01-30 19:28:37,Flexin - Payment,$-40.95,"$12,917.60"
2023-01-31 11:57:20,StrongLink - Payment,$-49.50,"$12,868.10"
2023-02-01 09:33:08,Healthn - Payment,$-168.70,"$12,699.40"
2023-02-01 14:24:25,StrongLink - Payment,$-32.40,"$12,667.00"
2023-02-03 17:29:21,StrongLink - Payment,$-156.41,"$12,510.59"
2023-02-05 18:48:01,Fitr - Payment,$-112.62,"$12,328.11"
2023-02-05 18:58:22,youGrocery - Payment,$-69.86,"$12,440.73"
2023-02-07 19:52:08,StrongLink - Payment,$-140.29,"$12,187.82"
2023-02-08 08:28:28,StrongLink - Payment,$-169.71,"$12,018.11"
2023-02-09 18:06:35,StrongLink - Payment,$-116.56,"$11,762.82"
2023-02-09 19:26:08,youGrocery - Payment,$-138.73,"$11,879.38"
2023-02-10 21:48:46,Fitr - Payment,$-144.16,"$11,618.66"
2023-02-12 09:48:00,Flexin - Payment,$-21.58,"$11,597.08"
2023-02-21 17:21:12,StrongLink - Payment,$-120.62,"$11,476.46"
2023-02-23 18:28:19,StrongLink - Payment,$-161.12,"$11,315.34"
2023-02-26 20:55:45,StrongLink - Payment,$-178.57,"$11,136.77"
2023-02-27 17:20:02,Flexin - Payment,$-160.63,"$10,976.14"
2023-02-28 15:59:19,StrongLink - Payment,$-53.69,"$10,922.45"
2023-03-07 16:15:12,StrongLink - Payment,$-74.49,"$10,847.96"
2023-03-09 13:27:19,StrongLink - Payment,$-174.72,"$10,673.24"
2023-03-10 09:10:20,StrongLink - Payment,$-188.10,"$10,485.14"
2023-03-12 08:34:36,StrongLink - Payment,$-93.78,"$10,391.36"
2023-03-14 21:12:00,Fitr - Payment,$-69.80,"$10,321.56"
2023-03-15 10:30:11,Healthn - Payment,$-145.10,"$10,176.46"
2023-03-15 14:26:27,StrongLink - Payment,$-194.80,"$9,981.66"
2023-03-17 11:02:24,Fitr - Payment,$-20.87,"$9,960.79"
2023-03-19 18:06:17,StrongLink - Payment,$-125.26,"$9,835.53"
2023-03-20 11:18:29,Fitr - Payment,$-116.80,"$9,718.73"
