date,to,from_,size,type_
2023-01-01 12:38:30,(177) 983-5534,(673) 245-5642,199 characters,Sent Text
2023-01-01 13:01:16,(922) 154-4108,(673) 245-5642,59 minutes,Inbound Call
2023-01-01 18:47:52,(177) 983-5534,(673) 245-5642,95 minutes,Outbound Call
2023-01-02 08:55:13,(177) 983-5534,(673) 245-5642,62 minutes,Outbound Call
2023-01-02 15:53:40,(922) 154-4108,(673) 245-5642,56 characters,Sent Text
2023-01-02 16:06:42,(556) 264-9469,(673) 245-5642,7.6 MB,Sent Media
2023-01-03 09:04:11,(177) 983-5534,(673) 245-5642,12.6 MB,Received Media
2023-01-03 09:36:53,(556) 264-9469,(673) 245-5642,28 characters,Received Text
2023-01-03 14:22:10,(177) 983-5534,(673) 245-5642,64 characters,Sent Text
2023-01-03 14:38:11,(566) 286-6346,(673) 245-5642,191 characters,Received Text
2023-01-04 13:02:21,(922) 154-4108,(673) 245-5642,199 characters,Sent Text
2023-01-04 13:21:57,(556) 264-9469,(673) 245-5642,18 minutes,Outbound Call
2023-01-04 13:23:43,(922) 154-4108,(673) 245-5642,163 characters,Received Text
2023-01-04 19:10:33,(177) 983-5534,(673) 245-5642,67 minutes,Inbound Call
2023-01-05 08:10:19,(177) 983-5534,(673) 245-5642,86 characters,Received Text
2023-01-05 09:31:17,(922) 154-4108,(673) 245-5642,235 characters,Received Text
2023-01-05 09:46:48,(556) 264-9469,(673) 245-5642,63 minutes,Inbound Call
2023-01-05 10:19:52,(177) 983-5534,(673) 245-5642,147 characters,Sent Text
2023-01-05 11:24:04,(566) 286-6346,(673) 245-5642,7 minutes,Outbound Call
2023-01-05 15:12:03,(922) 154-4108,(673) 245-5642,80 minutes,Inbound Call
2023-01-05 15:24:02,(556) 264-9469,(673) 245-5642,5.1 MB,Sent Media
2023-01-05 20:07:20,(922) 154-4108,(673) 245-5642,3 characters,Sent Text
2023-01-05 20:51:27,(556) 264-9469,(673) 245-5642,56 characters,Sent Text
2023-01-06 08:25:41,(177) 983-5534,(673) 245-5642,87 minutes,Inbound Call
2023-01-06 12:47:27,(922) 154-4108,(673) 245-5642,303 characters,Received Text
2023-01-06 14:18:19,(556) 264-9469,(673) 245-5642,8.9 MB,Received Media
2023-01-06 18:18:05,(922) 154-4108,(673) 245-5642,232 characters,Sent Text
2023-01-06 18:33:38,(556) 264-9469,(673) 245-5642,186 characters,Received Text
2023-01-06 19:18:28,(922) 154-4108,(673) 245-5642,61 minutes,Inbound Call
2023-01-06 20:18:20,(566) 286-6346,(673) 245-5642,93 characters,Sent Text
2023-01-07 13:18:01,(556) 264-9469,(673) 245-5642,63 minutes,Inbound Call
2023-01-08 09:54:37,(922) 154-4108,(673) 245-5642,8 characters,Received Text
2023-01-08 10:14:58,(566) 286-6346,(673) 245-5642,82 minutes,Outbound Call
