date,description,amount,balance
2023-01-22 15:01:08,Healthn - Payment,$-165.74,"$32,302.91"
2023-01-28 11:06:52,Healthn - Payment,$-114.80,"$32,188.11"
2023-01-29 13:38:37,Healthn - Payment,$-87.64,"$32,100.47"
2023-02-01 13:15:59,Healthn - Payment,$-56.50,"$32,043.97"
2023-02-01 20:19:26,Flexin - Payment,$-85.20,"$31,958.77"
2023-02-03 10:57:51,Healthn - Payment,$-148.10,"$31,810.67"
2023-02-04 17:55:06,Healthn - Payment,$-166.32,"$31,644.35"
2023-02-20 21:47:58,Healthn - Payment,$-136.55,"$31,507.80"
2023-02-22 17:59:46,Healthn - Payment,$-84.68,"$31,423.12"
2023-02-23 14:27:55,youGrocery - Payment,$-185.99,"$31,237.13"
2023-02-26 19:39:35,Healthn - Payment,$-197.94,"$31,039.19"
2023-03-01 16:46:26,Healthn - Payment,$-88.90,"$30,950.29"
2023-03-02 11:10:54,Flexin - Payment,$-66.64,"$30,883.65"
2023-03-04 16:36:25,Foodr - Payment,$-93.36,"$30,790.29"
2023-03-07 12:37:14,Healthn - Payment,$-147.28,"$30,643.01"
2023-03-09 08:55:19,Healthn - Payment,$-133.34,"$30,509.67"
2023-03-11 12:34:20,Healthn - Payment,$-91.49,"$30,418.18"
2023-03-12 19:48:27,Healthn - Payment,$-35.10,"$30,383.08"
2023-03-31 18:15:00,Healthn - Payment,$-142.18,"$30,240.90"
2023-04-03 11:18:31,Healthn - Payment,$-165.54,"$30,075.36"
2023-04-04 10:16:37,Healthn - Payment,$-172.96,"$29,902.40"
2023-04-14 09:38:35,Healthn - Payment,$-123.59,"$29,778.81"
2023-04-27 12:03:54,Healthn - Payment,$-185.60,"$29,593.21"
2023-05-02 19:10:03,Foodr - Payment,$-121.48,"$29,471.73"
2023-05-03 09:15:17,Healthn - Payment,$-139.69,"$29,332.04"
2023-05-06 11:30:35,StrongLink - Payment,$-168.45,"$29,163.59"
2023-05-16 16:29:11,Flexin - Payment,$-96.68,"$29,066.91"
2023-05-18 21:32:05,youGrocery - Payment,$-87.30,"$28,979.61"
2023-05-22 10:17:13,Fitr - Payment,$-161.78,"$28,817.83"
2023-05-23 10:25:10,Healthn - Payment,$-194.47,"$28,623.36"
2023-06-04 12:30:17,Flexin - Payment,$-40.48,"$28,582.88"
2023-06-11 16:39:13,Healthn - Payment,$-121.63,"$28,461.25"
2023-06-23 10:32:33,Healthn - Payment,$-145.68,"$28,315.57"
2023-06-25 10:25:34,Healthn - Payment,$-21.30,"$28,294.27"
2023-06-29 11:33:58,Healthn - Payment,$-77.64,"$28,216.63"
2023-07-02 08:18:18,Healthn - Payment,$-191.62,"$28,025.01"
2023-07-11 18:01:24,Flexin - Payment,$-145.36,"$27,879.65"
2023-07-17 19:53:10,Healthn - Payment,$-23.32,"$27,856.33"
2023-07-18 08:44:10,Healthn - Payment,$-145.27,"$27,711.06"
2023-07-26 10:11:53,Healthn - Payment,$-96.82,"$27,614.24"
2023-07-29 11:47:26,youGrocery - Payment,$-115.53,"$27,498.71"
2023-08-01 08:14:21,youGrocery - Payment,$-120.20,"$27,378.51"
2023-08-02 14:48:17,Foodr - Payment,$-64.78,"$27,313.73"
2023-08-05 20:52:18,Healthn - Payment,$-50.10,"$27,263.63"
2023-08-09 21:43:48,Healthn - Payment,$-168.85,"$27,094.78"
2023-08-13 16:07:41,Healthn - Payment,$-171.84,"$26,922.94"
2023-08-24 13:07:41,AffordableHub - Payment,$-69.70,"$26,853.24"
2023-08-27 21:29:36,Flexin - Payment,$-151.25,"$26,701.99"
2023-09-03 17:10:32,Flexin - Payment,$-125.27,"$26,576.72"
2023-09-18 13:03:27,Healthn - Payment,$-53.25,"$26,523.47"
2023-09-21 17:28:13,Healthn - Payment,$-87.70,"$26,435.77"
2023-10-05 16:06:52,Healthn - Payment,$-43.21,"$26,392.56"
2023-10-25 17:50:03,Healthn - Payment,$-65.88,"$26,326.68"
2023-10-30 19:13:29,Healthn - Payment,$-177.10,"$26,149.58"
2023-11-01 08:03:25,Healthn - Payment,$-160.70,"$25,988.88"
2023-11-15 18:05:14,AffordableHub - Payment,$-37.54,"$25,951.34"
2023-11-18 18:49:04,AffordableHub - Payment,$-176.50,"$25,774.84"
2023-11-23 10:30:13,Flexin - Payment,$-185.57,"$25,589.27"
2023-11-25 15:21:42,Healthn - Payment,$-40.82,"$25,548.45"
2023-11-29 19:11:04,Healthn - Payment,$-115.15,"$25,433.30"
2023-11-30 16:26:21,Flexin - Payment,$-164.81,"$25,268.49"
2023-12-04 19:07:08,Flexin - Payment,$-190.70,"$25,077.79"
2023-12-10 15:51:53,Healthn - Payment,$-98.56,"$24,979.23"
2023-12-20 20:18:16,Flexin - Payment,$-168.73,"$24,810.50"
2023-12-30 19:36:07,Healthn - Payment,$-50.90,"$24,759.60"
2024-01-05 16:00:12,Foodr - Payment,$-131.35,"$24,628.25"
2024-01-17 17:45:47,Flexin - Payment,$-109.88,"$24,518.37"
2024-01-28 13:51:24,Healthn - Payment,$-149.71,"$24,368.66"
2024-02-05 19:40:48,Flexin - Payment,$-111.58,"$24,257.08"
2024-02-07 21:19:07,Healthn - Payment,$-141.85,"$24,115.23"
2024-02-15 14:37:20,AffordableHub - Payment,$-32.24,"$24,082.99"
2024-02-24 09:38:30,Healthn - Payment,$-59.27,"$24,023.72"
2024-02-25 17:53:29,Healthn - Payment,$-191.40,"$23,832.32"
2024-03-05 12:48:48,youGrocery - Payment,$-51.55,"$23,780.77"
2024-03-13 21:31:17,StrongLink - Payment,$-156.53,"$23,624.24"
2024-03-14 21:58:09,StrongLink - Payment,$-189.44,"$23,434.80"
2024-03-18 21:10:52,Healthn - Payment,$-106.73,"$23,328.07"
2024-03-22 11:08:55,AffordableHub - Payment,$-163.84,"$23,164.23"
2024-03-29 09:00:58,Healthn - Payment,$-33.62,"$23,130.61"
2024-04-03 11:03:30,youGrocery - Payment,$-164.45,"$22,966.16"
2024-04-04 16:06:41,Healthn - Payment,$-127.19,"$22,838.97"
2024-04-10 10:46:03,Flexin - Payment,$-116.62,"$22,722.35"
2024-04-12 10:21:00,Healthn - Payment,$-44.62,"$22,677.73"
2024-04-23 10:14:15,Healthn - Payment,$-199.62,"$22,478.11"
2024-04-29 17:56:51,Healthn - Payment,$-56.60,"$22,421.51"
2024-05-04 13:25:25,StrongLink - Payment,$-164.50,"$22,257.01"
