date,description,amount,balance
2023-01-01 19:47:52,youGrocery - Payment,$-66.15,"$41,683.36"
2023-01-04 19:31:15,Fitr - Payment,$-187.82,"$41,495.54"
2023-01-05 19:32:36,Healthn - Payment,$-64.37,"$41,431.17"
2023-01-09 21:37:28,Fitr - Payment,$-66.78,"$41,364.39"
2023-01-10 18:14:31,youGrocery - Payment,$-126.40,"$41,237.99"
2023-01-14 10:05:17,youGrocery - Payment,$-107.88,"$41,130.11"
2023-01-18 09:47:27,youGrocery - Payment,$-142.58,"$40,987.53"
2023-01-23 14:05:08,youGrocery - Payment,$-98.44,"$40,889.09"
2023-01-27 18:14:45,Fitr - Payment,$-32.18,"$40,856.91"
2023-01-29 13:56:40,Fitr - Payment,$-86.51,"$40,593.11"
2023-01-29 14:57:04,youGrocery - Payment,$-177.29,"$40,679.62"
2023-02-03 13:20:28,youGrocery - Payment,$-90.53,"$40,502.58"
2023-02-04 17:20:44,youGrocery - Payment,$-127.78,"$40,374.80"
2023-02-07 21:28:36,Fitr - Payment,$-151.33,"$40,223.47"
2023-02-09 08:02:17,youGrocery - Payment,$-104.44,"$40,119.03"
2023-02-11 11:59:27,StrongLink - Payment,$-170.50,"$39,948.53"
2023-02-14 16:19:03,youGrocery - Payment,$-28.41,"$39,920.12"
2023-02-16 12:49:13,youGrocery - Payment,$-152.18,"$39,767.94"
2023-02-20 12:00:10,Fitr - Payment,$-28.47,"$39,739.47"
2023-02-21 11:05:10,AffordableHub - Payment,$-64.99,"$39,674.48"
2023-02-25 15:47:47,youGrocery - Payment,$-56.66,"$39,617.82"
2023-02-27 10:40:20,Fitr - Payment,$-144.48,"$39,473.34"
2023-03-05 09:20:46,Fitr - Payment,$-102.88,"$39,370.46"
2023-03-09 11:28:05,youGrocery - Payment,$-94.14,"$39,276.32"
2023-03-10 12:14:01,youGrocery - Payment,$-142.99,"$39,133.33"
2023-03-11 19:35:32,youGrocery - Payment,$-116.00,"$39,017.33"
2023-03-12 13:35:57,Fitr - Payment,$-193.50,"$38,823.83"
2023-03-18 12:45:28,Fitr - Payment,$-36.48,"$38,787.35"
2023-03-21 19:43:22,StrongLink - Payment,$-75.75,"$38,711.60"
2023-04-02 16:29:00,Flexin - Payment,$-144.22,"$38,567.38"
2023-04-08 14:07:07,Fitr - Payment,$-196.39,"$38,370.99"
2023-04-10 10:40:07,youGrocery - Payment,$-41.80,"$38,329.19"
2023-04-15 11:41:56,youGrocery - Payment,$-143.50,"$38,185.69"
2023-04-15 19:55:15,Fitr - Payment,$-151.27,"$38,034.42"
2023-04-28 21:53:42,Fitr - Payment,$-102.98,"$37,931.44"
2023-05-01 17:00:48,youGrocery - Payment,$-140.51,"$37,790.93"
2023-05-02 21:14:54,Fitr - Payment,$-69.10,"$37,721.83"
2023-05-03 18:56:47,youGrocery - Payment,$-140.13,"$37,581.70"
2023-05-06 15:11:33,youGrocery - Payment,$-182.83,"$37,398.87"
2023-05-11 15:22:22,Fitr - Payment,$-152.23,"$37,246.64"
2023-05-16 14:10:07,youGrocery - Payment,$-178.53,"$37,068.11"
2023-05-21 13:24:35,youGrocery - Payment,$-181.20,"$36,886.91"
2023-05-26 13:43:51,Fitr - Payment,$-54.11,"$36,832.80"
2023-05-28 14:57:55,Fitr - Payment,$-22.80,"$36,810.00"
2023-06-04 10:44:19,Fitr - Payment,$-153.13,"$36,656.87"
2023-06-11 09:49:25,youGrocery - Payment,$-64.49,"$36,592.38"
2023-06-13 09:57:05,youGrocery - Payment,$-64.91,"$36,527.47"
2023-06-17 09:34:39,Foodr - Payment,$-194.20,"$36,333.27"
2023-06-20 21:22:00,Fitr - Payment,$-163.23,"$36,170.04"
2023-06-24 20:24:47,Foodr - Payment,$-44.20,"$36,125.84"
2023-06-25 09:31:38,youGrocery - Payment,$-156.70,"$35,969.14"
2023-06-28 19:48:56,youGrocery - Payment,$-162.57,"$35,806.57"
2023-07-03 16:27:40,Fitr - Payment,$-119.78,"$35,686.79"
2023-07-04 19:24:10,youGrocery - Payment,$-44.43,"$35,642.36"
2023-07-05 13:17:20,youGrocery - Payment,$-93.93,"$35,548.43"
2023-07-06 08:07:13,youGrocery - Payment,$-85.90,"$35,462.53"
2023-07-07 14:56:30,Fitr - Payment,$-124.87,"$35,337.66"
2023-07-14 21:52:54,youGrocery - Payment,$-180.30,"$35,157.36"
2023-07-24 16:32:06,Fitr - Payment,$-76.68,"$35,080.68"
2023-08-01 11:24:40,AffordableHub - Payment,$-148.83,"$34,931.85"
2023-08-03 11:17:00,youGrocery - Payment,$-146.23,"$34,785.62"
2023-08-07 13:03:54,Fitr - Payment,$-24.77,"$34,760.85"
2023-08-10 16:59:37,youGrocery - Payment,$-118.57,"$34,642.28"
2023-08-11 14:41:57,StrongLink - Payment,$-39.14,"$34,603.14"
2023-08-15 09:17:26,Fitr - Payment,$-32.87,"$34,570.27"
2023-08-18 21:54:26,youGrocery - Payment,$-173.42,"$34,396.85"
2023-08-20 11:34:50,Fitr - Payment,$-105.26,"$34,291.59"
