date,description,amount,balance
2023-01-02 08:02:04,StrongLink - Payment,$-114.72,"$18,317.57"
2023-01-06 15:45:08,youGrocery - Payment,$-92.18,"$18,225.39"
2023-01-07 08:54:03,Fitr - Payment,$-64.69,"$18,160.70"
2023-01-08 14:17:41,youGrocery - Payment,$-126.14,"$18,034.56"
2023-01-09 16:46:21,youGrocery - Payment,$-104.92,"$17,929.64"
2023-01-09 20:04:08,Fitr - Payment,$-176.93,"$17,752.71"
2023-01-11 21:33:37,Flexin - Payment,$-186.85,"$17,565.86"
2023-01-13 16:47:32,Fitr - Payment,$-36.30,"$17,529.56"
2023-01-15 10:31:51,Fitr - Payment,$-75.95,"$17,453.61"
2023-01-22 13:35:42,Fitr - Payment,$-195.66,"$17,257.95"
2023-01-23 21:46:49,AffordableHub - Payment,$-164.25,"$17,093.70"
2023-01-25 11:57:51,Fitr - Payment,$-114.71,"$16,978.99"
2023-02-01 21:38:13,youGrocery - Payment,$-93.84,"$16,885.15"
2023-02-05 15:35:38,youGrocery - Payment,$-91.32,"$16,793.83"
2023-02-13 09:53:42,Fitr - Payment,$-182.67,"$16,611.16"
2023-02-14 17:56:19,Foodr - Payment,$-117.26,"$16,493.90"
2023-02-19 18:48:11,Fitr - Payment,$-141.79,"$16,352.11"
2023-03-01 19:09:49,Fitr - Payment,$-116.24,"$16,235.87"
2023-03-04 15:29:47,Fitr - Payment,$-99.15,"$16,136.72"
2023-03-05 16:34:16,Fitr - Payment,$-28.60,"$16,108.12"
2023-03-06 13:47:00,youGrocery - Payment,$-136.00,"$15,972.12"
2023-03-07 19:02:27,Fitr - Payment,$-147.74,"$15,824.38"
2023-03-09 08:51:02,youGrocery - Payment,$-82.88,"$15,741.50"
2023-03-10 10:46:56,youGrocery - Payment,$-48.12,"$15,693.38"
2023-03-10 10:56:05,Fitr - Payment,$-117.36,"$15,576.02"
2023-03-13 20:25:59,Fitr - Payment,$-95.50,"$15,480.52"
2023-03-15 17:48:00,youGrocery - Payment,$-20.73,"$15,459.79"
2023-03-16 08:33:56,youGrocery - Payment,$-122.56,"$15,337.23"
2023-03-17 09:58:26,youGrocery - Payment,$-157.36,"$15,179.87"
2023-03-18 17:57:02,youGrocery - Payment,$-110.10,"$15,069.77"
2023-03-20 09:02:14,youGrocery - Payment,$-40.77,"$15,029.00"
2023-03-20 17:14:01,Fitr - Payment,$-97.38,"$14,931.62"
2023-03-25 13:03:00,Foodr - Payment,$-173.80,"$14,757.82"
2023-03-26 10:13:50,youGrocery - Payment,$-84.96,"$14,672.86"
2023-03-29 14:40:28,youGrocery - Payment,$-21.20,"$14,651.66"
2023-04-01 13:33:11,Flexin - Payment,$-97.40,"$14,554.26"
2023-04-03 08:28:29,youGrocery - Payment,$-110.27,"$14,443.99"
2023-04-04 16:25:17,Fitr - Payment,$-146.37,"$14,297.62"
2023-04-06 18:19:38,AffordableHub - Payment,$-70.65,"$14,226.97"
2023-04-08 13:26:55,Fitr - Payment,$-151.81,"$14,075.16"
2023-04-10 14:49:47,Fitr - Payment,$-154.20,"$13,920.96"
2023-04-16 18:41:54,AffordableHub - Payment,$-164.95,"$13,756.01"
2023-04-17 18:58:17,Fitr - Payment,$-115.00,"$13,641.01"
2023-04-21 13:25:44,Fitr - Payment,$-62.51,"$13,578.50"
2023-04-24 21:50:54,Fitr - Payment,$-88.43,"$13,490.07"
2023-04-28 20:50:21,Fitr - Payment,$-175.23,"$13,314.84"
2023-05-01 19:05:44,youGrocery - Payment,$-103.32,"$13,211.52"
2023-05-02 20:21:36,Fitr - Payment,$-89.23,"$13,122.29"
2023-05-03 16:37:50,Fitr - Payment,$-34.67,"$13,087.62"
2023-05-08 14:08:18,youGrocery - Payment,$-46.11,"$13,041.51"
2023-05-13 20:09:12,Fitr - Payment,$-72.58,"$12,968.93"
2023-05-16 20:25:59,Flexin - Payment,$-171.40,"$12,797.53"
2023-05-19 11:02:02,youGrocery - Payment,$-166.45,"$12,631.08"
2023-05-19 20:03:30,Fitr - Payment,$-44.18,"$12,586.90"
2023-05-27 12:34:01,youGrocery - Payment,$-54.12,"$12,532.78"
2023-06-01 20:13:53,StrongLink - Payment,$-29.76,"$12,503.02"
2023-06-04 10:56:36,Fitr - Payment,$-70.64,"$12,432.38"
2023-06-07 13:24:18,youGrocery - Payment,$-31.94,"$12,400.44"
2023-06-12 21:01:23,Flexin - Payment,$-138.57,"$12,261.87"
2023-06-19 11:38:00,Healthn - Payment,$-130.25,"$12,131.62"
2023-06-21 16:54:08,Fitr - Payment,$-63.90,"$12,067.72"
2023-06-26 13:54:11,youGrocery - Payment,$-113.17,"$11,954.55"
2023-07-01 12:16:08,Fitr - Payment,$-102.70,"$11,780.49"
2023-07-01 19:29:12,AffordableHub - Payment,$-71.36,"$11,883.19"
2023-07-02 18:22:33,Fitr - Payment,$-117.61,"$11,662.88"
2023-07-04 08:24:23,Fitr - Payment,$-161.92,"$11,500.96"
2023-07-08 09:32:20,Foodr - Payment,$-192.97,"$11,307.99"
2023-07-14 10:02:22,youGrocery - Payment,$-60.50,"$11,247.49"
2023-07-16 19:32:51,Fitr - Payment,$-26.85,"$11,220.64"
2023-07-17 12:24:08,StrongLink - Payment,$-82.36,"$11,082.03"
2023-07-17 15:48:07,youGrocery - Payment,$-56.25,"$11,164.39"
2023-07-18 10:37:18,Fitr - Payment,$-196.57,"$10,885.46"
2023-07-20 21:31:48,AffordableHub - Payment,$-159.99,"$10,725.47"
2023-07-22 09:38:49,youGrocery - Payment,$-100.71,"$10,624.76"
2023-07-24 16:07:18,youGrocery - Payment,$-184.41,"$10,440.35"
2023-07-28 19:30:23,youGrocery - Payment,$-21.97,"$10,418.38"
2023-08-11 16:26:22,youGrocery - Payment,$-116.30,"$10,302.08"
2023-08-13 09:10:34,Healthn - Payment,$-117.40,"$10,184.68"
2023-08-16 14:24:11,Flexin - Payment,$-184.46,"$10,000.22"
2023-08-18 18:42:34,youGrocery - Payment,$-180.18,"$9,820.04"
2023-08-18 19:40:32,Fitr - Payment,$-178.90,"$9,641.14"
2023-08-20 11:57:38,Fitr - Payment,$-76.57,"$9,564.57"
2023-08-23 10:00:29,Fitr - Payment,$-63.87,"$9,500.70"
2023-08-26 21:05:17,youGrocery - Payment,$-60.35,"$9,440.35"
2023-08-30 10:46:38,Flexin - Payment,$-108.70,"$9,331.65"
2023-09-06 20:51:26,youGrocery - Payment,$-176.67,"$9,154.98"
2023-09-08 08:12:19,Healthn - Payment,$-61.48,"$9,093.50"
2023-09-08 08:39:44,Fitr - Payment,$-167.60,"$8,925.90"
2023-09-11 15:23:06,StrongLink - Payment,$-101.11,"$8,824.79"
2023-09-12 12:24:14,youGrocery - Payment,$-155.77,"$8,669.02"
