date,to,from_,size,type_
2023-01-01 11:57:24,(725) 214-0320,(767) 178-0408,282 characters,Sent Text
2023-01-02 10:26:43,(725) 214-0320,(767) 178-0408,68 minutes,Inbound Call
2023-01-02 15:09:49,(725) 214-0320,(767) 178-0408,300 characters,Received Text
2023-01-03 10:41:06,(725) 214-0320,(767) 178-0408,58 characters,Received Text
2023-01-04 14:46:50,(725) 214-0320,(767) 178-0408,168 characters,Sent Text
2023-01-05 13:15:38,(725) 214-0320,(767) 178-0408,7 minutes,Inbound Call
2023-01-06 18:11:46,(725) 214-0320,(767) 178-0408,97 characters,Sent Text
2023-01-06 18:55:44,(725) 214-0320,(767) 178-0408,41 minutes,Outbound Call
2023-01-08 19:27:41,(725) 214-0320,(767) 178-0408,8.1 MB,Sent Media
2023-01-08 19:38:00,(725) 214-0320,(767) 178-0408,4 characters,Received Text
2023-01-09 10:00:51,(725) 214-0320,(767) 178-0408,35 minutes,Inbound Call
2023-01-10 16:56:47,(725) 214-0320,(767) 178-0408,336 characters,Sent Text
2023-01-11 13:29:17,(725) 214-0320,(767) 178-0408,1 minutes,Inbound Call
2023-01-11 17:17:47,(725) 214-0320,(767) 178-0408,100 characters,Sent Text
2023-01-14 13:50:02,(725) 214-0320,(767) 178-0408,171 characters,Received Text
2023-01-16 14:29:06,(725) 214-0320,(767) 178-0408,249 characters,Received Text
2023-01-18 16:15:02,(725) 214-0320,(767) 178-0408,215 characters,Sent Text
2023-01-18 19:21:55,(725) 214-0320,(767) 178-0408,191 characters,Received Text
2023-01-20 14:49:05,(725) 214-0320,(767) 178-0408,261 characters,Received Text
2023-01-20 21:10:34,(725) 214-0320,(767) 178-0408,324 characters,Sent Text
2023-01-22 17:16:58,(725) 214-0320,(767) 178-0408,8 minutes,Outbound Call
2023-01-23 14:58:32,(725) 214-0320,(767) 178-0408,192 characters,Sent Text
2023-01-23 16:32:44,(725) 214-0320,(767) 178-0408,91 characters,Received Text
2023-01-25 18:42:40,(725) 214-0320,(767) 178-0408,9.4 MB,Received Media
2023-01-25 21:12:36,(725) 214-0320,(767) 178-0408,102 characters,Sent Text
2023-01-26 15:27:35,(725) 214-0320,(767) 178-0408,227 characters,Sent Text
2023-01-27 15:03:32,(725) 214-0320,(767) 178-0408,117 minutes,Outbound Call
2023-01-28 21:10:46,(725) 214-0320,(767) 178-0408,11.7 MB,Sent Media
2023-01-29 14:56:53,(725) 214-0320,(767) 178-0408,225 characters,Received Text
2023-01-29 18:23:27,(725) 214-0320,(767) 178-0408,91 characters,Sent Text
2023-01-31 16:10:30,(725) 214-0320,(767) 178-0408,283 characters,Received Text
2023-02-01 08:04:46,(725) 214-0320,(767) 178-0408,74 characters,Received Text
2023-02-01 16:01:08,(725) 214-0320,(767) 178-0408,37 minutes,Outbound Call
2023-02-02 21:19:41,(725) 214-0320,(767) 178-0408,151 characters,Sent Text
2023-02-05 11:17:03,(725) 214-0320,(767) 178-0408,250 characters,Received Text
2023-02-05 11:21:09,(725) 214-0320,(767) 178-0408,88 minutes,Outbound Call
2023-02-07 15:17:38,(725) 214-0320,(767) 178-0408,16.1 MB,Received Media
2023-02-08 18:01:37,(725) 214-0320,(767) 178-0408,40 minutes,Inbound Call
2023-02-10 08:06:31,(725) 214-0320,(767) 178-0408,3 characters,Received Text
2023-02-10 09:54:29,(725) 214-0320,(767) 178-0408,54 minutes,Inbound Call
2023-02-11 18:53:58,(725) 214-0320,(767) 178-0408,2 characters,Received Text
2023-02-11 19:13:29,(725) 214-0320,(767) 178-0408,10.7 MB,Received Media
2023-02-12 18:24:58,(725) 214-0320,(767) 178-0408,17.3 MB,Received Media
2023-02-13 11:20:51,(725) 214-0320,(767) 178-0408,20 minutes,Outbound Call
2023-02-13 17:57:34,(725) 214-0320,(767) 178-0408,280 characters,Sent Text
2023-02-13 18:33:55,(725) 214-0320,(767) 178-0408,324 characters,Received Text
2023-02-14 08:31:27,(725) 214-0320,(767) 178-0408,47 characters,Received Text
2023-02-18 10:47:39,(725) 214-0320,(767) 178-0408,278 characters,Received Text
2023-02-18 18:25:25,(725) 214-0320,(767) 178-0408,23 minutes,Inbound Call
2023-02-18 19:00:05,(725) 214-0320,(767) 178-0408,7.1 MB,Received Media
2023-02-21 14:21:00,(725) 214-0320,(767) 178-0408,17 minutes,Inbound Call
2023-02-21 15:25:51,(725) 214-0320,(767) 178-0408,218 characters,Received Text
2023-02-21 19:41:34,(725) 214-0320,(767) 178-0408,13.5 MB,Received Media
2023-02-22 08:36:51,(725) 214-0320,(767) 178-0408,143 characters,Received Text
2023-02-23 19:42:34,(725) 214-0320,(767) 178-0408,99 characters,Received Text
2023-02-23 19:57:04,(725) 214-0320,(767) 178-0408,274 characters,Sent Text
2023-02-24 20:57:44,(725) 214-0320,(767) 178-0408,80 characters,Received Text
2023-02-25 11:15:56,(725) 214-0320,(767) 178-0408,83 minutes,Outbound Call
2023-02-26 13:10:31,(725) 214-0320,(767) 178-0408,19.5 MB,Sent Media
2023-02-26 17:19:51,(725) 214-0320,(767) 178-0408,270 characters,Received Text
2023-02-26 19:51:21,(725) 214-0320,(767) 178-0408,15 characters,Sent Text
2023-02-27 12:54:35,(725) 214-0320,(767) 178-0408,102 minutes,Inbound Call
2023-02-28 13:43:18,(725) 214-0320,(767) 178-0408,234 characters,Sent Text
2023-03-01 11:34:04,(725) 214-0320,(767) 178-0408,9.2 MB,Sent Media
2023-03-01 14:25:04,(725) 214-0320,(767) 178-0408,13.3 MB,Received Media
2023-03-02 17:03:05,(725) 214-0320,(767) 178-0408,158 characters,Sent Text
2023-03-03 15:49:25,(725) 214-0320,(767) 178-0408,154 characters,Received Text
2023-03-03 18:55:19,(725) 214-0320,(767) 178-0408,38 minutes,Inbound Call
2023-03-04 08:10:32,(725) 214-0320,(767) 178-0408,202 characters,Sent Text
2023-03-04 14:51:26,(725) 214-0320,(767) 178-0408,4 minutes,Outbound Call
2023-03-04 21:19:45,(725) 214-0320,(767) 178-0408,200 characters,Received Text
2023-03-05 11:17:44,(725) 214-0320,(767) 178-0408,30 minutes,Inbound Call
2023-03-06 12:14:46,(725) 214-0320,(767) 178-0408,12.3 MB,Sent Media
2023-03-06 18:42:20,(725) 214-0320,(767) 178-0408,56 characters,Sent Text
2023-03-07 08:09:37,(725) 214-0320,(767) 178-0408,4.5 MB,Sent Media
2023-03-07 17:50:01,(725) 214-0320,(767) 178-0408,53 minutes,Inbound Call
2023-03-10 09:42:43,(725) 214-0320,(767) 178-0408,91 minutes,Outbound Call
2023-03-11 11:33:45,(725) 214-0320,(767) 178-0408,265 characters,Received Text
2023-03-11 15:02:53,(725) 214-0320,(767) 178-0408,187 characters,Sent Text
2023-03-12 18:00:41,(725) 214-0320,(767) 178-0408,251 characters,Received Text
2023-03-13 09:48:35,(725) 214-0320,(767) 178-0408,98 characters,Received Text
2023-03-14 11:23:50,(725) 214-0320,(767) 178-0408,54 characters,Sent Text
2023-03-14 16:59:46,(725) 214-0320,(767) 178-0408,6 minutes,Outbound Call
2023-03-15 13:02:36,(725) 214-0320,(767) 178-0408,30 characters,Sent Text
2023-03-15 16:59:12,(725) 214-0320,(767) 178-0408,3 minutes,Outbound Call
2023-03-18 17:26:12,(725) 214-0320,(767) 178-0408,291 characters,Sent Text
2023-03-19 15:29:09,(725) 214-0320,(767) 178-0408,118 characters,Received Text
2023-03-19 21:37:15,(725) 214-0320,(767) 178-0408,60 minutes,Inbound Call
2023-03-20 13:01:30,(725) 214-0320,(767) 178-0408,279 characters,Sent Text
2023-03-20 20:16:28,(725) 214-0320,(767) 178-0408,126 characters,Received Text
2023-03-20 21:34:09,(725) 214-0320,(767) 178-0408,120 minutes,Outbound Call
2023-03-21 09:28:15,(725) 214-0320,(767) 178-0408,207 characters,Received Text
2023-03-22 14:42:29,(725) 214-0320,(767) 178-0408,76 characters,Sent Text
