date,description,amount,balance
2023-01-06 00:00:00,Purchase by youGrocery,"$3,000.00","$41,942.35"
2023-01-13 00:00:00,Purchase by youGrocery,"$3,000.00","$44,942.35"
2023-01-20 00:00:00,Purchase by youGrocery,"$3,000.00","$47,942.35"
2023-01-22 13:57:50,Foodr - Payment,$-167.93,"$47,774.42"
2023-01-27 00:00:00,Purchase by youGrocery,"$3,000.00","$50,724.03"
2023-01-27 11:04:30,Foodr - Payment,$-50.39,"$47,724.03"
2023-01-29 21:06:17,Fitr - Payment,$-171.27,"$50,552.76"
2023-01-31 14:28:46,StrongLink - Payment,$-118.19,"$50,412.99"
2023-01-31 20:52:14,Foodr - Payment,$-21.58,"$50,531.18"
2023-02-01 12:22:21,Foodr - Payment,$-110.34,"$50,302.65"
2023-02-02 18:07:44,Flexin - Payment,$-57.45,"$50,245.20"
2023-02-03 00:00:00,Purchase by youGrocery,"$3,000.00","$53,245.20"
2023-02-04 15:44:03,youGrocery - Payment,$-22.94,"$53,222.26"
2023-02-05 08:03:43,Flexin - Payment,$-47.45,"$53,174.81"
2023-02-10 00:00:00,Purchase by youGrocery,"$3,000.00","$56,174.81"
2023-02-11 09:35:23,Foodr - Payment,$-161.43,"$56,013.38"
2023-02-11 09:42:23,Flexin - Payment,$-196.81,"$55,816.57"
2023-02-14 15:27:51,Foodr - Payment,$-68.44,"$55,748.13"
2023-02-16 08:21:34,Foodr - Payment,$-157.19,"$55,590.94"
2023-02-17 00:00:00,Purchase by youGrocery,"$3,000.00","$58,416.04"
2023-02-17 16:37:40,Foodr - Payment,$-174.90,"$55,416.04"
2023-02-18 21:31:08,youGrocery - Payment,$-198.34,"$58,217.70"
2023-02-19 16:43:53,Flexin - Payment,$-144.96,"$58,072.74"
2023-02-20 13:17:34,AffordableHub - Payment,$-165.30,"$57,907.44"
2023-02-21 17:49:23,Foodr - Payment,$-120.40,"$57,787.04"
2023-02-23 15:12:55,Foodr - Payment,$-160.41,"$57,626.63"
2023-02-24 00:00:00,Purchase by youGrocery,"$3,000.00","$60,626.63"
2023-02-25 17:04:23,Healthn - Payment,$-105.41,"$60,521.22"
2023-02-25 18:14:20,Flexin - Payment,$-49.64,"$60,471.58"
2023-02-28 12:37:16,StrongLink - Payment,$-26.66,"$60,444.92"
2023-03-03 00:00:00,Purchase by youGrocery,"$3,000.00","$63,444.92"
2023-03-04 11:43:28,Flexin - Payment,$-29.98,"$63,414.94"
2023-03-06 14:59:02,Foodr - Payment,$-127.28,"$63,287.66"
2023-03-10 00:00:00,Purchase by youGrocery,"$3,000.00","$66,217.30"
2023-03-10 20:03:10,Flexin - Payment,$-70.36,"$63,217.30"
2023-03-11 18:30:20,StrongLink - Payment,$-45.26,"$66,172.04"
2023-03-15 11:08:09,Flexin - Payment,$-127.20,"$66,044.84"
2023-03-16 08:56:45,Flexin - Payment,$-38.82,"$66,006.02"
2023-03-17 00:00:00,Purchase by youGrocery,"$3,000.00","$69,006.02"
2023-03-19 11:43:11,Foodr - Payment,$-67.77,"$68,938.25"
2023-03-23 17:03:38,Foodr - Payment,$-28.40,"$68,909.85"
2023-03-24 00:00:00,Purchase by youGrocery,"$3,000.00","$71,909.85"
