date,to,from_,size,type_
2023-01-01 12:43:38,(205) 161-1637,(726) 615-6200,132 characters,Sent Text
2023-01-01 17:29:20,(205) 161-1637,(726) 615-6200,83 minutes,Inbound Call
2023-01-01 19:58:47,(554) 282-0564,(726) 615-6200,264 characters,Received Text
2023-01-02 08:48:55,(554) 282-0564,(726) 615-6200,173 characters,Received Text
2023-01-02 14:55:12,(205) 161-1637,(726) 615-6200,314 characters,Received Text
2023-01-02 18:34:00,(205) 161-1637,(726) 615-6200,70 characters,Sent Text
2023-01-02 19:50:44,(205) 161-1637,(726) 615-6200,106 minutes,Outbound Call
2023-01-03 10:47:47,(554) 282-0564,(726) 615-6200,152 characters,Received Text
2023-01-04 12:58:36,(554) 282-0564,(726) 615-6200,286 characters,Received Text
2023-01-05 08:08:33,(205) 161-1637,(726) 615-6200,69 characters,Received Text
2023-01-05 08:09:29,(554) 282-0564,(726) 615-6200,287 characters,Received Text
2023-01-05 12:05:53,(205) 161-1637,(726) 615-6200,50 minutes,Outbound Call
2023-01-05 21:50:42,(554) 282-0564,(726) 615-6200,246 characters,Sent Text
2023-01-06 09:54:51,(554) 282-0564,(726) 615-6200,274 characters,Sent Text
2023-01-06 13:29:37,(554) 282-0564,(726) 615-6200,40 characters,Received Text
2023-01-07 13:35:06,(554) 282-0564,(726) 615-6200,275 characters,Sent Text
2023-01-07 18:02:56,(205) 161-1637,(726) 615-6200,314 characters,Received Text
2023-01-08 14:47:55,(554) 282-0564,(726) 615-6200,175 characters,Received Text
2023-01-09 15:54:44,(554) 282-0564,(726) 615-6200,90 minutes,Inbound Call
2023-01-09 17:37:26,(205) 161-1637,(726) 615-6200,67 minutes,Outbound Call
2023-01-09 18:30:28,(205) 161-1637,(726) 615-6200,10.5 MB,Received Media
2023-01-11 15:59:40,(554) 282-0564,(726) 615-6200,5.4 MB,Received Media
2023-01-12 20:03:02,(554) 282-0564,(726) 615-6200,98 minutes,Outbound Call
2023-01-12 20:13:56,(205) 161-1637,(726) 615-6200,49 minutes,Inbound Call
2023-01-12 21:12:59,(554) 282-0564,(726) 615-6200,263 characters,Received Text
2023-01-13 18:22:26,(205) 161-1637,(726) 615-6200,214 characters,Received Text
2023-01-13 21:14:26,(554) 282-0564,(726) 615-6200,17 minutes,Inbound Call
2023-01-14 13:40:08,(554) 282-0564,(726) 615-6200,4 minutes,Outbound Call
2023-01-14 19:26:33,(554) 282-0564,(726) 615-6200,6 characters,Received Text
2023-01-14 20:53:25,(205) 161-1637,(726) 615-6200,19 characters,Sent Text
2023-01-15 10:50:36,(554) 282-0564,(726) 615-6200,45 minutes,Inbound Call
2023-01-15 11:29:59,(205) 161-1637,(726) 615-6200,199 characters,Received Text
2023-01-15 17:28:08,(554) 282-0564,(726) 615-6200,34 characters,Received Text
2023-01-16 11:13:42,(554) 282-0564,(726) 615-6200,237 characters,Sent Text
2023-01-16 12:38:30,(554) 282-0564,(726) 615-6200,91 minutes,Outbound Call
2023-01-17 15:30:34,(205) 161-1637,(726) 615-6200,47 characters,Sent Text
2023-01-18 15:48:12,(205) 161-1637,(726) 615-6200,188 characters,Sent Text
2023-01-18 19:33:18,(205) 161-1637,(726) 615-6200,300 characters,Received Text
2023-01-19 08:18:30,(205) 161-1637,(726) 615-6200,92 characters,Received Text
2023-01-19 12:42:31,(205) 161-1637,(726) 615-6200,11 characters,Sent Text
2023-01-20 08:29:44,(554) 282-0564,(726) 615-6200,3 minutes,Outbound Call
2023-01-20 17:07:35,(554) 282-0564,(726) 615-6200,17 minutes,Inbound Call
2023-01-21 17:03:10,(554) 282-0564,(726) 615-6200,45 minutes,Outbound Call
2023-01-21 17:19:18,(554) 282-0564,(726) 615-6200,34 minutes,Inbound Call
2023-01-21 17:33:12,(554) 282-0564,(726) 615-6200,186 characters,Sent Text
2023-01-21 18:16:56,(205) 161-1637,(726) 615-6200,93 characters,Received Text
2023-01-22 11:39:00,(554) 282-0564,(726) 615-6200,40 minutes,Inbound Call
2023-01-22 13:13:59,(205) 161-1637,(726) 615-6200,13.6 MB,Sent Media
2023-01-22 18:27:52,(554) 282-0564,(726) 615-6200,84 characters,Sent Text
2023-01-24 08:45:48,(554) 282-0564,(726) 615-6200,248 characters,Sent Text
2023-01-24 12:59:32,(205) 161-1637,(726) 615-6200,238 characters,Received Text
2023-01-24 13:44:25,(554) 282-0564,(726) 615-6200,17.9 MB,Sent Media
2023-01-24 21:03:03,(554) 282-0564,(726) 615-6200,17 characters,Received Text
2023-01-25 08:30:50,(554) 282-0564,(726) 615-6200,60 minutes,Inbound Call
