date,description,amount,balance
2023-01-01 21:43:28,Healthn - Payment,$-129.44,"$26,923.75"
2023-01-02 09:03:29,Fitr - Payment,$-93.99,"$26,829.76"
2023-01-05 15:31:12,Healthn - Payment,$-184.63,"$26,645.13"
2023-01-08 17:17:08,Healthn - Payment,$-97.87,"$26,547.26"
2023-01-08 18:43:58,Fitr - Payment,$-177.72,"$26,369.54"
2023-01-12 14:24:26,Healthn - Payment,$-132.62,"$26,236.92"
2023-01-16 11:41:41,Fitr - Payment,$-34.88,"$26,091.74"
2023-01-16 19:49:29,Healthn - Payment,$-110.30,"$26,126.62"
2023-01-18 21:29:51,Healthn - Payment,$-117.84,"$25,973.90"
2023-01-19 18:56:27,Healthn - Payment,$-124.54,"$25,849.36"
2023-01-21 13:51:20,Healthn - Payment,$-21.75,"$25,827.61"
2023-01-29 17:27:45,Healthn - Payment,$-118.49,"$25,709.12"
2023-01-31 10:10:42,Foodr - Payment,$-105.91,"$25,603.21"
2023-02-01 21:40:12,Foodr - Payment,$-46.10,"$25,557.11"
2023-02-09 10:54:45,Healthn - Payment,$-20.52,"$25,536.59"
2023-02-11 17:37:35,Healthn - Payment,$-34.47,"$25,502.12"
2023-02-13 11:45:10,Healthn - Payment,$-65.89,"$25,436.23"
2023-02-14 20:49:03,Fitr - Payment,$-141.98,"$25,294.25"
2023-02-19 18:08:19,Fitr - Payment,$-40.18,"$25,254.07"
2023-02-22 10:50:32,Healthn - Payment,$-142.99,"$25,111.08"
2023-02-23 10:26:56,Fitr - Payment,$-161.10,"$24,949.98"
2023-02-27 10:47:25,Healthn - Payment,$-75.16,"$24,874.82"
2023-03-01 21:37:13,Healthn - Payment,$-180.12,"$24,694.70"
2023-03-06 20:26:45,AffordableHub - Payment,$-39.74,"$24,654.96"
2023-03-08 13:29:59,youGrocery - Payment,$-48.56,"$24,606.40"
2023-03-11 19:53:21,Healthn - Payment,$-131.56,"$24,474.84"
2023-03-14 17:26:05,youGrocery - Payment,$-104.68,"$24,370.16"
2023-03-17 13:59:29,Fitr - Payment,$-89.51,"$24,280.65"
2023-03-23 08:42:38,youGrocery - Payment,$-39.47,"$24,241.18"
2023-03-26 11:38:39,Fitr - Payment,$-119.85,"$23,982.71"
2023-03-26 17:31:43,Healthn - Payment,$-138.62,"$24,102.56"
2023-03-27 19:15:22,Fitr - Payment,$-143.96,"$23,838.75"
2023-03-31 19:28:33,Healthn - Payment,$-143.75,"$23,695.00"
2023-04-01 17:52:37,AffordableHub - Payment,$-98.54,"$23,596.46"
2023-04-02 16:07:11,Healthn - Payment,$-160.34,"$23,436.12"
2023-04-12 18:37:30,Healthn - Payment,$-172.75,"$23,263.37"
2023-04-13 16:21:18,Fitr - Payment,$-104.82,"$23,158.55"
2023-04-18 12:06:19,Healthn - Payment,$-102.76,"$23,055.79"
2023-04-23 14:38:54,Healthn - Payment,$-47.13,"$23,008.66"
2023-04-26 20:58:23,Healthn - Payment,$-26.92,"$22,981.74"
2023-05-02 16:14:41,Fitr - Payment,$-119.68,"$22,862.06"
2023-05-04 11:17:38,Healthn - Payment,$-147.56,"$22,714.50"
2023-05-07 09:00:25,Healthn - Payment,$-32.18,"$22,682.32"
2023-05-12 09:28:30,Healthn - Payment,$-104.60,"$22,577.72"
2023-05-17 17:57:37,Healthn - Payment,$-43.58,"$22,534.14"
