date,description,amount,balance
2023-01-01 18:12:01,StrongLink - Payment,$-180.30,"$32,118.35"
2023-01-02 13:41:32,StrongLink - Payment,$-136.57,"$31,981.78"
2023-01-08 08:01:06,StrongLink - Payment,$-161.23,"$31,820.55"
2023-01-16 18:45:18,StrongLink - Payment,$-184.68,"$31,635.87"
2023-01-17 09:04:50,Healthn - Payment,$-61.79,"$31,574.08"
2023-01-18 11:59:05,Healthn - Payment,$-162.63,"$31,411.45"
2023-01-22 09:20:21,Foodr - Payment,$-119.21,"$31,292.24"
2023-01-23 21:29:51,Flexin - Payment,$-102.64,"$31,189.60"
2023-01-24 08:11:05,StrongLink - Payment,$-181.53,"$31,008.07"
2023-01-30 16:51:24,Healthn - Payment,$-34.65,"$30,973.42"
2023-01-31 19:05:28,Healthn - Payment,$-75.46,"$30,897.96"
2023-02-03 14:17:13,StrongLink - Payment,$-185.25,"$30,712.71"
2023-02-04 20:40:46,Healthn - Payment,$-90.72,"$30,621.99"
2023-02-05 18:14:33,StrongLink - Payment,$-50.61,"$30,571.38"
2023-02-11 09:02:40,Healthn - Payment,$-22.48,"$30,548.90"
2023-02-14 11:43:39,youGrocery - Payment,$-78.20,"$30,470.70"
2023-02-15 18:54:21,StrongLink - Payment,$-119.95,"$30,350.75"
2023-02-16 21:29:39,StrongLink - Payment,$-78.20,"$30,272.55"
2023-02-17 19:40:05,StrongLink - Payment,$-92.98,"$30,179.57"
2023-02-25 12:16:04,StrongLink - Payment,$-111.83,"$30,067.74"
2023-03-03 15:14:58,StrongLink - Payment,$-159.77,"$29,907.97"
2023-03-09 15:53:36,Healthn - Payment,$-137.14,"$29,770.83"
2023-03-11 17:51:26,StrongLink - Payment,$-58.98,"$29,588.10"
2023-03-11 20:14:22,Healthn - Payment,$-123.75,"$29,647.08"
2023-03-12 15:40:01,StrongLink - Payment,$-38.51,"$29,549.59"
2023-03-14 09:59:01,StrongLink - Payment,$-140.16,"$29,409.43"
2023-03-19 09:48:04,Healthn - Payment,$-151.38,"$29,258.05"
2023-03-22 16:39:41,StrongLink - Payment,$-104.65,"$29,153.40"
