date,to,from_,size,type_
2023-01-01 09:05:51,(791) 720-3024,(304) 766-7452,32 minutes,Inbound Call
2023-01-01 13:13:19,(791) 720-3024,(304) 766-7452,19.1 MB,Sent Media
2023-01-01 13:19:05,(996) 911-9760,(304) 766-7452,204 characters,Received Text
2023-01-01 14:36:30,(791) 720-3024,(304) 766-7452,196 characters,Received Text
2023-01-01 15:56:43,(736) 281-0632,(304) 766-7452,201 characters,Received Text
2023-01-01 17:56:12,(294) 535-8251,(304) 766-7452,253 characters,Sent Text
2023-01-02 10:53:46,(791) 720-3024,(304) 766-7452,247 characters,Sent Text
2023-01-02 11:02:19,(791) 720-3024,(304) 766-7452,57 characters,Received Text
2023-01-02 14:23:44,(736) 281-0632,(304) 766-7452,323 characters,Received Text
2023-01-02 16:54:34,(791) 720-3024,(304) 766-7452,119 minutes,Inbound Call
2023-01-02 17:41:48,(956) 584-7282,(304) 766-7452,260 characters,Sent Text
2023-01-02 19:58:56,(956) 584-7282,(304) 766-7452,68 minutes,Inbound Call
2023-01-03 09:44:09,(736) 281-0632,(304) 766-7452,111 minutes,Inbound Call
2023-01-03 15:51:58,(956) 584-7282,(304) 766-7452,327 characters,Sent Text
2023-01-03 16:25:03,(791) 720-3024,(304) 766-7452,255 characters,Sent Text
2023-01-03 18:29:55,(294) 535-8251,(304) 766-7452,13.7 MB,Received Media
2023-01-03 20:55:44,(956) 584-7282,(304) 766-7452,184 characters,Received Text
2023-01-04 10:19:54,(736) 281-0632,(304) 766-7452,283 characters,Sent Text
2023-01-04 11:05:50,(294) 535-8251,(304) 766-7452,320 characters,Sent Text
2023-01-04 11:51:51,(736) 281-0632,(304) 766-7452,26 minutes,Inbound Call
2023-01-04 12:44:00,(791) 720-3024,(304) 766-7452,103 characters,Sent Text
2023-01-04 15:45:40,(791) 720-3024,(304) 766-7452,68 minutes,Inbound Call
2023-01-04 18:39:58,(736) 281-0632,(304) 766-7452,13.9 MB,Sent Media
2023-01-04 20:37:22,(791) 720-3024,(304) 766-7452,4.4 MB,Received Media
2023-01-05 16:22:49,(956) 584-7282,(304) 766-7452,277 characters,Received Text
2023-01-05 20:36:53,(956) 584-7282,(304) 766-7452,9 minutes,Inbound Call
2023-01-06 09:19:04,(736) 281-0632,(304) 766-7452,329 characters,Received Text
2023-01-06 09:45:28,(294) 535-8251,(304) 766-7452,57 characters,Sent Text
2023-01-06 11:24:55,(736) 281-0632,(304) 766-7452,270 characters,Sent Text
2023-01-06 18:20:33,(294) 535-8251,(304) 766-7452,71 minutes,Inbound Call
