date,to,from_,size,type_
2023-01-01 09:01:50,(406) 811-6484,(621) 669-7254,49 characters,Received Text
2023-01-01 10:59:01,(181) 128-3053,(621) 669-7254,100 characters,Sent Text
2023-01-01 15:38:44,(406) 811-6484,(621) 669-7254,47 minutes,Inbound Call
2023-01-01 20:52:11,(406) 811-6484,(621) 669-7254,44 characters,Sent Text
2023-01-02 17:11:39,(406) 811-6484,(621) 669-7254,136 characters,Sent Text
2023-01-03 11:54:54,(181) 128-3053,(621) 669-7254,294 characters,Sent Text
2023-01-03 20:30:12,(406) 811-6484,(621) 669-7254,29 minutes,Inbound Call
2023-01-03 20:39:59,(406) 811-6484,(621) 669-7254,33 characters,Sent Text
2023-01-04 15:56:49,(107) 456-1789,(621) 669-7254,34 minutes,Inbound Call
2023-01-04 20:02:37,(406) 811-6484,(621) 669-7254,194 characters,Received Text
2023-01-04 20:23:43,(107) 456-1789,(621) 669-7254,103 characters,Sent Text
2023-01-04 21:03:42,(181) 128-3053,(621) 669-7254,119 minutes,Inbound Call
2023-01-05 09:32:38,(406) 811-6484,(621) 669-7254,5.0 MB,Received Media
2023-01-05 10:29:37,(406) 811-6484,(621) 669-7254,57 minutes,Inbound Call
2023-01-05 10:53:35,(107) 456-1789,(621) 669-7254,87 minutes,Outbound Call
2023-01-05 16:31:37,(107) 456-1789,(621) 669-7254,80 characters,Received Text
2023-01-06 09:46:07,(181) 128-3053,(621) 669-7254,25 characters,Received Text
2023-01-06 17:15:21,(406) 811-6484,(621) 669-7254,7 characters,Sent Text
2023-01-06 17:24:09,(181) 128-3053,(621) 669-7254,108 minutes,Outbound Call
2023-01-06 18:11:57,(107) 456-1789,(621) 669-7254,318 characters,Sent Text
2023-01-07 13:17:53,(107) 456-1789,(621) 669-7254,196 characters,Sent Text
2023-01-07 15:29:55,(406) 811-6484,(621) 669-7254,60 characters,Received Text
2023-01-07 16:46:09,(181) 128-3053,(621) 669-7254,14.8 MB,Received Media
2023-01-08 21:28:48,(107) 456-1789,(621) 669-7254,14.5 MB,Received Media
2023-01-10 15:16:06,(181) 128-3053,(621) 669-7254,104 minutes,Inbound Call
2023-01-10 17:13:39,(107) 456-1789,(621) 669-7254,84 characters,Sent Text
2023-01-11 11:29:59,(406) 811-6484,(621) 669-7254,302 characters,Sent Text
2023-01-11 14:32:50,(181) 128-3053,(621) 669-7254,222 characters,Sent Text
2023-01-11 18:42:15,(107) 456-1789,(621) 669-7254,38 characters,Received Text
2023-01-11 21:58:24,(107) 456-1789,(621) 669-7254,34 characters,Sent Text
2023-01-12 18:18:17,(181) 128-3053,(621) 669-7254,72 characters,Received Text
2023-01-13 08:54:00,(107) 456-1789,(621) 669-7254,247 characters,Sent Text
2023-01-13 12:34:54,(406) 811-6484,(621) 669-7254,93 minutes,Inbound Call
2023-01-13 16:03:44,(181) 128-3053,(621) 669-7254,74 characters,Sent Text
2023-01-14 08:14:16,(406) 811-6484,(621) 669-7254,217 characters,Sent Text
2023-01-14 09:23:09,(107) 456-1789,(621) 669-7254,121 characters,Received Text
2023-01-15 19:08:46,(181) 128-3053,(621) 669-7254,90 characters,Sent Text
2023-01-15 20:39:53,(181) 128-3053,(621) 669-7254,5 characters,Received Text
2023-01-16 16:16:27,(107) 456-1789,(621) 669-7254,220 characters,Sent Text
2023-01-17 18:04:07,(107) 456-1789,(621) 669-7254,83 minutes,Outbound Call
2023-01-17 18:20:49,(181) 128-3053,(621) 669-7254,87 minutes,Inbound Call
2023-01-17 21:00:26,(107) 456-1789,(621) 669-7254,113 characters,Received Text
2023-01-17 21:00:59,(181) 128-3053,(621) 669-7254,154 characters,Received Text
2023-01-18 13:25:19,(181) 128-3053,(621) 669-7254,205 characters,Sent Text
2023-01-18 15:17:49,(406) 811-6484,(621) 669-7254,253 characters,Received Text
2023-01-19 09:54:38,(107) 456-1789,(621) 669-7254,76 characters,Sent Text
2023-01-19 12:16:54,(406) 811-6484,(621) 669-7254,34 minutes,Outbound Call
2023-01-19 12:32:13,(406) 811-6484,(621) 669-7254,129 characters,Sent Text
2023-01-19 18:16:24,(406) 811-6484,(621) 669-7254,31 characters,Received Text
2023-01-20 10:47:25,(107) 456-1789,(621) 669-7254,72 minutes,Inbound Call
2023-01-20 12:31:41,(107) 456-1789,(621) 669-7254,92 characters,Received Text
2023-01-20 12:41:51,(181) 128-3053,(621) 669-7254,108 minutes,Outbound Call
2023-01-20 12:45:57,(406) 811-6484,(621) 669-7254,7.0 MB,Received Media
2023-01-20 13:33:10,(406) 811-6484,(621) 669-7254,16 characters,Received Text
2023-01-20 20:20:00,(406) 811-6484,(621) 669-7254,17 minutes,Outbound Call
2023-01-21 09:06:03,(107) 456-1789,(621) 669-7254,4.5 MB,Received Media
2023-01-21 09:17:33,(181) 128-3053,(621) 669-7254,56 characters,Sent Text
2023-01-21 12:26:12,(107) 456-1789,(621) 669-7254,19 minutes,Outbound Call
2023-01-21 13:07:52,(181) 128-3053,(621) 669-7254,13 minutes,Inbound Call
2023-01-21 19:57:53,(107) 456-1789,(621) 669-7254,255 characters,Sent Text
2023-01-22 11:17:32,(181) 128-3053,(621) 669-7254,258 characters,Sent Text
2023-01-22 17:16:47,(107) 456-1789,(621) 669-7254,1 minutes,Outbound Call
2023-01-23 08:26:06,(107) 456-1789,(621) 669-7254,53 characters,Sent Text
2023-01-23 10:30:46,(107) 456-1789,(621) 669-7254,187 characters,Received Text
2023-01-23 11:59:07,(406) 811-6484,(621) 669-7254,297 characters,Received Text
2023-01-23 14:15:00,(181) 128-3053,(621) 669-7254,64 characters,Received Text
2023-01-23 16:05:08,(406) 811-6484,(621) 669-7254,103 characters,Sent Text
2023-01-24 08:19:46,(406) 811-6484,(621) 669-7254,140 characters,Received Text
2023-01-24 09:42:27,(107) 456-1789,(621) 669-7254,15.4 MB,Sent Media
2023-01-24 10:26:19,(107) 456-1789,(621) 669-7254,305 characters,Sent Text
2023-01-25 08:26:09,(181) 128-3053,(621) 669-7254,239 characters,Sent Text
2023-01-25 11:47:06,(181) 128-3053,(621) 669-7254,1.0 MB,Received Media
