date,description,amount,balance
2023-01-01 08:23:36,Foodr - Payment,$-59.28,"$24,539.22"
2023-01-02 11:12:25,Fitr - Payment,$-23.55,"$24,515.67"
2023-01-05 19:45:42,Fitr - Payment,$-122.39,"$24,393.28"
2023-01-09 14:50:02,Fitr - Payment,$-143.36,"$24,249.92"
2023-01-10 10:10:25,Fitr - Payment,$-155.32,"$24,094.60"
2023-01-12 17:39:55,StrongLink - Payment,$-174.17,"$23,920.43"
2023-01-13 08:05:47,Healthn - Payment,$-20.28,"$23,900.15"
2023-01-14 11:44:08,StrongLink - Payment,$-155.60,"$23,744.55"
2023-01-16 09:29:07,StrongLink - Payment,$-76.60,"$23,667.95"
2023-01-17 15:33:42,Fitr - Payment,$-139.46,"$23,528.49"
2023-01-19 16:35:19,Flexin - Payment,$-38.21,"$23,490.28"
2023-01-20 12:24:59,Fitr - Payment,$-30.62,"$23,459.66"
2023-01-21 14:55:10,Fitr - Payment,$-154.63,"$23,305.03"
2023-01-23 15:16:54,Fitr - Payment,$-31.24,"$23,273.79"
2023-01-24 08:24:37,Fitr - Payment,$-123.70,"$23,150.09"
2023-01-25 17:49:28,Fitr - Payment,$-37.94,"$23,112.15"
2023-01-26 13:15:21,Healthn - Payment,$-178.79,"$22,933.36"
2023-01-26 13:21:32,Flexin - Payment,$-160.52,"$22,772.84"
2023-01-29 08:00:12,Fitr - Payment,$-158.27,"$22,614.57"
2023-02-02 17:35:11,Fitr - Payment,$-115.92,"$22,498.65"
2023-02-04 10:36:17,Fitr - Payment,$-22.91,"$22,475.74"
2023-02-05 20:38:47,Flexin - Payment,$-90.99,"$22,384.75"
2023-02-06 08:46:49,Healthn - Payment,$-182.64,"$22,202.11"
2023-02-06 14:39:21,Fitr - Payment,$-78.74,"$22,123.37"
2023-02-07 08:12:43,Fitr - Payment,$-175.60,"$21,947.77"
2023-02-08 10:54:50,Fitr - Payment,$-152.86,"$21,794.91"
2023-02-09 18:25:12,Fitr - Payment,$-94.52,"$21,700.39"
2023-02-10 15:46:59,Fitr - Payment,$-66.45,"$21,454.64"
2023-02-10 19:08:14,Healthn - Payment,$-179.30,"$21,521.09"
2023-02-11 11:05:54,Fitr - Payment,$-44.36,"$21,410.28"
2023-02-15 21:46:59,Fitr - Payment,$-51.10,"$21,359.18"
2023-02-16 10:09:27,Fitr - Payment,$-79.68,"$21,279.50"
2023-02-20 20:50:00,Fitr - Payment,$-50.86,"$21,228.64"
2023-02-22 17:29:06,StrongLink - Payment,$-90.00,"$21,138.64"
2023-03-02 18:10:58,Healthn - Payment,$-172.21,"$20,966.43"
2023-03-03 14:58:52,Flexin - Payment,$-76.71,"$20,889.72"
2023-03-06 17:35:12,Flexin - Payment,$-27.79,"$20,861.93"
