date,description,amount,balance
2023-01-01 09:14:44,StrongLink - Payment,$-80.39,"$2,477.79"
2023-01-03 21:16:52,StrongLink - Payment,$-77.99,"$2,399.80"
2023-01-05 20:00:25,Foodr - Payment,$-47.30,"$2,352.50"
2023-01-06 10:08:51,StrongLink - Payment,$-137.60,"$2,214.90"
2023-01-08 15:45:11,StrongLink - Payment,$-177.27,"$2,037.63"
2023-01-09 11:45:14,StrongLink - Payment,$-21.70,"$2,015.93"
2023-01-10 15:22:51,Foodr - Payment,$-144.71,"$1,871.22"
2023-01-15 20:58:03,Flexin - Payment,$-184.24,"$1,686.98"
2023-01-18 19:10:41,StrongLink - Payment,$-38.27,"$1,648.71"
2023-01-20 11:06:24,Foodr - Payment,$-53.53,"$1,595.18"
2023-01-21 14:47:57,Fitr - Payment,$-63.50,"$1,531.68"
2023-01-23 18:58:07,Foodr - Payment,$-30.26,"$1,501.42"
2023-01-24 10:09:04,StrongLink - Payment,$-114.00,"$1,387.42"
2023-02-01 12:17:58,StrongLink - Payment,$-156.24,"$1,231.18"
2023-02-04 16:19:31,AffordableHub - Payment,$-141.73,"$1,089.45"
2023-02-05 12:12:21,Fitr - Payment,$-131.18,$958.27
2023-02-09 15:02:54,AffordableHub - Payment,$-67.84,$890.43
2023-02-10 15:39:24,Foodr - Payment,$-128.60,$761.83
2023-02-12 09:40:42,Foodr - Payment,$-50.30,$711.53
2023-02-17 14:49:36,Foodr - Payment,$-37.80,$673.73
2023-02-20 17:38:34,StrongLink - Payment,$-101.92,$571.81
2023-02-22 15:40:04,Foodr - Payment,$-130.85,$440.96
2023-02-24 18:50:28,Fitr - Payment,$-36.24,$404.72
2023-02-27 10:38:33,StrongLink - Payment,$-120.55,$284.17
2023-02-28 17:20:25,AffordableHub - Payment,$-138.99,$145.18
2023-03-03 11:57:57,Foodr - Payment,$-116.29,$28.89
2023-03-04 12:05:15,Invalid Withdrawal,$0.00,$28.89
2023-03-05 19:09:51,Invalid Withdrawal,$0.00,$28.89
2023-03-06 16:19:00,Invalid Withdrawal,$0.00,$28.89
2023-03-12 14:19:44,Invalid Withdrawal,$0.00,$28.89
2023-03-13 18:47:34,Invalid Withdrawal,$0.00,$28.89
2023-03-16 08:38:32,Invalid Withdrawal,$0.00,$28.89
2023-03-17 20:00:31,Invalid Withdrawal,$0.00,$28.89
2023-03-20 20:48:19,Invalid Withdrawal,$0.00,$28.89
2023-03-23 08:47:48,Invalid Withdrawal,$0.00,$28.89
2023-03-28 19:49:13,Invalid Withdrawal,$0.00,$28.89
2023-04-03 10:30:19,Invalid Withdrawal,$0.00,$28.89
2023-04-08 18:43:15,Invalid Withdrawal,$0.00,$28.89
2023-04-09 11:58:11,Invalid Withdrawal,$0.00,$28.89
2023-04-10 10:30:50,Invalid Withdrawal,$0.00,$28.89
2023-04-10 17:30:35,Invalid Withdrawal,$0.00,$28.89
2023-04-14 19:51:40,Invalid Withdrawal,$0.00,$28.89
2023-04-15 13:47:24,Invalid Withdrawal,$0.00,$28.89
2023-04-15 14:55:00,Invalid Withdrawal,$0.00,$28.89
2023-04-16 13:35:09,Invalid Withdrawal,$0.00,$28.89
2023-04-17 10:22:54,Invalid Withdrawal,$0.00,$28.89
2023-04-19 17:20:27,Invalid Withdrawal,$0.00,$28.89
2023-04-20 15:32:10,Invalid Withdrawal,$0.00,$28.89
2023-04-21 19:46:03,Invalid Withdrawal,$0.00,$28.89
2023-04-28 09:23:59,Invalid Withdrawal,$0.00,$28.89
2023-04-30 15:12:46,StrongLink - Payment,$-22.46,$6.43
2023-05-03 16:21:15,Invalid Withdrawal,$0.00,$6.43
2023-05-04 08:24:27,Invalid Withdrawal,$0.00,$6.43
2023-05-05 12:59:26,Invalid Withdrawal,$0.00,$6.43
2023-05-06 20:55:13,Invalid Withdrawal,$0.00,$6.43
2023-05-08 11:36:22,Invalid Withdrawal,$0.00,$6.43
2023-05-08 19:27:03,Invalid Withdrawal,$0.00,$6.43
2023-05-10 18:32:09,Invalid Withdrawal,$0.00,$6.43
2023-05-12 19:42:11,Invalid Withdrawal,$0.00,$6.43
2023-05-14 21:05:41,Invalid Withdrawal,$0.00,$6.43
2023-05-24 09:50:37,Invalid Withdrawal,$0.00,$6.43
